순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
1.0,067630,에이치엘비생명과학,,2019-12-30,KOSDAQ,19.62,192.49,386.23,61.35,-19.5,12890.0,2020,2020-01
2.0,082270,젬백스,,2019-12-30,KOSDAQ,51.77,228.09,174.38,221.25,-16.6,38550.0,2020,2020-01
3.0,028300,에이치엘비,,2019-12-30,KOSDAQ,-0.17,90.24,225.53,43.81,-19.3,45734.0,2020,2020-01
4.0,060720,KH바텍,,2019-12-30,KOSDAQ,16.5,104.91,116.51,180.22,-12.9,22950.0,2020,2020-01
5.0,140410,메지온,,2019-12-30,KOSDAQ,36.84,55.28,203.65,107.94,-13.7,63855.0,2020,2020-01
6.0,196170,알테오젠,,2019-12-30,KOSDAQ,34.07,95.31,103.96,133.9,-4.6,18607.0,2020,2020-01
7.0,078130,국일제지,,2019-12-30,KOSDAQ,-12.7,24.45,62.06,404.64,-13.2,5980.0,2020,2020-01
8.0,000990,DB하이텍,,2019-12-30,KOSPI,45.26,72.5,87.12,154.38,-0.9,27600.0,2020,2020-01
9.0,040910,아이씨디,,2019-12-30,KOSDAQ,7.97,33.67,88.04,192.41,-20.1,19650.0,2020,2020-01
10.0,036540,SFA반도체,,2019-12-30,KOSDAQ,18.6,64.0,31.85,216.54,30.8,4305.0,2020,2020-01
11.0,237690,에스티팜,,2019-12-30,KOSDAQ,20.65,70.77,72.25,50.51,-7.4,29800.0,2020,2020-01
12.0,097520,엠씨넥스,,2019-12-30,KOSDAQ,40.07,59.28,31.3,191.51,-6.4,37750.0,2020,2020-01
13.0,268600,셀리버리,,2019-12-30,KOSDAQ,-11.11,38.12,56.3,157.14,8.7,14405.0,2020,2020-01
14.0,102710,이엔에프테크놀로지,,2019-12-30,KOSDAQ,25.16,50.92,37.83,127.89,-2.6,28600.0,2020,2020-01
15.0,051370,인터플렉스,,2019-12-30,KOSDAQ,10.0,51.56,54.3,57.14,-22.0,17050.0,2020,2020-01
16.0,095610,테스,,2019-12-30,KOSDAQ,19.9,31.58,51.52,105.76,-4.6,25000.0,2020,2020-01
