투자연도,투자월,종목선정일,종목코드,종목명,시장,1개월(%),3개월(%),6개월(%),12개월(%),시가총액,종가,거래량,이번달수익률
2026,2026-05,2026-04-30,005930,삼성전자,KOSPI,31.88,37.38,105.12,297.3,1289104433064000,220500,20519819,34.24
2026,2026-05,2026-04-30,000660,SK하이닉스,KOSPI,59.36,41.47,130.05,624.51,916535241390000,1286000,3227541,53.19
2026,2026-05,2026-04-30,005935,삼성전자우,KOSPI,38.86,34.84,87.56,237.89,127015361434900,158300,4466311,22.36
2026,2026-05,2026-04-30,402340,SK스퀘어,KOSPI,80.28,47.54,223.46,846.01,110977002626000,841000,569005,39.24
2026,2026-05,2026-04-30,005380,현대차,KOSPI,19.19,6.2,83.1,178.59,108726373746000,531000,1150241,34.09
2026,2026-05,2026-04-30,373220,LG에너지솔루션,KOSPI,16.73,15.7,-2.64,41.91,107757000000000,460500,483228,-4.02
2026,2026-05,2026-04-30,034020,두산에너빌리티,KOSPI,38.45,40.29,43.29,339.03,81415321656600,127100,3380571,-7.87
2026,2026-05,2026-04-30,012450,한화에어로스페이스,KOSPI,13.45,9.0,44.74,80.55,73065339217000,1417000,236243,-7.83
2026,2026-05,2026-04-30,329180,HD현대중공업,KOSPI,47.31,19.13,14.17,70.4,71898439125000,685000,27,-2.04
2026,2026-05,2026-04-30,207940,삼성바이오로직스,KOSPI,-2.26,-15.76,-18.2,-5.06,68047697970000,1470000,44392,-1.43
2026,2026-05,2026-04-30,009150,삼성전기,KOSPI,104.17,198.21,239.59,606.88,62145155072000,832000,905254,23.08
2026,2026-05,2026-04-30,105560,KB금융,KOSPI,13.11,18.71,37.65,77.94,59842498027500,160500,1396269,-2.8
2026,2026-05,2026-04-30,000270,기아,KOSPI,4.55,-0.52,26.61,67.92,59264693096400,151800,1185702,17.33
2026,2026-05,2026-04-30,006400,삼성SDI,KOSPI,70.34,78.21,115.84,294.89,56006943350000,695000,851227,-8.49
2026,2026-05,2026-04-30,032830,삼성생명,KOSPI,18.53,32.5,61.7,189.44,49900000000000,249500,247037,32.26
2026,2026-05,2026-04-30,028260,삼성물산,KOSPI,17.75,-1.0,32.08,143.87,48407440828500,298500,451057,48.07
2026,2026-05,2026-04-30,055550,신한지주,KOSPI,13.91,18.51,36.29,94.36,47417970663900,99900,1518212,-3.1
2026,2026-05,2026-04-30,267260,HD현대일렉트릭,KOSPI,50.48,40.83,43.91,307.15,45131013020000,1252000,152813,1.2
2026,2026-05,2026-04-30,068270,셀트리온,KOSPI,1.67,-4.52,14.18,29.05,44498621330500,200500,468819,-2.69
2026,2026-05,2026-04-30,010120,LS ELECTRIC,KOSPI,93.59,145.58,219.54,583.05,41700000000000,278000,1162813,0.72
2026,2026-05,2026-04-30,042660,한화오션,KOSPI,9.65,-4.84,-4.22,67.9,40385285329200,131800,1166948,-8.65
2026,2026-05,2026-04-30,012330,현대모비스,KOSPI,12.43,-5.35,34.49,58.88,38561347775000,425000,317288,52.94
2026,2026-05,2026-04-30,005490,POSCO홀딩스,KOSPI,38.95,32.95,48.79,77.35,36609585474000,462000,568870,5.3
2026,2026-05,2026-04-30,298040,효성중공업,KOSPI,59.28,50.29,83.23,699.18,36477631776000,3912000,54058,2.89
2026,2026-05,2026-04-30,006800,미래에셋증권,KOSPI,5.19,52.24,147.46,449.25,36259933824000,64800,2433634,11.57
2026,2026-05,2026-04-30,086790,하나금융지주,KOSPI,19.98,27.77,49.59,98.29,35091634969200,127900,949529,-1.09
2026,2026-05,2026-04-30,042700,한미반도체,KOSPI,46.61,74.41,156.09,383.57,35074889600000,368000,2575384,11.28
2026,2026-05,2026-04-30,035420,NAVER,KOSPI,4.71,-23.27,-21.12,5.24,33095906618000,211000,307,0.95
2026,2026-05,2026-04-30,010130,고려아연,KOSPI,11.04,-16.19,52.86,97.87,32958418051000,1579000,123969,-4.31
2026,2026-05,2026-04-30,009540,HD한국조선해양,KOSPI,34.16,11.61,-2.64,69.67,32661793034000,461500,161199,-5.2
2026,2026-05,2026-04-30,034730,SK,KOSPI,41.2,27.44,71.03,221.0,30813648775000,425000,230762,27.29
2026,2026-05,2026-04-30,064350,현대로템,KOSPI,58.41,16.49,16.49,139.3,29304705670500,268500,1479575,-20.86
2026,2026-05,2026-04-30,010140,삼성중공업,KOSPI,32.31,9.85,9.48,122.03,28468000000000,32350,4422860,-6.8
2026,2026-05,2026-04-30,051910,LG화학,KOSPI,32.78,27.86,-0.13,83.8,28025160171000,397000,283039,-1.13
2026,2026-05,2026-04-30,015760,한국전력,KOSPI,4.56,-25.3,2.35,69.79,27957535553350,43550,2510970,-8.96
2026,2026-05,2026-04-30,000150,두산,KOSPI,55.56,87.54,68.18,425.86,25845360660000,1596000,108590,6.7
2026,2026-05,2026-04-30,096770,SK이노베이션,KOSPI,34.5,30.54,13.42,54.87,24715517605600,146200,1134227,-13.34
2026,2026-05,2026-04-30,267250,HD현대,KOSPI,29.92,32.69,51.46,294.54,24527352892500,310500,302406,-10.14
2026,2026-05,2026-04-30,316140,우리금융지주,KOSPI,4.06,10.25,31.3,88.31,24481445272000,33350,2335356,-4.65
2026,2026-05,2026-04-30,066570,LG전자,KOSPI,33.43,42.18,60.84,97.34,22950691928300,140900,4599708,54.01
2026,2026-05,2026-04-30,003670,포스코퓨처엠,KOSPI,23.83,12.75,16.4,108.15,22414447440000,252000,425977,-0.6
2026,2026-05,2026-04-30,272210,한화시스템,KOSPI,2.8,24.52,95.83,200.77,22160244329700,117300,765071,-1.02
