순위,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,005930,삼성전자,201000000000000.0,2015-01-30,2.86,15.58,-2.15,6.64,-0.59
2,005380,현대차,37300000000000.0,2015-01-30,0.3,-1.45,-30.67,-27.72,-5.31
3,000660,SK하이닉스,34700000000000.0,2015-01-30,-0.21,0.95,1.93,25.89,-2.2
4,015760,한국전력,27700000000000.0,2015-01-30,1.17,-6.09,1.77,22.38,3.47
5,012330,현대모비스,24100000000000.0,2015-01-30,5.08,-1.78,-17.74,-20.0,0.6
6,035420,NAVER,23600000000000.0,2015-01-30,0.56,-4.53,-6.89,6.07,-7.68
7,017670,SK텔레콤,23300000000000.0,2015-01-30,7.84,7.84,11.37,33.49,-0.86
8,032830,삼성생명,22500000000000.0,2015-01-30,-3.43,0.9,8.7,8.7,-11.47
9,005490,POSCO,22000000000000.0,2015-01-30,-8.35,-18.28,-24.51,-15.41,5.94
10,055550,신한지주,21300000000000.0,2015-01-30,1.24,-12.62,-12.45,-1.42,-2.89
11,018260,삼성에스디에스,20500000000000.0,2015-01-30,-9.88,,,,9.45
12,000270,기아차,18600000000000.0,2015-01-30,-12.05,-12.88,-24.59,-14.81,-1.09
13,028260,제일모직,18400000000000.0,2015-01-30,-13.92,,,,19.12
14,090430,아모레퍼시픽,15500000000000.0,2015-01-30,19.41,13.0,55.21,161.96,7.7
15,105560,KB금융,14200000000000.0,2015-01-30,1.8,-14.42,-7.77,-1.08,5.98
16,000810,삼성화재,14000000000000.0,2015-01-30,4.42,0.51,7.66,18.95,-13.56
17,051910,LG화학,13200000000000.0,2015-01-30,9.67,-0.5,-31.43,-23.65,15.87
18,034220,LG디스플레이,12900000000000.0,2015-01-30,7.13,14.81,10.75,42.21,-5.69
19,034730,SK C&C,11800000000000.0,2015-01-30,10.07,-5.62,39.47,88.0,-7.66
20,033780,KT&G,11000000000000.0,2015-01-30,5.39,-14.22,-21.37,5.94,-0.25
21,051900,LG생활건강,10700000000000.0,2015-01-30,10.43,9.21,42.44,43.93,-2.62
22,003550,LG,10700000000000.0,2015-01-30,1.15,-4.62,-8.7,7.65,2.75
23,002790,아모레G,10000000000000.0,2015-01-30,25.55,2.37,49.17,164.07,6.62
24,066570,LG전자,9950000000000.0,2015-01-30,2.88,-8.43,-19.36,-8.02,1.64
25,086790,하나금융지주,9360000000000.0,2015-01-30,0.94,-13.29,-23.19,-21.03,-6.81
26,086280,현대글로비스,9170000000000.0,2015-01-30,-16.12,-12.83,-6.5,7.24,-2.45
27,006400,삼성SDI,8870000000000.0,2015-01-30,11.21,6.61,-19.12,-10.1,5.81
28,000830,삼성물산,8720000000000.0,2015-01-30,-9.27,-18.9,-26.39,-4.94,8.6
29,096770,SK이노베이션,8660000000000.0,2015-01-30,10.11,7.58,-9.9,-26.22,10.46
30,009540,현대중공업,8590000000000.0,2015-01-30,-1.74,13.0,-25.9,-49.67,6.19
31,010130,고려아연,8100000000000.0,2015-01-30,6.44,4.5,4.25,23.42,-4.66
32,003600,SK,8030000000000.0,2015-01-30,4.59,1.79,-1.72,-5.0,8.77
33,030200,KT,7820000000000.0,2015-01-30,-4.16,-6.55,-10.19,-2.76,2.17
34,004020,현대제철,7680000000000.0,2015-01-30,3.78,-4.77,-16.05,-13.74,1.67
35,023530,롯데쇼핑,7480000000000.0,2015-01-30,-13.0,-20.57,-24.84,-37.17,5.26
36,024110,기업은행,7160000000000.0,2015-01-30,-8.16,-18.81,-17.52,3.6,4.25
37,035250,강원랜드,6930000000000.0,2015-01-30,6.58,-6.49,-6.09,-4.28,4.94
38,010950,S-Oil,6810000000000.0,2015-01-30,25.0,47.74,10.81,-11.81,7.11
39,021240,코웨이,6770000000000.0,2015-01-30,4.28,7.07,-2.34,26.51,-1.82
40,088350,한화생명,6760000000000.0,2015-01-30,-6.15,-4.77,14.24,6.28,0.39
41,161390,한국타이어,6530000000000.0,2015-01-30,0.0,-4.53,-9.14,-14.59,-8.92
42,001800,오리온,6270000000000.0,2015-01-30,3.45,25.9,13.27,20.28,-8.19
43,011170,롯데케미칼,5980000000000.0,2015-01-30,9.06,19.52,0.87,-17.49,9.17
44,000030,우리은행,5950000000000.0,2015-01-30,-12.0,,,,7.73
45,139480,이마트,5800000000000.0,2015-01-30,2.46,2.46,-9.96,-20.0,3.12
46,002380,KCC,5800000000000.0,2015-01-30,5.96,-10.26,-10.11,13.14,7.26
47,032640,LG유플러스,5280000000000.0,2015-01-30,5.22,9.5,27.37,10.5,-2.07
48,001040,CJ,5020000000000.0,2015-01-30,10.58,-3.9,21.48,44.96,0.58
49,009150,삼성전기,5000000000000.0,2015-01-30,22.49,42.55,8.06,0.45,2.84
50,018880,한라비스테온공조,4960000000000.0,2015-01-30,-4.03,-5.2,-7.47,18.19,-7.75
51,000720,현대건설,4860000000000.0,2015-01-30,3.68,-11.01,-31.04,-25.26,13.17
52,097950,CJ제일제당,4620000000000.0,2015-01-30,14.85,-12.76,6.18,32.58,1.56
53,047810,한국항공우주,4570000000000.0,2015-01-30,17.71,16.11,33.86,46.41,7.58
54,036570,엔씨소프트,4430000000000.0,2015-01-30,10.99,40.77,30.32,1.76,-11.63
55,029780,삼성카드,4430000000000.0,2015-01-30,-13.57,-17.23,-19.83,9.61,-1.83
56,000120,CJ대한통운,4370000000000.0,2015-01-30,-2.3,-5.67,45.08,78.97,-5.48
57,011210,현대위아,4190000000000.0,2015-01-30,-12.5,-16.76,-17.43,-4.64,-8.77
58,036460,한국가스공사,4170000000000.0,2015-01-30,-8.78,-11.02,-26.26,-32.13,-6.19
59,010140,삼성중공업,4130000000000.0,2015-01-30,-10.28,-30.21,-35.49,-46.88,10.05
60,008770,호텔신라,4000000000000.0,2015-01-30,11.6,-2.39,-5.12,30.77,-2.94
61,051600,한전KPS,3970000000000.0,2015-01-30,10.79,0.91,16.95,57.12,4.42
62,078930,GS,3870000000000.0,2015-01-30,4.25,-0.71,-10.99,-18.71,6.12
63,005830,동부화재,3770000000000.0,2015-01-30,-3.27,-11.92,-7.48,-1.12,-0.38
64,042660,대우조선해양,3730000000000.0,2015-01-30,4.56,9.86,-22.92,-43.48,3.85
65,009240,한샘,3650000000000.0,2015-01-30,35.37,14.81,68.48,195.24,13.87
66,016360,삼성증권,3640000000000.0,2015-01-30,6.85,-0.1,-1.24,9.55,0.21
67,006800,대우증권,3300000000000.0,2015-01-30,2.75,-10.22,-3.34,17.3,5.45
68,012630,현대산업,3250000000000.0,2015-01-30,11.5,6.15,16.62,77.57,15.87
69,138930,BS금융지주,3250000000000.0,2015-01-30,-4.48,-19.48,-15.29,-9.9,7.58
70,047050,대우인터내셔널,3130000000000.0,2015-01-30,-12.56,-19.35,-26.76,-33.66,5.45
71,005940,NH투자증권,3120000000000.0,2015-01-30,8.29,-5.93,0.0,21.44,10.81
72,012750,에스원,3040000000000.0,2015-01-30,12.36,4.99,3.9,2.83,0.0
73,071050,한국금융지주,2900000000000.0,2015-01-30,7.22,-5.8,11.23,31.81,5.0
74,047040,대우건설,2820000000000.0,2015-01-30,15.11,1.8,-32.2,-0.59,16.67
75,069960,현대백화점,2800000000000.0,2015-01-30,-2.85,-12.45,-18.98,-17.01,12.13
76,003490,대한항공,2790000000000.0,2015-01-30,0.11,26.67,33.99,34.37,11.25
77,011780,금호석유,2730000000000.0,2015-01-30,11.29,15.89,-0.66,1.7,-3.9
78,004990,롯데제과,2660000000000.0,2015-01-30,5.0,-6.55,-10.1,0.48,-2.68
79,000670,영풍,2620000000000.0,2015-01-30,14.86,14.68,5.73,17.04,-5.56
80,004800,효성,2550000000000.0,2015-01-30,6.14,10.33,-1.76,7.24,0.83
81,111770,영원무역,2500000000000.0,2015-01-30,6.42,-15.32,31.16,46.3,-10.46
82,114090,GKL,2480000000000.0,2015-01-30,24.34,3.22,-6.74,-3.37,-13.34
83,034020,두산중공업,2470000000000.0,2015-01-30,-1.48,0.87,-25.2,-36.42,24.68
84,088980,맥쿼리인프라,2440000000000.0,2015-01-30,7.3,6.03,15.93,30.06,0.94
85,000240,한국타이어월드와이드,2340000000000.0,2015-01-30,3.07,15.33,8.86,18.87,-5.95
86,001740,SK네트웍스,2340000000000.0,2015-01-30,5.26,-11.23,-15.23,11.63,0.43
87,001450,현대해상,2330000000000.0,2015-01-30,0.38,-6.95,-11.97,-16.08,4.41
88,011070,LG이노텍,2320000000000.0,2015-01-30,-12.98,13.05,-22.91,15.18,7.25
89,030000,제일기획,2270000000000.0,2015-01-30,14.83,16.86,-7.28,-29.46,5.82
90,000150,두산,2210000000000.0,2015-01-30,0.48,-9.57,-14.4,-23.81,14.9
91,042670,두산인프라코어,2120000000000.0,2015-01-30,4.95,-6.84,-21.53,-21.84,26.46
92,005300,롯데칠성,2060000000000.0,2015-01-30,12.19,-4.96,-9.7,2.84,5.82
93,000880,한화,2050000000000.0,2015-01-30,-12.32,-2.32,-7.43,-24.1,11.68
94,007070,GS리테일,2010000000000.0,2015-01-30,1.75,5.24,21.4,2.96,7.28
95,009830,한화케미칼,1990000000000.0,2015-01-30,4.24,5.13,-32.78,-38.5,14.63
96,027410,BGF리테일,1990000000000.0,2015-01-30,5.49,19.02,24.72,,11.28
97,007310,오뚜기,1960000000000.0,2015-01-30,17.08,-3.07,11.13,44.42,4.75
98,037620,미래에셋증권,1940000000000.0,2015-01-30,8.03,3.74,3.63,34.77,4.42
99,000210,대림산업,1910000000000.0,2015-01-30,-16.41,-22.32,-38.55,-33.57,17.82
100,000100,유한양행,1910000000000.0,2015-01-30,0.88,-1.73,-2.85,-12.31,0.0
101,010060,OCI,1870000000000.0,2015-01-30,-0.51,-13.97,-52.89,-58.84,25.32
102,010120,LS산전,1820000000000.0,2015-01-30,1.34,-3.81,-6.63,-9.15,1.98
103,139130,DGB금융지주,1790000000000.0,2015-01-30,-6.19,-27.67,-34.36,-34.17,9.43
104,192400,쿠쿠전자,1780000000000.0,2015-01-30,2.25,-18.93,,,5.77
105,006360,GS건설,1780000000000.0,2015-01-30,7.74,-11.48,-35.85,-19.49,20.96
106,003450,현대증권,1780000000000.0,2015-01-30,8.53,7.44,-8.64,30.38,2.53
107,010520,현대하이스코,1760000000000.0,2015-01-30,5.91,1.45,-7.34,91.3,-16.1
108,011200,현대상선,1740000000000.0,2015-01-30,7.51,-4.86,5.4,-24.02,-11.8
109,180640,한진칼,1710000000000.0,2015-01-30,6.35,25.58,28.54,40.43,-4.14
110,005440,현대그린푸드,1690000000000.0,2015-01-30,-8.71,-7.98,0.88,-4.16,7.51
111,020560,아시아나항공,1680000000000.0,2015-01-30,21.04,115.22,86.79,59.22,1.27
112,005610,삼립식품,1670000000000.0,2015-01-30,28.67,12.87,118.57,217.43,10.1
113,000080,하이트진로,1630000000000.0,2015-01-30,0.0,-12.43,3.1,8.64,-1.72
114,052690,한전기술,1630000000000.0,2015-01-30,-16.86,-35.38,-23.15,-37.09,12.54
115,006280,녹십자,1620000000000.0,2015-01-30,1.46,0.36,13.93,6.11,0.36
116,108670,LG하우시스,1610000000000.0,2015-01-30,10.8,9.79,-5.53,15.06,8.08
117,004170,신세계,1590000000000.0,2015-01-30,-11.05,-21.08,-30.3,-29.54,7.14
118,204320,만도,1550000000000.0,2015-01-30,-9.81,-18.67,,,-5.74
119,006260,LS,1550000000000.0,2015-01-30,-11.33,-19.35,-34.31,-42.75,6.96
120,010620,현대미포조선,1540000000000.0,2015-01-30,10.76,-11.77,-39.92,-55.5,-0.39
121,073240,금호타이어,1530000000000.0,2015-01-30,0.41,-9.67,-15.57,-29.89,-1.44
122,105630,한세실업,1530000000000.0,2015-01-30,-3.9,-1.8,40.77,87.47,7.34
123,028050,삼성엔지니어링,1520000000000.0,2015-01-30,0.26,-37.19,-46.25,-47.0,10.53
124,002350,넥센타이어,1500000000000.0,2015-01-30,22.35,16.42,-7.69,5.41,-1.6
125,010780,아이에스동서,1500000000000.0,2015-01-30,17.32,27.25,88.12,255.15,9.56
