투자연도,투자월,종목선정일,종목코드,종목명,시장,1개월(%),3개월(%),6개월(%),12개월(%),시가총액,종가,거래량,이번달수익률
2026,2026-07,2026-06-30,005930,삼성전자,KOSPI,5.36,99.76,178.57,458.53,1952657055072000,334000,29237216,-23.8
2026,2026-07,2026-06-30,000660,SK하이닉스,KOSPI,13.59,228.38,307.07,807.53,1888661267250000,2650000,5109213,-30.38
2026,2026-07,2026-06-30,402340,SK스퀘어,KOSPI,37.63,263.77,361.14,827.32,223933381042000,1697000,1515394,-31.59
2026,2026-07,2026-06-30,009150,삼성전기,KOSPI,2.68,435.95,756.47,1521.38,163131032064000,2184000,1322616,-40.98
2026,2026-07,2026-06-30,005380,현대차,KOSPI,-31.54,11.11,66.95,143.24,101355094170000,495000,786003,-10.3
2026,2026-07,2026-06-30,373220,LG에너지솔루션,KOSPI,-20.96,-8.24,-1.76,21.89,84708000000000,362000,672385,-9.25
2026,2026-07,2026-06-30,032830,삼성생명,KOSPI,3.22,90.5,154.44,214.76,80200000000000,401000,514927,-18.7
2026,2026-07,2026-06-30,028260,삼성물산,KOSPI,8.32,84.81,95.62,190.27,75975511698500,468500,734101,-22.95
2026,2026-07,2026-06-30,207940,삼성바이오로직스,KOSPI,2.05,-7.51,-17.94,-4.72,64390712841000,1391000,74245,0.65
2026,2026-07,2026-06-30,329180,HD현대중공업,KOSPI,-14.94,27.31,16.31,38.16,62137045200000,592000,355469,-17.65
2026,2026-07,2026-06-30,034730,SK,KOSPI,23.37,177.08,225.15,307.82,60467254302000,834000,377589,-30.1
2026,2026-07,2026-06-30,105560,KB금융,KOSPI,5.58,12.05,27.51,43.37,56395349706000,159000,1512863,17.11
2026,2026-07,2026-06-30,034020,두산에너빌리티,KOSPI,-17.8,-5.45,15.27,26.9,55600707472800,86800,2498630,-15.67
2026,2026-07,2026-06-30,000270,기아,KOSPI,-18.44,-4.96,13.3,42.41,53876993724000,138000,979109,3.99
2026,2026-07,2026-06-30,012450,한화에어로스페이스,KOSPI,-15.17,-20.34,5.74,17.33,51305583995000,995000,177757,-5.93
2026,2026-07,2026-06-30,055550,신한지주,KOSPI,2.35,9.24,24.58,56.03,45471887783800,95800,1406235,13.36
2026,2026-07,2026-06-30,012330,현대모비스,KOSPI,-34.9,32.28,34.05,74.22,45366291500000,500000,317486,-2.5
2026,2026-07,2026-06-30,068270,셀트리온,KOSPI,-5.75,-7.8,0.45,13.92,40301557249800,173300,565686,1.04
2026,2026-07,2026-06-30,006400,삼성SDI,KOSPI,-29.22,19.36,80.71,181.83,39245153110000,487000,564868,-9.65
2026,2026-07,2026-06-30,010120,LS ELECTRIC,KOSPI,-1.45,65.74,158.7,297.99,35700000000000,238000,1077557,-22.48
2026,2026-07,2026-06-30,267260,HD현대일렉트릭,KOSPI,-7.69,16.83,25.58,91.72,35037815220000,972000,186740,-18.93
2026,2026-07,2026-06-30,066570,LG전자,KOSPI,-30.72,92.23,120.89,175.07,33065581514000,203000,1364895,-8.57
2026,2026-07,2026-06-30,298040,효성중공업,KOSPI,-6.7,39.98,93.04,285.86,32057796024000,3438000,47828,-22.45
2026,2026-07,2026-06-30,086790,하나금융지주,KOSPI,-0.43,7.5,21.79,32.79,31442543920800,114600,1098379,15.71
2026,2026-07,2026-06-30,035420,NAVER,KOSPI,-14.96,-1.24,-17.94,-24.19,31220645932000,199000,822445,-5.53
2026,2026-07,2026-06-30,042660,한화오션,KOSPI,-18.65,-16.56,-11.71,26.32,30733263418200,100300,1259330,-21.44
2026,2026-07,2026-06-30,000810,삼성화재,KOSPI,8.61,40.3,24.35,42.4,27592138314000,618000,133483,3.4
2026,2026-07,2026-06-30,005490,POSCO홀딩스,KOSPI,-25.15,-4.66,3.93,21.46,25119564059000,317000,401319,-2.84
2026,2026-07,2026-06-30,009540,HD한국조선해양,KOSPI,-17.26,1.74,-14.0,-4.37,24770590600000,350000,235678,-2.43
2026,2026-07,2026-06-30,042700,한미반도체,KOSPI,-9.04,2.19,101.33,151.47,24447579300000,256500,798942,-19.88
2026,2026-07,2026-06-30,000150,두산,KOSPI,-24.59,44.93,90.4,126.68,24080232645000,1487000,77784,-16.75
2026,2026-07,2026-06-30,006800,미래에셋증권,KOSPI,-30.37,-30.6,83.88,100.17,23921484120000,42750,2507824,-6.43
2026,2026-07,2026-06-30,015760,한국전력,KOSPI,-4.88,-11.16,-21.61,-5.85,23752670849000,37000,1990630,-7.43
2026,2026-07,2026-06-30,011070,LG이노텍,KOSPI,-32.72,234.24,261.99,565.54,23217431967000,981000,255297,-32.62
2026,2026-07,2026-06-30,010130,고려아연,KOSPI,-21.34,-24.05,-17.93,31.87,22542806520000,1080000,22208,-5.09
2026,2026-07,2026-06-30,316140,우리금융지주,KOSPI,-2.36,-9.52,3.57,29.18,21114600778000,29000,3275950,7.59
2026,2026-07,2026-06-30,010140,삼성중공업,KOSPI,-16.64,-4.7,-3.32,39.02,20504000000000,23300,4048562,-5.36
2026,2026-07,2026-06-30,051910,LG화학,KOSPI,-23.71,-6.35,-15.92,32.39,19765856040000,280000,409549,-6.96
2026,2026-07,2026-06-30,017670,SK텔레콤,KOSPI,-12.13,15.71,65.23,55.91,18987440685200,88400,949247,-3.05
2026,2026-07,2026-06-30,064350,현대로템,KOSPI,-13.72,2.06,-7.93,-11.96,18881616689000,173000,485861,-1.73
2026,2026-07,2026-06-30,138040,메리츠금융지주,KOSPI,2.62,-5.21,-6.63,-6.13,17671872028800,105600,428940,10.8
2026,2026-07,2026-06-30,033780,KT&G,KOSPI,-8.12,6.6,19.42,32.89,17616634383200,169700,295656,2.71
2026,2026-07,2026-06-30,011200,HMM,KOSPI,-4.86,-4.91,-9.22,-17.29,17553658621700,18610,948016,5.05
2026,2026-07,2026-06-30,096770,SK이노베이션,KOSPI,-20.39,-12.7,-6.23,-22.47,16043109581200,94900,342957,16.12
2026,2026-07,2026-06-30,024110,기업은행,KOSPI,-1.49,-6.79,-5.01,8.98,15868774793100,19900,964685,6.28
2026,2026-07,2026-06-30,079550,LIG디펜스앤에어로스페이스,KOSPI,-10.24,17.68,70.78,33.15,15818000000000,719000,102455,0.83
2026,2026-07,2026-06-30,267250,HD현대,KOSPI,-28.11,-16.53,5.84,54.05,15759120457500,199500,318200,-0.75
2026,2026-07,2026-06-30,003670,포스코퓨처엠,KOSPI,-28.47,-13.71,-6.1,38.92,15618956232000,175600,389172,-14.18
2026,2026-07,2026-06-30,035720,카카오,KOSPI,-17.64,-24.56,-42.51,-42.42,15304472328700,34550,1238767,0.58
2026,2026-07,2026-06-30,018260,삼성에스디에스,KOSPI,-36.19,27.12,11.25,12.5,14763684240000,190800,307882,-0.31
2026,2026-07,2026-06-30,003550,LG,KOSPI,-33.63,17.51,20.57,22.24,14710981989200,97300,494549,2.06
2026,2026-07,2026-06-30,307950,현대오토에버,KOSPI,-43.07,47.84,59.64,210.67,14534710460000,530000,66920,-17.36
2026,2026-07,2026-06-30,278470,에이피알,KOSPI,-2.53,14.39,66.88,150.0,14432408752500,385500,235023,-1.43
2026,2026-07,2026-06-30,047810,한국항공우주,KOSPI,-13.01,-11.11,27.97,63.03,14270355664800,146400,417355,-1.98
2026,2026-07,2026-06-30,272210,한화시스템,KOSPI,-30.48,-36.02,34.19,25.86,13791115397000,73000,810718,-8.9
2026,2026-07,2026-06-30,086280,현대글로비스,KOSPI,-24.49,-11.76,1.38,35.83,13732500000000,183100,207724,2.57
2026,2026-07,2026-06-30,030200,KT,KOSPI,0.19,-12.42,0.57,-5.03,13331947136500,52900,251043,-0.38
2026,2026-07,2026-06-30,000720,현대건설,KOSPI,-22.31,-19.63,62.91,45.48,12716828363000,114200,512443,-11.12
2026,2026-07,2026-06-30,071050,한국금융지주,KOSPI,-6.95,9.14,36.67,58.31,12315444232000,221000,304883,7.24
2026,2026-07,2026-06-30,010950,S-Oil,KOSPI,-0.93,1.04,28.19,77.63,11978809068800,106400,439004,31.11
2026,2026-07,2026-06-30,006260,LS,KOSPI,-18.05,42.77,82.84,85.53,11403600000000,365500,226210,-16.96
2026,2026-07,2026-06-30,259960,크래프톤,KOSPI,-8.35,-7.45,-4.07,-34.99,10888528588000,236000,247925,0.85
2026,2026-07,2026-06-30,0126Z0,삼성에피스홀딩스,KOSPI,-11.16,-12.96,-42.13,0.0,10699711070000,430000,73748,-12.09
2026,2026-07,2026-06-30,005940,NH투자증권,KOSPI,-2.65,-0.68,39.34,47.07,10476524448600,29400,639631,5.95
2026,2026-07,2026-06-30,003490,대한항공,KOSPI,2.8,16.99,22.17,20.31,10144479210550,27550,1725265,-6.17
2026,2026-07,2026-06-30,443060,HD현대마린솔루션,KOSPI,0.22,25.0,16.02,9.25,10065111770000,224500,134022,-13.76
2026,2026-07,2026-06-30,323410,카카오뱅크,KOSPI,-6.7,-12.73,-3.24,-30.33,9971817133300,20900,703422,11.48
2026,2026-07,2026-06-30,016360,삼성증권,KOSPI,-9.43,17.42,43.9,47.42,9689050000000,108500,395640,0.28
2026,2026-07,2026-06-30,028050,삼성E&A,KOSPI,-10.02,33.33,97.92,115.38,9329600000000,47600,1630350,-13.66
2026,2026-07,2026-06-30,039490,키움증권,KOSPI,-7.42,-16.44,18.48,49.78,8996312388000,343000,149692,-5.69
2026,2026-07,2026-06-30,005830,DB손해보험,KOSPI,-6.43,-18.25,2.14,8.6,8770496731100,133900,196646,18.82
2026,2026-07,2026-06-30,047050,포스코인터내셔널,KOSPI,-22.96,-31.26,-0.91,-1.11,8646605030200,49150,313051,2.95
2026,2026-07,2026-06-30,007660,이수페타시스,KOSPI,-10.68,17.76,-3.19,120.65,8471423872600,115400,1582821,-13.69
2026,2026-07,2026-06-30,003230,삼양식품,KOSPI,-7.14,-6.75,-9.1,-19.78,8429443785000,1119000,43580,-0.8
2026,2026-07,2026-06-30,352820,하이브,KOSPI,-12.68,-35.75,-41.79,-37.83,8279942032900,192100,224084,10.88
2026,2026-07,2026-06-30,180640,한진칼,KOSPI,7.18,9.46,-4.84,-0.17,7877948922000,118000,82775,11.53
2026,2026-07,2026-06-30,047040,대우건설,KOSPI,-28.09,21.16,393.19,350.72,7741499899920,18840,4480768,-15.02
2026,2026-07,2026-06-30,161390,한국타이어앤테크놀로지,KOSPI,-7.34,14.42,6.17,55.72,7667866771100,61900,324199,12.6
2026,2026-07,2026-06-30,064400,LG씨엔에스,KOSPI,-30.76,41.22,28.34,4.93,7634612702400,78800,592319,-13.45
2026,2026-07,2026-06-30,353200,대덕전자,KOSPI,-19.54,100.26,226.11,786.84,7590439680000,153600,1587970,-25.91
2026,2026-07,2026-06-30,062040,산일전기,KOSPI,-3.44,76.8,83.32,168.88,7301880225000,238500,374063,-28.81
2026,2026-07,2026-06-30,004170,신세계,KOSPI,46.6,151.25,205.67,300.74,7131111655000,755000,58963,-21.72
2026,2026-07,2026-06-30,000880,한화,KOSPI,-25.43,-6.91,22.18,5.73,7029639524300,99700,134420,-7.42
