Unnamed: 0,Date,Year,Ticker,Close_Price,Past_1M_Return(%),Past_3M_Return(%),Past_6M_Return(%),Past_12M_Return(%),Forward_1M_Return(%)
61974,2014-10-31,2014,GRMN,39.56,6.71,1.74,-1.17,22.87,3.28
61975,2014-10-31,2014,SCHW,24.95,-2.45,3.54,8.47,27.8,-1.01
61976,2014-10-31,2014,ABT,35.18,5.37,4.04,13.72,21.93,2.11
61977,2014-10-31,2014,AMAT,19.15,2.22,5.87,17.01,26.28,9.36
61978,2014-10-31,2014,AXP,76.43,3.06,2.52,3.47,11.16,2.75
61979,2014-10-31,2014,MCD,70.01,-1.14,-0.02,-6.0,0.41,4.2
61980,2014-10-31,2014,EIX,39.5,11.91,14.93,12.04,31.11,1.57
61981,2014-10-31,2014,ACN,67.8,1.11,3.71,2.49,13.21,6.42
61982,2014-10-31,2014,CF,37.87,-6.88,4.5,7.13,22.91,3.72
61983,2014-10-31,2014,SPG,102.3,9.0,7.39,11.68,27.17,1.62
61984,2014-10-31,2014,AAPL,23.82,7.2,13.53,29.47,47.9,10.6
61985,2014-10-31,2014,INTC,25.92,-2.33,1.02,29.38,43.79,10.24
61986,2014-10-31,2014,MUR,35.03,-6.19,-13.56,-14.9,-9.55,-8.72
61987,2014-10-31,2014,HST,14.66,9.28,8.24,10.46,29.5,-0.3
61988,2014-10-31,2014,DHR,32.73,5.82,8.97,9.85,12.0,3.93
61989,2014-10-31,2014,COP,50.16,-4.78,-11.68,-0.24,2.18,-8.43
61990,2014-10-31,2014,AME,48.27,3.86,7.29,-0.75,9.66,-2.28
61991,2014-10-31,2014,AN,57.26,13.81,7.39,8.06,18.72,3.81
61992,2014-10-31,2014,DVA,78.07,6.74,10.83,12.66,38.89,-1.97
61993,2014-10-31,2014,BAX,31.5,-2.27,-5.43,-2.27,9.56,4.08
61994,2014-10-31,2014,MAR,67.7,8.37,17.41,31.6,70.26,4.28
61995,2014-10-31,2014,CCI,48.4,-2.99,5.78,8.41,4.2,6.36
61996,2014-10-31,2014,WMB,29.22,0.29,-1.01,34.13,61.67,-6.77
61997,2014-10-31,2014,ZION,21.65,-0.31,0.66,0.46,2.57,-3.01
61998,2014-10-31,2014,BXP,78.06,9.49,6.72,9.43,28.14,2.28
61999,2014-10-31,2014,KMB,74.03,6.23,10.87,3.38,9.1,6.42
62000,2014-10-31,2014,KSS,30.72,-11.16,1.93,0.33,-1.91,9.96
62001,2014-10-31,2014,BF-B,30.24,2.72,7.29,3.94,28.72,4.73
62002,2014-10-31,2014,OXY,60.45,-7.51,-8.33,-5.79,-4.75,-10.3
62003,2014-10-31,2014,IVZ,24.59,2.51,8.23,16.48,23.13,0.34
62004,2014-10-31,2014,CAG,17.98,4.73,14.84,14.33,11.4,6.32
62005,2014-10-31,2014,TT,40.3,11.11,6.96,5.58,17.54,0.7
62006,2014-10-31,2014,ETN,52.17,7.92,0.69,-4.54,-1.08,-0.1
62007,2014-10-31,2014,HAS,39.88,5.39,16.04,5.79,14.96,2.9
62008,2014-10-31,2014,HD,74.48,6.3,21.23,23.99,27.92,1.93
62009,2014-10-31,2014,ADBE,70.12,1.34,1.26,13.67,29.32,5.08
62010,2014-10-31,2014,AFL,22.76,2.54,0.6,-3.6,-5.88,0.66
62011,2014-10-31,2014,CMI,107.45,10.76,5.44,-2.16,17.26,0.16
62012,2014-10-31,2014,IP,29.62,6.03,7.35,11.68,18.57,7.11
62013,2014-10-31,2014,AEE,29.79,10.46,11.22,4.58,21.96,1.82
62014,2014-10-31,2014,RIG,27.38,-6.69,-24.62,-28.16,-32.71,-27.68
62015,2014-10-31,2014,PRU,53.88,0.68,2.41,11.12,11.5,-3.35
62016,2014-10-31,2014,NKE,40.1,4.23,20.9,28.23,24.24,6.8
62017,2014-10-31,2014,PCG,44.98,11.72,13.81,12.61,25.33,0.36
62018,2014-10-31,2014,D,43.8,3.2,6.33,0.01,15.77,2.6
62019,2014-10-31,2014,PRGO,126.76,7.5,7.39,11.62,17.41,-0.71
62020,2014-10-31,2014,INTU,80.32,0.72,7.7,16.81,24.53,6.66
62021,2014-10-31,2014,ANDV,65.35,17.1,16.58,28.04,48.78,7.71
62022,2014-10-31,2014,MNST,16.81,10.05,57.72,50.66,76.27,11.17
62023,2014-10-31,2014,LRCX,6.65,4.23,11.51,35.87,44.23,6.14
62024,2014-10-31,2014,MHK,142.04,5.36,13.84,7.27,7.26,8.13
62025,2014-10-31,2014,XOM,59.51,2.83,-1.57,-4.26,10.93,-5.7
62026,2014-10-31,2014,VRSN,59.02,8.42,10.56,26.66,10.1,0.57
62027,2014-10-31,2014,KMX,55.91,20.37,14.55,27.71,18.98,1.91
62028,2014-10-31,2014,NWSA,13.54,-5.32,-12.29,-9.05,-12.05,0.26
62029,2014-10-31,2014,SO,28.83,7.42,8.32,4.74,18.81,2.31
62030,2014-10-31,2014,ETR,26.67,8.65,16.7,18.55,36.3,0.87
62031,2014-10-31,2014,CTSH,43.09,9.11,-0.41,1.96,12.39,10.52
62032,2014-10-31,2014,MS,25.78,1.39,8.39,13.67,22.98,0.66
62033,2014-10-31,2014,LMT,139.74,4.26,15.0,17.95,47.78,1.33
62034,2014-10-31,2014,PSKY,42.99,1.35,-4.35,-5.7,-7.55,1.22
62035,2014-10-31,2014,MCK,186.87,4.49,6.15,20.53,30.81,3.73
62036,2014-10-31,2014,T,11.85,0.6,-0.39,1.01,3.15,1.55
62037,2014-10-31,2014,NDAQ,11.99,1.98,2.9,18.12,23.84,3.81
62038,2014-10-31,2014,SYY,28.47,2.34,8.82,7.44,22.98,4.46
62039,2014-10-31,2014,LEG,25.94,12.77,21.12,21.97,37.43,6.88
62040,2014-10-31,2014,WTW,89.83,-2.1,0.19,0.29,-7.56,5.38
62041,2014-10-31,2014,QCOM,56.73,5.0,7.09,0.82,15.28,-6.6
62042,2014-10-31,2014,CPB,30.32,4.14,6.99,-1.52,6.75,2.51
62043,2014-10-31,2014,VLO,32.28,8.26,-0.88,-11.52,24.13,-2.41
62044,2014-10-31,2014,CSCO,17.26,-2.78,-2.27,7.51,11.92,12.95
62045,2014-10-31,2014,GWW,205.09,-1.93,5.44,-2.12,-6.73,-0.03
62046,2014-10-31,2014,HUM,126.42,6.57,18.27,27.06,52.09,-0.63
62047,2014-10-31,2014,NSC,85.96,-0.86,8.83,17.69,30.85,1.44
62048,2014-10-31,2014,BA,108.62,-1.94,4.3,-2.05,-2.26,8.19
62049,2014-10-31,2014,ZTS,33.9,0.57,13.16,23.07,18.18,21.14
62050,2014-10-31,2014,ATI,31.27,-11.46,-12.37,-19.56,1.21,2.56
62051,2014-10-31,2014,PEG,27.65,10.93,18.66,2.83,28.47,1.14
62052,2014-10-31,2014,M,35.75,-0.62,0.58,1.75,27.89,12.26
62053,2014-10-31,2014,VTRS,43.4,17.72,8.47,5.45,41.4,9.45
62054,2014-10-31,2014,FLS,54.59,-3.59,-7.97,-6.53,-1.32,-13.41
62055,2014-10-31,2014,ADI,39.24,0.26,0.72,-1.86,3.56,10.12
62056,2014-10-31,2014,ORCL,33.02,2.33,-3.02,-3.9,17.99,8.6
62057,2014-10-31,2014,FFIV,122.98,3.57,9.23,16.93,50.82,5.05
62058,2014-10-31,2014,AIV,1.45,12.48,5.54,17.98,32.34,4.83
62059,2014-10-31,2014,MDLZ,27.28,2.89,-1.69,-0.29,6.5,11.17
