순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,851317.9,2018-03-29,41.945,39.38,-5.8,-0.46,9.7,18.65,-1.5
2,NASDAQ,GOOGL,ALPHABET INC,721120.9,2018-03-29,51.857,51.399,-6.05,-1.54,6.51,22.33,-1.79
3,NASDAQ,MSFT,MICROSOFT CORP,702760.1,2018-03-29,91.27,83.942,-2.67,7.19,23.72,41.46,2.46
4,NASDAQ,AMZN,AMAZON COM INC,700667.7,2018-03-29,72.367,72.367,-4.31,23.76,50.55,63.26,8.21
5,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,492361.2,2018-03-29,199.48,199.48,-3.73,0.64,8.82,19.68,-2.88
6,NASDAQ,META,META PLATFORMS INC,464190.1,2018-03-29,159.79,158.558,-10.39,-9.45,-6.48,12.49,7.64
7,NYSE,JPM,JPMORGAN CHASE & CO,377412.5,2018-03-29,109.97,87.921,-4.79,3.36,16.4,27.97,-0.59
8,NYSE,JNJ,JOHNSON & JOHNSON,343813.8,2018-03-29,128.15,102.02,-1.33,-7.7,-0.2,5.53,-1.29
9,NYSE,XOM,EXXON MOBIL CORP,316157.1,2018-03-29,74.61,51.556,-1.49,-9.89,-7.21,-5.46,4.21
10,NYSE,BAC,BANK OF AMERICA CORP,307208.2,2018-03-29,29.99,24.673,-6.22,1.98,19.31,29.23,-0.23
11,NYSE,V,VISA INC,269157.9,2018-03-29,119.62,112.896,-2.7,5.09,14.06,35.53,6.07
12,NASDAQ,WMT,WALMART INC,263566.0,2018-03-29,29.657,26.142,-0.57,-9.37,15.14,26.43,-0.57
13,NYSE,WFC,WELLS FARGO & COMPANY,255643.1,2018-03-29,52.41,41.757,-10.27,-13.1,-3.74,-3.26,-0.86
14,NASDAQ,INTC,INTEL CORP,243109.4,2018-03-29,52.08,44.023,5.66,13.58,38.49,48.38,-0.88
15,NYSE,T,AT&T INC,218945.6,2018-03-29,35.65,16.61,-1.79,-7.09,-6.6,-9.71,-6.97
16,NYSE,CVX,CHEVRON CORP,217845.3,2018-03-29,114.04,80.039,1.89,-8.0,-1.06,10.5,9.71
