투자연도,투자월,종목선정일,종목코드,종목명,시장,1개월(%),3개월(%),6개월(%),12개월(%),시가총액,종가,거래량,이번달수익률
2026,2026-05,2026-04-30,MMM,3M Co,NYSE,-0.94,-6.07,-13.59,3.57,0,143.8699951171875,3757600.0,-2.74
2026,2026-05,2026-04-30,AOS,A O Smith Corp,NYSE,-3.43,-13.35,-3.5,-6.16,0,63.68000030517578,2615800.0,-2.41
2026,2026-05,2026-04-30,ABT,Abbott Laboratories,NYSE,-11.05,-16.44,-26.12,-30.15,0,91.33000183105467,9010500.0,-1.46
2026,2026-05,2026-04-30,ABBV,AbbVie Inc,NYSE,-6.25,-8.57,-6.49,4.51,0,203.88999938964844,10406300.0,-2.23
2026,2026-05,2026-04-30,ACN,Accenture PLC,NYSE,-9.09,-31.63,-27.92,-39.74,0,180.25999450683597,5171900.0,0.63
2026,2026-05,2026-04-30,ADBE,Adobe Inc,NASDAQ,0.2,-16.94,-28.43,-35.04,0,243.57000732421875,2664500.0,1.87
2026,2026-05,2026-04-30,AMD,Advanced Micro Devices Inc,NASDAQ,65.71,42.4,31.62,246.29,0,337.1099853515625,44704400.0,1.71
2026,2026-05,2026-04-30,AES,AES Corp,NYSE,2.56,-1.37,4.18,44.5,0,14.449999809265137,19334300.0,-1.18
2026,2026-05,2026-04-30,AFL,Aflac Inc,NYSE,5.92,4.74,8.41,6.93,0,116.20999908447266,2355100.0,-0.69
2026,2026-05,2026-04-30,A,Agilent Technologies Inc,NYSE,-2.35,-16.85,-23.95,3.44,0,111.3000030517578,2110100.0,-0.89
2026,2026-05,2026-04-30,APD,Air Products and Chemicals Inc,NYSE,4.13,11.01,24.7,11.59,0,302.5,984000.0,0.34
2026,2026-05,2026-04-30,ABNB,Airbnb Inc,NASDAQ,11.09,8.43,10.86,15.06,0,140.27999877929688,3486600.0,0.93
2026,2026-05,2026-04-30,AKAM,Akamai Technologies Inc,NASDAQ,-13.1,2.73,32.89,23.85,0,99.8000030517578,3683800.0,0.86
2026,2026-05,2026-04-30,ALB,Albemarle Corp,NYSE,6.32,11.87,94.32,226.01,0,190.8800048828125,1453600.0,-1.43
2026,2026-05,2026-04-30,ARE,Alexandria Real Estate Equities  Inc,NYSE,-11.57,-24.87,-29.49,-43.5,0,41.04999923706055,3824300.0,2.17
2026,2026-05,2026-04-30,ALGN,Align Technology Inc,NASDAQ,4.07,9.43,29.39,2.94,0,178.39999389648438,1378600.0,1.65
2026,2026-05,2026-04-30,ALLE,Allegion PLC,NYSE,-5.45,-16.94,-17.13,-1.31,0,137.3699951171875,1581700.0,-1.45
2026,2026-05,2026-04-30,LNT,Alliant Energy Corp,NASDAQ,0.33,9.24,7.75,17.96,0,72.0,1775700.0,0.86
2026,2026-05,2026-04-30,ALL,Allstate Corp,NYSE,2.41,6.7,10.87,7.03,0,212.3300018310547,1374400.0,-0.31
2026,2026-05,2026-04-30,GOOGL,Alphabet Inc Class A,NASDAQ,21.69,3.53,24.45,120.37,0,349.94000244140625,35376300.0,0.23
2026,2026-05,2026-04-30,GOOG,Alphabet Inc Class C,NASDAQ,21.07,2.59,23.24,115.87,0,347.3099975585937,22232200.0,0.34
2026,2026-05,2026-04-30,MO,Altria Group Inc,NYSE,3.35,10.02,20.96,15.3,0,68.19999694824219,12059600.0,2.62
2026,2026-05,2026-04-30,AMZN,Amazon.com Inc,NASDAQ,26.3,9.92,7.71,42.63,0,263.0400085449219,72367900.0,1.21
2026,2026-05,2026-04-30,AMCR,Amcor PLC,NYSE,-6.04,-15.59,-5.44,-18.8,0,37.34999847412109,4726700.0,-0.76
2026,2026-05,2026-04-30,AEE,Ameren Corp,NYSE,1.25,7.76,9.09,12.14,0,111.29000091552734,1421400.0,-0.08
2026,2026-05,2026-04-30,AEP,American Electric Power Company Inc,NASDAQ,2.56,12.24,11.79,24.09,0,134.44000244140625,2912700.0,-0.15
2026,2026-05,2026-04-30,AXP,American Express Co,NYSE,4.35,-10.37,-12.5,18.48,0,315.6499938964844,3136000.0,-1.04
2026,2026-05,2026-04-30,AIG,American International Group Inc,NYSE,-1.94,-1.46,-6.55,-9.48,0,73.79000091552734,5473700.0,5.31
2026,2026-05,2026-04-30,AMT,American Tower Corp,NYSE,3.25,-0.61,-0.44,-20.95,0,178.19000244140625,2775000.0,-0.6
2026,2026-05,2026-04-30,AWK,American Water Works Co Inc,NYSE,-3.03,2.2,2.76,-10.23,0,131.97000122070312,1811600.0,-0.81
2026,2026-05,2026-04-30,AMP,Ameriprise Financial Inc,NYSE,6.97,-9.83,4.99,0.93,0,475.3800048828125,547200.0,-1.6
