종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,이번달수익률,전달순위
2026-03-31,NASDAQ,Sandisk Corp,SNDK,0,635.34,0,167.6,466.3,1234.5,167.66,466.27,1234.51,303.9,34.07,
2026-03-31,NASDAQ,Lumentum Holdings Inc,LITE,0,702.76,0.3,90.7,331.9,1027.3,90.16,330.77,1024.33,196.2,27.68,
2026-03-31,NASDAQ,Western Digital Corp,WDC,0,270.49,-3.3,57,125.3,569,62.36,132.97,591.81,90.4,26.97,
2026-03-31,NASDAQ,Teradyne Inc,TER,0,296.46,-7.4,53.2,115.4,258.9,65.34,132.51,287.45,84.1,24.13,
2026-03-31,NYSE,Equinor ASA ADR,EQNR,0,42.2,41.5,78.6,73.1,59.5,26.24,22.35,12.78,80.1,-7.68,
2026-03-31,NYSE,Petroleo Brasileiro ADR Reptg 2,PBR,0,20.75,24.8,75.1,63.9,44.7,40.34,31.36,15.97,75.7,3.66,
2026-03-31,NYSE,Corning Inc,GLW,0,135.97,-9.6,55.3,65.8,197,71.75,83.32,228.48,66,25.94,
2026-03-31,NYSE,Vertiv Holdings Co,VRT,0,250.58,-1.7,54.7,66.1,247.1,57.33,68.96,253.03,64.9,17.77,
2026-03-31,NASDAQ,Elbit Systems Ltd,ESLT,0,849.09,10.4,47,66.6,121.3,33.12,50.85,100.44,58.5,8.97,
2026-03-31,NYSE,Eni SpA ADR,E,0,56.61,20.6,49.2,62,83,23.72,34.31,51.76,57.2,-0.32,
2026-03-31,NASDAQ,Seagate Technology Holdings PLC,STX,0,391.76,-3.9,42.3,66,361.2,48.1,72.77,380.09,56.4,28.43,
2026-03-31,NYSE,Suncor Energy Inc (Canada),SU,0,66.11,17,49,58.1,70.7,27.41,35.18,45.97,55.9,-2.54,
2026-03-31,NASDAQ,Micron Technology Inc,MU,0,337.84,-18.1,18.4,101.9,288.8,44.48,146.46,374.59,55.4,24.49,
2026-03-31,NASDAQ,Applied Materials Inc,AMAT,0,341.79,-8.2,33,66.9,135.5,44.87,81.84,156.55,50.7,16.88,
2026-03-31,NYSE,Canadian Natural Resources Ltd,CNQ,0,48.73,11.3,44,52.5,58.2,29.31,36.95,42.11,50.6,-4.88,
2026-03-31,NYSE,Exxon Mobil Corp,XOM,0,169.66,11.3,41,50.5,42.7,26.72,35.25,28.23,47.8,-10.11,
2026-03-31,NYSE,TotalEnergies SE,TTE,0,90.98,13.2,39.1,52.4,40.6,22.81,34.6,24.19,47,1.84,
2026-03-31,NYSE,Slb NV,SLB,0,51.39,0.1,33.9,49.5,22.9,33.77,49.37,22.82,43.5,1.03,
2026-03-31,NYSE,ConocoPhillips,COP,0,132,16.3,41,39.5,25.7,21.2,19.95,8.04,42.9,-7.16,
2026-03-31,NASDAQ,Lam Research Corp,LRCX,0,213.66,-8.6,24.8,59.6,193.9,36.63,74.68,221.72,42.1,23.4,
2026-03-31,NYSE,GE Vernova Inc,GEV,0,872.9,-0.1,33.6,42,185.9,33.67,42.07,186.16,40.3,13.57,
2026-03-31,NASDAQ,FTAI Aviation Ltd,FTAI,0,245,-19.9,24.5,46.8,120.7,55.35,83.27,175.42,37.8,2.62,
2026-03-31,NYSE,FedEx Corp,FDX,0,356.18,-8,23.3,51,46.1,33.97,64.12,58.75,37.5,5.03,
2026-03-31,NYSE,Chevron Corp,CVX,0,206.9,10.8,35.8,33.2,23.7,22.54,20.27,11.64,37.2,-8.87,
2026-03-31,NYSE,BP PLC ADR,BP,0,47,20.9,35.3,36.4,39.1,11.89,12.77,15,37.2,-1.19,
2026-03-31,NASDAQ,AST SpaceMobile Inc,ASTS,0,82.87,4.6,14.1,68.8,264.4,9.03,61.35,248.24,36.9,14.52,
2026-03-31,NYSE,Caterpillar Inc,CAT,0,708.46,-4.6,23.7,48.5,114.8,29.67,55.68,125.24,36.4,11.6,
2026-03-31,NASDAQ,Diamondback Energy Inc,FANG,0,197.79,13.6,31.6,38.2,23.7,15.8,21.65,8.88,36,-4.84,
2026-03-31,NASDAQ,Baker Hughes Co,BKR,0,61.05,-6.5,34.1,25.3,38.9,43.3,33.95,48.49,34.6,2.92,
2026-03-31,NYSE,Southern Copper Corp,SCCO,0,172.06,-21.2,20.9,44.1,90.6,53.37,82.77,141.86,34.4,11.91,
2026-03-31,NYSE,Quanta Services Inc,PWR,0,549.02,-2.5,30.1,32.5,116,33.41,35.87,121.53,34.3,6.62,
2026-03-31,NASDAQ,Caseys General Stores Inc,CASY,0,727.86,6.2,31.7,28.8,67.7,24.04,21.27,57.96,33.1,1.42,
2026-03-31,NASDAQ,Old Dominion Freight Line Inc,ODFL,0,195.4,-3.8,24.6,38.8,18.1,29.5,44.23,22.73,33.1,6.63,
2026-03-31,NYSE,Freeport-McMoRan Inc,FCX,0,58.78,-13.7,15.7,49.9,55.3,34.04,73.58,79.82,32.3,15.35,
2026-03-31,NASDAQ,ASML Holding NV ADR,ASML,0,1320.83,-8.9,23.5,36.4,99.3,35.58,49.84,118.91,31.9,11.92,
2026-03-31,NASDAQ,Royalty Pharma PLC,RPRX,0,47.97,3.8,24.1,36,54.1,19.59,30.98,48.44,30.9,-0.15,
2026-03-31,NASDAQ,Ross Stores Inc,ROST,0,216.63,5.3,20.3,42.2,69.5,14.16,34.94,60.92,30.5,2.09,
2026-03-31,NASDAQ,United Therapeutics Corp,UTHR,0,592.98,17.7,21.7,41.5,92.4,3.42,20.2,63.46,30,-3.58,
2026-03-31,NASDAQ,KLA Corp,KLAC,0,1472.41,-3.4,21.2,36.5,116.6,25.47,41.35,124.26,29.8,17.99,
2026-03-31,NASDAQ,Equinix Inc,EQIX,0,980.24,0.6,27.9,25.2,20.2,27.16,24.39,19.49,29.6,5.1,
2026-03-31,NASDAQ,GlobalFoundries Inc,GFS,0,44.48,-6.5,27.4,24.1,20.5,36.17,32.67,28.83,29.5,10,
