순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,ERIC,ERICSSON LM TELEPHONE CO,455021.8,2000-09-29,-24.05,-20.76,-34.14,91.47,-6.28
2,NASDAQ,CSCO,CISCO SYSTEMS INC,389070.1,2000-09-29,-16.99,-9.71,-27.36,65.4,-2.48
3,NASDAQ,MSFT,MICROSOFT CORP,322982.8,2000-09-29,-14.98,-21.87,-43.74,-32.62,14.19
4,NASDAQ,INTC,INTEL CORP,279033.8,2000-09-29,-43.88,-36.91,-36.95,10.68,8.28
5,NASDAQ,WMT,WALMART INC,214960.3,2000-09-29,-2.54,-10.99,-17.9,5.91,-5.71
6,NASDAQ,JAVA1,SUN MICROSYSTEMS INC,187904.0,2000-09-29,-8.16,32.95,20.21,155.02,-5.03
7,NASDAQ,VIAV,VIAVI SOLUTIONS INC,90696.0,2000-09-29,-22.07,-18.64,-20.68,226.69,-13.99
8,NASDAQ,PSKY,PARAMOUNT SKYDANCE CORP,88722.4,2000-09-29,-15.98,-13.41,6.48,39.28,-2.78
9,NASDAQ,WCOEQ,WORLDCOM INC,87264.0,2000-09-29,-17.07,-31.07,-26.81,-37.26,-21.81
10,NASDAQ,DELL1,DELL INC,79871.6,2000-09-29,-24.04,-36.31,-42.74,-27.61,-4.26
11,NASDAQ,TXN,TEXAS INSTRUMENTS INC,77923.1,2000-09-29,-29.17,-31.13,-44.34,13.01,3.33
12,NASDAQ,AMGN,AMGEN INC,71803.9,2000-09-29,-3.19,2.32,12.18,68.15,-17.03
13,NASDAQ,PEP,PEPSICO INC,66381.4,2000-09-29,8.6,7.96,39.28,50.6,5.3
14,NASDAQ,VRTS1,VERITAS SOFTWARE CORP,57082.7,2000-09-29,19.7,34.28,-0.35,317.13,-0.69
15,NASDAQ,BRCM,BROADCOM CORP,54132.6,2000-09-29,-3.22,19.04,12.4,344.07,-8.78
16,NASDAQ,QCOM,QUALCOMM INC,53085.5,2000-09-29,18.25,15.85,-54.76,51.76,-8.62
17,NASDAQ,NETC3,NET SERVICOS DE COMUNICACAO S A,51159.2,2000-09-29,-16.41,-1.83,-23.3,161.66,-19.16
18,NASDAQ,YHOO,YAHOO INC,49989.7,2000-09-29,-24.79,-23.72,-48.62,1.51,-35.57
19,NASDAQ,DNA1,GENENTECH INC,48442.5,2000-09-29,1.12,16.05,26.75,144.73,-11.14
20,NASDAQ,AMAT,APPLIED MATERIALS INC,48108.4,2000-09-29,-30.27,-33.4,-38.74,48.74,-10.42
21,NASDAQ,SEBL,SIEBEL SYSTEMS INC,46374.6,2000-09-29,19.61,40.57,84.18,544.13,-5.73
22,NASDAQ,ADP,AUTOMATIC DATA PROCESSING INC,42142.9,2000-09-29,12.92,29.89,40.83,55.66,-2.35
23,NASDAQ,NTAP,NETAPP INC,40264.8,2000-09-29,16.56,63.73,38.76,605.32,-6.59
24,NASDAQ,VRSN,VERISIGN INC,39396.7,2000-09-29,8.05,15.38,19.67,289.61,-34.85
25,NASDAQ,WBA,WALGREENS BOOTS ALLIANCE INC,38318.8,2000-09-29,11.98,26.34,46.24,56.35,20.27
26,NASDAQ,ITWO1,I2 TECHNOLOGIES INC,37061.0,2000-09-29,18.68,74.01,38.05,873.33,-9.12
27,NASDAQ,CMCSA,COMCAST CORP,36812.9,2000-09-29,11.66,10.33,10.33,22.36,-1.37
28,NASDAQ,NIPNY,NEC CORP,36282.0,2000-09-29,-25.75,-31.04,-23.75,13.65,-8.98
29,NASDAQ,GMST,GEMSTAR TV GUIDE INTERNATIONAL INC,35675.4,2000-09-29,10.63,38.67,2.5,125.55,-21.36
30,NASDAQ,NXTL,NEXTEL COMMUNICATIONS INC,35593.7,2000-09-29,-3.36,-16.61,-37.27,43.57,-17.78
31,NASDAQ,ARBA,ARIBA INC,34472.0,2000-09-29,-0.85,51.6,26.71,262.13,-11.79
32,NASDAQ,PMCS,PMC SIERRA INC,31785.9,2000-09-29,-11.12,20.97,13.21,356.15,-21.25
