종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,이번달수익률
2026-01-30,NASDAQ,NVIDIA Corporation Common Stock,NVDA,0,191.13,2.48,-5.61,7.45,59.18,-1.19,-7.29
2026-01-30,NASDAQ,Apple Inc. Common Stock,AAPL,0,259.48,-4.55,-4.03,25.01,9.95,7.64,1.81
2026-01-30,NASDAQ,Alphabet Inc. Class A Common Stock,GOOGL,0,338,7.99,20.2,76.13,65.67,43.8,-7.76
2026-01-30,NASDAQ,Alphabet Inc. Class C Capital Stock,GOOG,0,338.53,7.88,20.12,75.53,64.65,43.51,-8.01
2026-01-30,NASDAQ,Microsoft Corporation Common Stock,MSFT,0,430.29,-11.03,-16.9,-19.35,3.67,-18.47,-8.73
2026-01-30,NASDAQ,Amazon.com Inc. Common Stock,AMZN,0,239.3,3.67,-2.01,2.22,0.68,-0.89,-12.24
2026-01-30,NASDAQ,Broadcom Inc. Common Stock,AVGO,0,331.3,-4.28,-10.37,12.8,49.73,-1.71,-3.55
2026-01-30,NASDAQ,Meta Platforms Inc. Class A Common Stock,META,0,716.5,8.55,10.51,-7.36,3.96,3.56,-9.54
2026-01-30,NASDAQ,Tesla Inc. Common Stock,TSLA,0,430.41,-4.29,-5.73,39.62,6.38,12.27,-6.48
2026-01-30,NASDAQ,Walmart Inc. Common Stock,WMT,0,119.14,6.94,17.75,21.6,21.37,20.37,7.39
2026-01-30,NASDAQ,ASML Holding N.V. New York Registry Shares,ASML,0,1423,33.01,34.34,104.83,92.48,62.67,1.94
2026-01-30,NASDAQ,Costco Wholesale Corporation Common Stock,COST,0,940.25,9.03,3.16,0.06,-4.04,1.33,7.5
2026-01-30,NASDAQ,Netflix Inc. Common Stock,NFLX,0,83.49,-10.95,-25.38,-27.99,-14.53,-27.87,15.27
2026-01-30,NASDAQ,Micron Technology Inc. Common Stock,MU,0,414.88,45.36,85.4,280.14,354.71,167.3,-0.6
2026-01-30,NASDAQ,Palantir Technologies Inc. Class A Common Stock,PLTR,0,146.59,-17.53,-26.88,-7.43,77.71,-20.03,-6.41
2026-01-30,NASDAQ,Advanced Micro Devices Inc. Common Stock,AMD,0,236.73,10.54,-7.57,34.27,104.17,7.35,-15.43
2026-01-30,NASDAQ,Cisco Systems Inc. Common Stock (DE),CSCO,0,78.32,1.67,7.13,15.04,29.24,10.84,1.46
2026-01-30,NASDAQ,Applied Materials Inc. Common Stock,AMAT,0,322.32,25.42,38.28,79.01,78.72,55.85,15.51
2026-01-30,NASDAQ,Lam Research Corporation Common Stock,LRCX,0,233.46,36.38,48.27,146.16,188.04,88.61,0.18
2026-01-30,NASDAQ,T-Mobile US Inc. Common Stock,TMUS,0,197.21,-2.87,-6.11,-17.28,-15.35,-10.9,10.08
2026-01-30,NASDAQ,Linde plc Ordinary Shares,LIN,0,456.97,7.17,9.24,-0.71,2.43,5.47,11.18
2026-01-30,NASDAQ,Intel Corporation Common Stock,INTC,0,46.47,25.93,16.2,134.7,139.17,62.63,-1.85
2026-01-30,NASDAQ,PepsiCo Inc. Common Stock,PEP,0,153.63,7.04,5.16,11.39,1.95,7.46,10.49
2026-01-30,NASDAQ,KLA Corporation Common Stock,KLAC,0,1427.94,17.52,18.13,62.44,93.42,35.92,6.77
2026-01-30,NASDAQ,Amgen Inc. Common Stock,AMGN,0,341.88,4.45,14.56,15.85,20.37,16.09,13.54
2026-01-30,NASDAQ,Texas Instruments Incorporated Common Stock,TXN,0,215.55,24.24,33.5,19.05,16.76,28.65,-1.6
2026-01-30,NASDAQ,Gilead Sciences Inc. Common Stock,GILD,0,141.95,15.65,18.5,26.41,46.04,21.95,4.93
2026-01-30,NASDAQ,Intuitive Surgical Inc. Common Stock,ISRG,0,504.22,-10.97,-5.63,4.81,-11.83,-0.92,-0.14
2026-01-30,NASDAQ,Arm Holdings plc American Depositary Shares,ARM,0,105.36,-3.61,-37.96,-25.48,-33.96,-36.4,20.97
2026-01-30,NASDAQ,Analog Devices Inc. Common Stock,ADI,0,310.88,14.63,32.78,38.4,46.72,36.84,14.45
2026-01-30,NASDAQ,Shopify Inc. Class A Subordinate Voting Shares,SHOP,0,131.23,-18.48,-24.52,7.38,12.35,-12.36,-8
2026-01-30,NASDAQ,PDD Holdings Inc. American Depositary Shares,PDD,0,101.05,-10.88,-25.08,-10.93,-9.7,-20.84,2.65
2026-01-30,NASDAQ,Honeywell International Inc. Common Stock,HON,0,227.52,16.62,13.01,8.61,7.94,10.89,7.06
2026-01-30,NASDAQ,QUALCOMM Incorporated Common Stock,QCOM,0,151.59,-11.38,-16.2,3.29,-12.34,-8.89,-6.09
2026-01-30,NASDAQ,Applovin Corporation Class A Common Stock,APP,0,473.11,-29.79,-25.77,21.09,28.01,-6.62,-8.1
2026-01-30,NASDAQ,Booking Holdings Inc. Common Stock,BKNG,0,200.07,-6.6,-1.5,-9.13,5.58,-4.04,-15.24
2026-01-30,NASDAQ,Palo Alto Networks Inc. Common Stock,PANW,0,176.97,-3.93,-19.65,1.94,-4.04,-12.58,-15.85
2026-01-30,NASDAQ,Intuit Inc. Common Stock,INTU,0,498.92,-24.68,-25.26,-36.45,-17.06,-29.8,-18.02
2026-01-30,NASDAQ,Sanofi ADS,SNY,0,47.04,-2.93,-7,3.07,-13.43,-3.38,3.44
2026-01-30,NASDAQ,Vertex Pharmaceuticals Incorporated Common Stock,VRTX,0,469.9,3.65,10.42,2.85,1.78,8.07,5.73
2026-01-30,NASDAQ,CME Group Inc. Class A Common Stock,CME,0,289.06,5.85,8.88,3.87,22.21,7.18,10.53
2026-01-30,NASDAQ,Comcast Corporation Class A Common Stock,CMCSA,0,29.75,6.25,14.07,-4.43,-5.65,7.45,4.07
2026-01-30,NASDAQ,Starbucks Corporation Common Stock,SBUX,0,91.95,9.19,13.7,3.13,-14.61,9.92,6.6
2026-01-30,NASDAQ,CrowdStrike Holdings Inc. Class A Common Stock,CRWD,0,441.41,-5.83,-18.71,-2.9,10.89,-13.67,-15.73
2026-01-30,NASDAQ,Adobe Inc. Common Stock,ADBE,0,293.25,-16.21,-13.83,-18.02,-32.96,-15.27,-10.52
2026-01-30,NASDAQ,Equinix Inc. Common Stock REIT,EQIX,0,820.93,7.15,-2.96,4.55,-10.15,-0.97,18.68
2026-01-30,NASDAQ,Sandisk Corporation Common Stock,SNDK,0,576.25,142.75,189.09,1242.61,#N/A,615.14,10.26
2026-01-30,NASDAQ,Western Digital Corporation Common Stock,WDC,0,250.23,45.25,66.59,217.99,408.29,129.28,11.78
2026-01-30,NASDAQ,MercadoLibre Inc. Common Stock,MELI,0,2147.79,6.63,-7.71,-9.52,11.74,-9.87,-18.17
2026-01-30,NASDAQ,Constellation Energy Corporation Common Stock,CEG,0,280.68,-20.55,-25.55,-19.31,-6.43,-23.55,17.53
2026-01-30,NASDAQ,Marriott International Class A Common Stock,MAR,0,315.3,1.63,21,19.51,8.5,22.34,8.38
