종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,이번달수익률,전달순위
2026-04-30,NASDAQ,Sandisk Corp,SNDK,0,1096.51,72.6,90.3,450.1,3314.9,10.25,218.74,1878.64,236.0,21.57,1.0
2026-04-30,NASDAQ,Lumentum Holdings Inc,LITE,0,902.32,28.4,130.3,347.7,1428.3,79.35,248.66,1090.31,227.4,-1.92,2.0
2026-04-30,NYSE,Ciena Corp,CIEN,0,527.58,35.9,109.5,177.8,685.6,54.18,104.42,478.07,144.2,-0.58,
2026-04-30,NASDAQ,Western Digital Corp,WDC,0,434.52,60.6,73.6,189.3,890.7,8.1,80.07,516.71,121.2,5.56,3.0
2026-04-30,NASDAQ,Intel Corp,INTC,0,94.48,114.1,103.3,136.3,370.0,-5.04,10.35,119.55,115.4,14.49,47.0
2026-04-30,NASDAQ,Seagate Technology Holdings PLC,STX,0,673.64,72.0,65.2,163.3,640.0,-3.91,53.1,330.36,103.8,9.98,11.0
2026-04-30,NASDAQ,Marvell Technology Inc,MRVL,0,165.15,66.7,109.3,76.2,182.9,25.51,5.66,69.69,100.3,2.29,75.0
2026-04-30,NASDAQ,Revolution Medicines Inc,RVMD,0,144.12,48.2,48.7,144.9,256.9,0.31,65.28,140.84,87.2,0.17,
2026-04-30,NASDAQ,ON Semiconductor Corp,ON,0,100.81,62.8,68.3,101.3,153.9,3.39,23.64,55.97,82.1,8.55,61.0
2026-04-30,NYSE,Vertiv Holdings Co,VRT,0,328.49,31.1,76.4,70.3,284.7,34.59,29.93,193.49,78.5,3.42,8.0
2026-04-30,NASDAQ,Arm Holdings PLC ADR,ARM,0,210.32,39.0,99.6,23.8,84.4,43.58,-10.92,32.64,75.4,2.28,44.0
2026-04-30,NYSE,Corning Inc,GLW,0,164.24,20.8,59.1,84.4,270.1,31.69,52.64,206.38,73.0,8.71,7.0
2026-04-30,NYSE,Dell Technologies Inc,DELL,0,208.95,27.3,82.6,29.0,127.7,43.42,1.31,78.87,66.7,13.92,50.0
2026-04-30,NYSE,GE Vernova Inc,GEV,0,1083.46,24.1,49.2,85.2,192.2,20.17,49.18,135.4,66.1,-6.57,21.0
2026-04-30,NYSE,Petroleo Brasileiro ADR Reptg 2,PBR,0,22.03,6.2,43.6,89.3,95.1,35.27,78.26,83.79,65.6,-6.04,6.0
2026-04-30,NASDAQ,GlobalFoundries Inc,GFS,0,64.6,45.2,53.1,81.5,84.2,5.4,24.94,26.83,65.2,5.02,41.0
2026-04-30,NYSE,Equinor ASA ADR,EQNR,0,40.75,-3.4,51.8,70.1,82.8,57.17,76.13,89.32,64.6,-2.67,5.0
2026-04-30,NASDAQ,Micron Technology Inc,MU,0,517.16,53.1,24.7,131.1,572.1,-18.57,50.98,339.04,64.4,31.79,13.0
2026-04-30,NASDAQ,Teradyne Inc,TER,0,343.47,15.9,42.5,89.0,362.8,22.99,63.11,299.49,63.7,-6.53,4.0
2026-04-30,NYSE,Quanta Services Inc,PWR,0,727.77,32.6,53.3,62.0,148.6,15.67,22.24,87.58,58.9,-0.65,31.0
2026-04-30,NASDAQ,MACOM Technology Solutions Holdings Inc,MTSI,0,281.61,26.8,28.6,90.1,171.4,1.37,49.92,114.04,53.4,26.5,
2026-04-30,NASDAQ,Monolithic Power Systems Inc,MPWR,0,1614.41,47.7,43.6,60.6,172.2,-2.74,8.79,84.34,50.0,-7.93,58.0
2026-04-30,NYSE,Eni SpA ADR,E,0,56.63,0.0,38.4,53.4,99.3,38.34,53.37,99.26,48.2,-0.42,10.0
2026-04-30,NASDAQ,Caseys General Stores Inc,CASY,0,822.15,13.0,35.6,60.2,77.7,20.01,41.83,57.34,47.7,4.1,32.0
2026-04-30,NASDAQ,Analog Devices Inc,ADI,0,402.26,26.4,29.4,71.8,106.4,2.34,35.88,63.22,46.7,4.06,54.0
2026-04-30,NASDAQ,Texas Instruments Inc,TXN,0,281.08,44.8,30.4,74.1,75.6,-9.93,20.24,21.3,46.4,6.94,98.0
2026-04-30,NASDAQ,Flex Ltd,FLEX,0,91.55,39.9,45.2,46.4,166.6,3.84,4.7,90.62,46.2,41.7,102.0
2026-04-30,NASDAQ,Elbit Systems Ltd,ESLT,0,839.34,-1.1,19.5,76.1,111.2,20.85,78.1,113.61,44.2,-9.38,9.0
2026-04-30,NYSE,Caterpillar Inc,CAT,0,890.11,25.6,35.4,54.2,187.8,7.77,22.73,129.07,43.9,-2.94,27.0
2026-04-30,NASDAQ,Sterling Infrastructure Inc,STRL,0,515.62,26.6,44.1,36.4,245.1,13.79,7.77,172.55,42.8,49.48,
