투자연도,투자월,종목선정일,시장,종목명,종목코드,시가총액,종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
2026,2026-07,2026-06-30,NASDAQ,Space Exploration Technologies Corp,SPCX,0,164.19000244140625,0.0,0.0,0.0,0.0,-5.19
2026,2026-07,2026-06-30,NASDAQ,Apple Inc,AAPL,0,281.739990234375,-9.72,11.01,3.63,37.32,6.66
2026,2026-07,2026-06-30,NASDAQ,Amazon.com Inc,AMZN,0,240.13999938964844,-11.27,15.3,4.04,9.46,1.82
2026,2026-07,2026-06-30,NASDAQ,Alphabet Inc Class A,GOOGL,0,353.6499938964844,-7.02,22.98,12.99,100.68,0.71
2026,2026-07,2026-06-30,NASDAQ,Tesla Inc,TSLA,0,411.8399963378906,-5.5,10.78,-8.42,29.65,-6.46
2026,2026-07,2026-06-30,NASDAQ,NVIDIA Corp,NVDA,0,194.97000122070312,-7.66,11.79,4.54,23.41,-2.63
2026,2026-07,2026-06-30,NASDAQ,Alphabet Inc Class C,GOOG,0,351.2799987792969,-6.68,22.46,11.94,98.03,0.81
2026,2026-07,2026-06-30,NASDAQ,Broadcom Inc,AVGO,0,372.4500122070313,-16.63,20.34,7.61,35.12,-4.58
2026,2026-07,2026-06-30,NASDAQ,Cisco Systems Inc,CSCO,0,117.6999969482422,-2.26,51.69,52.8,69.65,-4.06
2026,2026-07,2026-06-30,NASDAQ,Meta Platforms Inc,META,0,562.5999755859375,-11.05,-1.67,-14.77,-23.78,3.48
2026,2026-07,2026-06-30,NASDAQ,ASML Holding NV ADR,ASML,0,1883.1099853515625,16.76,42.57,76.01,134.98,-11.06
2026,2026-07,2026-06-30,NASDAQ,Microsoft Corp,MSFT,0,368.5700073242188,-18.14,-0.43,-23.79,-25.9,4.68
2026,2026-07,2026-06-30,NASDAQ,Micron Technology Inc,MU,0,1145.280029296875,17.95,239.0,301.28,829.23,-15.48
2026,2026-07,2026-06-30,NASDAQ,Advanced Micro Devices Inc,AMD,0,539.489990234375,4.53,165.2,151.91,280.19,-10.86
2026,2026-07,2026-06-30,NASDAQ,Lam Research Corp,LRCX,0,410.9100036621094,29.14,92.32,140.05,322.14,-18.9
2026,2026-07,2026-06-30,NASDAQ,Costco Wholesale Corp,COST,0,946.6799926757812,-1.01,-4.99,9.78,-4.37,1.73
2026,2026-07,2026-06-30,NASDAQ,Intel Corp,INTC,0,131.72000122070312,14.86,198.48,256.96,488.04,-13.81
2026,2026-07,2026-06-30,NASDAQ,Sandisk Corp,SNDK,0,2050.389892578125,20.97,222.72,763.76,4421.26,-23.25
2026,2026-07,2026-06-30,NASDAQ,ARM Holdings PLC ADR,ARM,0,343.5799865722656,-2.75,127.12,214.32,112.43,-11.08
2026,2026-07,2026-06-30,NASDAQ,Netflix Inc,NFLX,0,73.77999877929688,-14.23,-23.27,-21.31,-44.9,8.75
2026,2026-07,2026-06-30,NASDAQ,Applied Materials Inc,AMAT,0,694.6400146484375,54.34,103.24,170.3,279.44,-16.59
2026,2026-07,2026-06-30,NASDAQ,Walmart Inc,WMT,0,114.5999984741211,-0.99,-7.79,2.86,17.2,-1.25
2026,2026-07,2026-06-30,NASDAQ,Palantir Technologies Inc,PLTR,0,115.6999969482422,-26.09,-20.91,-34.91,-15.13,10.83
2026,2026-07,2026-06-30,NASDAQ,Western Digital Corp,WDC,0,651.8800048828125,22.72,141.0,278.41,918.72,-15.61
2026,2026-07,2026-06-30,NASDAQ,KLA Corp,KLAC,0,278.3900146484375,44.87,89.07,129.11,210.79,-21.93
2026,2026-07,2026-06-30,NASDAQ,Palo Alto Networks Inc,PANW,0,332.0,17.86,107.09,80.24,62.24,2.06
2026,2026-07,2026-06-30,NASDAQ,Linde PLC,LIN,0,511.05999755859375,2.69,3.09,19.86,8.93,5.34
2026,2026-07,2026-06-30,NASDAQ,Marvell Technology Inc,MRVL,0,277.75,35.49,180.41,226.84,258.85,-17.66
2026,2026-07,2026-06-30,NASDAQ,Amgen Inc,AMGN,0,360.5499877929688,7.05,2.47,10.16,29.13,3.32
2026,2026-07,2026-06-30,NASDAQ,Gilead Sciences  Inc,GILD,0,126.33000183105467,-6.03,-9.36,2.92,13.94,3.9
2026,2026-07,2026-06-30,NASDAQ,T-Mobile US Inc,TMUS,0,173.97000122070312,-7.23,-17.17,-14.32,-26.98,5.84
2026,2026-07,2026-06-30,NASDAQ,Qualcomm Inc,QCOM,0,188.72000122070312,-24.82,46.54,10.33,18.5,-4.62
2026,2026-07,2026-06-30,NASDAQ,Texas Instruments Inc,TXN,0,285.4800109863281,-6.61,47.05,64.55,37.5,-1.67
2026,2026-07,2026-06-30,NASDAQ,Analog Devices Inc,ADI,0,391.7799987792969,-5.33,23.15,44.46,64.6,-5.04
2026,2026-07,2026-06-30,NASDAQ,Seagate Technology Holdings PLC,STX,0,968.530029296875,10.09,147.23,251.69,571.05,-15.01
2026,2026-07,2026-06-30,NASDAQ,PepsiCo Inc,PEP,0,138.67999267578125,-3.82,-10.7,-3.37,5.03,6.51
2026,2026-07,2026-06-30,NASDAQ,CrowdStrike Holdings Inc,CRWD,0,742.9099731445312,1.63,90.29,58.48,45.87,1.67
2026,2026-07,2026-06-30,NASDAQ,Booking Holdings Inc,BKNG,0,182.4100036621093,8.95,8.31,-14.85,-21.23,3.55
2026,2026-07,2026-06-30,NASDAQ,PDD Holdings Inc ADR,PDD,0,76.54000091552734,-9.36,-25.09,-32.5,-26.87,8.01
2026,2026-07,2026-06-30,NASDAQ,Shopify Inc,SHOP,0,114.20999908447266,-3.79,-3.72,-29.05,-0.99,4.62
2026,2026-07,2026-06-30,NASDAQ,Applovin Corp,APP,0,498.760009765625,-18.65,25.32,-25.98,42.47,2.3
2026,2026-07,2026-06-30,NASDAQ,Vertex Pharmaceuticals Inc,VRTX,0,499.6499938964844,11.64,11.89,10.21,12.23,6.3
2026,2026-07,2026-06-30,NASDAQ,Intuitive Surgical Inc,ISRG,0,405.9700012207031,-4.4,-11.94,-28.32,-25.29,7.12
2026,2026-07,2026-06-30,NASDAQ,Equinix Inc,EQIX,0,1085.1700439453125,1.6,10.7,41.64,36.42,-3.87
2026,2026-07,2026-06-30,NASDAQ,Interactive Brokers Group Inc,IBKR,0,88.19999694824219,1.41,31.5,37.15,59.18,4.93
2026,2026-07,2026-06-30,NASDAQ,Starbucks Corp,SBUX,0,104.05999755859376,4.94,16.15,23.57,13.57,2.04
2026,2026-07,2026-06-30,NASDAQ,Cadence Design Systems Inc,CDNS,0,372.7200012207031,-0.59,34.13,19.24,20.95,-0.58
2026,2026-07,2026-06-30,NASDAQ,Fortinet Inc,FTNT,0,155.4199981689453,12.65,90.19,95.72,47.01,1.71
2026,2026-07,2026-06-30,NASDAQ,Datadog Inc,DDOG,0,248.57000732421875,0.49,110.56,82.79,85.04,0.0
2026,2026-07,2026-06-30,NASDAQ,Robinhood Markets Inc,HOOD,0,101.83000183105467,7.99,46.94,-9.96,8.76,12.42
2026,2026-07,2026-06-30,NASDAQ,Monster Beverage Corp,MNST,0,97.63999938964844,10.85,34.75,27.35,55.87,1.54
2026,2026-07,2026-06-30,NASDAQ,Constellation Energy Corp,CEG,0,259.32000732421875,-9.88,-7.14,-26.59,-19.66,-3.67
2026,2026-07,2026-06-30,NASDAQ,Sanofi SA ADR,SNY,0,43.43000030517578,-0.55,-9.86,-10.38,-10.1,1.17
2026,2026-07,2026-06-30,NASDAQ,Astera Labs  Inc,ALAB,0,455.9599914550781,32.99,316.02,174.08,404.27,-15.86
2026,2026-07,2026-06-30,NASDAQ,Automatic Data Processing Inc,ADP,0,224.97000122070312,1.41,10.72,-12.54,-27.05,8.18
2026,2026-07,2026-06-30,NASDAQ,Marriott International Inc,MAR,0,374.8800048828125,-0.19,14.62,20.84,37.21,0.64
2026,2026-07,2026-06-30,NASDAQ,Synopsys Inc,SNPS,0,447.260009765625,-5.96,12.81,-4.78,-12.76,-2.0
2026,2026-07,2026-06-30,NASDAQ,MercadoLibre Inc,MELI,0,1683.1300048828125,-0.74,-2.65,-16.44,-35.6,3.89
2026,2026-07,2026-06-30,NASDAQ,Airbnb Inc,ABNB,0,147.1699981689453,10.4,16.54,8.44,11.21,4.07
2026,2026-07,2026-06-30,NASDAQ,Adobe Inc,ADBE,0,206.42999267578125,-20.36,-15.08,-41.02,-46.64,7.17
2026,2026-07,2026-06-30,NASDAQ,O'Reilly Automotive Inc,ORLY,0,90.16000366210938,3.78,-2.33,-1.15,0.03,-2.0
2026,2026-07,2026-06-30,NASDAQ,DoorDash Inc,DASH,0,184.82000732421875,16.03,23.09,-18.39,-25.03,4.05
2026,2026-07,2026-06-30,NASDAQ,CME Group Inc,CME,0,218.5800018310547,-20.09,-25.99,-19.96,-20.7,7.14
2026,2026-07,2026-06-30,NASDAQ,Comcast Corp,CMCSA,0,24.21999931335449,-2.61,-15.64,-13.54,-27.59,-3.1
2026,2026-07,2026-06-30,NASDAQ,CSX Corp,CSX,0,48.0099983215332,6.08,16.95,32.44,47.13,2.86
2026,2026-07,2026-06-30,NASDAQ,Teradyne Inc,TER,0,463.2099914550781,23.75,56.25,139.31,415.14,-23.72
2026,2026-07,2026-06-30,NASDAQ,Mondelez International Inc,MDLZ,0,60.150001525878906,-1.67,4.35,11.74,-10.81,5.31
2026,2026-07,2026-06-30,NASDAQ,Intuit Inc,INTU,0,266.3999938964844,-19.65,-38.39,-59.78,-66.18,5.5
2026,2026-07,2026-06-30,NASDAQ,NetEase Inc ADR,NTES,0,129.16000366210938,5.16,15.38,-6.15,-4.03,-0.7
2026,2026-07,2026-06-30,NASDAQ,American Electric Power Company Inc,AEP,0,137.97000122070312,8.92,5.26,19.65,32.97,1.24
2026,2026-07,2026-06-30,NASDAQ,Honeywell Aerospace Inc,HONA,0,220.19000244140625,0.0,0.0,0.0,0.0,11.79
2026,2026-07,2026-06-30,NASDAQ,Nebius Group NV,NBIS,0,261.1499938964844,13.01,151.69,211.99,371.99,-21.92
2026,2026-07,2026-06-30,NASDAQ,Ross Stores Inc,ROST,0,208.8300018310547,-9.88,-3.6,15.93,63.69,0.27
2026,2026-07,2026-06-30,NASDAQ,Monolithic Power Systems Inc,MPWR,0,1312.77001953125,-16.18,20.07,44.84,79.49,-6.81
2026,2026-07,2026-06-30,NASDAQ,NXP Semiconductors NV,NXPI,0,278.3699951171875,-13.37,41.41,28.25,27.41,-2.73
2026,2026-07,2026-06-30,NASDAQ,Rocket Lab Corp,RKLB,0,98.01000213623048,-31.69,52.62,40.5,174.0,-1.17
2026,2026-07,2026-06-30,NASDAQ,argenx SE ADR,ARGX,0,912.4600219726562,9.15,24.95,8.5,65.53,1.28
2026,2026-07,2026-06-30,NASDAQ,Warner Bros Discovery Inc,WBD,0,27.1299991607666,0.44,-1.2,-5.86,136.74,-0.68
2026,2026-07,2026-06-30,NASDAQ,Honeywell International Inc,HON,0,227.8000030517578,-4.23,0.78,16.77,3.79,2.66
2026,2026-07,2026-06-30,NASDAQ,Cintas Corp,CTAS,0,169.0800018310547,-1.27,-0.04,-10.1,-24.14,6.64
2026,2026-07,2026-06-30,NASDAQ,Flex Ltd,FLEX,0,159.55999755859375,5.82,143.75,164.08,219.63,-15.56
2026,2026-07,2026-06-30,NASDAQ,Paccar Inc,PCAR,0,119.5999984741211,8.36,3.55,9.21,25.82,-0.52
2026,2026-07,2026-06-30,NASDAQ,Lumentum Holdings Inc,LITE,0,851.4000244140625,-0.42,21.15,130.99,795.64,-15.12
2026,2026-07,2026-06-30,NASDAQ,Regeneron Pharmaceuticals Inc,REGN,0,631.8099975585938,2.77,-18.23,-18.15,20.34,4.93
2026,2026-07,2026-06-30,NASDAQ,Fastenal Co,FAST,0,47.400001525878906,7.24,2.16,18.12,12.86,1.19
2026,2026-07,2026-06-30,NASDAQ,Cerebras Systems Inc,CBRS,0,216.1600036621093,-8.79,0.0,0.0,0.0,-7.3
2026,2026-07,2026-06-30,NASDAQ,Credo Technology Group Holding Ltd,CRDO,0,245.67999267578125,4.09,161.72,70.74,165.34,-11.05
2026,2026-07,2026-06-30,NASDAQ,CoreWeave Inc,CRWV,0,95.51000213623048,-12.8,23.29,33.38,-41.43,-17.88
2026,2026-07,2026-06-30,NASDAQ,Medline Inc,MDLN,0,39.61000061035156,8.34,-10.99,-5.69,0.0,9.51
2026,2026-07,2026-06-30,NASDAQ,Ferrovial NV,FER,0,68.38999938964844,0.56,5.13,5.85,27.66,-1.3
2026,2026-07,2026-06-30,NASDAQ,eBay Inc,EBAY,0,110.8000030517578,1.4,21.73,27.21,48.8,2.77
2026,2026-07,2026-06-30,NASDAQ,Baker Hughes Co,BKR,0,56.310001373291016,-11.85,-7.76,23.65,46.87,-4.9
2026,2026-07,2026-06-30,NASDAQ,Xcel Energy Inc,XEL,0,81.9800033569336,3.12,3.2,10.99,20.38,2.07
2026,2026-07,2026-06-30,NASDAQ,Diamondback Energy Inc,FANG,0,180.5399932861328,-5.71,-8.72,20.1,31.4,-2.13
2026,2026-07,2026-06-30,NASDAQ,GlobalFoundries Inc,GFS,0,81.0,1.29,82.1,131.96,112.04,-15.25
2026,2026-07,2026-06-30,NASDAQ,Electronic Arts Inc,EA,0,205.0500030517578,1.65,0.58,0.35,28.4,0.08
2026,2026-07,2026-06-30,NASDAQ,Axon Enterprise Inc,AXON,0,510.6000061035156,13.79,20.23,-10.09,-38.33,6.5
2026,2026-07,2026-06-30,NASDAQ,Microchip Technology Inc,MCHP,0,89.05999755859375,-5.91,37.84,39.77,26.56,-7.19
