순위,시장,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,NVDA,NVIDIA CORP,5109588.0,2026-05-29,211.14,210.899,5.8,19.17,19.3,56.29,-6.73
2,NASDAQ,GOOGL,ALPHABET INC,4608199.4,2026-05-29,380.34,380.11,-1.16,22.08,18.95,122.23,-3.5
3,NASDAQ,AAPL,APPLE INC,4583336.3,2026-05-29,312.06,312.06,15.11,18.23,12.12,55.99,-0.45
4,NASDAQ,MSFT,MICROSOFT CORP,3344578.4,2026-05-29,450.24,450.24,10.65,14.89,-8.08,-1.41,-13.64
5,NASDAQ,AMZN,AMAZON COM INC,2911304.1,2026-05-29,270.64,270.64,2.11,28.88,16.04,32.01,-9.11
6,NYSE,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,2170280.0,2026-05-29,418.45,418.45,5.65,12.02,44.34,119.13,3.37
7,NASDAQ,AVGO,BROADCOM INC,2115307.7,2026-05-29,446.77,446.77,7.03,40.09,11.31,86.05,-17.01
8,NASDAQ,TSLA,TESLA INC,1636706.9,2026-05-29,435.79,435.79,14.19,8.27,1.31,25.81,-7.55
9,NASDAQ,META,META PLATFORMS INC,1605578.1,2026-05-29,632.51,632.51,3.37,-2.34,-2.22,-2.01,-2.68
10,NASDAQ,MU,MICRON TECHNOLOGY INC,1095029.8,2026-05-29,971.0,971.0,87.76,135.58,310.96,930.45,-3.36
11,NYSE,LLY,ELI LILLY & CO,1040624.3,2026-05-29,1105.0,1105.0,18.44,5.22,3.09,50.85,11.82
12,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,1024103.7,2026-05-29,474.48,474.48,0.19,-6.03,-7.65,-5.85,6.22
13,NASDAQ,WMT,WALMART INC,921147.7,2026-05-29,115.75,115.75,-12.1,-9.17,5.37,18.23,-3.64
14,NASDAQ,AMD,ADVANCED MICRO DEVICES INC,841553.0,2026-05-29,516.1,516.1,45.59,157.78,137.25,366.09,0.0
15,NYSE,JPM,JPMORGAN CHASE & CO,802004.6,2026-05-29,299.31,299.31,-4.44,0.18,-3.48,15.56,13.33
16,NYSE,ORCL,ORACLE CORP,649353.7,2026-05-29,225.78,225.78,39.9,55.84,12.49,37.76,-37.28
17,NASDAQ,ASML,ASML HOLDING NV,621586.2,2026-05-29,1612.76,1612.76,12.08,11.43,52.69,120.62,8.34
18,NYSE,XOM,EXXON MOBIL CORP,602095.0,2026-05-29,145.26,145.26,-5.26,-4.13,26.99,46.49,-2.46
19,NYSE,V,VISA INC,594194.2,2026-05-29,326.36,326.36,-0.85,2.15,-2.02,-9.93,7.92
20,NASDAQ,INTC,INTEL CORP,576381.7,2026-05-29,114.68,114.68,21.38,151.44,182.74,486.6,-3.74
21,NYSE,JNJ,JOHNSON & JOHNSON,542418.2,2026-05-29,225.33,225.33,-1.4,-8.77,10.11,48.81,18.6
22,NASDAQ,CSCO,CISCO SYSTEMS INC,474627.6,2026-05-29,120.42,120.42,31.61,52.35,58.19,95.39,-7.17
23,NYSE,MA,MASTERCARD INC,436472.8,2026-05-29,493.98,493.98,-1.78,-4.33,-9.98,-15.14,7.62
24,NASDAQ,COST,COSTCO WHOLESALE CORP,424273.8,2026-05-29,956.32,956.32,-5.6,-5.25,4.97,-7.54,-0.92
25,NYSE,CAT,CATERPILLAR INC,403458.2,2026-05-29,875.87,875.87,-1.6,18.13,52.78,154.4,7.34
26,NASDAQ,LRCX,LAM RESEARCH CORP,397906.7,2026-05-29,318.18,318.18,23.39,36.2,104.53,296.72,2.5
27,NYSE,ABBV,ABBVIE INC,384666.1,2026-05-29,217.72,217.72,3.03,-5.41,-2.81,20.82,16.96
28,NASDAQ,ARM,ARM HOLDINGS PLC,375920.1,2026-05-29,353.29,353.29,67.98,177.2,160.62,183.68,-14.96
29,NASDAQ,PLTR,PALANTIR TECHNOLOGIES INC,375275.2,2026-05-29,156.54,156.54,12.53,14.1,-7.07,18.79,-14.16
30,NYSE,BAC,BANK OF AMERICA CORP,366184.1,2026-05-29,51.6,51.333,-3.48,4.15,-2.77,19.56,16.01
31,NYSE,CVX,CHEVRON CORP,363386.9,2026-05-29,182.46,182.46,-4.76,-1.42,23.02,39.07,-4.63
32,NASDAQ,NFLX,NETFLIX INC,362384.6,2026-05-29,86.02,86.02,-8.11,-10.62,-20.04,-28.75,-11.44
33,NASDAQ,AMAT,APPLIED MATERIALS INC,357329.4,2026-05-29,450.06,450.06,14.23,21.04,78.86,189.26,23.21
34,NYSE,UNH,UNITEDHEALTH GROUP INC,345376.4,2026-05-29,380.31,380.31,2.65,30.68,17.01,29.55,12.59
35,NYSE,KO,COCA COLA CO,339939.1,2026-05-29,79.01,79.01,0.32,-2.46,9.57,12.78,6.38
