날짜,종가,전일대비,등락률,시가,고가,저가,거래량,거래대금,등락구분
2014-03-24,46950.0,620.0,1.34,46950.0,47400.0,46730.0,5978.0,280755190.0,1
2014-03-25,46230.0,-720.0,-1.53,46400.0,46420.0,46000.0,4190.0,193841390.0,2
2014-03-26,46060.0,-170.0,-0.37,46100.0,46100.0,46000.0,3074.0,141550730.0,2
2014-03-27,45540.0,-520.0,-1.13,45800.0,45820.0,45540.0,2197.0,100374800.0,2
2014-03-28,44950.0,-590.0,-1.3,45020.0,45100.0,44500.0,2663.0,119828970.0,2
2014-03-31,44960.0,10.0,0.02,44960.0,45030.0,44940.0,6231.0,280262940.0,1
2014-04-01,44500.0,-460.0,-1.02,44320.0,44500.0,44320.0,3296.0,146292700.0,2
2014-04-02,44150.0,-350.0,-0.79,44260.0,44300.0,44150.0,3561.0,157512730.0,2
2014-04-03,44650.0,500.0,1.13,44180.0,44680.0,44180.0,1557.0,69462610.0,1
2014-04-04,44210.0,-440.0,-0.99,44340.0,44340.0,44180.0,6118.0,270410370.0,2
2014-04-07,44790.0,580.0,1.31,44600.0,44800.0,44600.0,3253.0,145677110.0,1
2014-04-08,44700.0,-90.0,-0.2,44600.0,44700.0,44490.0,1986.0,88503100.0,2
2014-04-09,44440.0,-260.0,-0.58,44560.0,44560.0,44290.0,1937.0,86084060.0,2
2014-04-10,44450.0,10.0,0.02,44350.0,44450.0,44100.0,2477.0,109644120.0,1
2014-04-11,44370.0,-80.0,-0.18,44650.0,44650.0,44350.0,6934.0,307945080.0,2
2014-04-14,44700.0,330.0,0.74,44380.0,44780.0,44380.0,3969.0,177454690.0,1
2014-04-15,44660.0,-40.0,-0.09,44780.0,44830.0,44600.0,2497.0,111542680.0,2
2014-04-16,43750.0,-910.0,-2.04,44650.0,44650.0,43750.0,7139.0,313684680.0,2
2014-04-17,43780.0,30.0,0.07,43900.0,43900.0,43700.0,4003.0,175076530.0,1
2014-04-18,43700.0,-80.0,-0.18,43800.0,43800.0,43130.0,1527.0,66705960.0,2
2014-04-21,43290.0,-410.0,-0.94,43800.0,43800.0,43130.0,2795.0,121375230.0,2
2014-04-22,43430.0,140.0,0.32,43290.0,43500.0,43000.0,1299.0,56226690.0,1
2014-04-23,43300.0,-130.0,-0.3,43430.0,43430.0,43000.0,5194.0,225304380.0,2
2014-04-24,43280.0,-20.0,-0.05,43300.0,43350.0,43250.0,6236.0,270101730.0,2
2014-04-25,43600.0,320.0,0.74,43500.0,43650.0,43450.0,3474.0,151216250.0,1
2014-04-28,44070.0,470.0,1.08,43950.0,44080.0,43950.0,5528.0,243370370.0,1
2014-04-29,43270.0,-800.0,-1.82,43480.0,43480.0,43270.0,6194.0,268552530.0,2
2014-04-30,43250.0,-20.0,-0.05,43500.0,43500.0,43220.0,3503.0,151910290.0,2
2014-05-02,42920.0,-330.0,-0.76,43010.0,43010.0,42840.0,3967.0,170214570.0,2
2014-05-07,43500.0,580.0,1.35,43500.0,43700.0,43360.0,1031.0,45025520.0,1
2014-05-08,42800.0,-700.0,-1.61,42980.0,42980.0,42700.0,9726.0,416644160.0,2
2014-05-09,42800.0,0.0,0.0,42800.0,42800.0,42680.0,1884.0,80544790.0,3
2014-05-12,42740.0,-60.0,-0.14,42720.0,42900.0,42720.0,3021.0,129164340.0,2
2014-05-13,42760.0,20.0,0.05,43150.0,43150.0,42680.0,1846.0,78916180.0,1
2014-05-14,43080.0,320.0,0.75,42770.0,43080.0,42760.0,4059.0,173771600.0,1
2014-05-15,43290.0,210.0,0.49,43500.0,43500.0,43290.0,1653.0,71765920.0,1
2014-05-16,42950.0,-340.0,-0.79,42950.0,43250.0,42950.0,1828.0,78569970.0,2
2014-05-19,42880.0,-70.0,-0.16,42950.0,42950.0,42740.0,4299.0,184111460.0,2
2014-05-20,42790.0,-90.0,-0.21,42800.0,42890.0,42780.0,3332.0,142648790.0,2
2014-05-21,43020.0,230.0,0.54,43200.0,43200.0,43020.0,4672.0,201760930.0,1
2014-05-22,42930.0,-90.0,-0.21,43000.0,43000.0,42820.0,691.0,29636410.0,2
2014-05-23,42870.0,-60.0,-0.14,43000.0,43000.0,42840.0,1820.0,78064100.0,2
2014-05-26,42830.0,-40.0,-0.09,42800.0,42880.0,42800.0,2750.0,117738280.0,2
2014-05-27,42670.0,-160.0,-0.37,42800.0,42830.0,42670.0,11245.0,480627250.0,2
2014-05-28,41840.0,-830.0,-1.95,42100.0,42180.0,41780.0,9305.0,389745910.0,2
2014-05-29,41570.0,-270.0,-0.65,41830.0,41830.0,41540.0,4556.0,189667990.0,2
2014-05-30,41570.0,0.0,0.0,41600.0,41600.0,41520.0,3509.0,145772730.0,3
2014-06-02,41240.0,-330.0,-0.79,41480.0,41480.0,41240.0,5191.0,214373280.0,2
2014-06-03,41220.0,-20.0,-0.05,41300.0,41550.0,41180.0,5974.0,246798000.0,2
2014-06-05,41100.0,-120.0,-0.29,41300.0,41300.0,41070.0,8215.0,338049020.0,2
