날짜,종가
2021-12-15,9930.0
2021-12-16,9990.0
2021-12-17,10060.0
2021-12-20,10110.0
2021-12-21,10060.0
2021-12-22,10030.0
2021-12-23,10070.0
2021-12-24,10115.0
2021-12-27,10130.0
2021-12-28,10145.0
2021-12-29,10110.0
2021-12-30,10095.0
2022-01-03,10255.0
2022-01-04,10165.0
2022-01-05,10270.0
2022-01-06,10190.0
2022-01-07,10155.0
2022-01-10,10150.0
2022-01-11,10180.0
2022-01-12,10205.0
2022-01-13,10230.0
2022-01-14,10225.0
2022-01-17,10205.0
2022-01-18,10180.0
2022-01-19,10125.0
2022-01-20,10300.0
2022-01-21,10325.0
2022-01-24,10315.0
2022-01-25,10375.0
2022-01-26,10390.0
2022-01-27,10245.0
2022-01-28,10235.0
2022-02-03,10265.0
2022-02-04,10215.0
2022-02-07,10240.0
2022-02-08,10270.0
2022-02-09,10285.0
2022-02-10,10335.0
2022-02-11,10300.0
2022-02-14,10420.0
2022-02-15,10565.0
2022-02-16,10325.0
2022-02-17,10465.0
2022-02-18,10570.0
2022-02-21,10570.0
2022-02-22,10645.0
2022-02-23,10565.0
2022-02-24,10840.0
2022-02-25,10650.0
2022-02-28,10675.0
2022-03-02,10810.0
2022-03-03,10750.0
2022-03-04,10905.0
2022-03-07,11210.0
2022-03-08,11400.0
2022-03-10,11100.0
2022-03-11,11240.0
2022-03-14,11325.0
2022-03-15,11115.0
2022-03-16,10910.0
2022-03-17,10925.0
2022-03-18,10940.0
2022-03-21,10920.0
2022-03-22,10990.0
2022-03-23,10870.0
2022-03-24,10970.0
2022-03-25,11075.0
2022-03-28,11030.0
2022-03-29,10950.0
2022-03-30,10885.0
2022-03-31,10910.0
2022-04-01,10980.0
2022-04-04,10905.0
2022-04-05,10920.0
2022-04-06,10920.0
2022-04-07,10935.0
2022-04-08,11000.0
2022-04-11,11110.0
2022-04-12,11245.0
2022-04-13,11240.0
2022-04-14,11245.0
2022-04-15,11275.0
2022-04-18,11365.0
2022-04-19,11330.0
2022-04-20,11135.0
2022-04-21,11210.0
2022-04-22,11255.0
2022-04-25,11130.0
2022-04-26,11055.0
2022-04-27,11180.0
2022-04-28,11125.0
2022-04-29,11185.0
2022-05-02,11140.0
2022-05-03,11015.0
2022-05-04,11250.0
2022-05-06,11135.0
2022-05-09,11125.0
2022-05-10,11040.0
2022-05-11,10940.0
2022-05-12,11085.0
2022-05-13,10945.0
2022-05-16,10850.0
2022-05-17,10900.0
2022-05-18,10740.0
2022-05-19,10805.0
2022-05-20,10910.0
2022-05-23,10945.0
2022-05-24,10935.0
2022-05-25,10945.0
2022-05-26,10930.0
2022-05-27,10850.0
2022-05-30,10795.0
2022-05-31,10715.0
2022-06-02,10800.0
2022-06-03,10830.0
2022-06-07,10800.0
2022-06-08,10855.0
2022-06-09,10840.0
2022-06-10,10910.0
2022-06-13,11140.0
2022-06-14,10975.0
2022-06-15,10940.0
2022-06-16,10960.0
2022-06-17,11050.0
2022-06-20,11020.0
2022-06-21,10985.0
2022-06-22,11010.0
2022-06-23,11075.0
2022-06-24,11040.0
2022-06-27,10990.0
2022-06-28,10950.0
2022-06-29,10990.0
2022-06-30,10980.0
2022-07-01,10865.0
2022-07-04,10900.0
2022-07-05,10900.0
2022-07-06,10760.0
2022-07-07,10580.0
2022-07-08,10560.0
2022-07-11,10490.0
2022-07-12,10520.0
2022-07-13,10460.0
2022-07-14,10530.0
2022-07-15,10505.0
2022-07-18,10500.0
2022-07-19,10470.0
2022-07-20,10445.0
2022-07-21,10330.0
2022-07-22,10475.0
2022-07-25,10485.0
2022-07-26,10510.0
2022-07-27,10495.0
2022-07-28,10530.0
2022-07-29,10605.0
2022-08-01,10640.0
2022-08-02,10785.0
2022-08-03,10695.0
2022-08-04,10790.0
2022-08-05,10790.0
2022-08-08,10710.0
2022-08-09,10765.0
2022-08-10,10805.0
2022-08-11,10790.0
2022-08-12,10825.0
2022-08-16,10825.0
2022-08-17,10830.0
2022-08-18,10820.0
2022-08-19,10805.0
2022-08-22,10820.0
2022-08-23,10825.0
2022-08-24,10820.0
2022-08-25,10845.0
2022-08-26,10790.0
2022-08-29,10730.0
2022-08-30,10775.0
2022-08-31,10685.0
2022-09-01,10675.0
2022-09-02,10690.0
2022-09-05,10810.0
2022-09-06,10875.0
2022-09-07,10850.0
2022-09-08,10910.0
2022-09-13,10935.0
2022-09-14,10910.0
2022-09-15,10885.0
2022-09-16,10730.0
2022-09-19,10700.0
2022-09-20,10750.0
2022-09-21,10720.0
2022-09-22,10790.0
2022-09-23,10930.0
2022-09-26,10790.0
2022-09-27,10740.0
2022-09-28,10780.0
2022-09-29,10825.0
2022-09-30,10900.0
2022-10-04,11130.0
2022-10-05,11225.0
2022-10-06,11150.0
2022-10-07,11155.0
2022-10-11,11025.0
2022-10-12,10980.0
2022-10-13,11030.0
2022-10-14,10995.0
2022-10-17,10950.0
2022-10-18,10950.0
2022-10-19,10855.0
2022-10-20,10790.0
2022-10-21,10795.0
2022-10-24,10960.0
2022-10-25,10970.0
2022-10-26,10970.0
2022-10-27,10965.0
2022-10-28,10960.0
2022-10-31,10850.0
2022-11-01,10840.0
2022-11-02,10895.0
2022-11-03,10840.0
2022-11-04,10850.0
2022-11-07,10920.0
2022-11-08,10760.0
2022-11-09,10760.0
2022-11-10,10890.0
2022-11-11,10835.0
2022-11-14,10820.0
2022-11-15,10845.0
2022-11-16,10890.0
2022-11-17,10910.0
2022-11-18,10910.0
2022-11-21,10915.0
2022-11-22,10935.0
2022-11-23,10910.0
2022-11-24,10840.0
2022-11-25,10760.0
2022-11-28,10820.0
2022-11-29,10800.0
2022-11-30,10745.0
2022-12-01,10765.0
2022-12-02,10815.0
2022-12-05,10830.0
2022-12-06,10815.0
2022-12-07,10795.0
2022-12-08,10910.0
2022-12-09,10860.0
2022-12-12,10805.0
2022-12-13,10785.0
2022-12-14,10870.0
2022-12-15,10835.0
2022-12-16,10820.0
2022-12-19,10870.0
2022-12-20,10780.0
2022-12-21,10855.0
2022-12-22,10820.0
2022-12-23,10735.0
2022-12-26,10810.0
2022-12-27,10750.0
2022-12-28,10740.0
2022-12-29,10710.0
2023-01-02,10885.0
2023-01-03,10885.0
2023-01-04,10920.0
2023-01-05,10935.0
2023-01-06,10845.0
2023-01-09,10910.0
2023-01-10,10875.0
2023-01-11,10890.0
2023-01-12,10890.0
2023-01-13,10940.0
2023-01-16,10990.0
2023-01-17,10975.0
2023-01-18,10935.0
2023-01-19,10935.0
2023-01-20,11035.0
2023-01-25,11040.0
2023-01-26,11100.0
2023-01-27,11020.0
2023-01-30,11005.0
2023-01-31,10940.0
2023-02-01,11005.0
2023-02-02,11055.0
2023-02-03,10930.0
2023-02-06,10860.0
2023-02-07,10920.0
2023-02-08,10885.0
2023-02-09,10980.0
2023-02-10,10890.0
2023-02-13,10945.0
2023-02-14,10930.0
2023-02-15,10895.0
2023-02-16,10905.0
2023-02-17,10930.0
2023-02-20,10960.0
2023-02-21,10970.0
2023-02-22,11005.0
2023-02-23,10920.0
2023-02-24,10945.0
2023-02-27,11000.0
2023-02-28,11010.0
2023-03-02,11030.0
2023-03-03,11060.0
2023-03-06,11015.0
2023-03-07,11010.0
2023-03-08,11045.0
2023-03-09,11085.0
2023-03-10,11165.0
2023-03-13,11285.0
2023-03-14,11500.0
2023-03-15,11325.0
2023-03-16,11590.0
2023-03-17,11595.0
2023-03-20,12000.0
2023-03-21,11935.0
2023-03-22,11660.0
2023-03-23,11715.0
2023-03-24,11810.0
2023-03-27,11840.0
2023-03-28,11740.0
2023-03-29,11770.0
2023-03-30,11765.0
2023-03-31,11850.0
2023-04-03,11800.0
2023-04-04,12000.0
2023-04-05,12210.0
2023-04-06,12275.0
2023-04-07,12460.0
2023-04-10,12205.0
2023-04-11,12225.0
2023-04-12,12330.0
2023-04-13,12245.0
2023-04-14,12250.0
2023-04-17,12105.0
2023-04-18,12170.0
2023-04-19,12120.0
2023-04-20,12170.0
2023-04-21,12190.0
2023-04-24,12175.0
2023-04-25,12260.0
2023-04-26,12285.0
2023-04-27,12340.0
2023-04-28,12205.0
2023-05-02,12275.0
2023-05-03,12415.0
2023-05-04,12460.0
2023-05-08,12335.0
2023-05-09,12395.0
2023-05-10,12420.0
2023-05-11,12405.0
2023-05-12,12330.0
2023-05-15,12410.0
2023-05-16,12410.0
2023-05-17,12315.0
2023-05-18,12215.0
2023-05-19,12015.0
2023-05-22,12075.0
2023-05-23,11925.0
2023-05-24,12010.0
2023-05-25,11950.0
2023-05-26,11910.0
2023-05-30,11805.0
2023-05-31,11975.0
2023-06-01,11940.0
2023-06-02,11905.0
2023-06-05,11725.0
2023-06-07,11755.0
2023-06-08,11720.0
2023-06-09,11745.0
2023-06-12,11670.0
2023-06-13,11540.0
2023-06-14,11450.0
2023-06-15,11465.0
2023-06-16,11540.0
2023-06-19,11630.0
2023-06-20,11570.0
2023-06-21,11565.0
2023-06-22,11550.0
2023-06-23,11580.0
2023-06-26,11615.0
2023-06-27,11580.0
2023-06-28,11590.0
2023-06-29,11590.0
2023-06-30,11630.0
2023-07-03,11625.0
2023-07-04,11595.0
2023-07-05,11575.0
2023-07-06,11575.0
2023-07-07,11565.0
2023-07-10,11610.0
2023-07-11,11580.0
2023-07-12,11575.0
2023-07-13,11565.0
2023-07-14,11480.0
2023-07-17,11410.0
2023-07-18,11445.0
2023-07-19,11590.0
2023-07-20,11615.0
2023-07-21,11645.0
2023-07-24,11595.0
2023-07-25,11600.0
2023-07-26,11570.0
2023-07-27,11630.0
2023-07-28,11505.0
2023-07-31,11485.0
2023-08-01,11575.0
2023-08-02,11665.0
2023-08-03,11610.0
2023-08-04,11665.0
2023-08-07,11655.0
2023-08-08,11715.0
2023-08-09,11720.0
2023-08-10,11655.0
2023-08-11,11695.0
2023-08-14,11745.0
2023-08-16,11750.0
2023-08-17,11725.0
2023-08-18,11700.0
2023-08-21,11685.0
2023-08-22,11700.0
2023-08-23,11710.0
2023-08-24,11720.0
2023-08-25,11710.0
2023-08-28,11695.0
2023-08-29,11745.0
2023-08-30,11770.0
2023-08-31,11855.0
2023-09-01,11770.0
2023-09-04,11840.0
2023-09-05,11850.0
2023-09-06,11845.0
2023-09-07,11830.0
2023-09-08,11855.0
2023-09-11,11825.0
2023-09-12,11785.0
2023-09-13,11725.0
2023-09-14,11700.0
2023-09-15,11720.0
2023-09-18,11800.0
2023-09-19,11830.0
2023-09-20,11845.0
2023-09-21,11935.0
2023-09-22,11900.0
2023-09-25,11815.0
2023-09-26,11860.0
2023-09-27,11835.0
2023-10-04,11515.0
2023-10-05,11480.0
2023-10-06,11525.0
2023-10-10,11670.0
2023-10-11,11560.0
2023-10-12,11630.0
2023-10-13,11695.0
2023-10-16,11900.0
2023-10-17,11890.0
2023-10-18,12025.0
2023-10-19,12140.0
2023-10-20,12310.0
2023-10-23,12280.0
2023-10-24,12120.0
2023-10-25,12200.0
2023-10-26,12370.0
2023-10-27,12335.0
2023-10-30,12415.0
2023-10-31,12350.0
2023-11-01,12300.0
2023-11-02,12190.0
2023-11-03,12015.0
2023-11-06,11820.0
2023-11-07,11895.0
2023-11-08,11850.0
2023-11-09,11765.0
2023-11-10,11840.0
2023-11-13,11875.0
2023-11-14,11900.0
2023-11-15,11805.0
2023-11-16,11820.0
2023-11-17,11860.0
2023-11-20,11820.0
2023-11-21,11860.0
2023-11-22,11960.0
2023-11-23,11940.0
2023-11-24,12030.0
2023-11-27,12105.0
2023-11-28,12030.0
2023-11-29,12165.0
2023-11-30,12120.0
2023-12-01,12205.0
2023-12-04,12485.0
2023-12-05,12285.0
2023-12-06,12220.0
2023-12-07,12350.0
2023-12-08,12200.0
2023-12-11,12110.0
2023-12-12,12045.0
2023-12-13,12020.0
2023-12-14,12145.0
2023-12-15,12150.0
2023-12-18,12105.0
2023-12-19,12180.0
2023-12-20,12180.0
2023-12-21,12195.0
2023-12-22,12255.0
2023-12-26,12225.0
2023-12-27,12280.0
2023-12-28,12330.0
2024-01-02,12445.0
2024-01-03,12415.0
2024-01-04,12335.0
2024-01-05,12390.0
2024-01-08,12320.0
2024-01-09,12295.0
2024-01-10,12320.0
2024-01-11,12295.0
2024-01-12,12300.0
2024-01-15,12480.0
2024-01-16,12525.0
2024-01-17,12480.0
2024-01-18,12385.0
2024-01-19,12430.0
2024-01-22,12475.0
2024-01-23,12465.0
2024-01-24,12485.0
2024-01-25,12410.0
2024-01-26,12405.0
2024-01-29,12455.0
2024-01-30,12460.0
2024-01-31,12500.0
2024-02-01,12510.0
2024-02-02,12490.0
2024-02-05,12435.0
2024-02-06,12405.0
2024-02-07,12425.0
2024-02-08,12435.0
2024-02-13,12375.0
2024-02-14,12280.0
2024-02-15,12300.0
2024-02-16,12300.0
2024-02-19,12415.0
2024-02-20,12385.0
2024-02-21,12445.0
2024-02-22,12410.0
2024-02-23,12360.0
2024-02-26,12415.0
2024-02-27,12450.0
2024-02-28,12455.0
2024-02-29,12465.0
2024-03-04,12670.0
2024-03-05,12960.0
2024-03-06,13030.0
2024-03-07,13195.0
2024-03-08,13090.0
2024-03-11,13140.0
2024-03-12,13090.0
2024-03-13,13020.0
2024-03-14,13150.0
2024-03-15,13185.0
2024-03-18,13090.0
2024-03-19,13270.0
2024-03-20,13275.0
2024-03-21,13455.0
2024-03-22,13440.0
2024-03-25,13485.0
2024-03-26,13475.0
2024-03-27,13630.0
2024-03-28,13765.0
2024-03-29,14240.0
2024-04-01,14350.0
2024-04-02,14645.0
2024-04-03,15010.0
2024-04-04,14455.0
2024-04-05,14305.0
2024-04-08,14765.0
2024-04-09,14885.0
2024-04-11,14855.0
2024-04-12,15305.0
2024-04-15,15365.0
2024-04-16,15865.0
2024-04-17,15575.0
2024-04-18,15310.0
2024-04-19,15550.0
2024-04-22,15165.0
2024-04-23,14650.0
2024-04-24,14805.0
2024-04-25,14780.0
2024-04-26,15015.0
2024-04-29,14990.0
2024-04-30,14800.0
2024-05-02,14815.0
2024-05-03,14560.0
2024-05-07,14550.0
2024-05-08,14610.0
2024-05-09,14610.0
2024-05-10,14820.0
2024-05-13,14830.0
2024-05-14,14760.0
2024-05-16,14820.0
2024-05-17,14880.0
2024-05-20,15300.0
2024-05-21,15225.0
2024-05-22,15150.0
2024-05-23,14860.0
2024-05-24,14725.0
2024-05-27,14715.0
2024-05-28,14690.0
2024-05-29,14765.0
2024-05-30,14765.0
2024-05-31,14905.0
2024-06-03,14685.0
2024-06-04,14835.0
2024-06-05,14710.0
2024-06-07,14895.0
2024-06-10,14560.0
2024-06-11,14580.0
2024-06-12,14650.0
2024-06-13,14575.0
2024-06-14,14505.0
2024-06-17,14680.0
2024-06-18,14700.0
2024-06-19,14770.0
2024-06-20,14875.0
2024-06-21,15000.0
2024-06-24,14845.0
2024-06-25,14870.0
2024-06-26,14800.0
2024-06-27,14660.0
2024-06-28,14705.0
2024-07-01,14755.0
2024-07-02,14865.0
2024-07-03,14900.0
2024-07-04,14975.0
2024-07-05,14990.0
2024-07-08,15100.0
2024-07-09,15050.0
2024-07-10,15005.0
2024-07-11,15070.0
2024-07-12,15200.0
2024-07-15,15310.0
2024-07-16,15530.0
2024-07-17,15705.0
2024-07-18,15715.0
2024-07-19,15445.0
2024-07-22,15380.0
2024-07-23,15275.0
2024-07-24,15420.0
2024-07-25,15170.0
2024-07-26,15110.0
2024-07-29,15230.0
2024-07-30,15255.0
2024-07-31,15325.0
2024-08-01,15405.0
2024-08-02,15710.0
2024-08-05,15585.0
2024-08-06,15590.0
2024-08-07,15500.0
2024-08-08,15535.0
2024-08-09,15415.0
2024-08-12,15520.0
2024-08-13,15605.0
2024-08-14,15555.0
2024-08-16,15405.0
2024-08-19,15430.0
2024-08-20,15460.0
2024-08-21,15560.0
2024-08-22,15480.0
2024-08-23,15450.0
2024-08-26,15420.0
2024-08-27,15435.0
2024-08-28,15465.0
2024-08-29,15475.0
2024-08-30,15425.0
2024-09-02,15455.0
2024-09-03,15465.0
2024-09-04,15445.0
2024-09-05,15425.0
2024-09-06,15425.0
2024-09-09,15385.0
2024-09-10,15455.0
2024-09-11,15515.0
2024-09-12,15450.0
2024-09-13,15610.0
2024-09-19,15700.0
2024-09-20,15850.0
2024-09-23,16100.0
2024-09-24,16095.0
2024-09-25,16240.0
2024-09-26,16220.0
2024-09-27,16135.0
2024-09-30,15920.0
2024-10-02,15995.0
2024-10-04,16250.0
2024-10-07,16305.0
2024-10-08,16320.0
2024-10-10,16200.0
2024-10-11,16290.0
2024-10-14,16495.0
2024-10-15,16515.0
2024-10-16,16690.0
2024-10-17,16855.0
2024-10-18,17195.0
2024-10-21,17570.0
2024-10-22,17970.0
2024-10-23,18700.0
2024-10-24,18305.0
2024-10-25,18225.0
2024-10-28,18365.0
2024-10-29,18340.0
2024-10-30,18435.0
2024-10-31,18190.0
2024-11-01,17750.0
2024-11-04,17305.0
2024-11-05,17400.0
2024-11-06,17660.0
2024-11-07,17020.0
2024-11-08,17260.0
2024-11-11,16950.0
2024-11-12,16580.0
2024-11-13,16800.0
2024-11-14,16350.0
2024-11-15,16435.0
2024-11-18,16550.0
2024-11-19,16820.0
2024-11-20,17115.0
2024-11-21,17190.0
2024-11-22,17350.0
2024-11-25,17225.0
2024-11-26,16910.0
2024-11-27,16945.0
2024-11-28,16895.0
2024-11-29,17125.0
2024-12-02,16955.0
2024-12-03,17035.0
2024-12-04,17160.0
2024-12-05,17215.0
2024-12-06,17290.0
2024-12-09,17440.0
2024-12-10,17520.0
2024-12-11,17740.0
2024-12-12,17835.0
2024-12-13,17660.0
2024-12-16,17490.0
2024-12-17,17500.0
2024-12-18,17300.0
2024-12-19,17160.0
2024-12-20,17265.0
2024-12-23,17500.0
2024-12-24,17535.0
2024-12-26,17745.0
2024-12-27,17985.0
2024-12-30,18155.0
