종목코드,종목명,시장,기준일,시가총액,종가,거래량,1개월(%),3개월(%),6개월(%),12개월(%)
005930,삼성전자,KOSPI,2026-08-04,1403106865920000,240000,29246080,-8.57,-24.29,10.85,244.33
000660,SK하이닉스,KOSPI,2026-08-04,1151986459605000,1577000,5302250,-8.21,-32.4,48.63,486.25
402340,SK스퀘어,KOSPI,2026-08-04,139875889160000,1060000,949701,2.12,-14.03,64.34,611.41
009150,삼성전기,KOSPI,2026-08-04,88512029760000,1185000,981146,3.77,-44.29,164.21,638.32
005380,현대차,KOSPI,2026-08-04,80367423155000,392500,680354,1.16,-45.71,-41.77,78.41
373220,LG에너지솔루션,KOSPI,2026-08-04,76869000000000,328500,270560,0.15,-28.28,-23.07,-6.68
207940,삼성바이오로직스,KOSPI,2026-08-04,68325443676000,1476000,51711,-0.61,8.29,-16.99,0.19
105560,KB금융,KOSPI,2026-08-04,59871289499200,168800,743858,0.18,12.08,6.16,56.01
032830,삼성생명,KOSPI,2026-08-04,55600000000000,278000,691982,-10.75,-28.44,20.87,94.27
028260,삼성물산,KOSPI,2026-08-04,52299044872500,322500,484547,-8.25,-25.43,-7.99,92.19
012450,한화에어로스페이스,KOSPI,2026-08-04,51769654604000,1004000,225172,9.49,-14.41,-15.98,13.57
329180,HD현대중공업,KOSPI,2026-08-04,50696271675000,483000,151987,0.42,-30.6,-19.9,-7.12
000270,기아,KOSPI,2026-08-04,50597524540800,129600,700158,-1.74,-23.4,-36.93,22.5
055550,신한지주,KOSPI,2026-08-04,48024759449700,102300,760871,1.59,9.29,5.57,56.66
034020,두산에너빌리티,KOSPI,2026-08-04,46760963658000,73000,2577175,8.79,-30.87,-31.33,18.31
012330,현대모비스,KOSPI,2026-08-04,43687738714500,481500,270991,1.16,-37.3,-6.87,51.18
068270,셀트리온,KOSPI,2026-08-04,43208478574800,185800,521154,-0.48,1.05,-18.27,16.31
034730,SK,KOSPI,2026-08-04,37556400154000,518000,180653,-7.0,-23.37,29.18,150.24
035420,NAVER,KOSPI,2026-08-04,35547870813000,226500,2278507,8.89,-3.21,-11.0,5.59
086790,하나금융지주,KOSPI,2026-08-04,35009324644800,127600,507052,1.75,10.86,4.76,55.23
006400,삼성SDI,KOSPI,2026-08-04,33805629835000,419500,401522,5.67,-39.03,-9.98,102.66
010120,LS ELECTRIC,KOSPI,2026-08-04,29550000000000,197000,827737,6.6,-18.43,25.16,246.22
000810,삼성화재,KOSPI,2026-08-04,27681433260000,620000,81687,-1.9,8.96,16.98,39.64
066570,LG전자,KOSPI,2026-08-04,26957407589000,165500,1179360,2.1,-43.52,13.59,123.95
042660,한화오션,KOSPI,2026-08-04,26811171975000,87500,1087835,2.7,-29.03,-38.03,-21.88
009540,HD한국조선해양,KOSPI,2026-08-04,26469145384000,374000,169922,-2.73,-11.58,-16.89,-8.0
267260,HD현대일렉트릭,KOSPI,2026-08-04,25809748660000,716000,156137,4.68,-32.0,-31.81,45.38
005490,POSCO홀딩스,KOSPI,2026-08-04,24802597951000,313000,276520,0.16,-26.09,-24.21,9.63
298040,효성중공업,KOSPI,2026-08-04,24756674940000,2655000,61559,9.85,-27.95,-5.95,114.11
316140,우리금융지주,KOSPI,2026-08-04,24172577442400,33200,1619757,-1.19,11.78,-7.78,33.87
015760,한국전력,KOSPI,2026-08-04,22565037306550,35150,1276750,1.01,-9.64,-39.91,-3.3
010130,고려아연,KOSPI,2026-08-04,21791379636000,1044000,14310,4.5,-23.96,-48.57,27.16
000150,두산,KOSPI,2026-08-04,20630945790000,1274000,70065,8.89,-35.4,-0.31,127.5
138040,메리츠금융지주,KOSPI,2026-08-04,19997999123500,119500,276866,-3.63,16.13,-5.98,-5.53
011200,HMM,KOSPI,2026-08-04,19996644964000,21200,1078734,1.19,8.38,-0.7,-4.07
017670,SK텔레콤,KOSPI,2026-08-04,19631810844200,91400,2444130,12.29,-9.15,14.54,68.63
042700,한미반도체,KOSPI,2026-08-04,19348376600000,203000,865479,-5.36,-28.01,-37.25,133.33
006800,미래에셋증권,KOSPI,2026-08-04,19053252264000,34050,1586634,-1.45,-44.54,-52.5,78.58
010140,삼성중공업,KOSPI,2026-08-04,19052000000000,21650,3560045,1.41,-22.54,-25.22,1.64
096770,SK이노베이션,KOSPI,2026-08-04,18815575304400,111300,574466,0.72,-6.63,-12.84,10.31
033780,KT&G,KOSPI,2026-08-04,18229116073600,175600,218157,-1.95,-4.93,7.66,30.36
051910,LG화학,KOSPI,2026-08-04,18106935979500,256500,217286,-0.58,-30.11,-38.56,-7.57
079550,LIG디펜스앤에어로스페이스,KOSPI,2026-08-04,17622000000000,801000,182444,14.59,0.0,57.37,63.64
018260,삼성에스디에스,KOSPI,2026-08-04,16984427100000,219500,409886,6.55,-26.59,12.56,49.02
035720,카카오,KOSPI,2026-08-04,16788982553000,37900,2256846,1.34,-9.65,-39.17,-39.36
267250,HD현대,KOSPI,2026-08-04,16470058222500,208500,159803,4.46,-24.86,-28.72,52.08
024110,기업은행,KOSPI,2026-08-04,16227616434150,20350,597126,-1.45,0.74,-20.97,6.99
003550,LG,KOSPI,2026-08-04,15421584408000,102000,224190,0.89,-30.42,-5.29,36.91
064350,현대로템,KOSPI,2026-08-04,15269006790700,139900,457455,4.64,-30.22,-39.31,-27.17
086280,현대글로비스,KOSPI,2026-08-04,15000000000000,200000,110606,0.0,-17.53,-30.92,8.46
010950,S-Oil,KOSPI,2026-08-04,14162915233600,125800,388861,-1.18,17.13,14.36,108.62
278470,에이피알,KOSPI,2026-08-04,13459016722500,359500,318623,12.34,-9.1,15.04,58.37
047810,한국항공우주,KOSPI,2026-08-04,13402827212500,137500,511714,8.01,-18.3,-28.2,44.43
030200,KT,KOSPI,2026-08-04,13180734125500,52300,233152,0.77,-0.95,-18.03,-3.33
272210,한화시스템,KOSPI,2026-08-04,13054329779900,69100,615884,10.56,-34.19,-39.17,35.76
