기준일,시장,종목명,종목코드,시가총액,종가,1개월(%),3개월(%),6개월(%),12개월(%)
2026-08-27,US,Advanced Micro Devices,AMD,0,476.6700134277344,0.11,-7.64,138.09,193.1
2026-08-27,US,Adobe Inc.,ADBE,0,289.1499938964844,15.47,11.55,10.19,-18.94
2026-08-27,US,AbbVie,ABBV,0,258.1499938964844,2.87,18.57,11.23,22.69
2026-08-27,US,Agilent Technologies,A,0,157.69000244140625,13.96,16.35,29.91,25.49
2026-08-27,US,Abbott Laboratories,ABT,0,111.58999633789062,5.57,30.36,-4.09,-15.88
2026-08-27,US,Akamai Technologies,AKAM,0,111.23999786376953,-3.42,-25.61,13.06,40.58
2026-08-27,US,Accenture,ACN,0,187.3800048828125,12.93,0.17,-10.22,-27.92
2026-08-27,US,Albemarle Corporation,ALB,0,135.77000427246094,15.41,-23.04,-24.01,59.88
2026-08-27,US,Air Products,APD,0,305.4700012207031,3.59,9.64,10.81,3.86
2026-08-27,US,Aflac,AFL,0,116.58000183105469,-8.55,3.7,3.23,9.1
2026-08-27,US,AES Corporation,AES,0,14.75,0.48,0.55,-14.64,8.94
2026-08-27,US,A. O. Smith,AOS,0,61.95000076293945,3.03,9.22,-20.58,-13.1
2026-08-27,US,Allegion,ALLE,0,159.72000122070312,1.47,22.8,-0.89,-5.94
2026-08-27,US,Airbnb,ABNB,0,184.39999389648438,21.7,38.32,36.48,41.27
2026-08-27,US,3M,MMM,0,178.8300018310547,1.45,16.78,8.17,14.98
2026-08-27,US,Alphabet Inc. (Class A),GOOGL,0,340.6499938964844,-4.35,-10.44,9.27,60.0
2026-08-27,US,Align Technology,ALGN,0,158.83999633789062,-6.1,-9.21,-16.44,11.89
2026-08-27,US,Alexandria Real Estate Equities,ARE,0,52.279998779296875,1.61,5.23,-3.26,-36.58
2026-08-27,US,Alliant Energy,LNT,0,68.20999908447266,-3.63,-4.75,-5.71,4.83
2026-08-27,US,Allstate,ALL,0,257.6199951171875,-2.45,25.0,20.09,26.63
2026-08-27,US,Amcor,AMCR,0,46.52000045776367,3.65,19.84,-3.94,7.81
2026-08-27,US,Amazon,AMZN,0,256.260009765625,-5.64,-5.31,22.03,11.9
2026-08-27,US,Alphabet Inc. (Class C),GOOG,0,337.7099914550781,-5.31,-10.29,8.44,58.16
2026-08-27,US,Ameren,AEE,0,106.75,-2.61,-1.13,-5.76,6.99
2026-08-27,US,Amphenol,APH,0,161.3800048828125,0.42,8.48,10.49,48.25
2026-08-27,US,American Tower,AMT,0,174.16000366210938,0.46,-6.85,-9.23,-14.56
2026-08-27,US,Altria,MO,0,67.66999816894531,-0.97,-2.75,-1.98,0.68
2026-08-27,US,Amgen,AMGN,0,436.989990234375,13.46,29.75,12.58,51.89
2026-08-27,US,Ameriprise Financial,AMP,0,555.77001953125,1.82,24.69,18.22,7.96
2026-08-27,US,American International Group,AIG,0,76.62999725341797,-2.48,3.23,-4.8,-5.77
2026-08-27,US,American Water Works,AWK,0,136.69000244140625,1.88,10.89,0.49,-4.75
2026-08-27,US,Ametek,AME,0,243.6699981689453,0.81,7.89,1.86,31.86
2026-08-27,US,Apollo Global Management,APO,0,133.44000244140625,6.25,3.67,27.57,-2.05
2026-08-27,US,Analog Devices,ADI,0,374.5199890136719,1.94,-9.5,5.26,49.03
2026-08-27,US,American Electric Power,AEP,0,122.70999908447266,-4.02,-3.13,-8.3,10.53
2026-08-27,US,Aon plc,AON,0,349.55999755859375,-3.05,10.6,4.2,-4.75
2026-08-27,US,Arch Capital Group,ACGL,0,98.76000213623047,-1.76,10.54,-1.39,7.9
2026-08-27,US,American Express,AXP,0,334.1600036621094,-0.62,5.59,8.18,0.87
2026-08-27,US,AppLovin,APP,0,312.6300048828125,-21.03,-49.01,-28.09,-34.68
2026-08-27,US,APA Corporation,APA,0,42.380001068115234,13.56,16.33,39.55,82.52
2026-08-27,US,Applied Materials,AMAT,0,482.3599853515625,-4.99,7.18,29.56,200.05
2026-08-27,US,Aptiv,APTV,0,45.439998626708984,-19.53,-33.12,-38.21,-42.86
2026-08-27,US,Ares Management,ARES,0,142.41000366210938,11.18,10.82,27.14,-20.53
2026-08-27,US,Arista Networks,ANET,0,201.08999633789062,11.5,26.1,50.63,47.26
2026-08-27,US,Apple Inc.,AAPL,0,314.5799865722656,1.84,0.81,19.08,35.51
2026-08-27,US,Archer Daniels Midland,ADM,0,79.0999984741211,-0.21,-0.85,14.57,26.28
2026-08-27,US,Assurant,AIZ,0,285.4100036621094,2.23,14.68,24.31,32.37
2026-08-27,US,Autodesk,ADSK,0,270.5799865722656,15.53,16.98,10.05,-14.02
2026-08-27,US,AT&T,T,0,25.43000030517578,9.38,2.54,-9.21,-13.18
2026-08-27,US,Arthur J. Gallagher & Co.,AJG,0,260.1499938964844,4.3,29.36,14.0,-14.07
2026-08-27,US,AutoZone,AZO,0,2932.330078125,-2.78,-0.1,-21.92,-30.16
2026-08-27,US,Atmos Energy,ATO,0,167.22000122070312,-3.22,-1.13,-10.48,0.66
2026-08-27,US,Axon Enterprise,AXON,0,611.2000122070312,15.81,36.21,12.68,-18.21
