지수,연도,사이클4,사이클8,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
SP500,1970,2,2,-0.076,0.0529,0.0011,-0.0904,-0.0613,-0.0497,0.0729,0.0449,0.0331,-0.0119,0.0481,0.0573
SP500,1971,3,3,0.0401,0.0094,0.0362,0.0369,-0.0423,0.001,-0.0411,0.0356,-0.0071,-0.0417,-0.0021,0.0862
SP500,1972,4,4,0.0176,0.026,0.0056,0.0047,0.0167,-0.0219,0.0028,0.0345,-0.0054,0.01,0.0457,0.0111
SP500,1973,1,1,-0.0169,-0.0371,-0.0018,-0.0404,-0.0187,-0.0067,0.0374,-0.037,0.0403,-0.0009,-0.1136,0.0156
SP500,1974,2,2,-0.0092,-0.0041,-0.0229,-0.0394,-0.0332,-0.0149,-0.0779,-0.0895,-0.1205,0.1638,-0.0528,-0.02
SP500,1975,3,3,0.1224,0.0597,0.0221,0.0468,0.0447,0.0439,-0.0672,-0.0214,-0.0345,0.0608,0.0247,-0.011
SP500,1976,4,4,0.1186,-0.0119,0.0311,-0.0117,-0.0138,0.0409,-0.0086,-0.0048,0.0224,-0.0219,-0.0078,0.0529
SP500,1977,1,1,-0.0512,-0.0216,-0.014,0.0,-0.0234,0.0458,-0.0169,-0.0202,-0.0031,-0.0435,0.0271,0.0032
SP500,1978,2,2,-0.062,-0.0247,0.0253,0.0852,0.0041,-0.0175,0.0545,0.0258,-0.0077,-0.0907,0.0161,0.0148
SP500,1979,3,3,0.0395,-0.036,0.055,0.002,-0.0265,0.0383,0.0087,0.053,0.0,-0.0686,0.0432,0.016
SP500,1980,4,4,0.0584,-0.0044,-0.102,0.0411,0.0461,0.027,0.0657,0.0058,0.0253,0.0159,0.102,-0.0335
SP500,1981,1,1,-0.0457,0.0133,0.036,-0.0235,-0.0017,-0.0104,-0.0022,-0.0621,-0.0538,0.0491,0.0366,-0.0301
SP500,1982,2,2,-0.0175,-0.0605,-0.0102,0.04,-0.0392,-0.0203,-0.023,0.116,0.0076,0.1104,0.036,0.0152
SP500,1983,3,3,0.0331,0.019,0.0331,0.075,-0.0124,0.0323,-0.0303,0.0113,0.0102,-0.0152,0.0174,-0.0088
SP500,1984,4,4,-0.0092,-0.0389,0.0135,0.0055,-0.0594,0.0175,-0.0165,0.1063,-0.0035,-0.0001,-0.0151,0.0224
SP500,1985,1,5,0.0741,0.0086,-0.0029,-0.0046,0.0541,0.0121,-0.0048,-0.012,-0.0347,0.0425,0.0651,0.0451
SP500,1986,2,6,0.0024,0.0715,0.0528,-0.0141,0.0502,0.0141,-0.0587,0.0712,-0.0854,0.0547,0.0215,-0.0283
SP500,1987,3,7,0.1318,0.0369,0.0264,-0.0115,0.006,0.0479,0.0482,0.035,-0.0242,-0.2176,-0.0853,0.0729
SP500,1988,4,8,0.0404,0.0418,-0.0333,0.0094,0.0032,0.0433,-0.0054,-0.0386,0.0397,0.026,-0.0189,0.0147
SP500,1989,1,1,0.0711,-0.0289,0.0208,0.0501,0.0351,-0.0079,0.0884,0.0155,-0.0065,-0.0252,0.0165,0.0214
SP500,1990,2,2,-0.0688,0.0085,0.0243,-0.0269,0.092,-0.0089,-0.0052,-0.0943,-0.0512,-0.0067,0.0599,0.0248
SP500,1991,3,3,0.0415,0.0673,0.0222,0.0003,0.0386,-0.0479,0.0449,0.0196,-0.0191,0.0118,-0.0439,0.1116
SP500,1992,4,4,-0.0199,0.0096,-0.0218,0.0279,0.001,-0.0174,0.0394,-0.024,0.0091,0.0021,0.0303,0.0101
SP500,1993,1,1,0.007,0.0105,0.0187,-0.0254,0.0227,0.0008,-0.0053,0.0344,-0.01,0.0194,-0.0129,0.0101
SP500,1994,2,2,0.0325,-0.03,-0.0457,0.0115,0.0124,-0.0268,0.0315,0.0376,-0.0269,0.0208,-0.0395,0.0123
SP500,1995,3,3,0.0243,0.0361,0.0273,0.028,0.0363,0.0213,0.0318,-0.0003,0.0401,-0.005,0.041,0.0174
SP500,1996,4,4,0.0326,0.0069,0.0079,0.0134,0.0229,0.0023,-0.0457,0.0188,0.0542,0.0261,0.0734,-0.0215
SP500,1997,1,5,0.0613,0.0059,-0.0426,0.0584,0.0586,0.0435,0.0781,-0.0575,0.0532,-0.0345,0.0446,0.0157
SP500,1998,2,6,0.0102,0.0704,0.0499,0.0091,-0.0188,0.0394,-0.0116,-0.1458,0.0624,0.0803,0.0591,0.0564
SP500,1999,3,7,0.041,-0.0323,0.0388,0.0379,-0.025,0.0544,-0.032,-0.0063,-0.0286,0.0625,0.0191,0.0578
SP500,2000,4,8,-0.0509,-0.0201,0.0967,-0.0308,-0.0219,0.0239,-0.0163,0.0607,-0.0535,-0.0049,-0.0801,0.0041
SP500,2001,1,1,0.0346,-0.0923,-0.0642,0.0768,0.0051,-0.025,-0.0107,-0.0641,-0.0817,0.0181,0.0752,0.0076
SP500,2002,2,2,-0.0156,-0.0208,0.0367,-0.0614,-0.0091,-0.0725,-0.079,0.0049,-0.11,0.0864,0.0571,-0.0603
SP500,2003,3,3,-0.0274,-0.017,0.0084,0.081,0.0509,0.0113,0.0193,0.0148,-0.0119,0.055,0.0071,0.0508
SP500,2004,4,4,0.0173,0.0122,-0.0164,-0.0168,0.0121,0.018,-0.0343,0.0023,0.0094,0.014,0.0386,0.0325
SP500,2005,1,5,-0.0253,0.0189,-0.0191,-0.0201,0.03,-0.0001,0.036,-0.0112,0.0069,-0.0177,0.0352,-0.001
SP500,2006,2,6,0.0255,0.0005,0.0111,0.0122,-0.0309,0.0001,0.0051,0.0213,0.0246,0.0315,0.0165,0.0126
SP500,2007,3,7,0.0141,-0.0218,0.01,0.0433,0.0325,-0.0178,-0.032,0.0129,0.0358,0.0148,-0.044,-0.0086
SP500,2008,4,8,-0.0612,-0.0348,-0.006,0.0475,0.0107,-0.086,-0.0099,0.0122,-0.0908,-0.1694,-0.0748,0.0078
SP500,2009,1,1,-0.0857,-0.1099,0.0854,0.0939,0.0531,0.0002,0.0741,0.0336,0.0357,-0.0198,0.0574,0.0178
SP500,2010,2,2,-0.037,0.0285,0.0588,0.0148,-0.082,-0.0539,0.0688,-0.0474,0.0876,0.0369,-0.0023,0.0653
SP500,2011,3,3,0.0226,0.032,-0.001,0.0285,-0.0135,-0.0183,-0.0215,-0.0568,-0.0718,0.1077,-0.0051,0.0085
SP500,2012,4,4,0.0436,0.0406,0.0313,-0.0075,-0.0627,0.0396,0.0126,0.0198,0.0242,-0.0198,0.0028,0.0071
SP500,2013,1,5,0.0504,0.0111,0.036,0.0181,0.0208,-0.015,0.0495,-0.0313,0.0297,0.0446,0.028,0.0236
SP500,2014,2,6,-0.0356,0.0431,0.0069,0.0062,0.021,0.0191,-0.0151,0.0377,-0.0155,0.0232,0.0245,-0.0042
SP500,2015,3,7,-0.031,0.0549,-0.0174,0.0085,0.0105,-0.021,0.0197,-0.0626,-0.0264,0.083,0.0005,-0.0175
SP500,2016,4,8,-0.0507,-0.0041,0.066,0.0027,0.0153,0.0009,0.0356,-0.0012,-0.0012,-0.0194,0.0342,0.0182
SP500,2017,1,1,0.0179,0.0372,-0.0004,0.0091,0.0116,0.0048,0.0193,0.0005,0.0193,0.0222,0.0281,0.0098
SP500,2018,2,2,0.0562,-0.0389,-0.0269,0.0027,0.0216,0.0048,0.036,0.0303,0.0043,-0.0694,0.0179,-0.0918
SP500,2019,3,3,0.0787,0.0297,0.0179,0.0393,-0.0658,0.0689,0.0131,-0.0181,0.0172,0.0204,0.034,0.0286
SP500,2020,4,4,-0.0016,-0.0841,-0.1251,0.1268,0.0453,0.0184,0.0551,0.0701,-0.0392,-0.0277,0.1075,0.0371
SP500,2021,1,1,-0.0111,0.0261,0.0424,0.0524,0.0055,0.0222,0.0227,0.029,-0.0476,0.0691,-0.0083,0.0436
SP500,2022,2,2,-0.0526,-0.0314,0.0358,-0.088,0.0001,-0.0839,0.0911,-0.0424,-0.0934,0.0799,0.0538,-0.059
