"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","48.22","47.91","48.27","47.53","110.93M","0.35%"
"2026- 04- 01","48.05","48.03","48.39","47.73","85.71M","0.00%"
"2026- 03- 01","48.05","49.00","49.00","47.60","122.83M","-2.34%"
"2026- 02- 01","49.20","48.47","49.23","48.39","98.99M","1.30%"
"2026- 01- 01","48.57","48.34","48.67","48.29","152.01M","0.52%"
"2025- 12- 01","48.32","49.41","49.45","48.20","100.47M","-2.68%"
"2025- 11- 01","49.65","49.71","49.73","49.42","69.61M","-0.40%"
"2025- 10- 01","49.85","49.38","49.93","49.29","84.80M","0.79%"
"2025- 09- 01","49.46","48.97","49.58","48.95","78.95M","0.30%"
"2025- 08- 01","49.31","49.38","49.49","49.12","63.67M","-0.08%"
"2025- 07- 01","49.35","49.45","49.49","49.05","77.29M","-0.32%"
"2025- 06- 01","49.51","49.24","49.52","49.15","76.38M","0.12%"
"2025- 05- 01","49.45","49.49","49.54","48.80","89.18M","-0.20%"
"2025- 04- 01","49.55","48.81","49.58","48.61","96.20M","1.50%"
"2025- 03- 01","48.82","49.16","49.34","48.29","97.31M","-1.37%"
"2025- 02- 01","49.50","49.32","49.51","48.92","57.36M","0.67%"
"2025- 01- 01","49.17","49.12","49.24","48.38","58.50M","0.24%"
"2024- 12- 01","49.05","50.56","50.70","48.91","77.16M","-2.97%"
"2024- 11- 01","50.55","49.84","50.56","49.54","51.45M","1.47%"
"2024- 10- 01","49.82","50.44","50.50","49.70","73.16M","-0.91%"
"2024- 09- 01","50.28","49.71","50.37","49.71","52.54M","1.05%"
"2024- 08- 01","49.76","49.51","50.04","49.51","58.83M","0.30%"
"2024- 07- 01","49.61","48.46","49.61","48.39","59.89M","1.93%"
"2024- 06- 01","48.67","48.42","49.02","48.34","47.01M","0.43%"
"2024- 05- 01","48.46","48.40","48.95","48.19","86.12M","0.10%"
"2024- 04- 01","48.41","49.01","49.10","48.24","64.59M","-1.59%"
"2024- 03- 01","49.19","48.57","49.26","48.53","56.45M","0.94%"
"2024- 02- 01","48.73","49.06","49.16","48.44","146.21M","-0.71%"
"2024- 01- 01","49.08","49.16","49.36","48.60","80.60M","-0.58%"
"2023- 12- 01","49.37","49.16","51.04","49.16","74.18M","0.27%"
"2023- 11- 01","49.23","47.65","49.39","47.65","56.56M","3.25%"
"2023- 10- 01","47.68","47.64","48.03","47.30","59.50M","-0.31%"
"2023- 09- 01","47.83","48.67","48.67","47.59","41.62M","-1.91%"
"2023- 08- 01","48.76","48.51","48.77","48.00","43.97M","0.04%"
"2023- 07- 01","48.74","48.71","48.96","48.14","49.30M","-0.29%"
"2023- 06- 01","48.88","48.90","49.03","48.46","53.03M","-0.14%"
"2023- 05- 01","48.95","48.80","49.21","48.25","41.37M","0.00%"
"2023- 04- 01","48.95","48.75","49.13","48.37","46.98M","0.06%"
"2023- 03- 01","48.92","47.64","49.40","47.46","46.47M","2.43%"
"2023- 02- 01","47.76","48.56","49.17","47.59","59.00M","-1.63%"
"2023- 01- 01","48.55","47.87","49.08","47.78","83.86M","2.36%"
"2022- 12- 01","47.43","49.13","49.52","47.39","62.34M","-3.30%"
"2022- 11- 01","49.05","48.02","49.11","47.49","58.96M","2.32%"
"2022- 10- 01","47.94","48.03","48.38","46.87","74.17M","0.44%"
"2022- 09- 01","47.73","48.91","49.34","47.31","48.27M","-2.99%"
"2022- 08- 01","49.20","51.12","51.63","49.20","62.28M","-3.70%"
"2022- 07- 01","51.09","49.72","51.16","49.54","38.49M","3.13%"
"2022- 06- 01","49.54","50.39","50.41","48.18","71.62M","-1.80%"
"2022- 05- 01","50.45","50.69","51.06","50.22","77.78M","-0.75%"
"2022- 04- 01","50.83","52.23","52.48","50.82","54.87M","-3.07%"
"2022- 03- 01","52.44","53.90","54.26","51.95","59.98M","-2.29%"
"2022- 02- 01","53.67","54.40","54.42","53.14","80.51M","-1.34%"
"2022- 01- 01","54.40","55.03","55.08","54.37","63.43M","-1.38%"
"2021- 12- 01","55.16","57.14","57.46","55.06","65.44M","-3.62%"
"2021- 11- 01","57.23","56.51","57.31","56.48","47.77M","0.99%"
"2021- 10- 01","56.67","57.09","57.09","56.51","50.04M","-0.51%"
"2021- 09- 01","56.96","57.60","57.72","56.91","46.85M","-1.15%"
"2021- 08- 01","57.62","57.90","58.09","57.56","44.50M","-0.50%"
"2021- 07- 01","57.91","57.09","57.91","57.04","66.52M","1.42%"
"2021- 06- 01","57.10","56.87","57.33","56.83","48.94M","0.30%"
"2021- 05- 01","56.93","56.91","57.04","56.53","46.50M","-0.07%"
"2021- 04- 01","56.97","57.12","57.28","56.88","53.13M","-0.26%"
"2021- 03- 01","57.12","57.27","57.41","56.90","68.28M","-0.09%"
"2021- 02- 01","57.17","58.14","58.19","56.72","72.00M","-1.74%"
"2021- 01- 01","58.18","58.49","58.58","58.13","71.77M","-0.63%"
"2020- 12- 01","58.55","58.35","58.77","58.24","58.05M","0.05%"
"2020- 11- 01","58.52","58.35","58.55","57.98","74.01M","0.31%"
"2020- 10- 01","58.34","58.06","58.49","58.06","58.23M","0.27%"
"2020- 09- 01","58.19","57.72","58.27","57.70","75.92M","0.77%"
"2020- 08- 01","57.74","58.14","58.32","57.70","62.30M","-0.84%"
"2020- 07- 01","58.23","57.50","58.29","57.45","41.93M","0.87%"
"2020- 06- 01","57.73","57.28","57.82","57.03","43.38M","0.45%"
"2020- 05- 01","57.47","57.30","57.48","56.95","34.10M","0.33%"
"2020- 04- 01","57.28","56.29","57.38","55.93","50.87M","1.81%"
"2020- 03- 01","56.26","57.93","58.66","53.89","105.73M","-2.98%"
"2020- 02- 01","57.99","57.59","58.09","57.33","43.61M","0.59%"
"2020- 01- 01","57.65","56.66","57.66","56.64","52.37M","1.89%"
"2019- 12- 01","56.58","57.97","58.17","56.52","38.84M","-2.72%"
"2019- 11- 01","58.16","58.43","58.44","57.74","33.52M","-0.56%"
"2019- 10- 01","58.49","58.60","58.94","58.11","31.21M","-0.58%"
"2019- 09- 01","58.83","59.18","59.27","58.07","67.65M","-0.51%"
"2019- 08- 01","59.13","57.96","59.24","57.93","32.93M","2.02%"
"2019- 07- 01","57.96","57.29","58.01","57.22","29.63M","1.15%"
"2019- 06- 01","57.30","56.45","57.35","56.43","27.65M","1.47%"
"2019- 05- 01","56.47","55.77","56.49","55.71","25.33M","1.18%"
"2019- 04- 01","55.81","55.69","55.82","55.43","25.14M","0.07%"
"2019- 03- 01","55.77","54.77","55.86","54.74","22.69M","1.68%"
"2019- 02- 01","54.85","54.75","55.05","54.68","73.95M","0.11%"
"2019- 01- 01","54.79","54.35","54.85","54.07","50.13M","1.00%"
"2018- 12- 01","54.25","54.77","55.34","54.06","31.14M","-0.93%"
"2018- 11- 01","54.76","54.47","54.81","54.40","22.94M","0.42%"
"2018- 10- 01","54.53","54.43","54.72","54.10","25.72M","-0.02%"
"2018- 09- 01","54.54","54.65","54.74","54.42","19.01M","-0.33%"
"2018- 08- 01","54.72","54.54","54.83","54.47","20.70M","-0.04%"
"2018- 07- 01","54.74","54.78","55.00","54.60","20.83M","0.05%"
"2018- 06- 01","54.71","54.41","54.77","54.06","22.94M","0.51%"
"2018- 05- 01","54.43","54.56","54.66","54.22","34.63M","-0.31%"
"2018- 04- 01","54.60","54.68","54.73","54.40","22.34M","-0.24%"
"2018- 03- 01","54.73","54.19","54.75","54.05","22.96M","1.07%"
"2018- 02- 01","54.15","54.04","54.21","53.84","23.82M","0.17%"
"2018- 01- 01","54.06","54.29","54.37","54.05","43.97M","-0.57%"
"2017- 12- 01","54.37","54.96","55.28","54.23","21.95M","-1.07%"
"2017- 11- 01","54.96","54.87","55.18","54.81","20.58M","0.15%"
"2017- 10- 01","54.88","54.51","54.93","54.39","13.38M","0.53%"
"2017- 09- 01","54.59","54.73","54.98","54.46","11.63M","-0.49%"
"2017- 08- 01","54.86","54.36","54.94","54.36","14.81M","0.85%"
