"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","105.13","102.29","105.46","100.26","238.74M","2.75%"
"2026- 04- 01","102.32","98.52","105.13","96.36","316.87M","5.34%"
"2026- 03- 01","97.13","102.76","103.72","93.08","671.96M","-7.83%"
"2026- 02- 01","105.38","100.88","105.94","100.27","398.39M","4.61%"
"2026- 01- 01","100.74","97.03","102.32","96.51","424.64M","4.90%"
"2025- 12- 01","96.03","94.92","97.42","94.13","426.24M","0.88%"
"2025- 11- 01","95.19","94.56","96.69","91.21","305.83M","0.74%"
"2025- 10- 01","94.49","93.88","95.95","92.11","334.54M","1.20%"
"2025- 09- 01","93.37","90.10","93.77","90.04","331.54M","2.07%"
"2025- 08- 01","91.48","87.28","93.38","86.74","263.85M","4.52%"
"2025- 07- 01","87.52","89.11","91.57","87.35","264.06M","-2.09%"
"2025- 06- 01","89.39","88.97","90.50","85.68","323.87M","0.65%"
"2025- 05- 01","88.81","84.98","89.46","84.36","263.96M","4.79%"
"2025- 04- 01","84.75","81.78","85.03","72.14","485.26M","3.70%"
"2025- 03- 01","81.73","83.17","85.18","80.92","329.48M","0.18%"
"2025- 02- 01","81.58","77.91","82.99","77.65","225.33M","2.95%"
"2025- 01- 01","79.24","75.70","80.32","74.24","233.55M","4.80%"
"2024- 12- 01","75.61","79.08","80.63","74.37","282.31M","-4.25%"
"2024- 11- 01","78.97","79.65","80.34","76.70","249.51M","-0.32%"
"2024- 10- 01","79.22","83.66","83.69","78.47","203.05M","-5.27%"
"2024- 09- 01","83.63","82.56","84.56","79.38","203.32M","0.78%"
"2024- 08- 01","82.98","79.34","83.28","73.91","281.38M","3.26%"
"2024- 07- 01","80.36","78.76","81.87","77.98","252.84M","2.59%"
"2024- 06- 01","78.33","81.44","82.16","77.36","262.71M","-3.51%"
"2024- 05- 01","81.18","77.25","81.93","76.91","245.64M","5.06%"
"2024- 04- 01","77.27","79.72","79.95","75.89","350.41M","-3.24%"
"2024- 03- 01","79.86","77.57","80.06","77.25","308.78M","3.38%"
"2024- 02- 01","77.25","75.19","77.56","74.02","265.09M","2.99%"
"2024- 01- 01","75.01","74.54","75.97","72.58","330.24M","-0.45%"
"2023- 12- 01","75.35","72.38","75.66","72.23","325.71M","4.05%"
"2023- 11- 01","72.42","67.08","72.75","66.89","299.09M","8.22%"
"2023- 10- 01","66.92","68.47","69.86","65.68","438.08M","-2.90%"
"2023- 09- 01","68.92","72.15","72.18","68.08","279.77M","-3.65%"
"2023- 08- 01","71.53","73.73","73.94","69.31","310.11M","-3.93%"
"2023- 07- 01","74.46","72.47","74.73","69.94","264.22M","2.70%"
"2023- 06- 01","72.50","71.05","73.91","70.81","354.52M","2.59%"
"2023- 05- 01","70.67","73.69","74.05","70.13","347.30M","-4.01%"
"2023- 04- 01","73.62","71.69","73.84","71.36","270.15M","2.94%"
"2023- 03- 01","71.52","69.90","71.68","66.07","563.33M","3.13%"
"2023- 02- 01","69.35","71.49","72.44","68.76","339.03M","-3.07%"
"2023- 01- 01","71.55","66.46","71.82","65.90","414.37M","9.00%"
"2022- 12- 01","65.64","67.87","68.78","65.09","469.24M","-2.21%"
"2022- 11- 01","67.12","60.50","67.35","58.06","504.57M","13.17%"
"2022- 10- 01","59.31","56.59","60.25","54.61","584.99M","5.89%"
"2022- 09- 01","56.01","60.80","63.59","55.22","578.47M","-9.22%"
"2022- 08- 01","61.70","65.70","66.77","61.68","385.10M","-6.12%"
"2022- 07- 01","65.72","61.71","65.76","59.54","408.54M","5.17%"
"2022- 06- 01","62.49","70.42","70.73","61.12","613.96M","-10.74%"
"2022- 05- 01","70.01","68.39","70.47","64.63","722.12M","2.00%"
"2022- 04- 01","68.64","74.06","74.62","68.07","593.37M","-6.74%"
"2022- 03- 01","73.60","72.91","75.38","66.54","830.49M","0.52%"
"2022- 02- 01","73.22","76.29","77.90","70.98","727.53M","-3.43%"
"2022- 01- 01","75.82","79.14","80.04","73.53","782.11M","-3.63%"
"2021- 12- 01","78.68","77.89","79.68","76.00","635.18M","2.39%"
"2021- 11- 01","76.84","80.95","82.00","76.17","403.70M","-4.53%"
"2021- 10- 01","80.49","78.05","81.02","76.43","459.41M","3.18%"
"2021- 09- 01","78.01","81.26","82.29","77.81","570.97M","-3.26%"
"2021- 08- 01","80.64","80.14","81.45","78.82","363.68M","1.45%"
"2021- 07- 01","79.49","78.89","80.12","76.48","464.22M","0.77%"
"2021- 06- 01","78.88","81.50","82.11","78.43","425.43M","-2.41%"
"2021- 05- 01","80.83","78.75","81.14","77.41","441.36M","3.48%"
"2021- 04- 01","78.11","76.26","79.42","76.21","377.89M","2.95%"
"2021- 03- 01","75.87","74.90","77.06","73.56","521.76M","2.51%"
"2021- 02- 01","74.01","73.28","77.17","72.92","374.57M","2.24%"
"2021- 01- 01","72.39","74.39","75.75","72.00","435.54M","-0.78%"
"2020- 12- 01","72.96","71.34","74.00","70.67","441.85M","4.01%"
"2020- 11- 01","70.15","62.08","71.77","61.77","482.37M","14.27%"
"2020- 10- 01","61.39","64.00","66.11","60.97","464.00M","-3.55%"
"2020- 09- 01","63.65","65.02","66.02","62.14","524.36M","-2.05%"
"2020- 08- 01","64.98","62.69","65.77","62.54","392.60M","4.72%"
"2020- 07- 01","62.05","60.80","64.46","60.75","486.21M","1.94%"
"2020- 06- 01","60.87","60.13","64.66","59.13","685.65M","2.06%"
"2020- 05- 01","59.64","55.73","60.52","54.01","677.89M","5.43%"
"2020- 04- 01","56.57","51.73","57.97","50.59","749.95M","5.82%"
"2020- 03- 01","53.46","62.23","64.47","45.73","1.44B","-14.11%"
"2020- 02- 01","62.24","67.67","69.86","60.67","689.66M","-7.77%"
"2020- 01- 01","67.48","69.96","70.42","67.26","452.07M","-2.82%"
"2019- 12- 01","69.44","68.10","69.98","67.02","514.66M","1.85%"
"2019- 11- 01","68.18","67.85","68.69","67.62","367.90M","1.13%"
"2019- 10- 01","67.42","65.02","67.58","62.98","578.91M","3.39%"
"2019- 09- 01","65.21","62.85","66.08","62.77","477.11M","3.16%"
"2019- 08- 01","63.21","64.53","65.06","61.26","673.06M","-1.92%"
"2019- 07- 01","64.45","66.39","66.72","64.00","402.23M","-1.95%"
"2019- 06- 01","65.73","63.59","66.36","63.41","514.27M","3.68%"
