날짜,종가,시가,고가,저가,거래량,변동 %
2026-05-31,104.8,104.8,104.8,104.8,0,0%
2026-04-30,102.32,102.32,102.32,102.32,0,0%
2026-03-31,97.13,97.13,97.13,97.13,0,0%
2026-02-28,105.38,105.38,105.38,105.38,0,0%
2026-01-31,100.74,100.74,100.74,100.74,0,0%
2025-12-31,96.03,96.03,96.03,96.03,0,0%
2025-11-30,95.19,95.19,95.19,95.19,0,0%
2025-10-31,94.49,94.49,94.49,94.49,0,0%
2025-09-30,93.37,93.37,93.37,93.37,0,0%
2025-08-31,91.48,91.48,91.48,91.48,0,0%
2025-07-31,87.52,87.52,87.52,87.52,0,0%
2025-06-30,89.39,89.39,89.39,89.39,0,0%
2025-05-31,88.81,88.81,88.81,88.81,0,0%
2025-04-30,84.75,84.75,84.75,84.75,0,0%
2025-03-31,81.73,81.73,81.73,81.73,0,0%
2025-02-28,81.58,81.58,81.58,81.58,0,0%
2025-01-31,79.24,79.24,79.24,79.24,0,0%
2024-12-31,75.61,75.61,75.61,75.61,0,0%
2024-11-30,78.97,78.97,78.97,78.97,0,0%
2024-10-31,79.22,79.22,79.22,79.22,0,0%
2024-09-30,83.63,83.63,83.63,83.63,0,0%
2024-08-31,82.98,82.98,82.98,82.98,0,0%
2024-07-31,80.36,80.36,80.36,80.36,0,0%
2024-06-30,78.33,78.33,78.33,78.33,0,0%
2024-05-31,81.18,81.18,81.18,81.18,0,0%
2024-04-30,77.27,77.27,77.27,77.27,0,0%
2024-03-31,79.86,79.86,79.86,79.86,0,0%
2024-02-29,77.25,77.25,77.25,77.25,0,0%
2024-01-31,75.01,75.01,75.01,75.01,0,0%
2023-12-31,75.35,75.35,75.35,75.35,0,0%
2023-11-30,72.42,72.42,72.42,72.42,0,0%
2023-10-31,66.92,66.92,66.92,66.92,0,0%
2023-09-30,68.92,68.92,68.92,68.92,0,0%
2023-08-31,71.53,71.53,71.53,71.53,0,0%
2023-07-31,74.46,74.46,74.46,74.46,0,0%
2023-06-30,72.5,72.5,72.5,72.5,0,0%
2023-05-31,70.67,70.67,70.67,70.67,0,0%
2023-04-30,73.62,73.62,73.62,73.62,0,0%
2023-03-31,71.52,71.52,71.52,71.52,0,0%
2023-02-28,69.35,69.35,69.35,69.35,0,0%
2023-01-31,71.55,71.55,71.55,71.55,0,0%
2022-12-31,65.64,65.64,65.64,65.64,0,0%
2022-11-30,67.12,67.12,67.12,67.12,0,0%
2022-10-31,59.31,59.31,59.31,59.31,0,0%
2022-09-30,56.01,56.01,56.01,56.01,0,0%
2022-08-31,61.7,61.7,61.7,61.7,0,0%
2022-07-31,65.72,65.72,65.72,65.72,0,0%
2022-06-30,62.49,62.49,62.49,62.49,0,0%
2022-05-31,70.01,70.01,70.01,70.01,0,0%
2022-04-30,68.64,68.64,68.64,68.64,0,0%
2022-03-31,73.6,73.6,73.6,73.6,0,0%
2022-02-28,73.22,73.22,73.22,73.22,0,0%
2022-01-31,75.82,75.82,75.82,75.82,0,0%
2021-12-31,78.68,78.68,78.68,78.68,0,0%
2021-11-30,76.84,76.84,76.84,76.84,0,0%
2021-10-31,80.49,80.49,80.49,80.49,0,0%
2021-09-30,78.01,78.01,78.01,78.01,0,0%
2021-08-31,80.64,80.64,80.64,80.64,0,0%
2021-07-31,79.49,79.49,79.49,79.49,0,0%
2021-06-30,78.88,78.88,78.88,78.88,0,0%
2021-05-31,80.83,80.83,80.83,80.83,0,0%
2021-04-30,78.11,78.11,78.11,78.11,0,0%
2021-03-31,75.87,75.87,75.87,75.87,0,0%
2021-02-28,74.01,74.01,74.01,74.01,0,0%
2021-01-31,72.39,72.39,72.39,72.39,0,0%
2020-12-31,72.96,72.96,72.96,72.96,0,0%
2020-11-30,70.15,70.15,70.15,70.15,0,0%
2020-10-31,61.39,61.39,61.39,61.39,0,0%
2020-09-30,63.65,63.65,63.65,63.65,0,0%
2020-08-31,64.98,64.98,64.98,64.98,0,0%
2020-07-31,62.05,62.05,62.05,62.05,0,0%
2020-06-30,60.87,60.87,60.87,60.87,0,0%
2020-05-31,59.64,59.64,59.64,59.64,0,0%
2020-04-30,56.57,56.57,56.57,56.57,0,0%
2020-03-31,53.46,53.46,53.46,53.46,0,0%
2020-02-29,62.24,62.24,62.24,62.24,0,0%
2020-01-31,67.48,67.48,67.48,67.48,0,0%
2019-12-31,69.44,69.44,69.44,69.44,0,0%
2019-11-30,68.18,68.18,68.18,68.18,0,0%
2019-10-31,67.42,67.42,67.42,67.42,0,0%
2019-09-30,65.21,65.21,65.21,65.21,0,0%
2019-08-31,63.21,63.21,63.21,63.21,0,0%
2019-07-31,64.45,64.45,64.45,64.45,0,0%
2019-06-30,65.73,65.73,65.73,65.73,0,0%
2019-05-31,63.4,63.4,63.4,63.4,0,0%
2019-04-30,66.76,66.76,66.76,66.76,0,0%
2019-03-31,64.86,64.86,64.86,64.86,0,0%
2019-02-28,64.27,64.27,64.27,64.27,0,0%
2019-01-31,62.68,62.68,62.68,62.68,0,0%
2018-12-31,58.78,58.78,58.78,58.78,0,0%
2018-11-30,62.77,62.77,62.77,62.77,0,0%
2018-10-31,62.46,62.46,62.46,62.46,0,0%
2018-09-30,67.99,67.99,67.99,67.99,0,0%
2018-08-31,67.34,67.34,67.34,67.34,0,0%
2018-07-31,68.88,68.88,68.88,68.88,0,0%
2018-06-30,66.97,66.97,66.97,66.97,0,0%
2018-05-31,69.4,69.4,69.4,69.4,0,0%
2018-04-30,70.74,70.74,70.74,70.74,0,0%
2018-03-31,69.68,69.68,69.68,69.68,0,0%
2018-02-28,70.27,70.27,70.27,70.27,0,0%
2018-01-31,73.84,73.84,73.84,73.84,0,0%
2017-12-31,70.31,70.31,70.31,70.31,0,0%
2017-11-30,70.11,70.11,70.11,70.11,0,0%
2017-10-31,69.63,69.63,69.63,69.63,0,0%
2017-09-30,68.48,68.48,68.48,68.48,0,0%
2017-08-31,66.9,66.9,66.9,66.9,0,0%
2017-07-31,66.93,66.93,66.93,66.93,0,0%
2017-06-30,65.2,65.2,65.2,65.2,0,0%
2017-05-31,66.06,66.06,66.06,66.06,0,0%
2017-04-30,63.8,63.8,63.8,63.8,0,0%
2017-03-31,62.29,62.29,62.29,62.29,0,0%
2017-02-28,60.34,60.34,60.34,60.34,0,0%
2017-01-31,59.63,59.63,59.63,59.63,0,0%
2016-12-31,57.73,57.73,57.73,57.73,0,0%
2016-11-30,56.79,56.79,56.79,56.79,0,0%
2016-10-31,57.82,57.82,57.82,57.82,0,0%
2016-09-30,59.13,59.13,59.13,59.13,0,0%
2016-08-31,58.35,58.35,58.35,58.35,0,0%
2016-07-31,58.04,58.04,58.04,58.04,0,0%
2016-06-30,55.82,55.82,55.82,55.82,0,0%
2016-05-31,58.38,58.38,58.38,58.38,0,0%
2016-04-30,58.43,58.43,58.43,58.43,0,0%
2016-03-31,57.16,57.16,57.16,57.16,0,0%
2016-02-29,53.63,53.63,53.63,53.63,0,0%
2016-01-31,55.48,55.48,55.48,55.48,0,0%
2015-12-31,58.72,58.72,58.72,58.72,0,0%
2015-11-30,60.65,60.65,60.65,60.65,0,0%
2015-10-31,61.11,61.11,61.11,61.11,0,0%
2015-09-30,57.32,57.32,57.32,57.32,0,0%
2015-08-31,59.97,59.97,59.97,59.97,0,0%
2015-07-31,64.78,64.78,64.78,64.78,0,0%
2015-06-30,63.49,63.49,63.49,63.49,0,0%
2015-05-31,66.64,66.64,66.64,66.64,0,0%
2015-04-30,66.51,66.51,66.51,66.51,0,0%
2015-03-31,64.17,64.17,64.17,64.17,0,0%
2015-02-28,65.1,65.1,65.1,65.1,0,0%
2015-01-31,61.22,61.22,61.22,61.22,0,0%
2014-12-31,60.84,60.84,60.84,60.84,0,0%
2014-11-30,63.99,63.99,63.99,63.99,0,0%
2014-10-31,63.95,63.95,63.95,63.95,0,0%
2014-09-30,64.12,64.12,64.12,64.12,0,0%
2014-08-31,66.71,66.71,66.71,66.71,0,0%
2014-07-31,66.59,66.59,66.59,66.59,0,0%
2014-06-30,68.37,68.37,68.37,68.37,0,0%
2014-05-31,69.41,69.41,69.41,69.41,0,0%
2014-04-30,68.32,68.32,68.32,68.32,0,0%
2014-03-31,67.2,67.2,67.2,67.2,0,0%
2014-02-28,67.51,67.51,67.51,67.51,0,0%
2014-01-31,63.61,63.61,63.61,63.61,0,0%
2013-12-31,67.1,67.1,67.1,67.1,0,0%
2013-11-30,66.24,66.24,66.24,66.24,0,0%
2013-10-31,65.88,65.88,65.88,65.88,0,0%
