"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","57.80","56.91","58.19","54.64","7.11M","1.99%"
"2026- 04- 01","56.67","54.90","58.99","53.70","9.33M","4.35%"
"2026- 03- 01","54.31","55.70","56.33","51.43","17.65M","-5.12%"
"2026- 02- 01","57.24","56.60","58.32","55.17","11.43M","1.69%"
"2026- 01- 01","56.29","54.47","57.17","53.71","14.74M","4.41%"
"2025- 12- 01","53.91","51.61","54.35","51.54","15.91M","4.36%"
"2025- 11- 01","51.66","50.18","52.78","49.33","13.64M","2.97%"
"2025- 10- 01","50.17","49.55","51.03","48.28","14.80M","1.35%"
"2025- 09- 01","49.50","46.63","49.57","46.56","7.71M","3.75%"
"2025- 08- 01","47.71","44.52","49.38","44.19","8.21M","6.69%"
"2025- 07- 01","44.72","44.19","45.54","43.45","10.88M","1.57%"
"2025- 06- 01","44.03","43.35","44.09","42.36","11.39M","1.71%"
"2025- 05- 01","43.29","40.88","43.70","40.40","12.16M","6.63%"
"2025- 04- 01","40.60","38.19","41.33","33.85","12.65M","6.67%"
"2025- 03- 01","38.06","36.74","38.97","35.64","8.79M","5.49%"
"2025- 02- 01","36.08","32.20","36.69","32.05","9.80M","9.37%"
"2025- 01- 01","32.99","31.08","33.61","30.84","4.86M","6.25%"
"2024- 12- 01","31.05","32.80","33.96","30.54","6.35M","-5.13%"
"2024- 11- 01","32.73","34.36","34.78","31.89","7.11M","-3.51%"
"2024- 10- 01","33.92","34.85","34.89","33.63","9.58M","-3.88%"
"2024- 09- 01","35.29","33.52","35.77","33.04","6.00M","4.13%"
"2024- 08- 01","33.89","32.03","33.97","30.33","4.26M","4.47%"
"2024- 07- 01","32.44","31.75","32.99","31.20","4.59M","3.87%"
"2024- 06- 01","31.23","33.72","33.82","30.89","5.15M","-7.22%"
"2024- 05- 01","33.66","31.26","33.77","31.04","5.87M","7.61%"
"2024- 04- 01","31.28","32.16","32.57","30.22","9.97M","-2.77%"
"2024- 03- 01","32.17","29.44","32.37","29.22","3.11M","9.95%"
"2024- 02- 01","29.26","29.69","29.88","28.71","9.58M","-0.95%"
"2024- 01- 01","29.54","30.52","30.86","28.94","8.00M","-3.53%"
"2023- 12- 01","30.62","30.48","31.30","29.96","9.55M","0.33%"
"2023- 11- 01","30.52","26.71","30.84","26.65","9.12M","14.05%"
"2023- 10- 01","26.76","27.40","27.70","26.11","6.99M","-2.69%"
"2023- 09- 01","27.50","28.49","28.69","26.95","9.38M","-3.44%"
"2023- 08- 01","28.48","29.07","29.10","27.57","11.06M","-2.93%"
"2023- 07- 01","29.34","28.91","29.78","27.70","7.55M","1.52%"
"2023- 06- 01","28.90","27.18","28.96","27.16","6.32M","6.96%"
"2023- 05- 01","27.02","28.50","28.74","26.77","7.21M","-5.43%"
"2023- 04- 01","28.57","27.72","29.18","27.72","8.10M","2.51%"
"2023- 03- 01","27.87","27.48","27.98","25.50","6.45M","1.68%"
"2023- 02- 01","27.41","27.07","27.72","26.70","5.48M","1.86%"
"2023- 01- 01","26.91","24.41","26.99","24.24","10.11M","11.29%"
"2022- 12- 01","24.18","24.81","24.87","23.61","5.73M","-1.35%"
"2022- 11- 01","24.51","22.29","24.53","21.23","8.55M","11.82%"
"2022- 10- 01","21.92","20.14","22.14","19.27","11.18M","10.60%"
"2022- 09- 01","19.82","21.66","23.07","19.64","10.27M","-8.96%"
"2022- 08- 01","21.77","22.76","23.90","21.75","9.66M","-5.10%"
"2022- 07- 01","22.94","23.17","23.65","21.12","17.03M","-1.63%"
"2022- 06- 01","23.32","26.16","26.33","22.62","17.53M","-11.16%"
"2022- 05- 01","26.25","24.54","26.55","23.34","19.66M","6.84%"
"2022- 04- 01","24.57","25.79","26.43","24.34","13.46M","-3.50%"
"2022- 03- 01","25.46","25.36","26.17","22.29","35.51M","-0.47%"
"2022- 02- 01","25.58","26.65","27.68","24.48","35.64M","-3.03%"
"2022- 01- 01","26.38","26.49","27.25","25.47","33.00M","0.42%"
"2021- 12- 01","26.27","25.74","26.45","24.64","26.05M","3.51%"
"2021- 11- 01","25.38","28.57","28.77","25.15","21.76M","-10.22%"
"2021- 10- 01","28.27","27.03","28.42","26.84","21.75M","4.82%"
"2021- 09- 01","26.97","28.66","28.75","26.55","25.32M","-4.06%"
"2021- 08- 01","28.11","28.02","28.57","27.77","18.90M","1.19%"
"2021- 07- 01","27.78","28.60","28.73","26.31","17.95M","-2.25%"
"2021- 06- 01","28.42","30.80","30.88","28.28","16.67M","-7.55%"
"2021- 05- 01","30.74","29.12","30.87","28.80","16.16M","6.29%"
"2021- 04- 01","28.92","27.39","29.22","27.33","15.41M","5.59%"
"2021- 03- 01","27.39","27.20","28.01","26.68","15.76M","1.33%"
"2021- 02- 01","27.03","26.18","27.86","26.01","18.04M","3.88%"
