날짜,종가
2026-06-30,201.9
2026-05-31,205.83
2026-04-30,160.76
2026-03-31,123.01
2026-02-28,151.37
2026-01-31,122.41
2025-12-31,97.22
2025-11-30,88.87
2025-10-31,94.87
2025-09-30,78.34
2025-08-31,70.65
2025-07-31,71.21
2025-06-30,70.2
2025-05-31,59.3
2025-04-30,54.96
2025-03-31,52.85
2025-02-28,53.47
2025-01-31,52.78
2024-12-31,49.77
2024-11-30,54.86
2024-10-31,57.23
2024-09-30,61.09
2024-08-31,62.57
2024-07-31,63.57
2024-06-30,63.13
2024-05-31,59.39
2024-04-30,60.22
2024-03-31,64.1
2024-02-29,61.24
2024-01-31,56.81
2023-12-31,62.59
2023-11-30,58.68
2023-10-31,51.15
2023-09-30,54.87
2023-08-31,58.13
2023-07-31,62.9
2023-06-30,59.0
2023-05-31,58.44
2023-04-30,56.48
2023-03-31,56.99
2023-02-28,54.46
2023-01-31,59.08
2022-12-31,52.58
2022-11-30,55.83
2022-10-31,47.65
2022-09-30,43.56
2022-08-31,53.26
2022-07-31,55.69
2022-06-30,53.52
2022-05-31,62.58
2022-04-30,61.29
2022-03-31,65.51
2022-02-28,66.6
2022-01-31,66.58
2021-12-31,71.62
2021-11-30,68.2
2021-10-31,71.59
2021-09-30,72.64
2021-08-31,78.07
2021-07-31,79.93
2021-06-30,83.92
2021-05-31,82.88
2021-04-30,81.56
2021-03-31,80.79
2021-02-28,79.23
2021-01-31,79.34
2020-12-31,77.5
2020-11-30,68.3
2020-10-31,58.0
2020-09-30,58.4
2020-08-31,56.37
2020-07-31,53.86
2020-06-30,51.06
2020-05-31,47.87
2020-04-30,46.13
2020-03-31,41.93
2020-02-29,49.12
2020-01-31,51.52
2019-12-31,55.58
2019-11-30,51.14
2019-10-31,51.54
2019-09-30,49.28
2019-08-31,46.58
2019-07-31,48.45
2019-06-30,52.36
2019-05-31,48.6
2019-04-30,53.77
2019-03-31,53.31
2019-02-28,55.08
2019-01-31,56.61
2018-12-31,51.48
2018-11-30,52.3
2018-10-31,50.28
2018-09-30,58.9
2018-08-31,58.08
2018-07-31,58.03
2018-06-30,58.42
2018-05-31,62.24
2018-04-30,65.23
2018-03-31,65.1
2018-02-28,62.2
2018-01-31,67.51
2017-12-31,64.65
2017-11-30,62.97
2017-10-31,62.64
2017-09-30,57.87
2017-08-31,57.37
2017-07-31,58.4
2017-06-30,56.82
