"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","131.04","139.56","141.40","126.40","10.47M","-4.99%"
"2026- 04- 01","137.92","121.18","146.71","112.90","15.95M","16.39%"
"2026- 03- 01","118.50","128.44","137.50","106.90","24.89M","-12.09%"
"2026- 02- 01","134.79","154.25","161.66","126.00","16.50M","-12.50%"
"2026- 01- 01","154.04","169.24","184.40","148.46","15.61M","-8.49%"
"2025- 12- 01","168.33","165.25","179.24","153.93","9.19M","0.37%"
"2025- 11- 01","167.71","160.60","174.51","148.17","10.70M","4.43%"
"2025- 10- 01","160.60","175.82","179.60","154.42","15.39M","-9.72%"
"2025- 09- 01","177.90","176.95","184.74","168.14","10.16M","-1.17%"
"2025- 08- 01","180.01","160.63","181.53","153.93","9.66M","8.20%"
"2025- 07- 01","166.37","167.79","177.73","157.75","12.85M","-1.32%"
"2025- 06- 01","168.60","153.34","169.32","145.17","13.29M","8.06%"
"2025- 05- 01","156.02","138.00","165.08","136.33","12.53M","12.42%"
"2025- 04- 01","138.78","156.18","162.88","92.66","26.36M","-12.24%"
"2025- 03- 01","158.13","185.88","189.23","135.17","15.69M","-14.33%"
"2025- 02- 01","184.57","171.38","187.15","165.55","12.41M","2.82%"
"2025- 01- 01","179.51","153.08","185.39","138.22","15.37M","18.90%"
"2024- 12- 01","150.98","182.69","183.21","143.37","11.95M","-17.04%"
"2024- 11- 01","182.00","139.23","184.88","133.81","12.89M","31.59%"
"2024- 10- 01","138.31","129.18","151.04","124.17","13.19M","6.56%"
"2024- 09- 01","129.79","132.31","135.30","113.68","12.38M","-3.19%"
"2024- 08- 01","134.06","120.88","134.50","95.43","15.36M","11.89%"
"2024- 07- 01","119.81","102.15","123.66","100.43","17.93M","18.64%"
"2024- 06- 01","100.99","105.50","107.01","95.40","9.23M","-4.13%"
"2024- 05- 01","105.34","97.09","112.44","95.93","9.75M","8.13%"
"2024- 04- 01","97.42","112.53","112.88","92.06","14.90M","-13.17%"
"2024- 03- 01","112.20","98.97","113.08","97.74","13.87M","13.29%"
"2024- 02- 01","99.04","88.59","100.73","85.57","15.97M","11.28%"
"2024- 01- 01","89.00","81.32","93.99","77.68","17.29M","7.68%"
"2023- 12- 01","82.65","71.46","83.77","70.81","14.80M","15.11%"
"2023- 11- 01","71.80","53.76","71.90","53.38","12.62M","34.33%"
"2023- 10- 01","53.45","58.15","62.29","48.73","18.61M","-9.05%"
"2023- 09- 01","58.77","66.87","69.23","57.66","10.96M","-10.71%"
"2023- 08- 01","65.82","71.91","72.90","61.40","20.16M","-9.08%"
"2023- 07- 01","72.39","63.73","74.95","60.95","34.71M","13.86%"
"2023- 06- 01","63.58","54.56","64.50","53.70","24.50M","18.18%"
"2023- 05- 01","53.80","63.15","64.00","52.12","24.21M","-13.96%"
"2023- 04- 01","62.53","57.56","64.98","55.00","26.05M","8.43%"
"2023- 03- 01","57.67","80.52","84.95","48.86","73.89M","-29.26%"
"2023- 02- 01","81.52","86.00","92.29","78.57","16.08M","-7.72%"
"2023- 01- 01","88.34","75.00","88.51","72.64","23.24M","20.11%"
"2022- 12- 01","73.55","88.90","89.48","67.50","16.96M","-16.61%"
"2022- 11- 01","88.20","75.54","88.29","67.98","23.18M","19.63%"
"2022- 10- 01","73.73","55.99","75.49","49.62","42.29M","36.01%"
"2022- 09- 01","54.21","70.00","82.42","53.24","38.52M","-23.41%"
"2022- 08- 01","70.78","74.73","92.24","70.66","23.65M","-7.53%"
"2022- 07- 01","76.54","62.36","77.29","56.32","28.25M","21.30%"
"2022- 06- 01","63.10","89.45","90.59","57.04","32.60M","-30.03%"
"2022- 05- 01","90.18","84.29","95.72","68.31","40.18M","8.38%"
"2022- 04- 01","83.21","119.39","119.82","82.60","30.15M","-29.23%"
"2022- 03- 01","117.57","116.64","132.47","93.00","42.53M","-2.59%"
"2022- 02- 01","120.69","128.79","149.84","104.08","31.87M","-5.65%"
"2022- 01- 01","127.92","133.60","155.82","106.25","43.73M","-2.15%"
"2021- 12- 01","130.73","127.23","135.79","112.58","33.22M","7.44%"
"2021- 11- 01","121.68","147.30","150.41","121.22","30.07M","-15.91%"
"2021- 10- 01","144.71","116.34","151.00","114.79","35.66M","25.18%"
"2021- 09- 01","115.60","124.62","127.63","103.17","35.67M","-6.96%"
"2021- 08- 01","124.25","108.29","129.53","103.52","40.00M","16.14%"
"2021- 07- 01","106.98","110.56","112.20","92.91","40.83M","-2.12%"
"2021- 06- 01","109.30","124.80","126.65","96.01","43.97M","-10.23%"
"2021- 05- 01","121.75","110.54","125.74","106.24","35.26M","12.55%"
"2021- 04- 01","108.17","90.24","111.34","90.24","33.30M","19.04%"
