날짜,종가
2026-06-30,147.18
2026-05-31,131.41
2026-04-30,137.43
2026-03-31,118.08
2026-02-28,133.63
2026-01-31,152.71
2025-12-31,166.88
2025-11-30,153.85
2025-10-31,147.33
2025-09-30,163.2
2025-08-31,164.78
2025-07-31,152.29
2025-06-30,154.33
2025-05-31,142.36
2025-04-30,126.63
2025-03-31,144.29
2025-02-28,167.94
2025-01-31,163.33
2024-12-31,137.37
2024-11-30,165.39
2024-10-31,125.69
2024-09-30,117.95
2024-08-31,121.53
2024-07-31,108.61
2024-06-30,91.55
2024-05-31,95.25
2024-04-30,88.09
2024-03-31,101.45
2024-02-29,89.24
2024-01-31,80.19
2023-12-31,74.47
2023-11-30,64.38
2023-10-31,47.93
2023-09-30,52.7
2023-08-31,58.77
2023-07-31,64.63
2023-06-30,56.77
2023-05-31,47.55
2023-04-30,55.27
2023-03-31,50.97
2023-02-28,71.83
2023-01-31,77.84
2022-12-31,64.8
2022-11-30,77.35
2022-10-31,64.66
2022-09-30,47.54
2022-08-31,61.88
2022-07-31,66.91
2022-06-30,55.16
2022-05-31,78.68
2022-04-30,72.6
2022-03-31,102.58
2022-02-28,105.31
2022-01-31,111.61
2021-12-31,114.07
2021-11-30,105.84
2021-10-31,125.88
2021-09-30,100.56
2021-08-31,107.93
2021-07-31,92.93
2021-06-30,94.94
2021-05-31,105.61
2021-04-30,93.83
2021-03-31,78.83
2021-02-28,67.41
2021-01-31,49.38
2020-12-31,52.66
2020-11-30,44.36
2020-10-31,29.07
2020-09-30,29.3
2020-08-31,34.14
2020-07-31,30.21
2020-06-30,27.03
2020-05-31,27.85
2020-04-30,25.32
2020-03-31,20.24
2020-02-29,57.64
2020-01-31,79.65
2019-12-31,80.99
2019-11-30,77.02
2019-10-31,69.2
2019-09-30,66.37
2019-08-31,61.88
2019-07-31,67.67
2019-06-30,63.12
2019-05-31,54.19
2019-04-30,63.1
2019-03-31,52.65
2019-02-28,53.45
2019-01-31,49.0
2018-12-31,38.02
2018-11-30,53.16
2018-10-31,49.53
2018-09-30,59.51
2018-08-31,63.05
2018-07-31,58.66
2018-06-30,53.16
2018-05-31,54.02
2018-04-30,53.42
2018-03-31,54.11
2018-02-28,58.78
2018-01-31,66.21
2017-12-31,57.46
2017-11-30,55.3
2017-10-31,50.65
2017-09-30,46.98
2017-08-31,42.61
2017-07-31,43.88
2017-06-30,41.46
2017-05-31,36.39
2017-04-30,37.02
2017-03-31,37.27
2017-02-28,40.11
2017-01-31,34.83
2016-12-31,34.33
2016-11-30,31.06
2016-10-31,24.64
2016-09-30,24.47
2016-08-31,25.95
2016-07-31,23.81
2016-06-30,21.37
2016-05-31,23.82
2016-04-30,22.43
2016-03-31,20.79
2016-02-29,16.94
2016-01-31,18.46
2015-12-31,24.4
2015-11-30,26.49
2015-10-31,25.4
2015-09-30,21.08
2015-08-31,23.22
2015-07-31,28.98
2015-06-30,26.27
2015-05-31,26.86
2015-04-30,25.52
2015-03-31,25.65
2015-02-28,26.09
2015-01-31,22.4
2014-12-31,26.68
2014-11-30,25.7
2014-10-31,23.87
2014-09-30,21.61
2014-08-31,22.4
2014-07-31,20.05
2014-06-30,20.98
2014-05-31,19.64
2014-04-30,18.82
2014-03-31,19.86
2014-02-28,18.57
2014-01-31,16.93
2013-12-31,18.95
2013-11-30,17.66
2013-10-31,15.95
2013-09-30,14.43
2013-08-31,13.15
2013-07-31,15.36
2013-06-30,13.36
2013-05-31,14.09
2013-04-30,12.35
2013-03-31,11.56
2013-02-28,10.33
2013-01-31,9.95
2012-12-31,8.39
2012-11-30,7.5
2012-10-31,7.63
2012-09-30,7.34
2012-08-31,6.76
2012-07-31,6.25
2012-06-30,6.24
2012-05-31,5.5
2012-04-30,7.23
2012-03-31,7.63
2012-02-29,6.39
2012-01-31,5.55
2011-12-31,4.54
2011-11-30,4.34
2011-10-31,5.13
2011-09-30,3.71
2011-08-31,5.46
2011-07-31,8.02
2011-06-30,8.97
2011-05-31,9.87
2011-04-30,10.73
2011-03-31,10.59
2011-02-28,11.38
2011-01-31,10.47
2010-12-31,9.74
2010-11-30,7.48
2010-10-31,7.76
2010-09-30,7.46
2010-08-31,6.26
2010-07-31,7.91
2010-06-30,6.68
2010-05-31,8.44
2010-04-30,11.77
2010-03-31,11.25
2010-02-28,8.71
2010-01-31,8.07
2009-12-31,8.61
2009-11-30,8.77
2009-10-31,7.85
2009-09-30,9.54
2009-08-31,9.18
2009-07-31,6.68
2009-06-30,5.36
2009-05-31,5.79
2009-04-30,4.71
2009-03-31,3.19
2009-02-28,2.83
2009-01-31,5.3
2008-12-31,14.72
2008-11-30,17.72
