날짜,종가
2026-06-30,264.72
2026-05-31,283.38
2026-04-30,263.43
2026-03-31,234.03
2026-02-28,243.46
2026-01-31,260.63
2025-12-31,269.18
2025-11-30,270.16
2025-10-31,283.94
2025-09-30,279.84
2025-08-31,276.53
2025-07-31,273.83
2025-06-30,269.33
2025-05-31,251.2
2025-04-30,231.22
2025-03-31,222.15
2025-02-28,246.33
2025-01-31,262.88
2024-12-31,243.17
2024-11-30,241.99
2024-10-31,219.48
2024-09-30,211.83
2024-08-31,202.9
2024-07-31,198.68
2024-06-30,204.94
2024-05-31,193.7
2024-04-30,195.13
2024-03-31,205.09
2024-02-29,202.54
2024-01-31,191.4
2023-12-31,186.55
2023-11-30,171.58
2023-10-31,152.84
2023-09-30,159.61
2023-08-31,169.53
2023-07-31,173.71
2023-06-30,162.99
2023-05-31,156.34
2023-04-30,142.3
2023-03-31,147.85
2023-02-28,136.86
2023-01-31,141.25
2022-12-31,123.15
2022-11-30,132.41
2022-10-31,128.83
2022-09-30,126.22
2022-08-31,138.99
2022-07-31,141.79
2022-06-30,127.03
2022-05-31,139.79
2022-04-30,154.81
2022-03-31,187.88
2022-02-28,187.73
2022-01-31,198.46
2021-12-31,226.13
2021-11-30,229.82
2021-10-31,244.47
2021-09-30,235.91
2021-08-31,249.39
2021-07-31,241.9
2021-06-30,244.86
2021-05-31,225.81
2021-04-30,228.84
2021-03-31,218.08
2021-02-28,224.03
2021-01-31,215.98
2020-12-31,212.23
2020-11-30,207.47
2020-10-31,187.01
2020-09-30,188.33
2020-08-31,198.39
2020-07-31,183.83
2020-06-30,170.51
2020-05-31,163.03
2020-04-30,147.7
2020-03-31,123.73
2020-02-29,137.4
2020-01-31,144.55
2019-12-31,139.12
2019-11-30,137.72
2019-10-31,133.75
2019-09-30,134.64
2019-08-31,137.15
2019-07-31,146.12
2019-06-30,143.82
2019-05-31,137.95
2019-04-30,147.73
2019-03-31,138.9
2019-02-28,137.0
2019-01-31,132.32
2018-12-31,116.66
2018-11-30,126.28
2018-10-31,126.01
2018-09-30,141.54
2018-08-31,145.69
2018-07-31,135.4
2018-06-30,137.65
2018-05-31,134.41
2018-04-30,123.84
2018-03-31,120.5
2018-02-28,123.11
2018-01-31,121.86
2017-12-31,109.88
2017-11-30,108.9
2017-10-31,107.43
2017-09-30,102.36
2017-08-31,100.52
2017-07-31,98.87
2017-06-30,94.74
2017-05-31,94.69
2017-04-30,92.24
2017-03-31,88.04
2017-02-28,86.21
2017-01-31,85.34
2016-12-31,79.83
2016-11-30,79.92
2016-10-31,81.35
2016-09-30,81.56
2016-08-31,79.07
2016-07-31,77.52
2016-06-30,72.12
2016-05-31,73.16
2016-04-30,69.46
2016-03-31,68.29
2016-02-29,65.33
2016-01-31,66.07
2015-12-31,74.61
2015-11-30,76.28
2015-10-31,74.4
2015-09-30,66.07
2015-08-31,68.43
2015-07-31,72.41
2015-06-30,67.2
2015-05-31,67.05
2015-04-30,66.48
2015-03-31,64.92
2015-02-28,66.13
2015-01-31,60.13
2014-12-31,61.32
2014-11-30,62.15
2014-10-31,61.04
2014-09-30,60.9
2014-08-31,62.08
2014-07-31,58.94
2014-06-30,59.58
2014-05-31,56.83
2014-04-30,54.88
2014-03-31,59.04
2014-02-28,64.32
2014-01-31,60.01
2013-12-31,59.86
2013-11-30,56.5
2013-10-31,54.6
2013-09-30,53.77
2013-08-31,49.58
2013-07-31,49.24
2013-06-30,45.4
2013-05-31,45.82
2013-04-30,43.34
2013-03-31,43.14
2013-02-28,42.59
2013-01-31,42.45
2012-12-31,38.97
2012-11-30,38.1
2012-10-31,36.31
2012-09-30,37.93
2012-08-31,36.71
2012-07-31,35.08
2012-06-30,35.29
2012-05-31,34.24
2012-04-30,36.81
2012-03-31,37.1
2012-02-29,35.29
2012-01-31,33.72
2011-12-31,32.3
2011-11-30,32.32
2011-10-31,33.48
2011-09-30,29.32
2011-08-31,32.42
2011-07-31,35.45
2011-06-30,36.23
2011-05-31,36.9
2011-04-30,37.67
2011-03-31,36.34
2011-02-28,35.49
2011-01-31,34.48
2010-12-31,34.3
2010-11-30,33.23
2010-10-31,32.63
2010-09-30,30.05
2010-08-31,26.21
2010-07-31,25.93
2010-06-30,23.85
2010-05-31,25.6
2010-04-30,27.26
2010-03-31,26.64
2010-02-28,24.17
2010-01-31,23.4
2009-12-31,25.09
2009-11-30,23.78
2009-10-31,22.56
2009-09-30,22.93
2009-08-31,21.02
2009-07-31,20.39
2009-06-30,18.68
2009-05-31,18.77
2009-04-30,17.9
2009-03-31,14.96
2009-02-28,13.9
2009-01-31,13.48
2008-12-31,14.0
2008-11-30,13.03
2008-10-31,14.57
2008-09-30,18.69
2008-08-31,21.8
2008-07-31,21.83
2008-06-30,22.32
2008-05-31,25.04
2008-04-30,23.99
2008-03-31,22.16
2008-02-29,22.3
2008-01-31,22.05
2007-12-31,25.02
2007-11-30,25.86
2007-10-31,27.82
2007-09-30,25.94
2007-08-31,24.17
2007-07-31,24.1
2007-06-30,25.84
2007-05-31,26.08
2007-04-30,24.42
2007-03-31,23.22
2007-02-28,23.3
2007-01-31,23.59
2006-12-31,22.48
2006-11-30,23.12
2006-10-31,22.27
2006-09-30,20.89
2006-08-31,20.3
2006-07-31,18.91
2006-06-30,21.16
