"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","408.49","421.41","437.42","404.30","105.46M","-3.58%"
"2026- 04- 01","423.66","435.00","448.70","414.16","157.13M","-1.54%"
"2026- 03- 01","430.29","490.10","492.15","399.20","346.66M","-11.05%"
"2026- 02- 01","483.75","434.01","483.90","422.55","307.03M","8.72%"
"2026- 01- 01","444.95","401.62","509.70","396.25","524.01M","12.27%"
"2025- 12- 01","396.31","390.61","418.45","382.91","232.08M","2.17%"
"2025- 11- 01","387.88","368.91","388.18","361.39","209.29M","5.37%"
"2025- 10- 01","368.12","356.17","403.30","351.40","553.02M","3.56%"
"2025- 09- 01","355.47","320.82","355.57","320.24","302.00M","11.76%"
"2025- 08- 01","318.07","308.61","318.09","305.19","178.58M","4.99%"
"2025- 07- 01","302.96","308.55","316.24","300.95","202.61M","-0.61%"
"2025- 06- 01","304.83","309.21","317.60","299.89","199.60M","0.41%"
"2025- 05- 01","303.60","297.41","315.62","291.78","235.25M","-0.06%"
"2025- 04- 01","303.77","288.54","317.63","272.58","354.30M","5.42%"
"2025- 03- 01","288.14","265.07","288.39","265.07","181.03M","9.45%"
"2025- 02- 01","263.27","259.75","272.32","259.52","178.99M","1.82%"
"2025- 01- 01","258.56","244.22","259.99","242.05","141.39M","6.79%"
"2024- 12- 01","242.13","244.46","251.26","238.73","115.49M","-1.41%"
"2024- 11- 01","245.59","254.33","254.86","236.13","152.76M","-3.12%"
"2024- 10- 01","253.51","245.20","257.71","240.63","145.96M","4.30%"
"2024- 09- 01","243.06","230.38","247.37","228.52","130.63M","5.09%"
"2024- 08- 01","231.29","226.74","234.01","220.11","147.22M","2.09%"
"2024- 07- 01","226.55","215.25","229.65","214.49","138.68M","5.37%"
"2024- 06- 01","215.01","215.92","219.97","211.54","108.84M","-0.13%"
"2024- 05- 01","215.30","212.96","225.66","210.71","141.71M","1.62%"
"2024- 04- 01","211.87","208.68","225.09","206.29","254.35M","2.99%"
"2024- 03- 01","205.72","190.27","206.05","189.44","162.62M","8.67%"
"2024- 02- 01","189.31","189.71","191.36","183.78","118.52M","0.46%"
"2024- 01- 01","188.45","191.44","191.89","185.45","124.74M","-1.42%"
"2023- 12- 01","191.17","188.80","193.18","183.15","153.61M","1.28%"
"2023- 11- 01","188.75","183.91","189.99","179.11","143.77M","2.53%"
"2023- 10- 01","184.09","170.23","186.36","168.30","222.54M","7.37%"
"2023- 09- 01","171.45","180.80","181.12","171.26","122.81M","-4.76%"
"2023- 08- 01","180.02","180.85","181.38","174.93","140.45M","-1.28%"
"2023- 07- 01","182.35","178.61","184.23","176.66","99.86M","2.29%"
"2023- 06- 01","178.27","182.81","184.21","175.79","134.63M","-2.22%"
"2023- 05- 01","182.32","186.05","191.36","180.09","181.07M","-1.34%"
"2023- 04- 01","184.80","183.85","190.41","183.22","170.99M","0.86%"
