날짜,종가,시가,고가,저가,거래량,변동 %
2026-07-31,370.6,370.6,370.6,370.6,0,0%
2026-06-30,368.38,368.38,368.38,368.38,0,0%
2026-05-31,417.12,417.12,417.12,417.12,0,0%
2026-04-30,423.66,423.66,423.66,423.66,0,0%
2026-03-31,430.29,430.29,430.29,430.29,0,0%
2026-02-28,483.75,483.75,483.75,483.75,0,0%
2026-01-31,444.95,444.95,444.95,444.95,0,0%
2025-12-31,396.31,396.31,396.31,396.31,0,0%
2025-11-30,387.88,387.88,387.88,387.88,0,0%
2025-10-31,368.12,368.12,368.12,368.12,0,0%
2025-09-30,355.47,355.47,355.47,355.47,0,0%
2025-08-31,318.07,318.07,318.07,318.07,0,0%
2025-07-31,302.96,302.96,302.96,302.96,0,0%
2025-06-30,304.83,304.83,304.83,304.83,0,0%
2025-05-31,303.6,303.6,303.6,303.6,0,0%
2025-04-30,303.77,303.77,303.77,303.77,0,0%
2025-03-31,288.14,288.14,288.14,288.14,0,0%
2025-02-28,263.27,263.27,263.27,263.27,0,0%
2025-01-31,258.56,258.56,258.56,258.56,0,0%
2024-12-31,242.13,242.13,242.13,242.13,0,0%
2024-11-30,245.59,245.59,245.59,245.59,0,0%
2024-10-31,253.51,253.51,253.51,253.51,0,0%
2024-09-30,243.06,243.06,243.06,243.06,0,0%
2024-08-31,231.29,231.29,231.29,231.29,0,0%
2024-07-31,226.55,226.55,226.55,226.55,0,0%
2024-06-30,215.01,215.01,215.01,215.01,0,0%
2024-05-31,215.3,215.3,215.3,215.3,0,0%
2024-04-30,211.87,211.87,211.87,211.87,0,0%
2024-03-31,205.72,205.72,205.72,205.72,0,0%
2024-02-29,189.31,189.31,189.31,189.31,0,0%
2024-01-31,188.45,188.45,188.45,188.45,0,0%
2023-12-31,191.17,191.17,191.17,191.17,0,0%
2023-11-30,188.75,188.75,188.75,188.75,0,0%
2023-10-31,184.09,184.09,184.09,184.09,0,0%
2023-09-30,171.45,171.45,171.45,171.45,0,0%
2023-08-31,180.02,180.02,180.02,180.02,0,0%
2023-07-31,182.35,182.35,182.35,182.35,0,0%
2023-06-30,178.27,178.27,178.27,178.27,0,0%
2023-05-31,182.32,182.32,182.32,182.32,0,0%
2023-04-30,184.8,184.8,184.8,184.8,0,0%
2023-03-31,183.22,183.22,183.22,183.22,0,0%
2023-02-28,169.78,169.78,169.78,169.78,0,0%
2023-01-31,179.41,179.41,179.41,179.41,0,0%
2022-12-31,169.64,169.64,169.64,169.64,0,0%
2022-11-30,164.81,164.81,164.81,164.81,0,0%
2022-10-31,151.91,151.91,151.91,151.91,0,0%
2022-09-30,154.67,154.67,154.67,154.67,0,0%
2022-08-31,159.27,159.27,159.27,159.27,0,0%
2022-07-31,164.1,164.1,164.1,164.1,0,0%
2022-06-30,168.46,168.46,168.46,168.46,0,0%
2022-05-31,171.14,171.14,171.14,171.14,0,0%
2022-04-30,176.91,176.91,176.91,176.91,0,0%
2022-03-31,180.65,180.65,180.65,180.65,0,0%
2022-02-28,178.38,178.38,178.38,178.38,0,0%
2022-01-31,168.09,168.09,168.09,168.09,0,0%
2021-12-31,170.96,170.96,170.96,170.96,0,0%
2021-11-30,165.5,165.5,165.5,165.5,0,0%
2021-10-31,166.65,166.65,166.65,166.65,0,0%
2021-09-30,164.22,164.22,164.22,164.22,0,0%
2021-08-31,169.69,169.69,169.69,169.69,0,0%
2021-07-31,169.82,169.82,169.82,169.82,0,0%
2021-06-30,165.63,165.63,165.63,165.63,0,0%
2021-05-31,178.38,178.38,178.38,178.38,0,0%
2021-04-30,165.66,165.66,165.66,165.66,0,0%
2021-03-31,159.96,159.96,159.96,159.96,0,0%
2021-02-28,161.81,161.81,161.81,161.81,0,0%
2021-01-31,172.61,172.61,172.61,172.61,0,0%
2020-12-31,178.36,178.36,178.36,178.36,0,0%
2020-11-30,166.67,166.67,166.67,166.67,0,0%
2020-10-31,176.2,176.2,176.2,176.2,0,0%
2020-09-30,177.12,177.12,177.12,177.12,0,0%
2020-08-31,184.83,184.83,184.83,184.83,0,0%
2020-07-31,185.43,185.43,185.43,185.43,0,0%
