"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","80.13","80.06","80.24","79.23","658.08M","-0.31%"
"2026- 04- 01","80.38","79.35","80.76","79.08","933.32M","1.03%"
"2026- 03- 01","79.56","80.06","80.45","78.57","1.64B","-1.44%"
"2026- 02- 01","80.72","80.67","81.01","80.45","807.68M","-0.49%"
"2026- 01- 01","81.12","80.72","81.24","80.59","706.41M","0.61%"
"2025- 12- 01","80.63","80.40","80.81","80.29","724.89M","-0.44%"
"2025- 11- 01","80.99","80.39","81.07","79.96","848.52M","0.24%"
"2025- 10- 01","80.80","80.81","81.33","79.95","1.09B","-0.48%"
"2025- 09- 01","81.19","80.27","81.36","80.20","736.51M","0.41%"
"2025- 08- 01","80.86","80.04","81.01","79.80","708.27M","0.60%"
"2025- 07- 01","80.38","80.20","80.58","79.75","670.39M","-0.33%"
"2025- 06- 01","80.65","79.13","80.67","78.98","719.10M","1.36%"
"2025- 05- 01","79.57","78.39","79.58","78.22","803.54M","1.23%"
"2025- 04- 01","78.60","78.68","79.05","75.08","1.59B","-0.37%"
"2025- 03- 01","78.89","79.69","79.75","78.49","1.02B","-1.55%"
"2025- 02- 01","80.13","79.17","80.13","79.04","567.01M","0.51%"
"2025- 01- 01","79.72","78.88","79.97","78.37","655.62M","1.36%"
"2024- 12- 01","78.65","79.93","80.00","78.00","653.46M","-1.74%"
"2024- 11- 01","80.04","79.03","80.07","78.73","655.21M","1.14%"
"2024- 10- 01","79.14","79.99","80.00","79.07","842.54M","-1.44%"
"2024- 09- 01","80.30","78.88","80.37","78.65","703.95M","1.21%"
"2024- 08- 01","79.34","78.19","79.43","76.58","855.12M","1.02%"
"2024- 07- 01","78.54","76.87","78.60","76.69","704.38M","1.81%"
"2024- 06- 01","77.14","76.87","77.64","76.75","642.35M","0.01%"
"2024- 05- 01","77.13","75.95","77.46","75.93","745.42M","1.10%"
"2024- 04- 01","76.29","77.35","77.35","75.59","965.34M","-1.85%"
"2024- 03- 01","77.73","76.93","77.96","76.78","685.11M","0.52%"
"2024- 02- 01","77.33","77.33","77.61","76.44","790.03M","-0.19%"
"2024- 01- 01","77.48","77.13","77.92","76.55","761.22M","0.12%"
"2023- 12- 01","77.39","75.29","78.08","75.20","666.40M","2.22%"
"2023- 11- 01","75.71","72.28","76.04","72.28","1.03B","4.33%"
"2023- 10- 01","72.57","73.10","73.44","71.68","1.21B","-1.56%"
"2023- 09- 01","73.72","75.19","75.24","73.31","670.79M","-2.07%"
"2023- 08- 01","75.28","74.96","75.48","73.84","733.77M","-0.29%"
"2023- 07- 01","75.50","74.68","75.73","73.58","673.06M","0.57%"
"2023- 06- 01","75.07","73.80","75.24","73.78","746.92M","1.30%"
"2023- 05- 01","74.11","74.93","75.04","73.47","700.84M","-1.66%"
"2023- 04- 01","75.36","75.14","75.62","74.29","712.54M","-0.25%"
"2023- 03- 01","75.55","74.08","75.65","72.61","1.18B","1.37%"
"2023- 02- 01","74.53","75.98","77.34","73.11","1.00B","-2.36%"
"2023- 01- 01","76.33","74.11","77.07","73.66","705.51M","3.67%"
"2022- 12- 01","73.63","75.57","76.70","72.59","630.98M","-2.68%"
"2022- 11- 01","75.66","73.94","75.69","71.82","735.19M","3.04%"
"2022- 10- 01","73.43","71.60","74.69","70.40","979.67M","2.86%"
"2022- 09- 01","71.39","73.95","76.23","70.90","798.88M","-4.21%"
"2022- 08- 01","74.53","77.64","79.32","74.51","714.89M","-4.68%"
"2022- 07- 01","78.19","73.50","78.35","73.03","810.72M","6.22%"
"2022- 06- 01","73.61","79.23","79.45","72.89","1.03B","-7.41%"
"2022- 05- 01","79.50","78.16","80.19","75.87","1.01B","1.24%"
"2022- 04- 01","78.53","81.83","82.58","78.48","739.81M","-4.57%"
"2022- 03- 01","82.29","83.43","83.64","79.88","1.01B","-1.65%"
"2022- 02- 01","83.67","84.65","84.96","81.83","824.07M","-1.22%"
"2022- 01- 01","84.70","86.92","87.00","83.95","901.01M","-2.65%"
"2021- 12- 01","87.01","85.77","87.32","85.32","554.59M","1.60%"
"2021- 11- 01","85.64","86.73","87.61","85.34","541.30M","-1.48%"
"2021- 10- 01","86.93","87.35","87.48","86.49","505.66M","-0.64%"
"2021- 09- 01","87.49","87.84","88.16","87.38","482.22M","-0.68%"
"2021- 08- 01","88.09","87.67","88.10","86.95","380.00M","0.28%"
"2021- 07- 01","87.84","87.83","88.10","86.98","433.33M","-0.23%"
"2021- 06- 01","88.04","87.06","88.07","86.99","390.28M","0.99%"
"2021- 05- 01","87.18","87.23","87.41","86.57","437.24M","-0.30%"
"2021- 04- 01","87.44","86.97","87.55","86.85","403.56M","0.30%"
"2021- 03- 01","87.18","86.67","87.21","85.65","712.13M","0.86%"
"2021- 02- 01","86.44","86.81","87.79","86.40","505.59M","-0.61%"
"2021- 01- 01","86.97","87.40","87.62","86.79","643.49M","-0.38%"
"2020- 12- 01","87.30","86.25","87.34","86.15","501.34M","1.14%"
"2020- 11- 01","86.32","83.78","86.90","83.38","633.36M","2.91%"
"2020- 10- 01","83.88","83.81","85.47","83.27","636.57M","-0.02%"
"2020- 09- 01","83.90","84.71","85.39","82.56","632.33M","-1.33%"
"2020- 08- 01","85.03","85.03","85.40","83.92","378.54M","-0.42%"
"2020- 07- 01","85.39","81.41","85.40","81.41","506.07M","4.62%"
"2020- 06- 01","81.62","81.94","85.03","80.48","777.54M","-0.97%"
"2020- 05- 01","82.42","79.34","82.62","77.98","502.31M","2.47%"
"2020- 04- 01","80.43","75.18","84.05","73.32","746.27M","4.36%"
"2020- 03- 01","77.07","85.64","87.19","67.52","1.25B","-10.43%"
"2020- 02- 01","86.04","87.32","88.49","84.69","669.48M","-1.70%"
"2020- 01- 01","87.53","88.10","88.53","86.96","487.10M","-0.47%"
"2019- 12- 01","87.94","86.63","88.25","86.24","372.51M","1.15%"
"2019- 11- 01","86.94","86.59","87.15","86.27","318.06M","0.15%"
"2019- 10- 01","86.81","86.84","87.44","85.75","404.69M","-0.41%"
"2019- 09- 01","87.17","86.72","87.54","86.39","380.77M","0.01%"
"2019- 08- 01","87.16","86.55","87.41","85.35","508.57M","0.26%"
"2019- 07- 01","86.93","87.13","87.39","86.51","368.38M","-0.29%"
"2019- 06- 01","87.18","84.65","87.65","84.47","492.46M","2.69%"
"2019- 05- 01","84.90","86.59","86.86","84.88","521.29M","-2.35%"
"2019- 04- 01","86.94","86.21","87.04","85.94","313.97M","0.54%"
"2019- 03- 01","86.47","85.55","86.53","84.81","420.01M","0.84%"
"2019- 02- 01","85.75","84.66","85.87","84.54","357.42M","0.75%"
"2019- 01- 01","85.11","80.72","85.24","80.65","576.07M","4.94%"
"2018- 12- 01","81.10","83.65","83.83","79.55","534.68M","-2.99%"
"2018- 11- 01","83.60","84.09","85.08","82.70","510.13M","-0.89%"
"2018- 10- 01","84.35","86.16","86.31","83.99","522.01M","-2.42%"
"2018- 09- 01","86.44","85.89","86.46","85.63","259.19M","0.09%"
"2018- 08- 01","86.36","85.76","86.46","85.67","228.41M","0.28%"
"2018- 07- 01","86.12","84.64","86.15","84.60","226.85M","1.22%"
"2018- 06- 01","85.08","85.15","86.19","85.06","247.56M","-0.35%"
"2018- 05- 01","85.38","85.28","85.84","85.16","309.23M","-0.37%"
"2018- 04- 01","85.70","85.12","86.66","84.89","295.56M","0.07%"
"2018- 03- 01","85.64","85.91","86.13","84.82","279.30M","-0.63%"
