날짜,종가
2026-08-31,209.04
2026-07-31,186.4
2026-06-30,190.18
2026-05-31,172.15
2026-04-30,168.66
2026-03-31,168.82
2026-02-28,175.21
2026-01-31,172.27
2025-12-31,168.61
2025-11-30,173.48
2025-10-31,159.06
2025-09-30,144.08
2025-08-31,137.86
2025-07-31,132.42
2025-06-30,126.18
2025-05-31,121.4
2025-04-30,126.25
2025-03-31,127.57
2025-02-28,136.55
2025-01-31,138.18
2024-12-31,131.75
2024-11-30,140.99
2024-10-31,139.74
2024-09-30,145.03
2024-08-31,147.38
2024-07-31,147.19
2024-06-30,136.53
2024-05-31,133.17
2024-04-30,126.25
2024-03-31,136.49
2024-02-29,135.99
2024-01-31,133.54
2023-12-31,135.0
2023-11-30,120.07
2023-10-31,112.87
2023-09-30,121.42
2023-08-31,127.63
2023-07-31,128.23
2023-06-30,125.89
2023-05-31,125.21
2023-04-30,129.41
2023-03-31,128.07
2023-02-28,126.04
2023-01-31,135.33
2022-12-31,130.11
2022-11-30,135.2
2022-10-31,127.34
2022-09-30,115.82
2022-08-31,120.12
2022-07-31,122.71
2022-06-30,116.33
2022-05-31,115.35
2022-04-30,115.33
2022-03-31,128.82
2022-02-28,124.53
2022-01-31,130.25
2021-12-31,150.75
2021-11-30,152.29
2021-10-31,157.6
2021-09-30,159.66
2021-08-31,170.0
2021-07-31,163.59
2021-06-30,161.49
2021-05-31,149.92
2021-04-30,152.57
2021-03-31,148.55
2021-02-28,154.7
2021-01-31,158.35
2020-12-31,149.33
2020-11-30,142.85
2020-10-31,128.7
2020-09-30,133.42
2020-08-31,133.55
2020-07-31,132.34
2020-06-30,134.62
2020-05-31,132.57
2020-04-30,122.0
2020-03-31,106.0
2020-02-29,111.99
2020-01-31,111.92
2019-12-31,118.51
2019-11-30,117.54
2019-10-31,105.45
2019-09-30,97.75
2019-08-31,101.05
2019-07-31,103.73
2019-06-30,107.11
2019-05-31,98.08
2019-04-30,104.39
2019-03-31,109.67
2019-02-28,110.47
2019-01-31,107.48
2018-12-31,94.49
2018-11-30,106.9
2018-10-31,101.97
2018-09-30,119.48
2018-08-31,119.7
2018-07-31,114.11
2018-06-30,107.58
2018-05-31,106.09
2018-04-30,101.39
2018-03-31,104.41
2018-02-28,105.73
2018-01-31,111.59
2017-12-31,104.44
2017-11-30,102.84
2017-10-31,102.33
2017-09-30,108.65
2017-08-31,108.53
2017-07-31,103.89
2017-06-30,100.95
2017-05-31,92.98
2017-04-30,96.85
2017-03-31,95.43
2017-02-28,96.62
2017-01-31,90.39
2016-12-31,86.26
2016-11-30,89.06
2016-10-31,83.41
2016-09-30,94.06
2016-08-31,91.25
2016-07-31,94.02
2016-06-30,83.6
2016-05-31,90.83
2016-04-30,86.99
2016-03-31,84.67
2016-02-29,82.44
2016-01-31,86.65
2015-12-31,109.77
2015-11-30,108.48
2015-10-31,105.59
2015-09-30,98.41
2015-08-31,110.95
2015-07-31,124.1
2015-06-30,119.7
2015-05-31,118.41
2015-04-30,108.23
2015-03-31,111.4
2015-02-28,109.47
2015-01-31,104.34
2014-12-31,98.4
2014-11-30,98.58
2014-10-31,96.22
2014-09-30,88.76
2014-08-31,89.69
2014-07-31,81.35
2014-06-30,83.36
2014-05-31,77.58
2014-04-30,74.56
2014-03-31,76.55
2014-02-28,85.62
2014-01-31,79.63
2013-12-31,73.53
2013-11-30,72.59
2013-10-31,66.49
2013-09-30,67.87
2013-08-31,62.74
2013-07-31,64.06
2013-06-30,56.3
2013-05-31,58.1
2013-04-30,55.77
2013-03-31,51.77
2013-02-28,47.84
2013-01-31,47.12
2012-12-31,44.42
2012-11-30,44.88
2012-10-31,42.65
2012-09-30,46.12
2012-08-31,44.01
2012-07-31,43.18
2012-06-30,41.94
2012-05-31,39.7
2012-04-30,40.4
2012-03-31,39.73
2012-02-29,38.35
2012-01-31,37.37
2011-12-31,33.61
2011-11-30,32.92
2011-10-31,31.64
2011-09-30,30.07
2011-08-31,30.99
2011-07-31,33.47
2011-06-30,34.35
2011-05-31,35.22
2011-04-30,34.61
2011-03-31,32.26
2011-02-28,30.5
2011-01-31,30.19
2010-12-31,30.09
2010-11-30,28.15
2010-10-31,28.76
2010-09-30,27.78
2010-08-31,25.16
2010-07-31,25.94
2010-06-30,24.82
2010-05-31,26.01
2010-04-30,29.21
2010-03-31,29.12
2010-02-28,27.34
