"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","94.32","94.69","95.18","92.94","130.85M","-0.69%"
"2026- 04- 01","94.98","95.08","96.05","94.69","147.47M","-0.48%"
"2026- 03- 01","95.44","97.38","97.39","94.36","318.48M","-2.60%"
"2026- 02- 01","97.99","95.67","98.04","95.37","174.09M","2.14%"
"2026- 01- 01","95.94","96.29","96.60","95.53","189.72M","-0.23%"
"2025- 12- 01","96.16","96.77","97.03","95.88","161.32M","-1.37%"
"2025- 11- 01","97.50","96.42","97.70","96.13","206.25M","0.67%"
"2025- 10- 01","96.85","96.56","97.77","96.11","183.23M","0.40%"
"2025- 09- 01","96.46","95.46","97.51","95.43","183.78M","0.32%"
"2025- 08- 01","96.15","95.36","96.23","95.05","153.58M","1.32%"
"2025- 07- 01","94.90","95.42","95.51","93.86","144.20M","-0.91%"
"2025- 06- 01","95.77","94.00","95.81","93.47","158.85M","1.27%"
"2025- 05- 01","94.57","95.88","95.89","93.03","196.51M","-1.56%"
"2025- 04- 01","96.07","95.27","97.51","92.79","341.93M","0.73%"
"2025- 03- 01","95.37","94.72","95.78","94.16","168.92M","0.05%"
"2025- 02- 01","95.32","92.99","95.36","92.08","116.34M","2.47%"
"2025- 01- 01","93.02","92.65","93.34","91.08","101.89M","0.62%"
"2024- 12- 01","92.45","94.61","95.42","91.93","116.89M","-2.88%"
"2024- 11- 01","95.19","94.36","95.20","92.90","167.71M","0.71%"
"2024- 10- 01","94.52","98.17","98.47","94.21","161.22M","-3.67%"
"2024- 09- 01","98.12","97.31","99.18","97.25","198.61M","1.08%"
"2024- 08- 01","97.07","96.00","98.58","95.98","152.33M","1.04%"
"2024- 07- 01","96.07","92.84","96.08","92.58","129.48M","2.58%"
"2024- 06- 01","93.65","92.65","94.69","92.65","110.01M","0.92%"
"2024- 05- 01","92.80","91.43","93.64","91.19","140.25M","1.50%"
"2024- 04- 01","91.43","93.99","93.99","91.02","184.01M","-3.41%"
"2024- 03- 01","94.66","93.85","95.39","93.45","148.41M","0.47%"
"2024- 02- 01","94.22","96.60","97.11","93.44","196.52M","-2.32%"
"2024- 01- 01","96.46","95.93","96.48","94.54","202.56M","0.07%"
"2023- 12- 01","96.39","93.14","97.04","93.11","248.12M","3.19%"
"2023- 11- 01","93.41","89.60","93.97","89.56","266.62M","4.26%"
"2023- 10- 01","89.59","90.89","91.60","88.86","295.38M","-2.18%"
"2023- 09- 01","91.59","94.57","94.58","90.85","159.64M","-3.39%"
"2023- 08- 01","94.80","95.04","95.54","92.85","168.72M","-0.98%"
"2023- 07- 01","95.74","96.32","97.19","94.36","132.17M","-0.89%"
"2023- 06- 01","96.60","98.11","98.38","96.18","138.62M","-1.49%"
"2023- 05- 01","98.06","99.11","100.80","96.39","194.18M","-1.67%"
"2023- 04- 01","99.73","98.81","100.76","97.98","150.34M","0.62%"
"2023- 03- 01","99.12","95.14","100.58","94.21","278.31M","3.51%"
"2023- 02- 01","95.76","99.20","100.21","95.11","189.96M","-3.48%"
"2023- 01- 01","99.21","96.91","100.06","96.34","103.40M","3.58%"
"2022- 12- 01","95.78","97.60","99.26","95.61","113.74M","-1.87%"
"2022- 11- 01","97.61","94.96","97.61","93.07","109.91M","3.39%"
"2022- 10- 01","94.41","96.72","97.69","92.48","133.15M","-1.65%"
"2022- 09- 01","95.99","100.09","100.79","94.51","132.42M","-4.90%"
"2022- 08- 01","100.94","105.29","105.75","100.77","142.58M","-4.02%"
"2022- 07- 01","105.17","103.12","105.57","101.37","204.03M","2.81%"
"2022- 06- 01","102.30","103.26","103.37","97.99","126.70M","-0.99%"
"2022- 05- 01","103.32","102.15","104.59","100.99","144.94M","0.50%"
"2022- 04- 01","102.81","106.31","107.01","102.27","158.74M","-4.34%"
"2022- 03- 01","107.47","112.60","113.49","105.97","253.56M","-4.15%"
"2022- 02- 01","112.12","112.50","112.81","109.92","204.17M","-0.40%"
"2022- 01- 01","112.57","114.37","114.41","111.69","243.87M","-2.11%"
"2021- 12- 01","115.00","115.30","116.64","114.67","210.79M","-0.69%"
"2021- 11- 01","115.80","114.22","116.14","113.50","246.32M","1.02%"
"2021- 10- 01","114.63","115.36","115.67","113.63","187.00M","-0.51%"
"2021- 09- 01","115.22","117.25","117.52","114.72","156.34M","-1.66%"
"2021- 08- 01","117.17","117.82","118.63","116.43","160.91M","-0.46%"
"2021- 07- 01","117.71","115.38","118.52","115.17","160.68M","1.92%"
"2021- 06- 01","115.49","114.19","115.79","114.05","133.96M","0.95%"
"2021- 05- 01","114.40","113.96","114.95","113.47","152.87M","0.36%"
"2021- 04- 01","113.99","113.21","114.76","112.80","148.73M","0.94%"
"2021- 03- 01","112.93","115.47","115.78","112.78","180.77M","-2.44%"
"2021- 02- 01","115.76","118.57","118.77","114.10","153.81M","-2.43%"
"2021- 01- 01","118.64","119.68","120.06","117.57","116.94M","-1.09%"
"2020- 12- 01","119.95","119.97","120.27","119.20","88.70M","-0.37%"
"2020- 11- 01","120.39","120.34","121.06","119.19","135.10M","0.27%"
"2020- 10- 01","120.06","121.53","121.93","120.06","124.04M","-1.44%"
"2020- 09- 01","121.82","121.40","122.39","121.30","82.59M","0.26%"
"2020- 08- 01","121.51","122.52","123.09","121.18","74.47M","-1.05%"
"2020- 07- 01","122.80","121.53","122.89","121.29","86.04M","0.76%"
"2020- 06- 01","121.87","121.62","122.19","119.35","112.12M","-0.06%"
"2020- 05- 01","121.94","121.79","122.23","120.85","64.70M","0.22%"
"2020- 04- 01","121.67","122.13","122.69","120.27","79.84M","0.16%"
"2020- 03- 01","121.48","117.55","123.41","114.40","212.86M","3.60%"
"2020- 02- 01","117.26","113.61","117.45","112.56","111.61M","2.82%"
"2020- 01- 01","114.04","110.69","114.12","110.63","72.90M","3.47%"
"2019- 12- 01","110.22","110.87","112.17","110.04","63.40M","-1.21%"
"2019- 11- 01","111.57","112.18","112.42","109.97","77.91M","-0.84%"
"2019- 10- 01","112.51","111.85","113.89","111.05","96.18M","0.04%"
"2019- 09- 01","112.47","113.88","114.44","110.50","149.69M","-1.35%"
"2019- 08- 01","114.01","109.84","114.39","109.79","133.43M","3.77%"
"2019- 07- 01","109.87","109.82","110.40","108.83","71.50M","-0.14%"
"2019- 06- 01","110.02","108.88","110.28","108.57","101.56M","1.02%"
"2019- 05- 01","108.91","105.70","108.95","105.27","90.09M","2.84%"
"2019- 04- 01","105.90","106.10","106.13","105.00","76.41M","-0.72%"
"2019- 03- 01","106.67","103.74","107.08","103.57","97.84M","2.46%"
"2019- 02- 01","104.11","104.47","104.79","103.81","93.78M","-0.73%"
"2019- 01- 01","104.88","104.31","105.32","103.35","133.80M","0.65%"
"2018- 12- 01","104.20","101.44","104.66","101.40","118.40M","2.38%"
"2018- 11- 01","101.78","100.36","101.82","99.75","69.87M","1.11%"
"2018- 10- 01","100.66","100.83","101.30","99.60","92.79M","-0.50%"
"2018- 09- 01","101.17","102.26","102.45","100.68","60.06M","-1.40%"
"2018- 08- 01","102.61","101.26","102.96","101.19","62.76M","0.82%"
"2018- 07- 01","101.78","102.42","102.71","101.56","57.11M","-0.71%"
"2018- 06- 01","102.51","101.85","102.73","101.16","85.55M","0.00%"
"2018- 05- 01","102.51","101.50","103.20","100.33","85.04M","0.80%"
"2018- 04- 01","101.70","102.94","103.34","101.06","54.94M","-1.44%"
"2018- 03- 01","103.19","102.16","103.31","101.68","58.32M","1.00%"
"2018- 02- 01","102.17","103.10","103.31","101.46","78.69M","-1.09%"
"2018- 01- 01","103.30","105.44","105.47","103.02","64.83M","-2.15%"
"2017- 12- 01","105.57","105.70","106.34","104.87","42.02M","-0.12%"
"2017- 11- 01","105.70","105.92","106.63","105.59","32.38M","-0.43%"
"2017- 10- 01","106.16","106.42","106.92","105.47","38.50M","-0.34%"
"2017- 09- 01","106.52","107.96","108.81","106.46","43.74M","-1.59%"
"2017- 08- 01","108.24","106.52","108.43","106.47","29.62M","1.30%"
"2017- 07- 01","106.85","106.45","107.27","105.72","44.80M","0.23%"
"2017- 06- 01","106.61","106.94","108.17","106.54","41.63M","-0.66%"
"2017- 05- 01","107.32","106.32","107.40","105.41","43.65M","0.68%"
"2017- 04- 01","106.60","105.56","107.47","105.53","42.21M","0.96%"
"2017- 03- 01","105.59","104.71","105.96","103.69","44.82M","-0.06%"
"2017- 02- 01","105.65","104.56","106.16","104.32","41.34M","0.57%"
"2017- 01- 01","105.05","104.35","106.03","104.18","38.68M","0.22%"
"2016- 12- 01","104.82","104.62","105.58","103.43","39.06M","-0.42%"
"2016- 11- 01","105.26","109.59","110.56","105.00","54.71M","-4.36%"
"2016- 10- 01","110.06","111.70","111.73","109.72","37.03M","-1.63%"
"2016- 09- 01","111.88","111.33","112.33","110.44","25.36M","0.10%"
"2016- 08- 01","111.77","112.56","112.80","111.37","36.81M","-1.15%"
"2016- 07- 01","113.07","113.30","113.91","111.66","50.85M","0.10%"
"2016- 06- 01","112.95","109.85","113.24","109.48","55.45M","2.94%"
"2016- 05- 01","109.73","109.66","110.92","109.32","35.20M","-0.25%"
"2016- 04- 01","110.00","110.18","111.09","109.00","39.26M","-0.31%"
"2016- 03- 01","110.34","110.54","110.96","108.20","52.82M","-0.21%"
"2016- 02- 01","110.57","108.81","112.01","108.56","68.66M","1.34%"
"2016- 01- 01","109.11","106.09","109.18","105.83","62.75M","3.33%"
"2015- 12- 01","105.59","106.24","107.09","105.17","45.02M","-0.76%"
"2015- 11- 01","106.40","106.63","106.70","105.02","38.15M","-0.58%"
"2015- 10- 01","107.02","107.90","108.97","106.79","57.20M","-0.79%"
"2015- 09- 01","107.87","106.49","107.93","105.70","38.00M","1.42%"
"2015- 08- 01","106.36","106.30","108.76","105.49","40.06M","-0.08%"
"2015- 07- 01","106.44","104.40","106.52","104.15","37.67M","1.36%"
"2015- 06- 01","105.01","106.73","106.81","103.76","31.65M","-1.79%"
"2015- 05- 01","106.92","107.05","107.19","105.40","27.92M","-0.57%"
"2015- 04- 01","107.53","108.55","109.11","106.96","22.94M","-0.79%"
"2015- 03- 01","108.39","107.38","108.84","105.44","38.34M","0.70%"
"2015- 02- 01","107.64","109.95","110.40","106.25","45.44M","-2.63%"
"2015- 01- 01","110.55","106.09","110.59","106.06","33.72M","4.30%"
"2014- 12- 01","105.99","106.31","107.28","104.93","60.67M","-0.19%"
"2014- 11- 01","106.19","104.70","106.20","104.45","33.16M","1.11%"
"2014- 10- 01","105.02","103.84","108.88","103.61","43.64M","1.35%"
"2014- 09- 01","103.62","104.30","104.31","102.45","52.92M","-1.22%"
"2014- 08- 01","104.90","103.27","105.23","103.05","35.69M","1.69%"
"2014- 07- 01","103.16","103.14","104.05","102.20","50.97M","-0.41%"
"2014- 06- 01","103.58","103.53","103.73","102.36","55.58M","-0.38%"
"2014- 05- 01","103.98","102.18","104.53","102.00","72.13M","1.63%"
"2014- 04- 01","102.31","101.40","102.74","100.86","18.64M","0.57%"
"2014- 03- 01","101.73","102.60","102.83","101.15","23.03M","-0.72%"
"2014- 02- 01","102.47","101.96","102.67","101.28","20.13M","0.19%"
"2014- 01- 01","102.28","99.39","102.28","99.38","18.00M","3.06%"
"2013- 12- 01","99.24","101.30","101.44","99.18","23.03M","-2.41%"
"2013- 11- 01","101.69","102.38","102.42","100.96","17.38M","-1.03%"
"2013- 10- 01","102.75","101.85","103.40","101.00","20.01M","0.63%"
"2013- 09- 01","102.11","99.83","102.15","98.60","26.36M","1.69%"
"2013- 08- 01","100.41","101.49","102.27","99.33","35.32M","-1.56%"
"2013- 07- 01","102.00","102.21","102.86","100.45","29.78M","-0.49%"
"2013- 06- 01","102.50","104.98","107.59","101.25","25.12M","-2.68%"
"2013- 05- 01","105.32","108.92","109.17","104.83","18.97M","-3.23%"
"2013- 04- 01","108.83","107.22","109.14","107.22","17.26M","1.39%"
"2013- 03- 01","107.34","107.19","107.66","105.57","15.64M","0.17%"
"2013- 02- 01","107.16","106.41","107.38","105.56","17.35M","1.00%"
"2013- 01- 01","106.10","107.00","107.35","105.72","17.43M","-1.29%"
"2012- 12- 01","107.49","108.44","109.15","107.00","14.03M","-1.20%"
"2012- 11- 01","108.80","107.64","109.19","107.25","16.95M","0.84%"
"2012- 10- 01","107.89","108.41","108.56","106.59","14.15M","-0.53%"
"2012- 09- 01","108.46","108.60","108.83","106.42","16.90M","-0.49%"
"2012- 08- 01","108.99","108.84","109.28","106.42","17.13M","-0.27%"
"2012- 07- 01","109.28","108.00","109.89","107.95","19.33M","1.25%"
"2012- 06- 01","107.93","109.06","109.37","107.51","25.08M","-0.57%"
"2012- 05- 01","108.55","105.66","108.89","105.22","17.00M","2.71%"
"2012- 04- 01","105.69","103.53","105.81","102.51","13.82M","2.33%"
"2012- 03- 01","103.28","104.48","105.42","101.77","16.13M","-1.75%"
"2012- 02- 01","105.12","106.04","106.13","104.37","19.30M","-1.28%"
"2012- 01- 01","106.48","104.90","106.49","104.00","20.68M","0.86%"
"2011- 12- 01","105.57","103.50","106.18","103.29","17.32M","1.61%"
"2011- 11- 01","103.90","104.23","105.43","103.58","20.73M","0.38%"
"2011- 10- 01","103.51","105.08","106.26","101.36","27.28M","-1.48%"
"2011- 09- 01","105.07","103.05","106.66","102.50","27.24M","2.01%"
"2011- 08- 01","103.00","98.31","104.72","98.30","43.18M","4.40%"
"2011- 07- 01","98.66","95.76","98.79","95.25","24.48M","2.92%"
"2011- 06- 01","95.86","96.70","98.19","95.52","31.05M","-0.76%"
"2011- 05- 01","96.59","94.14","96.63","94.08","19.71M","2.24%"
"2011- 04- 01","94.47","92.54","94.48","91.94","15.89M","1.57%"
"2011- 03- 01","93.01","92.73","95.29","92.12","20.07M","-0.39%"
"2011- 02- 01","93.37","93.25","93.49","91.07","16.92M","-0.46%"
