날짜,종가
2026-06-30,94.26
2026-05-31,94.02
2026-04-30,94.04
2026-03-31,94.18
2026-02-28,96.42
2026-01-31,94.1
2025-12-31,94.31
2025-11-30,95.03
2025-10-31,94.1
2025-09-30,93.44
2025-08-31,92.84
2025-07-31,91.33
2025-06-30,91.88
2025-05-31,90.43
2025-04-30,91.56
2025-03-31,90.61
2025-02-28,90.3
2025-01-31,87.84
2024-12-31,87.3
2024-11-30,89.32
2024-10-31,88.41
2024-09-30,91.51
2024-08-31,90.27
2024-07-31,89.07
2024-06-30,86.56
2024-05-31,85.52
2024-04-30,84.01
2024-03-31,86.72
2024-02-29,86.09
2024-01-31,87.92
2023-12-31,87.86
2023-11-30,84.66
2023-10-31,80.97
2023-09-30,82.57
2023-08-31,85.24
2023-07-31,85.87
2023-06-30,86.43
2023-05-31,87.53
2023-04-30,88.81
2023-03-31,88.09
2023-02-28,84.93
2023-01-31,87.8
2022-12-31,84.77
2022-11-30,86.05
2022-10-31,83.05
2022-09-30,84.27
2022-08-31,88.46
2022-07-31,92.01
2022-06-30,89.36
2022-05-31,90.14
2022-04-30,89.59
2022-03-31,93.54
2022-02-28,97.5
2022-01-31,97.8
2021-12-31,99.91
2021-11-30,100.43
2021-10-31,99.35
2021-09-30,99.79
2021-08-31,101.41
2021-07-31,101.81
2021-06-30,99.83
2021-05-31,98.82
2021-04-30,98.4
2021-03-31,97.42
2021-02-28,99.8
2021-01-31,102.22
2020-12-31,103.35
2020-11-30,103.59
2020-10-31,103.25
2020-09-30,104.69
2020-08-31,104.35
2020-07-31,105.37
2020-06-30,104.48
2020-05-31,104.43
2020-04-30,104.09
2020-03-31,103.81
2020-02-29,100.08
2020-01-31,97.2
2019-12-31,93.95
2019-11-30,94.83
2019-10-31,95.48
2019-09-30,95.3
2019-08-31,96.45
2019-07-31,92.78
2019-06-30,92.75
2019-05-31,91.63
2019-04-30,88.92
2019-03-31,89.38
2019-02-28,87.07
2019-01-31,87.53
2018-12-31,86.96
2018-11-30,84.59
2018-10-31,83.48
2018-09-30,83.74
2018-08-31,84.76
2018-07-31,83.91
2018-06-30,84.35
2018-05-31,84.18
2018-04-30,83.36
2018-03-31,84.44
2018-02-28,83.48
2018-01-31,84.26
2017-12-31,86.11
2017-11-30,85.95
2017-10-31,86.2
2017-09-30,86.36
2017-08-31,87.62
2017-07-31,86.36
2017-06-30,86.04
2017-05-31,86.48
2017-04-30,85.77
2017-03-31,84.83
2017-02-28,84.76
2017-01-31,84.15
2016-12-31,83.97
2016-11-30,84.07
2016-10-31,87.78
2016-09-30,89.11
2016-08-31,88.9
2016-07-31,89.81
2016-06-30,89.59
2016-05-31,86.91
2016-04-30,86.99
2016-03-31,87.13
2016-02-29,87.19
2016-01-31,85.91
2015-12-31,83.14
2015-11-30,83.52
2015-10-31,83.87
2015-09-30,84.41
2015-08-31,83.1
2015-07-31,83.03
2015-06-30,81.79
2015-05-31,83.15
2015-04-30,83.5
2015-03-31,84.03
2015-02-28,83.31
2015-01-31,85.43
2014-12-31,81.9
2014-11-30,81.8
2014-10-31,80.76
2014-09-30,79.53
2014-08-31,80.38
2014-07-31,78.89
2014-06-30,79.07
2014-05-31,79.24
2014-04-30,77.82
2014-03-31,77.23
2014-02-28,77.67
2014-01-31,77.39
2013-12-31,75.09
2013-11-30,76.7
2013-10-31,77.37
2013-09-30,76.78
2013-08-31,75.38
2013-07-31,76.47
2013-06-30,76.74
2013-05-31,78.75
2013-04-30,81.27
2013-03-31,80.05
2013-02-28,79.82
2013-01-31,78.93
2012-12-31,79.96
2012-11-30,80.72
2012-10-31,79.94
2012-09-30,80.26
2012-08-31,80.54
2012-07-31,80.63
2012-06-30,79.52
2012-05-31,79.85
2012-04-30,77.62
2012-03-31,75.72
2012-02-29,76.95
2012-01-31,77.8
2011-12-31,77.14
2011-11-30,75.63
2011-10-31,75.2
2011-09-30,76.18
2011-08-31,74.51
2011-07-31,71.2
2011-06-30,69.01
2011-05-31,69.36
2011-04-30,67.67
2011-03-31,66.44
2011-02-28,66.54
2011-01-31,66.68
2010-12-31,66.7
2010-11-30,69.07
2010-10-31,69.69
2010-09-30,69.7
2010-08-31,69.7
2010-07-31,67.44
2010-06-30,66.83
2010-05-31,64.85
2010-04-30,63.0
2010-03-31,61.98
2010-02-28,62.64
2010-01-31,62.44
2009-12-31,60.99
2009-11-30,63.8
2009-10-31,62.54
2009-09-30,62.62
2009-08-31,61.93
2009-07-31,61.46
2009-06-30,60.95
2009-05-31,61.29
2009-04-30,62.59
2009-03-31,64.36
2009-02-28,62.3
2009-01-31,62.76
2008-12-31,65.29
2008-11-30,62.09
2008-10-31,57.62
2008-09-30,58.13
2008-08-31,58.21
2008-07-31,57.33
2008-06-30,56.92
2008-05-31,56.28
2008-04-30,57.3
2008-03-31,58.72
2008-02-29,57.94
2008-01-31,57.23
2007-12-31,55.37
2007-11-30,55.35
2007-10-31,53.19
2007-09-30,52.63
2007-08-31,52.58
2007-07-31,51.42
2007-06-30,50.28
2007-05-31,50.52
2007-04-30,51.23
2007-03-31,50.92
2007-02-28,50.99
2007-01-31,49.97
2006-12-31,50.17
2006-11-30,50.81
2006-10-31,50.16
2006-09-30,49.89
2006-08-31,49.29
2006-07-31,48.44
2006-06-30,47.64
2006-05-31,47.53
2006-04-30,47.58
2006-03-31,47.88
2006-02-28,48.54
2006-01-31,48.59
2005-12-31,48.94
2005-11-30,48.28
2005-10-31,47.98
2005-09-30,48.58
2005-08-31,49.44
2005-07-31,48.47
2005-06-30,49.56
2005-05-31,49.32
2005-04-30,48.43
2005-03-31,47.24
2005-02-28,47.43
2005-01-31,48.09
