날짜,종가
2026-06-30,78.28
2026-05-31,86.78
2026-04-30,87.86
2026-03-31,74.03
2026-02-28,75.08
2026-01-31,69.65
2025-12-31,64.58
2025-11-30,63.02
2025-10-31,61.89
2025-09-30,56.45
2025-08-31,47.13
2025-07-31,40.69
2025-06-30,38.13
2025-05-31,35.78
2025-04-30,36.26
2025-03-31,38.39
2025-02-28,40.31
2025-01-31,40.07
2024-12-31,40.35
2024-11-30,44.09
2024-10-31,42.77
2024-09-30,43.0
2024-08-31,37.4
2024-07-31,38.64
2024-06-30,38.28
2024-05-31,42.6
2024-04-30,42.96
2024-03-31,44.4
2024-02-29,45.15
2024-01-31,40.63
2023-12-31,49.94
2023-11-30,46.4
2023-10-31,46.47
2023-09-30,53.7
2023-08-31,57.68
2023-07-31,64.89
2023-06-30,63.29
2023-05-31,59.03
2023-04-30,58.43
2023-03-31,61.65
2023-02-28,61.86
2023-01-31,68.61
2022-12-31,56.86
2022-11-30,66.78
2022-10-31,64.25
2022-09-30,63.55
2022-08-31,70.93
2022-07-31,71.53
2022-06-30,69.83
2022-05-31,70.72
2022-04-30,62.89
2022-03-31,73.96
2022-02-28,74.96
2022-01-31,75.2
2021-12-31,81.13
2021-11-30,89.19
2021-10-31,88.15
2021-09-30,78.61
2021-08-31,82.07
2021-07-31,79.87
2021-06-30,69.5
2021-05-31,63.69
2021-04-30,60.96
2021-03-31,56.04
2021-02-28,58.25
2021-01-31,62.87
2020-12-31,59.33
2020-11-30,49.98
2020-10-31,41.28
2020-09-30,38.34
2020-08-31,37.64
2020-07-31,34.37
2020-06-30,30.29
2020-05-31,27.18
2020-04-30,24.19
2020-03-31,20.67
2020-02-29,26.69
2020-01-31,27.35
2019-12-31,26.03
2019-11-30,23.96
2019-10-31,23.47
2019-09-30,22.97
2019-08-31,22.03
2019-07-31,24.38
2019-06-30,24.59
2019-05-31,23.0
2019-04-30,25.8
2019-03-31,26.44
2019-02-28,27.97
2019-01-31,26.59
2018-12-31,25.21
2018-11-30,28.61
2018-10-31,27.59
2018-09-30,30.03
2018-08-31,29.25
2018-07-31,29.64
2018-06-30,29.63
2018-05-31,30.29
2018-04-30,30.12
2018-03-31,30.05
2018-02-28,31.18
2018-01-31,34.21
2017-12-31,35.32
2017-11-30,35.2
2017-10-31,34.6
2017-09-30,33.01
2017-08-31,29.75
2017-07-31,27.29
2017-06-30,25.61
2017-05-31,26.3
2017-04-30,25.32
2017-03-31,24.8
2017-02-28,22.92
2017-01-31,23.43
2016-12-31,21.51
2016-11-30,21.26
2016-10-31,20.8
2016-09-30,21.32
2016-08-31,21.16
2016-07-31,21.53
2016-06-30,21.59
2016-05-31,20.96
2016-04-30,19.63
2016-03-31,18.56
2016-02-29,16.31
2016-01-31,15.59
2015-12-31,17.35
2015-11-30,17.47
2015-10-31,17.86
2015-09-30,16.01
2015-08-31,16.2
2015-07-31,17.77
2015-06-30,19.86
2015-05-31,21.54
2015-04-30,21.61
2015-03-31,19.44
2015-02-28,20.53
2015-01-31,18.87
2014-12-31,19.18
2014-11-30,20.38
2014-10-31,20.57
2014-09-30,21.22
2014-08-31,23.4
2014-07-31,23.03
2014-06-30,23.2
2014-05-31,22.74
2014-04-30,22.33
2014-03-31,23.3
2014-02-28,23.76
2014-01-31,21.1
2013-12-31,22.19
2013-11-30,21.61
2013-10-31,22.07
2013-09-30,22.73
2013-08-31,19.43
2013-07-31,19.64
2013-06-30,19.28
2013-05-31,21.37
2013-04-30,21.74
2013-03-31,23.24
2013-02-28,24.67
2013-01-31,25.08
2012-12-31,24.41
2012-11-30,23.82
2012-10-31,23.72
2012-09-30,25.63
2012-08-31,24.16
2012-07-31,22.85
2012-06-30,24.7
2012-05-31,22.71
2012-04-30,26.4
2012-03-31,27.76
2012-02-29,27.74
2012-01-31,27.59
2011-12-31,23.77
2011-11-30,26.03
2011-10-31,26.15
2011-09-30,22.34
2011-08-31,29.69
2011-07-31,32.74
2011-06-30,32.68
2011-05-31,34.4
2011-04-30,37.15
2011-03-31,35.66
2011-02-28,37.37
2011-01-31,36.14
2010-12-31,37.68
2010-11-30,33.17
2010-10-31,32.56
2010-09-30,30.44
2010-08-31,26.38
2010-07-31,27.29
