"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","108.93","108.55","109.39","106.93","484.36M","0.07%"
"2026- 04- 01","108.85","108.49","110.29","108.27","638.10M","-0.13%"
"2026- 03- 01","108.99","110.84","111.17","107.36","1.24B","-2.41%"
"2026- 02- 01","111.68","110.15","111.93","109.82","652.32M","1.00%"
"2026- 01- 01","110.57","110.32","111.20","109.81","645.69M","0.34%"
"2025- 12- 01","110.19","110.77","111.31","109.85","555.47M","-1.49%"
"2025- 11- 01","111.86","110.59","112.06","110.24","711.37M","0.57%"
"2025- 10- 01","111.23","111.44","112.93","110.95","733.34M","-0.22%"
"2025- 09- 01","111.47","108.88","112.64","108.81","660.74M","1.52%"
"2025- 08- 01","109.80","109.32","110.32","109.12","557.57M","0.63%"
"2025- 07- 01","109.11","109.25","109.50","107.34","542.57M","-0.46%"
"2025- 06- 01","109.61","106.99","109.72","106.69","556.22M","1.71%"
"2025- 05- 01","107.77","107.76","107.77","105.39","565.84M","-0.19%"
"2025- 04- 01","107.98","108.53","109.54","103.45","715.05M","-0.65%"
"2025- 03- 01","108.69","108.94","109.65","107.18","663.64M","-0.84%"
"2025- 02- 01","109.61","107.36","109.66","106.36","451.90M","2.00%"
"2025- 01- 01","107.46","107.12","108.02","104.94","455.53M","0.58%"
"2024- 12- 01","106.84","110.35","110.93","106.33","439.34M","-3.36%"
"2024- 11- 01","110.55","108.90","110.57","107.60","462.79M","1.43%"
"2024- 10- 01","108.99","113.10","113.29","108.66","582.77M","-3.53%"
"2024- 09- 01","112.98","111.29","114.07","110.96","598.31M","1.59%"
"2024- 08- 01","111.21","109.56","112.40","108.84","620.44M","1.51%"
"2024- 07- 01","109.56","106.34","109.59","106.05","481.91M","2.28%"
"2024- 06- 01","107.12","106.81","108.58","106.65","442.46M","0.22%"
"2024- 05- 01","106.89","104.88","107.78","104.65","501.42M","1.81%"
"2024- 04- 01","104.99","108.02","108.03","104.14","609.94M","-3.61%"
"2024- 03- 01","108.92","107.04","109.30","106.75","598.39M","1.17%"
"2024- 02- 01","107.66","110.51","110.91","106.86","632.44M","-2.28%"
"2024- 01- 01","110.17","109.94","110.85","108.45","675.26M","-0.44%"
"2023- 12- 01","110.66","106.04","111.40","105.90","422.60M","4.11%"
"2023- 11- 01","106.29","99.27","106.91","99.22","501.00M","7.18%"
"2023- 10- 01","99.17","101.13","101.94","98.24","535.20M","-2.79%"
