"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","17.60","18.40","18.95","17.53","110.31M","-5.02%"
"2026- 04- 01","18.53","17.10","18.53","16.59","217.97M","6.99%"
"2026- 03- 01","17.32","15.40","17.60","15.18","280.60M","16.09%"
"2026- 02- 01","14.92","14.04","14.93","13.89","139.41M","2.75%"
"2026- 01- 01","14.52","13.28","15.27","13.23","115.57M","9.58%"
"2025- 12- 01","13.25","13.75","13.95","13.23","99.11M","-3.64%"
"2025- 11- 01","13.75","13.67","13.88","13.31","119.65M","1.25%"
"2025- 10- 01","13.58","13.34","13.66","13.10","150.61M","1.12%"
"2025- 09- 01","13.43","13.34","13.70","13.10","91.49M","1.36%"
"2025- 08- 01","13.25","13.39","13.39","12.87","100.54M","-0.90%"
"2025- 07- 01","13.37","13.03","13.61","13.01","97.97M","2.53%"
"2025- 06- 01","13.04","12.84","13.96","12.74","122.34M","3.99%"
"2025- 05- 01","12.54","12.41","13.05","12.35","88.83M","0.80%"
"2025- 04- 01","12.44","13.67","13.74","12.02","135.17M","-8.73%"
"2025- 03- 01","13.63","13.40","13.67","13.11","89.61M","2.02%"
"2025- 02- 01","13.36","13.39","14.00","13.23","104.35M","0.38%"
"2025- 01- 01","13.31","13.10","13.73","13.04","109.63M","2.46%"
"2024- 12- 01","12.99","13.35","13.59","12.65","118.70M","-3.06%"
"2024- 11- 01","13.40","13.71","13.85","13.16","52.29M","-1.76%"
"2024- 10- 01","13.64","13.39","14.25","13.33","82.05M","1.56%"
"2024- 09- 01","13.43","13.13","13.64","12.60","72.72M","0.67%"
"2024- 08- 01","13.34","13.62","13.64","12.97","66.06M","-1.91%"
"2024- 07- 01","13.60","14.11","14.44","13.22","73.17M","-3.20%"
"2024- 06- 01","14.05","14.04","14.20","13.65","47.41M","0.00%"
"2024- 05- 01","14.05","14.01","14.49","13.83","71.23M","-0.35%"
"2024- 04- 01","14.10","13.93","14.55","13.88","82.83M","1.66%"
"2024- 03- 01","13.87","13.33","13.91","13.28","66.46M","4.60%"
"2024- 02- 01","13.26","13.48","13.53","13.10","49.28M","-1.92%"
"2024- 01- 01","13.52","13.38","13.66","13.05","101.29M","1.65%"
"2023- 12- 01","13.30","14.36","14.50","13.28","144.43M","-7.25%"
"2023- 11- 01","14.34","14.84","14.94","14.12","99.47M","-2.32%"
"2023- 10- 01","14.68","14.95","15.22","14.20","105.92M","-1.81%"
"2023- 09- 01","14.95","14.89","15.35","14.85","84.65M","1.36%"
"2023- 08- 01","14.75","14.71","14.80","14.33","64.66M","-0.27%"
"2023- 07- 01","14.79","13.65","14.86","13.52","56.73M","8.71%"
"2023- 06- 01","13.60","13.28","14.17","13.28","68.03M","2.83%"
"2023- 05- 01","13.23","14.08","14.13","13.21","62.36M","-6.50%"
"2023- 04- 01","14.15","14.49","14.74","13.91","79.30M","-0.49%"
"2023- 03- 01","14.22","14.32","14.67","13.38","79.94M","-0.07%"
"2023- 02- 01","14.23","14.81","14.84","13.96","81.15M","-4.82%"
"2023- 01- 01","14.95","14.60","15.19","14.00","101.70M","1.15%"
"2022- 12- 01","14.78","17.36","17.42","14.27","135.49M","-14.17%"
"2022- 11- 01","17.22","17.27","18.04","16.46","86.10M","1.29%"
"2022- 10- 01","17.00","16.59","17.77","16.42","112.45M","5.07%"
"2022- 09- 01","16.18","17.11","17.48","15.84","121.28M","-6.85%"
"2022- 08- 01","17.37","17.20","18.27","16.61","115.11M","-1.42%"
"2022- 07- 01","17.62","18.29","18.32","16.34","146.66M","-2.33%"
"2022- 06- 01","18.04","19.72","20.76","17.99","133.50M","-7.53%"
"2022- 05- 01","19.51","18.46","20.02","18.18","136.09M","4.61%"
"2022- 04- 01","18.65","17.67","19.47","17.54","135.59M","5.73%"
"2022- 03- 01","17.64","16.61","19.27","16.45","271.24M","9.02%"
"2022- 02- 01","16.18","15.09","16.77","15.09","147.14M","6.73%"
"2022- 01- 01","15.16","14.01","15.23","14.01","188.14M","7.82%"
"2021- 12- 01","14.06","20.52","20.60","13.22","194.26M","-30.64%"
"2021- 11- 01","20.27","22.27","22.37","20.01","90.74M","-8.40%"
"2021- 10- 01","22.13","21.10","22.73","21.03","87.75M","5.13%"
"2021- 09- 01","21.05","19.84","21.25","19.80","65.96M","5.09%"
"2021- 08- 01","20.03","20.37","20.43","18.68","65.99M","-1.67%"
"2021- 07- 01","20.37","20.42","20.49","18.99","96.61M","1.39%"
"2021- 06- 01","20.09","19.74","20.18","19.13","66.22M","3.77%"
"2021- 05- 01","19.36","18.82","19.74","18.66","115.79M","3.92%"
"2021- 04- 01","18.63","17.48","18.89","17.10","61.12M","8.09%"
"2021- 03- 01","17.24","17.45","18.18","16.91","80.20M","-0.83%"
"2021- 02- 01","17.38","15.98","17.89","15.84","68.85M","10.35%"
"2021- 01- 01","15.75","15.41","16.12","15.17","52.30M","3.21%"
"2020- 12- 01","15.26","14.52","15.31","14.38","51.16M","5.24%"
"2020- 11- 01","14.50","13.20","14.67","13.20","48.79M","9.60%"
"2020- 10- 01","13.23","13.59","14.05","13.03","41.65M","-3.22%"
"2020- 09- 01","13.67","14.29","14.34","13.35","32.66M","-3.80%"
"2020- 08- 01","14.21","13.63","14.27","13.59","55.96M","4.79%"
"2020- 07- 01","13.56","12.95","13.69","12.89","39.20M","4.79%"
"2020- 06- 01","12.94","12.29","13.15","12.26","27.26M","4.86%"
"2020- 05- 01","12.34","11.39","12.42","11.29","44.85M","7.49%"
"2020- 04- 01","11.48","11.64","12.66","11.15","74.59M","-2.88%"
"2020- 03- 01","11.82","14.26","14.66","11.08","107.11M","-16.47%"
"2020- 02- 01","14.15","15.04","15.59","13.97","24.29M","-6.48%"
"2020- 01- 01","15.13","16.57","16.91","15.08","35.51M","-8.64%"
"2019- 12- 01","16.56","15.94","16.76","15.79","20.19M","4.28%"
"2019- 11- 01","15.88","15.97","16.35","15.82","11.46M","-0.13%"
"2019- 10- 01","15.90","15.61","16.20","15.30","20.15M","1.79%"
"2019- 09- 01","15.62","15.25","16.54","15.23","20.78M","1.17%"
"2019- 08- 01","15.44","16.10","16.10","15.22","30.92M","-4.87%"
"2019- 07- 01","16.23","16.58","16.79","15.95","52.31M","-0.86%"
"2019- 06- 01","16.37","15.90","16.67","15.44","36.92M","3.61%"
"2019- 05- 01","15.80","16.82","16.87","15.78","12.99M","-6.01%"
"2019- 04- 01","16.81","16.70","17.11","16.69","19.35M","1.20%"
"2019- 03- 01","16.61","16.64","16.88","16.22","15.20M","-0.18%"
"2019- 02- 01","16.64","16.20","16.85","15.94","19.91M","2.91%"
"2019- 01- 01","16.17","14.92","16.36","14.89","29.93M","7.30%"
"2018- 12- 01","15.07","16.21","16.50","14.84","41.35M","-4.83%"
"2018- 11- 01","15.84","17.79","17.88","15.67","37.10M","-10.74%"
"2018- 10- 01","17.74","18.82","19.48","17.74","38.82M","-5.49%"
"2018- 09- 01","18.77","18.17","18.83","17.72","54.40M","3.36%"
"2018- 08- 01","18.16","17.83","18.28","17.28","25.73M","0.89%"
"2018- 07- 01","18.00","18.36","18.44","17.38","25.76M","-2.49%"
"2018- 06- 01","18.46","18.76","18.78","17.83","27.10M","-2.02%"
"2018- 05- 01","18.84","18.33","19.43","18.22","32.00M","2.22%"
"2018- 04- 01","18.43","17.76","18.55","17.37","15.23M","3.71%"
"2018- 03- 01","17.77","17.31","17.85","17.21","15.10M","2.13%"
"2018- 02- 01","17.40","18.01","18.14","16.79","21.93M","-3.33%"
"2018- 01- 01","18.00","17.54","18.23","17.49","24.83M","3.15%"
"2017- 12- 01","17.45","17.76","17.92","16.66","6.04M","-1.02%"
"2017- 11- 01","17.63","17.58","18.05","17.40","8.56M","0.97%"
"2017- 10- 01","17.46","16.64","17.47","16.57","4.53M","3.62%"
"2017- 09- 01","16.85","16.49","17.14","16.41","6.65M","2.25%"
"2017- 08- 01","16.48","16.33","16.50","15.87","4.49M","0.30%"
"2017- 07- 01","16.43","15.87","16.46","15.47","3.64M","4.12%"
"2017- 06- 01","15.78","15.92","15.97","14.95","5.11M","-0.94%"
"2017- 05- 01","15.93","16.19","16.62","15.56","14.73M","-1.73%"
"2017- 04- 01","16.21","16.65","17.09","16.07","5.50M","-2.53%"
"2017- 03- 01","16.63","17.26","17.31","16.06","7.48M","-3.15%"
"2017- 02- 01","17.17","17.27","17.54","17.03","17.34M","-0.17%"
"2017- 01- 01","17.20","17.01","17.61","16.90","18.11M","-0.46%"
"2016- 12- 01","17.28","17.90","18.45","16.89","4.01M","-2.15%"
"2016- 11- 01","17.66","17.62","17.81","16.64","5.62M","1.44%"
"2016- 10- 01","17.41","17.45","17.98","17.39","10.36M","-0.17%"
"2016- 09- 01","17.44","16.65","17.50","16.49","3.37M","4.00%"
"2016- 08- 01","16.77","16.51","17.66","16.22","6.94M","0.96%"
"2016- 07- 01","16.61","17.88","18.08","16.39","6.58M","-6.89%"
"2016- 06- 01","17.84","16.97","18.11","16.93","3.58M","4.39%"
"2016- 05- 01","17.09","16.85","17.27","16.04","3.71M","0.83%"
"2016- 04- 01","16.95","15.25","17.00","14.85","16.00M","9.99%"
"2016- 03- 01","15.41","14.82","15.94","14.70","1.12M","4.05%"
"2016- 02- 01","14.81","14.74","14.85","14.03","3.85M","-0.13%"
"2016- 01- 01","14.83","16.20","16.20","13.62","1.51M","-5.00%"
"2015- 12- 01","15.61","16.56","16.60","15.26","14.76M","-5.96%"
"2015- 11- 01","16.60","17.57","17.93","16.38","35.77K","-5.95%"
"2015- 10- 01","17.65","17.46","18.60","17.26","18.37K","0.80%"
"2015- 09- 01","17.51","17.99","19.47","17.31","23.38K","-3.15%"
"2015- 08- 01","18.08","17.91","18.11","16.67","32.92K","-2.06%"
"2015- 07- 01","18.46","20.09","31.05","18.23","36.00K","-9.71%"
"2015- 06- 01","20.45","20.62","20.99","19.99","21.13K","0.32%"
"2015- 05- 01","20.38","21.67","21.67","19.98","153.53K","-3.50%"
"2015- 04- 01","21.12","19.82","21.45","19.82","19.41K","6.94%"
"2015- 03- 01","19.75","20.96","21.14","19.42","34.97K","-6.13%"
"2015- 02- 01","21.04","20.30","21.39","20.26","55.52K","3.95%"
"2015- 01- 01","20.24","22.38","22.38","19.70","56.28K","-5.15%"
"2014- 12- 01","21.34","23.46","25.00","21.20","302.27K","-9.23%"
