"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 06- 01","744.00","737.04","748.65","686.37","614.85M","0.77%"
"2026- 05- 01","738.31","669.16","741.63","668.80","787.48M","10.57%"
"2026- 04- 01","667.74","581.48","668.90","571.92","918.16M","15.69%"
"2026- 03- 01","577.18","598.86","613.29","555.60","1.63B","-4.96%"
"2026- 02- 01","607.29","618.70","629.98","593.34","1.31B","-2.34%"
"2026- 01- 01","621.87","620.06","636.60","607.05","1.09B","1.23%"
"2025- 12- 01","614.31","613.63","629.21","600.28","1.06B","-0.80%"
"2025- 11- 01","619.25","635.11","635.82","580.74","1.23B","-1.56%"
"2025- 10- 01","629.07","597.17","637.01","589.05","1.32B","4.78%"
"2025- 09- 01","600.37","561.31","602.87","559.53","1.13B","5.25%"
"2025- 08- 01","570.40","558.83","583.32","551.68","964.98M","0.95%"
"2025- 07- 01","565.01","549.73","574.63","544.66","921.98M","2.42%"
"2025- 06- 01","551.64","517.24","552.80","515.97","925.20M","6.27%"
"2025- 05- 01","519.11","483.41","526.48","476.78","993.58M","9.18%"
"2025- 04- 01","475.47","467.30","479.56","402.39","1.37B","1.40%"
"2025- 03- 01","468.92","511.52","513.04","457.33","982.34M","-7.72%"
"2025- 02- 01","508.17","513.47","540.81","496.93","585.21M","-2.70%"
"2025- 01- 01","522.29","514.30","533.82","499.70","677.10M","2.16%"
"2024- 12- 01","511.23","511.01","539.15","509.29","627.46M","0.29%"
"2024- 11- 01","509.74","485.50","515.58","484.26","567.73M","5.35%"
"2024- 10- 01","483.85","487.70","501.35","477.40","660.23M","-0.86%"
"2024- 09- 01","488.07","473.20","493.70","448.19","694.85M","2.48%"
"2024- 08- 01","476.27","471.76","485.54","423.45","908.59M","1.10%"
"2024- 07- 01","471.07","480.04","503.52","454.15","801.62M","-1.68%"
"2024- 06- 01","479.11","454.57","487.20","447.90","550.60M","6.30%"
"2024- 05- 01","450.71","423.15","460.58","420.63","730.61M","6.15%"
"2024- 04- 01","424.59","444.97","447.53","413.07","1.07B","-4.37%"
"2024- 03- 01","444.01","439.90","449.34","432.74","905.02M","1.14%"
"2024- 02- 01","439.00","418.79","440.59","417.81","866.30M","5.28%"
"2024- 01- 01","416.97","405.84","429.85","395.34","973.04M","1.82%"
"2023- 12- 01","409.52","387.55","412.92","382.46","867.70M","5.38%"
"2023- 11- 01","388.63","351.54","393.93","351.43","971.63M","10.82%"
"2023- 10- 01","350.69","358.35","373.54","342.17","1.24B","-2.07%"
"2023- 09- 01","358.08","380.20","380.63","351.18","960.07M","-5.22%"
"2023- 08- 01","377.79","382.11","383.36","354.52","1.20B","-1.48%"
