날짜,종가
2026-06-30,736.4
2026-05-31,737.5
2026-04-30,667.01
2026-03-31,576.55
2026-02-28,605.86
2026-01-31,620.41
2025-12-31,612.86
2025-11-30,617.0
2025-10-31,626.78
2025-09-30,598.18
2025-08-31,567.67
2025-07-31,562.3
2025-06-30,549.0
2025-05-31,516.04
2025-04-30,472.66
2025-03-31,466.15
2025-02-28,504.41
2025-01-31,518.43
2024-12-31,507.45
2024-11-30,505.16
2024-10-31,479.5
2024-09-30,483.68
2024-08-31,471.33
2024-07-31,466.18
2024-06-30,474.14
2024-05-31,445.32
2024-04-30,419.52
2024-03-31,438.7
2024-02-29,433.18
2024-01-31,411.44
2023-12-31,404.09
2023-11-30,382.71
2023-10-31,345.35
2023-09-30,352.63
2023-08-31,371.5
2023-07-31,377.1
2023-06-30,363.08
2023-05-31,341.55
2023-04-30,316.59
2023-03-31,314.99
2023-02-28,287.68
2023-01-31,288.72
2022-12-31,260.95
2022-11-30,286.8
2022-10-31,271.73
2022-09-30,261.28
2022-08-31,292.05
2022-07-31,307.85
2022-06-30,273.52
2022-05-31,300.27
2022-04-30,305.11
2022-03-31,353.12
2022-02-28,337.37
2022-01-31,353.18
2021-12-31,387.03
2021-11-30,382.62
2021-10-31,375.13
2021-09-30,347.78
2021-08-31,368.74
2021-07-31,353.81
2021-06-30,343.97
2021-05-31,323.7
2021-04-30,327.64
2021-03-31,309.35
2021-02-28,304.13
2021-01-31,304.54
2020-12-31,303.74
2020-11-30,289.55
2020-10-31,260.33
2020-09-30,268.5
2020-08-31,284.97
2020-07-31,256.86
2020-06-30,239.28
2020-05-31,225.13
2020-04-30,211.19
2020-03-31,183.68
2020-02-29,198.12
2020-01-31,210.89
2019-12-31,204.67
2019-11-30,197.01
2019-10-31,189.31
2019-09-30,181.37
2019-08-31,179.72
2019-07-31,183.2
2019-06-30,179.02
2019-05-31,166.39
2019-04-30,181.3
2019-03-31,171.85
2019-02-28,165.36
2019-01-31,160.56
2018-12-31,147.29
2018-11-30,161.25
2018-10-31,161.68
2018-09-30,176.88
2018-08-31,177.38
2018-07-31,167.69
2018-06-30,163.13
2018-05-31,161.28
2018-04-30,152.62
2018-03-31,151.86
2018-02-28,158.31
2018-01-31,160.39
2017-12-31,147.47
2017-11-30,146.59
2017-10-31,143.75
2017-09-30,137.42
2017-08-31,137.83
2017-07-31,135.03
2017-06-30,129.76
2017-05-31,132.84
2017-04-30,127.86
2017-03-31,124.46
2017-02-28,121.99
2017-01-31,116.88
2016-12-31,111.16
2016-11-30,109.92
2016-10-31,109.44
2016-09-30,111.06
2016-08-31,108.65
2016-07-31,107.53
2016-06-30,100.35
2016-05-31,102.69
2016-04-30,98.39
2016-03-31,101.63
2016-02-29,95.11
2016-01-31,96.62
2015-12-31,103.8
2015-11-30,105.48
2015-10-31,104.84
2015-09-30,94.14
2015-08-31,96.26
2015-07-31,103.31
2015-06-30,98.81
2015-05-31,101.32
2015-04-30,99.1
2015-03-31,97.23
2015-02-28,99.58
2015-01-31,92.87
2014-12-31,94.85
2014-11-30,97.02
