"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","13.91","14.47","14.92","13.84","308.90M","-4.07%"
"2026- 04- 01","14.50","16.10","16.44","14.41","409.67M","-10.60%"
"2026- 03- 01","16.22","15.70","16.87","15.32","679.19M","4.65%"
"2026- 02- 01","15.50","15.66","15.86","15.03","470.75M","-0.51%"
"2026- 01- 01","15.58","16.29","16.41","14.87","447.25M","-4.83%"
"2025- 12- 01","16.37","16.59","16.63","15.81","419.92M","-0.12%"
"2025- 11- 01","16.39","16.54","17.80","16.37","333.96M","-0.85%"
"2025- 10- 01","16.53","16.88","17.11","16.08","234.66M","-1.55%"
"2025- 09- 01","16.79","17.61","17.65","16.55","192.14M","-3.34%"
"2025- 08- 01","17.37","18.87","19.19","17.23","212.29M","-6.56%"
"2025- 07- 01","18.59","18.93","18.96","17.98","210.50M","-1.22%"
"2025- 06- 01","18.82","19.98","20.23","18.69","172.40M","-5.90%"
"2025- 05- 01","20.00","20.91","21.10","19.49","312.07M","-4.76%"
"2025- 04- 01","21.00","20.81","23.99","20.37","183.92M","1.20%"
"2025- 03- 01","20.75","19.38","21.18","19.33","182.77M","6.68%"
"2025- 02- 01","19.45","18.77","19.78","18.03","140.53M","5.94%"
"2025- 01- 01","18.36","18.58","19.37","18.04","169.80M","-2.03%"
"2024- 12- 01","18.74","17.35","19.24","17.33","121.56M","7.83%"
"2024- 11- 01","17.38","19.14","19.28","17.14","131.56M","-9.90%"
"2024- 10- 01","19.29","18.99","19.50","18.44","111.34M","2.01%"
"2024- 09- 01","18.91","19.43","20.78","18.77","90.47M","-1.87%"
"2024- 08- 01","19.27","18.92","21.42","18.83","95.63M","1.90%"
"2024- 07- 01","18.91","20.76","21.15","18.51","79.14M","-9.13%"
"2024- 06- 01","20.81","20.56","21.62","20.56","32.62M","0.24%"
"2024- 05- 01","20.76","21.66","21.75","20.27","45.46M","-4.11%"
"2024- 04- 01","21.65","20.03","22.13","20.03","50.81M","7.93%"
"2024- 03- 01","20.06","20.85","21.42","19.93","35.72M","-4.16%"
"2024- 02- 01","20.93","21.89","22.38","20.69","44.71M","-5.04%"
"2024- 01- 01","22.04","21.23","22.61","20.99","58.51M","4.55%"
"2023- 12- 01","21.08","24.04","24.16","20.58","50.63M","-12.09%"
"2023- 11- 01","23.98","26.12","26.33","23.60","45.69M","-8.09%"
"2023- 10- 01","26.09","24.26","26.55","24.17","46.90M","7.77%"
"2023- 09- 01","24.21","22.74","24.51","22.53","27.96M","5.67%"
"2023- 08- 01","22.91","21.74","23.76","21.69","31.60M","6.06%"
"2023- 07- 01","21.60","22.85","23.65","21.60","25.19M","-5.39%"
"2023- 06- 01","22.83","24.83","24.96","22.68","35.08M","-8.05%"
"2023- 05- 01","24.83","24.57","25.46","23.87","32.40M","1.26%"
"2023- 04- 01","24.52","23.92","25.14","23.81","22.49M","2.29%"
"2023- 03- 01","23.97","22.95","25.52","22.51","72.75M","4.49%"
"2023- 02- 01","22.94","22.52","23.21","21.59","51.17M","2.14%"
"2023- 01- 01","22.46","24.38","24.95","22.46","51.45M","-8.70%"
"2022- 12- 01","24.60","22.94","25.18","22.82","50.66M","6.68%"
"2022- 11- 01","23.06","23.38","24.85","22.74","58.56M","-2.37%"
"2022- 10- 01","23.62","26.00","26.70","23.51","74.23M","-10.39%"
"2022- 09- 01","26.36","24.16","26.66","23.11","72.22M","10.20%"
"2022- 08- 01","23.92","23.66","23.95","21.76","50.29M","1.79%"
"2022- 07- 01","23.50","26.11","26.43","23.43","48.49M","-9.75%"
"2022- 06- 01","26.04","23.97","27.14","23.35","59.72M","8.05%"
"2022- 05- 01","24.10","24.39","26.57","23.24","106.36M","-1.19%"
"2022- 04- 01","24.39","22.02","24.45","21.68","51.46M","10.26%"
"2022- 03- 01","22.12","22.62","23.80","21.40","85.47M","-1.91%"
"2022- 02- 01","22.55","22.87","24.41","22.02","90.15M","-1.61%"
"2022- 01- 01","22.92","20.78","24.54","20.45","87.67M","9.82%"
"2021- 12- 01","20.87","21.03","22.27","20.59","33.69M","-2.98%"
"2021- 11- 01","21.51","20.56","21.72","19.26","20.43M","4.06%"
"2021- 10- 01","20.67","21.48","21.80","20.47","22.21M","-4.35%"
"2021- 09- 01","21.61","20.99","22.16","20.72","26.44M","2.56%"
"2021- 08- 01","21.07","21.48","22.64","20.94","26.92M","-2.54%"
"2021- 07- 01","21.62","20.82","22.91","20.71","32.06M","3.15%"
"2021- 06- 01","20.96","21.22","21.75","20.60","22.13M","-2.06%"
"2021- 05- 01","21.40","21.34","22.87","21.27","29.13M","-0.79%"
"2021- 04- 01","21.57","21.89","22.57","21.02","26.64M","-2.13%"
"2021- 03- 01","22.04","22.04","23.71","20.93","68.16M","-2.35%"
"2021- 02- 01","22.57","23.83","24.10","21.49","39.72M","-6.46%"
"2021- 01- 01","24.13","25.25","26.10","22.78","34.43M","-5.07%"
"2020- 12- 01","25.42","27.34","27.75","24.79","20.79M","-8.30%"
"2020- 11- 01","27.72","32.66","32.89","27.08","34.05M","-16.10%"
"2020- 10- 01","33.04","33.70","34.08","30.88","32.21M","-2.65%"
"2020- 09- 01","33.94","33.08","35.79","32.31","36.67M","2.63%"
"2020- 08- 01","33.07","34.75","34.99","32.19","23.06M","-5.46%"
"2020- 07- 01","34.98","36.05","37.65","34.33","46.81M","-3.34%"
"2020- 06- 01","36.19","37.93","39.04","34.32","86.31M","-4.81%"
"2020- 05- 01","38.02","42.09","45.32","36.50","70.26M","-7.52%"
"2020- 04- 01","41.11","50.57","53.33","39.14","72.07M","-14.69%"
"2020- 03- 01","48.19","41.24","59.19","39.52","46.67M","16.23%"
"2020- 02- 01","41.46","37.88","42.32","36.17","11.36M","8.79%"
"2020- 01- 01","38.11","36.68","38.23","35.94","6.63M","3.28%"
"2019- 12- 01","36.90","37.96","38.91","36.59","5.22M","-3.05%"
"2019- 11- 01","38.06","39.32","39.42","37.78","6.40M","-3.82%"
"2019- 10- 01","39.57","40.42","42.39","39.09","11.32M","-2.61%"
"2019- 09- 01","40.63","41.97","42.38","38.94","10.78M","-2.33%"
"2019- 08- 01","41.60","39.56","42.92","39.25","13.66M","4.94%"
"2019- 07- 01","39.64","39.32","40.45","38.99","8.02M","-0.48%"
"2019- 06- 01","39.83","42.73","42.94","39.73","12.27M","-6.87%"
"2019- 05- 01","42.77","39.36","42.94","38.75","18.62M","8.42%"
"2019- 04- 01","39.45","40.36","40.58","39.12","10.60M","-3.07%"
"2019- 03- 01","40.70","39.66","41.97","39.47","16.26M","1.88%"
"2019- 02- 01","39.95","41.89","42.15","39.26","9.23M","-4.79%"
"2019- 01- 01","41.96","47.34","47.54","41.88","14.70M","-10.15%"
"2018- 12- 01","46.70","40.97","49.93","40.97","26.96M","12.61%"
"2018- 11- 01","41.47","41.96","43.46","40.12","13.94M","-1.61%"
"2018- 10- 01","42.15","37.54","43.73","37.54","23.95M","11.77%"
"2018- 09- 01","37.71","36.96","37.94","36.88","6.69M","2.28%"
"2018- 08- 01","36.87","38.41","38.73","36.82","9.29M","-3.96%"
"2018- 07- 01","38.39","39.31","39.31","37.50","6.92M","-1.61%"
"2018- 06- 01","39.02","39.11","39.36","37.53","5.85M","-0.81%"
"2018- 05- 01","39.34","41.79","42.12","38.93","5.37M","-5.61%"
"2018- 04- 01","41.68","42.19","43.40","40.35","5.41M","-1.02%"
"2018- 03- 01","42.11","42.81","43.29","40.08","7.17M","-1.43%"
"2018- 02- 01","42.72","41.41","45.09","41.01","12.07M","3.59%"
"2018- 01- 01","41.24","42.09","42.26","40.13","7.43M","-2.44%"
"2017- 12- 01","42.27","42.14","43.46","41.66","6.80M","0.26%"
"2017- 11- 01","42.16","43.01","44.81","41.89","6.98M","-2.83%"
"2017- 10- 01","43.39","43.68","43.99","42.99","5.21M","-0.69%"
"2017- 09- 01","43.69","46.39","46.84","43.63","4.64M","-5.94%"
"2017- 08- 01","46.45","45.70","48.41","45.70","7.93M","1.11%"
"2017- 07- 01","45.94","46.19","46.79","45.04","5.83M","-0.73%"
"2017- 06- 01","46.28","47.78","47.96","45.69","9.98M","-3.40%"
"2017- 05- 01","47.91","46.81","48.66","46.62","8.29M","1.91%"
"2017- 04- 01","47.01","47.45","48.96","46.12","8.75M","-1.22%"
"2017- 03- 01","47.59","47.10","49.46","46.70","13.09M","-0.29%"
"2017- 02- 01","47.73","48.37","49.17","46.92","8.98M","-2.11%"
"2017- 01- 01","48.76","48.36","49.52","47.83","11.34M","-0.41%"
"2016- 12- 01","48.96","50.25","50.97","47.81","14.85M","-2.97%"
"2016- 11- 01","50.46","56.20","58.04","49.56","24.39M","-10.33%"
"2016- 10- 01","56.27","53.94","56.64","53.55","12.13M","4.65%"
"2016- 09- 01","53.77","54.51","55.95","53.27","13.27M","-1.43%"
"2016- 08- 01","54.55","55.57","56.54","54.05","7.16M","-1.92%"
"2016- 07- 01","55.62","59.00","60.05","55.33","7.88M","-5.73%"
"2016- 06- 01","59.00","59.55","62.77","57.50","15.09M","-0.62%"
"2016- 05- 01","59.37","60.69","63.25","59.08","9.94M","-2.48%"
"2016- 04- 01","60.88","62.61","63.41","59.53","9.83M","-1.93%"
"2016- 03- 01","62.08","66.76","67.09","61.74","16.18M","-7.81%"
"2016- 02- 01","67.34","67.98","73.97","66.48","16.01M","-0.30%"
"2016- 01- 01","67.54","63.19","73.17","63.11","23.85M","8.74%"
"2015- 12- 01","62.11","58.94","63.79","58.76","10.87M","4.92%"
"2015- 11- 01","59.20","61.27","62.27","58.76","12.71M","-3.44%"
"2015- 10- 01","61.31","64.96","66.32","60.41","15.00M","-5.73%"
"2015- 09- 01","65.04","63.31","66.43","60.07","17.27M","4.57%"
"2015- 08- 01","62.20","58.51","65.61","58.26","25.02M","6.20%"
"2015- 07- 01","58.57","57.60","60.31","56.88","16.13M","1.00%"
"2015- 06- 01","57.99","58.32","59.06","56.20","14.28M","-1.16%"
"2015- 05- 01","58.67","59.84","60.52","57.97","7.85M","-2.41%"
"2015- 04- 01","60.12","58.72","60.32","57.36","4.14M","2.45%"
"2015- 03- 01","58.68","59.88","61.24","58.04","4.90M","-2.00%"
"2015- 02- 01","59.88","63.36","64.32","59.54","4.27M","-5.85%"
"2015- 01- 01","63.60","61.52","64.58","61.31","8.63M","2.91%"
"2014- 12- 01","61.80","64.04","65.72","60.90","10.03M","-3.20%"
"2014- 11- 01","63.84","64.00","65.16","62.76","4.98M","-0.25%"
"2014- 10- 01","64.00","68.72","72.28","63.80","24.70M","-6.87%"
"2014- 09- 01","68.72","64.52","68.72","64.04","9.55M","6.11%"
"2014- 08- 01","64.76","68.04","68.88","64.56","8.17M","-4.88%"
"2014- 07- 01","68.08","63.88","68.16","62.96","9.41M","6.18%"
"2014- 06- 01","64.12","67.56","68.71","64.08","6.85M","-5.26%"
"2014- 05- 01","67.68","68.52","71.16","67.08","7.74M","-1.05%"
"2014- 04- 01","68.40","66.00","70.58","64.92","9.59M","3.51%"
"2014- 03- 01","66.08","66.44","67.68","64.16","9.92M","0.30%"
"2014- 02- 01","65.88","69.40","72.24","65.20","9.38M","-4.85%"
"2014- 01- 01","69.24","67.68","69.92","66.26","5.43M","2.55%"
"2013- 12- 01","67.52","68.96","71.60","67.16","7.46M","-2.31%"
"2013- 11- 01","69.12","71.84","73.32","68.66","6.51M","-3.89%"
"2013- 10- 01","71.92","74.00","76.48","70.44","7.21M","-2.65%"
"2013- 09- 01","73.88","77.76","79.08","73.40","8.51M","-6.29%"
"2013- 08- 01","78.84","75.92","79.04","75.28","8.01M","2.76%"
"2013- 07- 01","76.72","81.96","81.96","75.75","4.79M","-7.03%"
"2013- 06- 01","82.52","81.88","85.32","80.36","7.13M","0.49%"
"2013- 05- 01","82.12","85.96","87.84","80.12","5.54M","-4.29%"
"2013- 04- 01","85.80","85.92","90.60","85.59","6.47M","-0.09%"
"2013- 03- 01","85.88","90.60","91.24","84.44","4.72M","-4.79%"
"2013- 02- 01","90.20","90.76","91.76","88.00","4.38M","-1.05%"
"2013- 01- 01","91.16","94.40","95.12","90.60","4.83M","-6.29%"
"2012- 12- 01","97.28","100.20","101.72","96.88","5.04M","-3.68%"
"2012- 11- 01","101.00","101.64","108.96","100.32","8.59M","-1.14%"
"2012- 10- 01","102.16","99.28","103.44","97.80","5.83M","2.24%"
"2012- 09- 01","99.92","103.40","104.24","96.40","5.88M","-3.51%"
"2012- 08- 01","103.56","106.72","110.48","101.60","6.10M","-3.65%"
"2012- 07- 01","107.48","105.76","110.60","103.25","6.14M","1.17%"
"2012- 06- 01","106.24","114.96","117.20","106.04","9.72M","-5.58%"
"2012- 05- 01","112.52","105.24","115.12","103.52","9.09M","6.71%"
"2012- 04- 01","105.44","104.56","110.28","102.76","7.83M","1.11%"
"2012- 03- 01","104.28","106.76","110.80","102.00","7.42M","-2.98%"
"2012- 02- 01","107.48","109.40","109.80","104.52","5.59M","-2.75%"
"2012- 01- 01","110.52","115.60","119.16","109.28","5.82M","-6.91%"
"2011- 12- 01","118.72","120.64","125.08","116.52","7.65M","-1.20%"
"2011- 11- 01","120.16","126.40","133.84","118.68","10.85M","-1.28%"
"2011- 10- 01","121.72","144.40","152.80","117.06","15.73M","-15.07%"
"2011- 09- 01","143.32","128.84","146.06","127.36","14.16M","11.07%"
"2011- 08- 01","129.04","120.44","150.32","119.96","19.75M","5.81%"
"2011- 07- 01","121.96","118.20","124.28","113.44","7.08M","3.18%"
"2011- 06- 01","118.20","116.16","127.04","116.16","7.72M","1.79%"
"2011- 05- 01","116.12","114.00","122.04","113.92","5.53M","1.19%"
"2011- 04- 01","114.76","117.00","121.64","114.12","3.23M","-2.58%"
"2011- 03- 01","117.80","120.92","128.47","117.68","5.27M","-3.06%"
"2011- 02- 01","121.52","127.76","127.95","119.40","3.10M","-5.64%"
"2011- 01- 01","128.78","127.48","130.52","124.56","3.23M","0.05%"
"2010- 12- 01","128.72","136.76","136.84","127.17","2.78M","-7.69%"
"2010- 11- 01","139.44","144.32","147.04","137.44","3.05M","-3.97%"
"2010- 10- 01","145.20","150.28","153.80","142.48","2.75M","-4.30%"
"2010- 09- 01","151.72","168.76","169.32","149.28","3.33M","-11.67%"
"2010- 08- 01","171.76","157.28","176.32","156.40","3.97M","7.30%"
"2010- 07- 01","160.08","172.44","179.24","154.88","4.36M","-7.36%"
"2010- 06- 01","172.80","162.76","174.84","155.64","3.69M","7.33%"
"2010- 05- 01","161.00","150.40","174.88","147.80","4.75M","6.43%"
"2010- 04- 01","151.28","159.40","160.68","145.44","2.15M","-5.80%"
"2010- 03- 01","160.60","173.16","173.16","157.08","1.63M","-7.91%"
"2010- 02- 01","174.40","182.20","189.41","172.68","1.80M","-4.76%"
"2010- 01- 01","183.12","174.44","183.43","170.00","1.68M","3.29%"
"2009- 12- 01","177.28","189.84","190.56","173.72","1.63M","-7.67%"
"2009- 11- 01","192.00","198.08","202.64","183.96","2.67M","-3.81%"
"2009- 10- 01","199.60","188.08","200.36","180.24","2.49M","6.53%"
"2009- 09- 01","187.36","200.32","206.00","180.76","1.10M","-5.92%"
"2009- 08- 01","199.16","203.64","208.60","192.56","1.15M","-3.55%"
