"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","67.50","67.58","80.86","65.61","435.46M","1.26%"
"2026- 04- 01","66.66","67.96","75.16","63.20","517.06M","-2.17%"
"2026- 03- 01","68.14","81.17","82.37","60.37","1.10B","-19.83%"
"2026- 02- 01","84.99","73.80","85.27","65.14","1.82B","12.66%"
"2026- 01- 01","75.44","67.30","109.83","64.75","3.29B","17.11%"
"2025- 12- 01","64.42","51.99","71.22","51.13","1.46B","25.80%"
"2025- 11- 01","51.21","44.25","51.27","42.51","499.62M","16.36%"
"2025- 10- 01","44.01","43.03","49.25","41.66","1.12B","3.87%"
"2025- 09- 01","42.37","36.63","42.75","36.43","617.46M","17.08%"
"2025- 08- 01","36.19","33.76","36.29","33.39","314.50M","8.61%"
"2025- 07- 01","33.32","32.93","35.91","32.71","511.53M","1.55%"
"2025- 06- 01","32.81","30.85","33.87","30.72","487.93M","9.37%"
"2025- 05- 01","30.00","29.41","30.52","29.04","279.71M","1.35%"
"2025- 04- 01","29.60","30.87","30.97","26.57","582.84M","-4.49%"
"2025- 03- 01","30.99","28.86","31.41","28.64","433.35M","9.47%"
"2025- 02- 01","28.31","28.55","30.27","28.04","391.77M","-0.70%"
"2025- 01- 01","28.51","26.72","28.90","26.70","382.72M","8.28%"
"2024- 12- 01","26.33","27.85","29.43","26.19","402.95M","-5.69%"
"2024- 11- 01","27.92","30.06","30.18","27.32","346.02M","-6.34%"
"2024- 10- 01","29.81","28.78","31.80","27.47","579.68M","4.93%"
"2024- 09- 01","28.41","25.83","29.47","25.27","413.00M","7.82%"
"2024- 08- 01","26.35","26.53","27.46","24.25","387.21M","-0.15%"
"2024- 07- 01","26.39","26.72","28.91","24.93","381.51M","-0.68%"
"2024- 06- 01","26.57","27.82","28.63","26.09","383.46M","-4.29%"
"2024- 05- 01","27.76","24.18","29.56","23.87","656.88M","15.43%"
"2024- 04- 01","24.05","23.19","27.24","22.63","939.18M","5.71%"
"2024- 03- 01","22.75","20.80","23.45","20.64","426.17M","9.74%"
"2024- 02- 01","20.73","20.94","21.50","20.11","305.44M","-0.86%"
"2024- 01- 01","20.91","21.89","21.99","20.07","328.79M","-3.99%"
"2023- 12- 01","21.78","23.09","23.37","20.61","366.08M","-5.84%"
"2023- 11- 01","23.13","20.82","23.15","20.10","330.94M","10.25%"
"2023- 10- 01","20.98","19.69","21.72","18.97","447.48M","3.15%"
"2023- 09- 01","20.34","22.61","22.70","20.27","305.31M","-9.16%"
"2023- 08- 01","22.39","22.31","22.94","20.52","318.81M","-1.32%"
"2023- 07- 01","22.69","21.05","23.16","20.67","291.07M","8.62%"
"2023- 06- 01","20.89","21.59","22.52","20.45","293.22M","-3.33%"
"2023- 05- 01","21.61","23.69","23.94","20.84","408.92M","-6.04%"
"2023- 04- 01","23.00","21.96","23.89","21.92","379.78M","3.98%"
"2023- 03- 01","22.12","19.28","22.20","18.38","449.62M","15.09%"
"2023- 02- 01","19.22","21.80","22.52","18.89","333.63M","-11.96%"
"2023- 01- 01","21.83","22.45","22.54","20.93","333.27M","-0.86%"
"2022- 12- 01","22.02","20.63","22.35","20.27","381.91M","7.78%"
"2022- 11- 01","20.43","18.32","20.43","17.44","370.98M","15.95%"
"2022- 10- 01","17.62","18.47","19.56","16.66","401.04M","0.69%"
"2022- 09- 01","17.50","16.39","18.43","16.19","380.72M","5.55%"
"2022- 08- 01","16.58","18.72","19.22","16.58","457.33M","-11.34%"
"2022- 07- 01","18.70","18.10","18.73","16.73","506.09M","0.32%"
"2022- 06- 01","18.64","20.19","20.64","18.64","506.26M","-6.05%"
"2022- 05- 01","19.84","20.63","21.33","19.01","642.26M","-5.70%"
"2022- 04- 01","21.04","22.59","24.16","20.99","702.09M","-8.04%"
"2022- 03- 01","22.88","22.84","24.90","22.21","876.17M","1.15%"
"2022- 02- 01","22.62","21.17","23.40","20.34","624.58M","8.75%"
"2022- 01- 01","20.80","21.04","22.84","20.35","584.10M","-3.30%"
"2021- 12- 01","21.51","20.98","21.59","19.80","432.87M","2.14%"
"2021- 11- 01","21.06","22.24","23.50","20.99","507.06M","-4.66%"
