날짜,종가
2026-06-30,53.47
2026-05-31,68.33
2026-04-30,66.66
2026-03-31,68.14
2026-02-28,84.99
2026-01-31,75.44
2025-12-31,64.42
2025-11-30,51.21
2025-10-31,44.01
2025-09-30,42.37
2025-08-31,36.19
2025-07-31,33.32
2025-06-30,32.81
2025-05-31,30.0
2025-04-30,29.6
2025-03-31,30.99
2025-02-28,28.31
2025-01-31,28.51
2024-12-31,26.33
2024-11-30,27.92
2024-10-31,29.81
2024-09-30,28.41
2024-08-31,26.35
2024-07-31,26.39
2024-06-30,26.57
2024-05-31,27.76
2024-04-30,24.05
2024-03-31,22.75
2024-02-29,20.73
2024-01-31,20.91
2023-12-31,21.78
2023-11-30,23.13
2023-10-31,20.98
2023-09-30,20.34
2023-08-31,22.39
2023-07-31,22.69
2023-06-30,20.89
2023-05-31,21.61
2023-04-30,23.0
2023-03-31,22.12
2023-02-28,19.22
2023-01-31,21.83
2022-12-31,22.02
2022-11-30,20.43
2022-10-31,17.62
2022-09-30,17.5
2022-08-31,16.58
2022-07-31,18.7
2022-06-30,18.64
2022-05-31,19.84
2022-04-30,21.04
2022-03-31,22.88
2022-02-28,22.62
2022-01-31,20.8
2021-12-31,21.51
2021-11-30,21.06
2021-10-31,22.09
2021-09-30,20.52
2021-08-31,22.14
2021-07-31,23.63
2021-06-30,24.22
2021-05-31,25.9
2021-04-30,24.01
2021-03-31,22.7
2021-02-28,24.66
2021-01-31,24.99
2020-12-31,24.57
2020-11-30,21.05
2020-10-31,21.99
2020-09-30,21.64
2020-08-31,26.23
2020-07-31,22.65
2020-06-30,17.01
2020-05-31,16.66
2020-04-30,13.98
2020-03-31,13.05
2020-02-29,15.53
2020-01-31,16.82
2019-12-31,16.68
2019-11-30,15.92
2019-10-31,16.92
2019-09-30,15.92
2019-08-31,17.15
2019-07-31,15.21
2019-06-30,14.33
2019-05-31,13.65
2019-04-30,14.02
2019-03-31,14.18
2019-02-28,14.63
2019-01-31,15.05
2018-12-31,14.52
2018-11-30,13.32
2018-10-31,13.41
2018-09-30,13.73
2018-08-31,13.65
2018-07-31,14.61
2018-06-30,15.15
2018-05-31,15.46
2018-04-30,15.38
2018-03-31,15.41
2018-02-28,15.46
2018-01-31,16.35
2017-12-31,15.99
2017-11-30,15.51
2017-10-31,15.79
2017-09-30,15.74
2017-08-31,16.65
2017-07-31,15.9
2017-06-30,15.71
2017-05-31,16.39
2017-04-30,16.3
2017-03-31,17.25
2017-02-28,17.37
2017-01-31,16.63
2016-12-31,15.11
2016-11-30,15.66
2016-10-31,16.97
2016-09-30,18.2
2016-08-31,17.72
2016-07-31,19.35
2016-06-30,17.86
2016-05-31,15.19
2016-04-30,16.98
2016-03-31,14.68
2016-02-29,14.2
2016-01-31,13.59
2015-12-31,13.19
2015-11-30,13.44
2015-10-31,14.8
2015-09-30,13.87
2015-08-31,13.99
2015-07-31,14.08
2015-06-30,15.03
2015-05-31,15.99
2015-04-30,15.43
2015-03-31,15.93
2015-02-28,15.87
2015-01-31,16.54
2014-12-31,15.06
2014-11-30,14.83
2014-10-31,15.5
2014-09-30,16.35
2014-08-31,18.71
2014-07-31,19.58
2014-06-30,20.25
2014-05-31,18.08
2014-04-30,18.46
2014-03-31,19.04
2014-02-28,20.35
2014-01-31,18.45
2013-12-31,18.71
2013-11-30,19.24
2013-10-31,21.1
2013-09-30,20.9
2013-08-31,22.6
2013-07-31,19.14
2013-06-30,18.97
2013-05-31,21.44
2013-04-30,23.46
2013-03-31,27.42
2013-02-28,27.54
2013-01-31,30.44
2012-12-31,29.37
2012-11-30,32.36
2012-10-31,31.27
2012-09-30,33.48
2012-08-31,30.79
2012-07-31,27.12
2012-06-30,26.65
2012-05-31,26.96
2012-04-30,30.11
2012-03-31,31.38
2012-02-29,33.55
2012-01-31,32.28
2011-12-31,26.94
2011-11-30,32.0
2011-10-31,33.44
2011-09-30,28.91
2011-08-31,40.45
2011-07-31,38.85
2011-06-30,33.84
2011-05-31,37.6
2011-04-30,46.88
2011-03-31,36.77
2011-02-28,33.11
2011-01-31,27.39
2010-12-31,30.18
2010-11-30,27.44
2010-10-31,24.17
2010-09-30,21.31
2010-08-31,18.93
2010-07-31,17.58
2010-06-30,18.21
2010-05-31,18.03
2010-04-30,18.26
2010-03-31,17.14
2010-02-28,16.07
2010-01-31,15.9
2009-12-31,16.54
2009-11-30,18.15
2009-10-31,16.07
2009-09-30,16.38
2009-08-31,14.62
2009-07-31,13.7
2009-06-30,13.38
2009-05-31,15.47
2009-04-30,12.21
2009-03-31,12.79
2009-02-28,12.88
2009-01-31,12.52
2008-12-31,11.2
2008-11-30,10.23
2008-10-31,9.58
2008-09-30,11.85
2008-08-31,13.37
2008-07-31,17.53
2008-06-30,17.26
2008-05-31,16.67
2008-04-30,16.72
2008-03-31,17.04
2008-02-29,19.67
2008-01-31,16.82
2007-12-31,14.7
2007-11-30,13.9
2007-10-31,14.36
2007-09-30,13.65
2007-08-31,12.0
2007-07-31,12.8
2007-06-30,12.35
2007-05-31,13.38
2007-04-30,13.34
2007-03-31,13.35
2007-02-28,14.12
2007-01-31,13.52
2006-12-31,12.86
2006-11-30,13.97
2006-10-31,12.27
2006-09-30,11.45
2006-08-31,12.91
2006-07-31,11.41
2006-06-30,11.14
2006-05-31,12.63
2006-04-30,13.81
