날짜,종가
2026-06-30,655.89
2026-05-31,598.93
2026-04-30,506.72
2026-03-31,383.4
2026-02-28,406.37
2026-01-31,403.46
2025-12-31,360.13
2025-11-30,351.19
2025-10-31,361.89
2025-09-30,325.35
2025-08-31,289.39
2025-07-31,287.88
2025-06-30,278.01
2025-05-31,239.01
2025-04-30,210.62
2025-03-31,210.81
2025-02-28,232.05
2025-01-31,242.86
2024-12-31,241.42
2024-11-30,240.31
2024-10-31,239.87
2024-09-30,243.61
2024-08-31,241.63
2024-07-31,245.14
2024-06-30,258.74
2024-05-31,238.68
2024-04-30,212.48
2024-03-31,223.3
2024-02-29,210.36
2024-01-31,184.48
2023-12-31,173.56
2023-11-30,158.32
2023-10-31,137.08
2023-09-30,143.03
2023-08-31,154.12
2023-07-31,158.46
2023-06-30,150.2
2023-05-31,142.39
2023-04-30,121.96
2023-03-31,129.83
2023-02-28,118.09
2023-01-31,116.96
2022-12-31,100.11
2022-11-30,111.07
2022-10-31,92.29
2022-09-30,90.29
2022-08-31,104.65
2022-07-31,115.67
2022-06-30,99.37
2022-05-31,119.29
2022-04-30,112.1
2022-03-31,131.58
2022-02-28,130.79
2022-01-31,134.32
2021-12-31,150.61
2021-11-30,147.92
2021-10-31,132.75
2021-09-30,124.32
2021-08-31,131.39
2021-07-31,127.66
2021-06-30,127.22
2021-05-31,120.89
2021-04-30,117.89
2021-03-31,118.15
2021-02-28,116.89
2021-01-31,109.94
2020-12-31,105.96
2020-11-30,100.5
2020-10-31,84.29
2020-09-30,83.93
2020-08-31,84.49
2020-07-31,80.08
2020-06-30,73.62
2020-05-31,67.95
2020-04-30,64.43
2020-03-31,56.44
2020-02-29,63.58
2020-01-31,66.28
2019-12-31,68.13
2019-11-30,63.09
2019-10-31,60.51
2019-09-30,56.55
2019-08-31,54.31
2019-07-31,55.58
2019-06-30,52.3
2019-05-31,46.63
2019-04-30,55.18
2019-03-31,50.47
2019-02-28,49.05
2019-01-31,45.85
2018-12-31,41.43
2018-11-30,45.06
2018-10-31,43.53
2018-09-30,49.57
2018-08-31,50.73
2018-07-31,49.31
2018-06-30,47.81
2018-05-31,49.92
2018-04-30,45.25
2018-03-31,48.56
2018-02-28,49.62
2018-01-31,49.6
2017-12-31,45.55
2017-11-30,46.03
2017-10-31,46.66
2017-09-30,42.85
2017-08-31,40.67
2017-07-31,39.41
2017-06-30,37.59
2017-05-31,39.48
2017-04-30,36.6
2017-03-31,36.6
2017-02-28,35.08
2017-01-31,34.18
2016-12-31,32.89
2016-11-30,32.37
2016-10-31,31.1
2016-09-30,31.64
2016-08-31,30.16
2016-07-31,28.92
2016-06-30,25.97
2016-05-31,25.92
2016-04-30,23.9
2016-03-31,25.09
2016-02-29,22.97
2016-01-31,22.65
2015-12-31,24.27
2015-11-30,24.88
2015-10-31,24.17
2015-09-30,22.24
2015-08-31,22.09
2015-07-31,23.25
2015-06-30,24.33
2015-05-31,26.66
2015-04-30,24.73
2015-03-31,24.65
2015-02-28,25.4
2015-01-31,23.51
2014-12-31,24.35
2014-11-30,24.48
2014-10-31,22.66
2014-09-30,22.52
2014-08-31,22.78
2014-07-31,21.49
2014-06-30,21.81
2014-05-31,20.42
2014-04-30,19.69
2014-03-31,20.1
2014-02-28,19.24
2014-01-31,18.14
2013-12-31,18.7
2013-11-30,17.86
2013-10-31,17.86
2013-09-30,17.3
2013-08-31,16.11
2013-07-31,16.73
2013-06-30,16.35
2013-05-31,16.61
2013-04-30,16.07
2013-03-31,15.41
2013-02-28,15.24
2013-01-31,14.88
2012-12-31,14.02
2012-11-30,13.6
2012-10-31,13.2
2012-09-30,13.43
2012-08-31,14.0
2012-07-31,13.69
2012-06-30,13.68
2012-05-31,13.19
2012-04-30,14.69
2012-03-31,15.2
2012-02-29,14.65
2012-01-31,14.23
2011-12-31,12.92
2011-11-30,13.02
2011-10-31,13.48
2011-09-30,12.08
2011-08-31,12.38
2011-07-31,13.61
2011-06-30,14.47
2011-05-31,15.24
2011-04-30,15.58
2011-03-31,14.69
2011-02-28,15.19
2011-01-31,14.61
2010-12-31,13.81
2010-11-30,13.19
2010-10-31,12.53
2010-09-30,11.77
2010-08-31,10.3
2010-07-31,11.63
2010-06-30,11.01
2010-05-31,11.64
2010-04-30,12.31
2010-03-31,11.83
2010-02-28,11.2
2010-01-31,10.51
2009-12-31,11.85
2009-11-30,10.81
2009-10-31,10.27
2009-09-30,10.88
2009-08-31,10.81
2009-07-31,10.59
2009-06-30,9.11
2009-05-31,8.96
2009-04-30,8.69
2009-03-31,7.94
2009-02-28,6.99
2009-01-31,7.18
2008-12-31,7.48
2008-11-30,7.06
2008-10-31,8.81
2008-09-30,10.49
2008-08-31,12.1
2008-07-31,11.85
2008-06-30,12.59
2008-05-31,13.86
2008-04-30,12.98
2008-03-31,12.19
2008-02-29,12.12
2008-01-31,11.95
2007-12-31,13.78
2007-11-30,13.72
2007-10-31,14.7
2007-09-30,16.26
2007-08-31,16.09
2007-07-31,16.04
2007-06-30,16.16
2007-05-31,15.59
2007-04-30,15.54
2007-03-31,14.18
2007-02-28,14.62
2007-01-31,14.36
2006-12-31,14.29
2006-11-30,14.67
2006-10-31,14.44
2006-09-30,14.56
2006-08-31,14.47
2006-07-31,13.38
2006-06-30,13.97
2006-05-31,14.45
2006-04-30,15.99
2006-03-31,15.42
2006-02-28,15.72
2006-01-31,15.84
2005-12-31,15.56
2005-11-30,15.88
2005-10-31,14.24
2005-09-30,15.68
2005-08-31,15.7
2005-07-31,15.86
2005-06-30,14.3
2005-05-31,14.61
2005-04-30,13.09
2005-03-31,13.81
2005-02-28,14.43
2005-01-31,13.25
