"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","217.98","124.39","242.66","121.66","1.08B","71.66%"
"2026- 04- 01","126.98","50.04","130.12","46.05","1.63B","165.04%"
"2026- 03- 01","47.91","58.11","62.82","39.52","2.21B","-23.67%"
"2026- 02- 01","62.77","59.46","72.36","49.33","1.56B","1.59%"
"2026- 01- 01","61.79","45.13","71.98","45.08","1.52B","47.01%"
"2025- 12- 01","42.03","39.58","50.09","35.70","1.69B","1.87%"
"2025- 11- 01","41.26","49.50","50.19","28.12","2.14B","-13.65%"
"2025- 10- 01","47.78","34.18","50.76","33.98","1.95B","37.14%"
"2025- 09- 01","34.84","24.08","35.49","23.80","1.52B","33.79%"
"2025- 08- 01","26.04","23.58","29.66","22.57","1.87B","4.24%"
"2025- 07- 01","24.98","24.38","28.50","23.58","2.06B","-0.52%"
"2025- 06- 01","25.11","16.06","25.84","16.04","2.60B","55.29%"
"2025- 05- 01","16.17","12.53","19.37","12.05","3.49B","32.98%"
"2025- 04- 01","12.16","15.73","16.89","7.22","7.44B","-23.76%"
"2025- 03- 01","15.95","23.72","23.73","14.40","2.41B","-29.83%"
"2025- 02- 01","22.73","24.80","32.64","21.02","1.36B","-15.88%"
"2025- 01- 01","27.02","28.13","36.15","23.75","1.66B","-1.06%"
"2024- 12- 01","27.31","28.56","32.95","25.59","1.50B","-2.67%"
"2024- 11- 01","28.06","30.69","36.37","25.58","1.55B","-6.75%"
"2024- 10- 01","30.09","36.59","41.19","29.23","1.85B","-17.97%"
"2024- 09- 01","36.68","36.80","40.51","25.50","2.02B","-5.44%"
"2024- 08- 01","38.79","42.05","43.42","23.50","2.49B","-12.62%"
"2024- 07- 01","44.39","55.36","70.08","36.78","1.51B","-19.82%"
"2024- 06- 01","55.36","50.81","66.19","46.12","943.83M","13.93%"
"2024- 05- 01","48.59","36.08","54.89","33.65","1.15B","27.27%"
"2024- 04- 01","38.18","46.73","49.99","30.20","1.52B","-17.95%"
"2024- 03- 01","46.53","44.40","56.99","38.94","1.54B","8.61%"
"2024- 02- 01","42.84","32.28","43.13","31.20","1.33B","33.46%"
"2024- 01- 01","32.10","29.89","39.53","24.80","1.54B","2.23%"
"2023- 12- 01","31.40","22.38","32.78","21.29","1.17B","37.66%"
"2023- 11- 01","22.81","14.95","24.42","14.93","1.38B","53.09%"
"2023- 10- 01","14.90","18.95","21.57","14.01","1.83B","-21.04%"
"2023- 09- 01","18.87","24.35","24.58","16.89","1.19B","-20.91%"
"2023- 08- 01","23.86","27.81","28.72","19.11","1.36B","-16.02%"
"2023- 07- 01","28.41","25.26","28.75","22.04","943.07M","14.42%"
"2023- 06- 01","24.83","21.48","26.79","20.43","1.17B","17.40%"
"2023- 05- 01","21.15","14.46","24.80","13.22","1.51B","48.63%"
"2023- 04- 01","14.23","17.92","18.16","12.52","1.24B","-22.24%"
"2023- 03- 01","18.30","14.81","18.34","13.15","1.97B","24.91%"
"2023- 02- 01","14.65","14.73","18.40","13.54","1.63B","0.90%"
"2023- 01- 01","14.52","10.17","15.36","9.19","1.97B","50.16%"
"2022- 12- 01","9.67","14.09","14.91","8.74","2.03B","-30.03%"
"2022- 11- 01","13.82","9.41","14.44","7.53","2.57B","54.93%"
"2022- 10- 01","8.92","9.09","11.92","6.21","3.10B","0.68%"
"2022- 09- 01","8.86","13.03","15.05","8.74","2.03B","-36.89%"
"2022- 08- 01","14.04","19.41","22.27","13.66","1.39B","-29.20%"
"2022- 07- 01","19.83","12.49","19.99","10.53","1.43B","51.37%"
"2022- 06- 01","13.10","25.34","26.28","12.38","1.17B","-47.30%"
