날짜,종가
2026-06-30,266.71
2026-05-31,224.34
2026-04-30,126.98
2026-03-31,47.91
2026-02-28,62.77
2026-01-31,61.79
2025-12-31,42.03
2025-11-30,41.26
2025-10-31,47.78
2025-09-30,34.84
2025-08-31,26.03
2025-07-31,24.97
2025-06-30,25.1
2025-05-31,16.11
2025-04-30,12.12
2025-03-31,15.9
2025-02-28,22.58
2025-01-31,26.84
2024-12-31,27.13
2024-11-30,27.8
2024-10-31,29.81
2024-09-30,36.34
2024-08-31,38.36
2024-07-31,43.9
2024-06-30,54.75
2024-05-31,47.92
2024-04-30,37.65
2024-03-31,45.89
2024-02-29,42.21
2024-01-31,31.63
2023-12-31,30.94
2023-11-30,22.43
2023-10-31,14.65
2023-09-30,18.55
2023-08-31,23.42
2023-07-31,27.88
2023-06-30,24.37
2023-05-31,20.73
2023-04-30,13.95
2023-03-31,17.93
2023-02-28,14.34
2023-01-31,14.21
2022-12-31,9.46
2022-11-30,13.48
2022-10-31,8.7
2022-09-30,8.64
2022-08-31,13.64
2022-07-31,19.27
2022-06-30,12.73
2022-05-31,24.13
2022-04-30,21.59
2022-03-31,37.64
2022-02-28,39.8
2022-01-31,43.26
2021-12-31,66.0
2021-11-30,62.74
2021-10-31,46.23
2021-09-30,38.85
2021-08-31,45.16
2021-07-31,43.07
2021-06-30,43.21
2021-05-31,37.62
2021-04-30,35.8
2021-03-31,37.07
2021-02-28,37.54
2021-01-31,32.39
2020-12-31,30.16
2020-11-30,26.24
2020-10-31,16.09
2020-09-30,16.37
2020-08-31,17.27
2020-07-31,14.64
2020-06-30,12.17
2020-05-31,9.96
2020-04-30,8.46
2020-03-31,6.12
2020-02-29,13.23
2020-01-31,15.72
2019-12-31,17.74
2019-11-30,14.28
2019-10-31,12.78
2019-09-30,10.97
2019-08-31,9.97
2019-07-31,11.09
2019-06-30,9.54
2019-05-31,6.81
2019-04-30,12.09
2019-03-31,8.84
2019-02-28,8.13
2019-01-31,6.83
2018-12-31,5.35
2018-11-30,6.83
2018-10-31,6.43
2018-09-30,9.88
2018-08-31,10.71
2018-07-31,10.02
2018-06-30,9.02
2018-05-31,10.51
2018-04-30,7.76
2018-03-31,9.72
2018-02-28,10.75
2018-01-31,11.06
2017-12-31,8.77
2017-11-30,9.26
2017-10-31,9.4
2017-09-30,7.33
2017-08-31,6.36
2017-07-31,5.92
2017-06-30,5.18
2017-05-31,6.16
2017-04-30,4.86
2017-03-31,4.98
2017-02-28,4.4
2017-01-31,4.08
2016-12-31,3.63
2016-11-30,3.38
2016-10-31,2.78
2016-09-30,2.92
2016-08-31,2.61
2016-07-31,2.28
2016-06-30,1.69
2016-05-31,1.79
2016-04-30,1.41
2016-03-31,1.64
2016-02-29,1.28
2016-01-31,1.24
2015-12-31,1.62
2015-11-30,1.74
2015-10-31,1.63
2015-09-30,1.25
2015-08-31,1.34
2015-07-31,1.61
2015-06-30,1.91
2015-05-31,2.51
2015-04-30,1.98
2015-03-31,2.06
2015-02-28,2.28
2015-01-31,1.74
2014-12-31,2.04
2014-11-30,2.05
2014-10-31,1.68
2014-09-30,1.72
2014-08-31,1.79
2014-07-31,1.48
2014-06-30,1.71
2014-05-31,1.44
2014-04-30,1.27
2014-03-31,1.36
2014-02-28,1.21
2014-01-31,1.0
2013-12-31,1.05
2013-11-30,0.91
2013-10-31,0.89
2013-09-30,0.81
2013-08-31,0.66
2013-07-31,0.75
2013-06-30,0.71
2013-05-31,0.73
2013-04-30,0.61
2013-03-31,0.59
2013-02-28,0.57
2013-01-31,0.5
2012-12-31,0.41
2012-11-30,0.38
2012-10-31,0.36
2012-09-30,0.41
2012-08-31,0.46
2012-07-31,0.42
2012-06-30,0.43
2012-05-31,0.39
2012-04-30,0.55
2012-03-31,0.67
2012-02-29,0.61
2012-01-31,0.55
2011-12-31,0.39
2011-11-30,0.43
2011-10-31,0.5
2011-09-30,0.35
2011-08-31,0.42
2011-07-31,0.57
2011-06-30,0.69
2011-05-31,0.87
2011-04-30,0.93
2011-03-31,0.87
2011-02-28,1.02
2011-01-31,0.92
2010-12-31,0.76
2010-11-30,0.65
2010-10-31,0.57
2010-09-30,0.47
2010-08-31,0.33
2010-07-31,0.49
2010-06-30,0.43
2010-05-31,0.55
2010-04-30,0.68
2010-03-31,0.64
