"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 06- 01","628.10","563.67","629.71","522.24","140.13M","10.37%"
"2026- 05- 01","569.08","458.47","584.50","455.07","168.65M","23.33%"
"2026- 04- 01","461.44","333.49","463.87","325.03","135.26M","40.40%"
"2026- 03- 01","328.66","343.79","352.33","307.26","189.47M","-6.71%"
"2026- 02- 01","352.29","342.37","368.82","323.33","145.16M","1.73%"
"2026- 01- 01","346.30","308.56","363.80","308.56","122.09M","14.99%"
"2025- 12- 01","301.15","292.87","317.35","284.43","106.87M","1.49%"
"2025- 11- 01","296.74","310.40","311.75","260.44","144.89M","-3.20%"
"2025- 10- 01","306.55","269.38","312.79","268.88","179.78M","13.07%"
"2025- 09- 01","271.12","238.67","272.80","238.15","182.36M","10.52%"
"2025- 08- 01","245.32","235.51","255.06","232.33","122.99M","2.20%"
"2025- 07- 01","240.03","236.70","250.19","234.08","124.11M","0.56%"
"2025- 06- 01","238.70","204.42","241.23","204.29","143.34M","16.47%"
"2025- 05- 01","204.94","186.00","216.70","183.47","111.73M","11.48%"
"2025- 04- 01","183.84","187.45","192.02","148.31","169.66M","-2.30%"
"2025- 03- 01","188.17","211.51","211.65","182.12","74.46M","-9.76%"
"2025- 02- 01","208.52","212.39","233.44","203.12","55.73M","-4.41%"
"2025- 01- 01","218.13","217.68","238.34","208.98","82.08M","1.23%"
"2024- 12- 01","215.49","216.70","228.58","210.30","57.32M","0.04%"
"2024- 11- 01","215.40","220.02","233.40","208.89","59.46M","-1.31%"
"2024- 10- 01","218.26","230.50","240.47","216.56","66.19M","-5.35%"
"2024- 09- 01","230.59","226.80","238.38","202.86","82.35M","-0.24%"
"2024- 08- 01","231.14","231.40","237.50","192.87","101.51M","-1.80%"
"2024- 07- 01","235.38","246.49","267.24","219.82","91.54M","-4.56%"
"2024- 06- 01","246.63","237.80","260.65","230.20","52.71M","5.39%"
"2024- 05- 01","234.01","210.01","243.63","205.59","64.49M","9.36%"
"2024- 04- 01","213.99","226.06","231.45","197.43","76.70M","-5.28%"
"2024- 03- 01","225.92","219.88","240.01","212.65","91.12M","3.94%"
"2024- 02- 01","217.36","196.14","217.80","193.74","85.22M","11.27%"
"2024- 01- 01","195.35","188.78","209.26","177.88","85.55M","1.73%"
"2023- 12- 01","192.03","170.33","194.64","167.64","52.94M","12.16%"
"2023- 11- 01","171.22","147.48","175.01","147.48","49.48M","16.11%"
"2023- 10- 01","147.46","158.23","165.69","144.40","61.06M","-6.60%"
"2023- 09- 01","157.88","171.36","171.95","152.16","45.46M","-7.25%"
"2023- 08- 01","170.22","176.80","178.92","157.31","69.43M","-4.60%"
"2023- 07- 01","178.43","169.86","178.96","162.64","55.31M","5.53%"
"2023- 06- 01","169.09","159.87","172.48","157.40","75.86M","6.41%"
"2023- 05- 01","158.90","137.93","167.67","134.08","74.43M","15.66%"
"2023- 04- 01","137.38","147.36","147.92","131.53","43.51M","-7.32%"
"2023- 03- 01","148.22","137.11","148.45","132.16","65.24M","8.50%"
"2023- 02- 01","136.61","135.23","146.04","132.70","65.13M","1.52%"
"2023- 01- 01","134.56","117.96","136.87","114.17","69.90M","16.01%"
"2022- 12- 01","115.99","130.11","132.98","112.05","61.94M","-10.32%"
"2022- 11- 01","129.34","111.01","130.20","103.16","76.68M","18.85%"
"2022- 10- 01","108.83","107.45","118.03","95.94","76.83M","2.43%"
"2022- 09- 01","106.24","120.09","126.43","106.08","63.65M","-13.78%"
"2022- 08- 01","123.23","134.81","141.50","122.15","59.77M","-9.24%"
"2022- 07- 01","135.78","114.60","136.16","108.90","66.04M","16.51%"
"2022- 06- 01","116.54","142.77","144.81","114.70","63.30M","-17.96%"
"2022- 05- 01","142.05","133.72","144.84","125.78","78.90M","6.33%"
"2022- 04- 01","133.59","158.43","158.80","131.23","88.75M","-15.32%"
"2022- 03- 01","157.76","157.41","167.03","139.45","101.01M","-0.19%"
"2022- 02- 01","158.05","161.39","169.29","144.68","105.02M","-1.11%"
"2022- 01- 01","159.82","181.99","186.34","144.43","131.01M","-11.59%"
"2021- 12- 01","180.77","179.00","186.09","168.69","48.23M","2.47%"
"2021- 11- 01","176.41","158.40","182.71","158.00","57.81M","11.51%"
"2021- 10- 01","158.21","149.21","158.23","144.42","48.85M","6.45%"
"2021- 09- 01","148.62","156.85","159.40","148.39","57.72M","-4.77%"
