날짜,종가
2026-08-31,510.71
2026-07-31,504.56
2026-06-30,640.34
2026-05-31,568.44
2026-04-30,460.92
2026-03-31,328.29
2026-02-28,351.68
2026-01-31,345.7
2025-12-31,300.63
2025-11-30,295.79
2025-10-31,305.57
2025-09-30,270.25
2025-08-31,244.02
2025-07-31,238.76
2025-06-30,237.44
2025-05-31,203.41
2025-04-30,182.47
2025-03-31,186.76
2025-02-28,206.7
2025-01-31,216.22
2024-12-31,213.61
2024-11-30,213.18
2024-10-31,216.01
2024-09-30,228.22
2024-08-31,228.2
2024-07-31,232.39
2024-06-30,243.5
2024-05-31,230.74
2024-04-30,211.0
2024-03-31,222.77
2024-02-29,214.11
2024-01-31,192.43
2023-12-31,189.16
2023-11-30,168.32
2023-10-31,144.97
2023-09-30,155.21
2023-08-31,166.75
2023-07-31,174.79
2023-06-30,165.64
2023-05-31,155.45
2023-04-30,134.4
2023-03-31,145.0
2023-02-28,133.31
2023-01-31,131.31
2022-12-31,113.19
2022-11-30,125.87
2022-10-31,105.9
2022-09-30,103.39
2022-08-31,119.27
2022-07-31,131.41
2022-06-30,112.79
2022-05-31,137.27
2022-04-30,129.1
2022-03-31,152.46
2022-02-28,152.45
2022-01-31,154.16
2021-12-31,174.37
2021-11-30,169.84
2021-10-31,152.31
2021-09-30,143.09
2021-08-31,149.88
2021-07-31,146.27
2021-06-30,145.41
2021-05-31,138.35
2021-04-30,134.94
2021-03-31,135.57
2021-02-28,133.06
2021-01-31,124.92
2020-12-31,121.01
2020-11-30,115.24
2020-10-31,97.29
2020-09-30,97.02
2020-08-31,97.5
2020-07-31,92.16
2020-06-30,85.96
2020-05-31,79.75
2020-04-30,74.43
2020-03-31,64.98
2020-02-29,73.15
2020-01-31,76.7
2019-12-31,79.24
2019-11-30,73.42
2019-10-31,70.55
2019-09-30,66.48
2019-08-31,64.09
2019-07-31,65.61
2019-06-30,62.11
2019-05-31,55.03
2019-04-30,65.96
2019-03-31,59.09
2019-02-28,57.13
2019-01-31,53.69
2018-12-31,48.79
2018-11-30,52.2
2018-10-31,50.56
2018-09-30,57.42
2018-08-31,58.79
2018-07-31,57.3
2018-06-30,55.06
2018-05-31,57.7
2018-04-30,51.94
2018-03-31,55.43
2018-02-28,56.8
2018-01-31,56.68
2017-12-31,52.17
2017-11-30,52.92
2017-10-31,52.97
2017-09-30,48.63
2017-08-31,46.23
2017-07-31,44.93
2017-06-30,42.86
2017-05-31,45.13
2017-04-30,41.5
2017-03-31,41.74
2017-02-28,39.98
2017-01-31,38.89
2016-12-31,37.32
2016-11-30,36.22
2016-10-31,33.79
2016-09-30,34.28
2016-08-31,32.91
2016-07-31,31.42
2016-06-30,28.29
2016-05-31,28.61
2016-04-30,26.32
2016-03-31,27.6
2016-02-29,25.37
2016-01-31,24.93
2015-12-31,26.98
2015-11-30,27.45
2015-10-31,26.83
2015-09-30,24.41
2015-08-31,24.74
2015-07-31,26.09
2015-06-30,27.44
2015-05-31,30.04
2015-04-30,27.58
2015-03-31,27.94
2015-02-28,28.71
2015-01-31,26.19
2014-12-31,27.53
2014-11-30,27.48
2014-10-31,25.63
2014-09-30,25.54
2014-08-31,25.79
2014-07-31,24.23
2014-06-30,25.34
2014-05-31,23.88
2014-04-30,22.87
2014-03-31,23.3
2014-02-28,22.38
2014-01-31,20.97
2013-12-31,21.2
2013-11-30,20.19
2013-10-31,20.02
2013-09-30,19.38
2013-08-31,18.06
2013-07-31,18.8
2013-06-30,18.38
2013-05-31,18.39
2013-04-30,17.4
2013-03-31,17.1
2013-02-28,16.71
2013-01-31,16.12
2012-12-31,14.98
2012-11-30,14.61
2012-10-31,14.31
2012-09-30,14.88
2012-08-31,15.4
2012-07-31,14.9
2012-06-30,14.94
2012-05-31,14.31
2012-04-30,15.98
2012-03-31,16.94
2012-02-29,16.4
2012-01-31,15.78
2011-12-31,14.05
2011-11-30,14.34
2011-10-31,14.87
2011-09-30,13.03
2011-08-31,13.68
2011-07-31,14.85
2011-06-30,15.71
2011-05-31,16.82
2011-04-30,17.17
2011-03-31,16.69
2011-02-28,17.51
2011-01-31,16.78
2010-12-31,15.71
2010-11-30,14.96
2010-10-31,14.27
2010-09-30,13.35
2010-08-31,11.61
2010-07-31,12.97
2010-06-30,12.33
2010-05-31,13.23
2010-04-30,14.16
2010-03-31,13.88
2010-02-28,13.03
2010-01-31,12.07
2009-12-31,13.83
2009-11-30,12.12
2009-10-31,11.35
2009-09-30,12.52
2009-08-31,12.14
2009-07-31,11.83
2009-06-30,10.25
2009-05-31,10.15
2009-04-30,9.75
2009-03-31,8.67
2009-02-28,7.57
2009-01-31,7.7
2008-12-31,7.9
2008-11-30,7.48
2008-10-31,9.22
2008-09-30,11.2
2008-08-31,13.55
2008-07-31,12.98
2008-06-30,14.14
2008-05-31,15.95
2008-04-30,14.71
2008-03-31,13.65
2008-02-29,13.83
2008-01-31,14.11
2007-12-31,16.37
2007-11-30,16.27
2007-10-31,17.79
2007-09-30,18.57
2007-08-31,18.35
2007-07-31,18.1
2007-06-30,18.09
2007-05-31,17.7
2007-04-30,17.55
2007-03-31,16.55
2007-02-28,16.96
2007-01-31,16.67
2006-12-31,16.72
2006-11-30,17.23
2006-10-31,16.69
2006-09-30,16.85
2006-08-31,16.56
2006-07-31,15.19
2006-06-30,15.87
2006-05-31,16.53
2006-04-30,18.26
2006-03-31,17.84
2006-02-28,17.78
2006-01-31,18.18
2005-12-31,16.69
2005-11-30,16.93
2005-10-31,15.27
2005-09-30,16.22
2005-08-31,16.13
2005-07-31,16.1
2005-06-30,14.42
2005-05-31,14.64
2005-04-30,13.14
2005-03-31,13.94
2005-02-28,14.71
2005-01-31,13.63
