날짜,종가,시가,고가,저가,거래량,변동 %
2026-06-30,746.77,746.77,746.77,746.77,0,0%
2026-05-31,756.48,756.48,756.48,756.48,0,0%
2026-04-30,718.66,718.66,718.66,718.66,0,0%
2026-03-31,650.34,650.34,650.34,650.34,0,0%
2026-02-28,685.99,685.99,685.99,685.99,0,0%
2026-01-31,691.97,691.97,691.97,691.97,0,0%
2025-12-31,681.92,681.92,681.92,681.92,0,0%
2025-11-30,683.39,683.39,683.39,683.39,0,0%
2025-10-31,682.06,682.06,682.06,682.06,0,0%
2025-09-30,666.18,666.18,666.18,666.18,0,0%
2025-08-31,645.05,645.05,645.05,645.05,0,0%
2025-07-31,632.08,632.08,632.08,632.08,0,0%
2025-06-30,617.85,617.85,617.85,617.85,0,0%
2025-05-31,589.39,589.39,589.39,589.39,0,0%
2025-04-30,554.54,554.54,554.54,554.54,0,0%
2025-03-31,559.39,559.39,559.39,559.39,0,0%
2025-02-28,594.18,594.18,594.18,594.18,0,0%
2025-01-31,601.82,601.82,601.82,601.82,0,0%
2024-12-31,586.08,586.08,586.08,586.08,0,0%
2024-11-30,602.55,602.55,602.55,602.55,0,0%
2024-10-31,568.64,568.64,568.64,568.64,0,0%
2024-09-30,573.76,573.76,573.76,573.76,0,0%
2024-08-31,563.68,563.68,563.68,563.68,0,0%
2024-07-31,550.81,550.81,550.81,550.81,0,0%
2024-06-30,544.22,544.22,544.22,544.22,0,0%
2024-05-31,527.37,527.37,527.37,527.37,0,0%
2024-04-30,501.98,501.98,501.98,501.98,0,0%
2024-03-31,523.07,523.07,523.07,523.07,0,0%
2024-02-29,508.08,508.08,508.08,508.08,0,0%
2024-01-31,482.88,482.88,482.88,482.88,0,0%
2023-12-31,475.31,475.31,475.31,475.31,0,0%
2023-11-30,456.4,456.4,456.4,456.4,0,0%
2023-10-31,418.2,418.2,418.2,418.2,0,0%
2023-09-30,427.48,427.48,427.48,427.48,0,0%
2023-08-31,450.35,450.35,450.35,450.35,0,0%
2023-07-31,457.79,457.79,457.79,457.79,0,0%
2023-06-30,443.28,443.28,443.28,443.28,0,0%
