"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","39.44","51.36","51.45","38.86","1.11B","-23.64%"
"2026- 04- 01","51.65","78.62","82.50","51.40","1.16B","-35.83%"
"2026- 03- 01","80.49","73.80","90.71","68.68","1.39B","13.61%"
"2026- 02- 01","70.85","67.29","75.86","64.14","1.12B","6.93%"
"2026- 01- 01","66.26","66.65","71.10","61.72","883.42M","-3.27%"
"2025- 12- 01","68.50","70.26","75.19","64.81","761.36M","0.13%"
"2025- 11- 01","68.41","64.00","83.10","63.75","793.31M","3.97%"
"2025- 10- 01","65.80","77.40","80.35","63.40","661.41M","-13.59%"
"2025- 09- 01","76.15","94.05","94.95","75.50","430.95M","-15.15%"
"2025- 08- 01","89.75","95.20","98.85","83.55","447.71M","-2.55%"
"2025- 07- 01","92.10","98.93","101.65","87.45","366.42M","-5.88%"
"2025- 06- 01","97.85","120.00","120.90","97.25","371.79M","-17.53%"
"2025- 05- 01","118.65","147.95","154.15","113.45","476.07M","-23.60%"
"2025- 04- 01","155.30","193.85","289.00","153.85","598.33M","-18.99%"
"2025- 03- 01","191.70","154.10","206.00","152.65","368.72M","22.10%"
"2025- 02- 01","157.00","152.50","168.30","131.07","231.30M","8.16%"
"2025- 01- 01","145.15","152.90","166.39","136.17","219.67M","-6.78%"
"2024- 12- 01","155.70","161.80","162.50","137.70","181.59M","-4.42%"
"2024- 11- 01","162.90","188.50","190.00","156.85","156.23M","-14.26%"
"2024- 10- 01","190.00","185.50","197.25","171.25","138.50M","2.84%"
"2024- 09- 01","184.75","209.00","244.25","178.00","133.29M","-9.88%"
"2024- 08- 01","205.00","214.00","289.75","193.25","165.69M","-4.54%"
"2024- 07- 01","214.75","205.63","240.75","178.50","138.71M","3.74%"
"2024- 06- 01","207.00","246.00","257.25","196.50","95.49M","-17.37%"
"2024- 05- 01","250.50","302.00","308.00","235.75","101.42M","-16.15%"
"2024- 04- 01","298.75","260.38","324.75","255.75","133.52M","14.03%"
"2024- 03- 01","262.00","273.25","286.50","251.25","112.73M","-4.64%"
"2024- 02- 01","274.75","316.00","318.25","271.00","102.63M","-14.01%"
"2024- 01- 01","319.50","345.25","374.00","291.25","108.47M","-4.98%"
"2023- 12- 01","336.25","404.25","420.00","327.75","86.03M","-16.04%"
"2023- 11- 01","400.50","539.00","539.50","383.75","103.32M","-26.18%"
"2023- 10- 01","542.50","510.25","583.50","451.00","127.89M","6.16%"
"2023- 09- 01","511.00","434.25","540.75","432.75","95.25M","15.42%"
"2023- 08- 01","442.75","428.25","537.00","424.00","127.57M","4.73%"
"2023- 07- 01","422.75","470.50","498.00","409.50","87.59M","-10.58%"
"2023- 06- 01","472.75","576.75","582.25","468.25","104.08M","-18.00%"
"2023- 05- 01","576.50","727.00","777.25","545.50","103.72M","-20.37%"
"2023- 04- 01","724.00","748.75","818.25","723.00","89.78M","-1.36%"
"2023- 03- 01","734.00","981.25","1,064.25","732.25","141.38M","-24.97%"
"2023- 02- 01","978.25","986.25","1,011.75","805.00","117.16M","-0.58%"
"2023- 01- 01","984.00","1,314.75","1,446.00","950.00","89.16M","-27.12%"
"2022- 12- 01","1,350.25","1,031.50","1,457.25","987.00","93.78M","30.52%"
"2022- 11- 01","1,034.50","1,248.38","1,589.25","1,033.00","104.93M","-20.27%"
"2022- 10- 01","1,297.50","1,500.00","1,738.75","1,221.00","124.30M","-15.36%"
"2022- 09- 01","1,533.00","1,164.50","1,533.75","1,004.25","128.27M","35.10%"
"2022- 08- 01","1,134.75","1,013.00","1,142.25","826.25","107.79M","13.96%"
"2022- 07- 01","995.75","1,490.50","1,523.50","986.25","86.04M","-32.31%"
"2022- 06- 01","1,471.00","1,159.75","1,692.25","1,110.00","95.22M","24.37%"
"2022- 05- 01","1,182.75","1,234.00","1,596.50","1,038.13","120.86M","-3.51%"
"2022- 04- 01","1,225.75","837.75","1,235.25","792.50","82.50M","45.62%"
"2022- 03- 01","841.75","1,029.75","1,293.63","779.29","85.08M","-17.33%"
"2022- 02- 01","1,018.25","923.00","1,321.75","880.50","70.08M","8.96%"
"2022- 01- 01","934.50","733.75","1,202.00","715.00","51.62M","25.86%"
"2021- 12- 01","742.50","762.50","880.00","703.75","30.30M","-5.86%"
"2021- 11- 01","788.75","846.25","860.90","711.25","22.71M","-7.07%"
"2021- 10- 01","848.75","1,073.13","1,146.25","847.50","16.54M","-21.32%"
"2021- 09- 01","1,078.75","907.50","1,082.50","895.00","17.29M","17.90%"
"2021- 08- 01","915.00","1,028.75","1,081.25","910.00","14.33M","-12.23%"
"2021- 07- 01","1,042.50","1,147.50","1,162.50","1,008.75","14.28M","-8.75%"
"2021- 06- 01","1,142.50","1,367.50","1,455.00","1,136.25","11.28M","-17.43%"
"2021- 05- 01","1,383.75","1,347.50","1,646.25","1,337.50","12.68M","1.65%"
"2021- 04- 01","1,361.25","1,580.00","1,583.13","1,305.00","10.83M","-17.00%"
"2021- 03- 01","1,640.00","1,722.50","2,097.50","1,588.75","23.31M","-9.39%"
"2021- 02- 01","1,810.00","1,778.75","1,870.00","1,470.00","13.61M","-1.56%"
"2021- 01- 01","1,838.75","1,875.00","2,055.63","1,601.25","10.36M","-3.10%"
"2020- 12- 01","1,897.50","2,161.25","2,233.59","1,882.50","7.51M","-14.24%"
"2020- 11- 01","2,212.50","3,056.25","3,222.50","2,197.50","10.44M","-29.28%"
"2020- 10- 01","3,128.75","2,856.25","3,213.75","2,368.75","12.46M","4.95%"
"2020- 09- 01","2,981.25","2,595.00","3,677.50","2,443.75","16.63M","11.71%"
"2020- 08- 01","2,668.75","3,618.75","3,737.50","2,614.38","4.62M","-27.99%"
"2020- 07- 01","3,706.25","4,718.75","4,750.00","3,612.50","3.67M","-21.56%"
"2020- 06- 01","4,725.00","5,950.00","5,975.00","4,562.50","2.64M","-19.83%"
"2020- 05- 01","5,893.75","7,706.25","8,068.75","5,850.00","2.06M","-18.57%"
"2020- 04- 01","7,237.50","13,250.00","14,050.00","7,156.25","2.54M","-40.49%"
"2020- 03- 01","12,162.50","14,193.75","20,268.75","11,300.00","3.07M","-16.84%"
"2020- 02- 01","14,625.00","12,537.50","16,500.00","9,931.25","1.28M","14.93%"
"2020- 01- 01","12,725.00","13,650.00","14,043.75","11,651.56","658.12K","-9.07%"
"2019- 12- 01","13,993.75","15,756.25","17,162.06","13,606.88","382.79K","-11.26%"
"2019- 11- 01","15,768.75","17,513.13","17,600.00","15,543.75","335.84K","-11.13%"
"2019- 10- 01","17,743.75","20,100.00","22,700.00","17,531.25","541.08K","-12.67%"
"2019- 09- 01","20,318.75","21,493.75","21,906.25","18,750.00","450.36K","-3.50%"
"2019- 08- 01","21,056.25","20,368.75","24,556.25","19,243.75","793.25K","2.90%"
"2019- 07- 01","20,462.50","20,706.25","21,381.25","19,118.75","408.68K","-6.86%"
"2019- 06- 01","21,968.75","28,018.75","30,050.00","21,196.88","409.34K","-20.90%"
"2019- 05- 01","27,775.00","21,300.00","27,821.00","21,125.00","406.38K","27.70%"
"2019- 04- 01","21,750.00","24,675.00","24,975.00","21,150.00","163.18K","-14.45%"
"2019- 03- 01","25,425.00","28,125.00","30,750.00","24,175.00","312.36K","-11.57%"
"2019- 02- 01","28,750.00","31,800.00","32,200.00","27,975.00","182.08K","-8.22%"
"2019- 01- 01","31,325.00","44,475.00","45,600.00","30,875.00","311.71K","-25.24%"
"2018- 12- 01","41,900.00","31,600.00","53,425.00","31,500.00","378.65K","23.87%"
"2018- 11- 01","33,825.00","34,400.00","42,624.75","31,075.00","303.77K","-2.52%"
"2018- 10- 01","34,700.00","27,350.00","41,175.00","27,075.50","434.32K","24.60%"
"2018- 09- 01","27,850.00","28,050.00","30,750.00","27,525.00","131.54K","0.27%"
"2018- 08- 01","27,775.00","32,625.00","33,214.50","27,400.00","132.21K","-15.71%"
"2018- 07- 01","32,950.00","36,925.00","37,171.00","29,550.00","126.80K","-8.41%"
"2018- 06- 01","35,975.00","36,825.00","37,500.00","32,275.00","143.97K","-3.75%"
"2018- 05- 01","37,375.00","44,500.00","45,550.00","36,650.00","139.20K","-15.35%"
"2018- 04- 01","44,150.00","46,750.00","51,150.00","39,777.50","163.01K","-3.66%"
"2018- 03- 01","45,825.00","41,675.00","49,515.50","36,150.00","162.39K","9.69%"
"2018- 02- 01","41,775.00","42,600.00","58,150.00","39,275.00","141.34K","0.18%"
"2018- 01- 01","41,700.00","53,025.00","53,397.50","40,550.00","61.12K","-22.45%"
"2017- 12- 01","53,775.00","55,875.00","58,225.00","50,800.00","45.63K","-2.00%"
"2017- 11- 01","54,875.00","57,600.00","59,893.00","53,362.50","49.48K","-5.92%"
"2017- 10- 01","58,325.00","66,700.00","67,744.75","58,037.50","47.54K","-12.98%"
"2017- 09- 01","67,025.00","66,250.00","71,847.50","65,800.00","49.67K","0.37%"
"2017- 08- 01","66,775.00","70,550.00","75,599.00","66,525.00","64.12K","-6.31%"
"2017- 07- 01","71,275.00","79,375.00","83,625.00","67,300.00","43.04K","-11.68%"
"2017- 06- 01","80,700.00","75,325.00","82,750.00","71,700.00","52.91K","6.39%"
"2017- 05- 01","75,850.00","84,575.00","85,300.00","74,912.50","22.16K","-11.13%"
"2017- 04- 01","85,350.00","92,400.00","96,950.00","84,675.00","19.96K","-7.85%"
"2017- 03- 01","92,625.00","96,725.00","99,100.00","91,850.00","22.55K","-5.92%"
"2017- 02- 01","98,450.00","109,800.00","111,300.00","97,050.00","18.40K","-12.12%"
"2017- 01- 01","112,025.00","127,750.00","129,199.00","108,550.00","20.51K","-14.03%"
"2016- 12- 01","130,300.00","135,800.00","143,700.00","121,000.00","15.96K","-4.05%"
"2016- 11- 01","135,800.00","138,400.00","152,264.00","129,100.00","19.54K","-2.37%"
"2016- 10- 01","139,100.00","134,200.00","143,000.00","130,000.00","12.82K","4.04%"
"2016- 09- 01","133,700.00","144,000.00","154,600.00","132,100.00","16.21K","-7.28%"
"2016- 08- 01","144,200.00","148,900.00","152,901.00","138,600.00","10.91K","-3.35%"
"2016- 07- 01","149,200.00","184,600.00","189,285.00","148,000.00","11.53K","-19.18%"
"2016- 06- 01","184,600.00","177,400.00","218,500.00","173,600.00","17.98K","5.07%"
"2016- 05- 01","175,700.00","200,300.00","209,100.00","174,900.00","14.90K","-12.80%"
"2016- 04- 01","201,500.00","187,900.00","206,385.00","172,500.00","16.09K","8.98%"
"2016- 03- 01","184,900.00","221,600.00","223,651.00","180,400.00","17.28K","-18.97%"
"2016- 02- 01","228,200.00","226,100.00","290,300.00","216,000.00","22.93K","2.42%"
"2016- 01- 01","222,800.00","199,700.00","275,290.00","195,200.00","22.78K","19.46%"
"2015- 12- 01","186,500.00","179,600.00","203,400.00","173,600.00","13.80K","2.64%"
"2015- 11- 01","181,700.00","185,400.00","206,200.00","176,300.00","11.15K","-2.57%"
"2015- 10- 01","186,500.00","260,500.00","271,510.00","183,100.00","18.13K","-29.01%"
"2015- 09- 01","262,700.00","271,600.00","287,500.00","218,500.00","22.98K","3.83%"
"2015- 08- 01","253,000.00","214,700.00","450,000.00","208,700.00","20.77K","17.78%"
"2015- 07- 01","214,800.00","241,100.00","256,700.00","201,900.00","15.54K","-13.35%"
"2015- 06- 01","247,900.00","228,700.00","251,400.00","223,100.00","13.47K","6.72%"
"2015- 05- 01","232,300.00","247,600.00","261,500.00","226,100.00","11.35K","-7.38%"
"2015- 04- 01","250,800.00","267,700.00","277,399.00","228,010.00","10.26K","-6.28%"
"2015- 03- 01","267,600.00","250,700.00","278,500.00","244,080.00","8.37K","6.19%"
"2015- 02- 01","252,000.00","310,700.00","325,200.00","248,500.00","6.84K","-19.44%"
"2015- 01- 01","312,800.00","294,200.00","332,400.00","284,000.00","10.05K","4.83%"
"2014- 12- 01","298,400.00","284,800.00","335,600.00","281,800.00","10.10K","5.67%"
"2014- 11- 01","282,400.00","322,400.00","330,790.00","280,700.00","7.45K","-12.84%"
"2014- 10- 01","324,000.00","362,400.00","463,000.00","320,500.00","15.51K","-9.77%"
"2014- 09- 01","359,100.00","351,800.00","372,399.00","343,400.00","7.99K","1.41%"
"2014- 08- 01","354,100.00","414,500.00","426,499.00","354,100.00","6.96K","-14.01%"
"2014- 07- 01","411,800.00","426,900.00","433,100.00","382,300.00","7.03K","-4.48%"
"2014- 06- 01","431,100.00","472,100.00","484,249.00","427,640.00","6.02K","-9.03%"
"2014- 05- 01","473,900.00","541,800.00","579,100.00","471,700.00","8.81K","-12.92%"
"2014- 04- 01","544,200.00","542,900.00","631,600.00","513,900.00","14.17K","-1.25%"
"2014- 03- 01","551,100.00","526,600.00","575,698.00","493,800.00","10.90K","7.72%"
"2014- 02- 01","511,600.00","604,000.00","653,900.00","501,300.00","7.34K","-14.88%"
"2014- 01- 01","601,000.00","581,200.00","634,600.00","550,800.00","2.10K","4.70%"
"2013- 12- 01","574,000.00","626,800.00","665,200.00","574,000.00","0.97K","-8.95%"
"2013- 11- 01","630,400.00","697,200.00","738,800.00","626,000.00","1.07K","-10.30%"
"2013- 10- 01","702,800.00","824,400.00","902,400.00","686,000.00","1.77K","-14.92%"
"2013- 09- 01","826,000.00","928,404.00","949,600.00","803,996.00","1.07K","-13.27%"
"2013- 08- 01","952,400.00","930,000.00","972,760.00","890,000.00","1.25K","0.17%"
"2013- 07- 01","950,800.00","1,124,400.00","1,144,000.00","933,600.00","1.26K","-17.41%"
"2013- 06- 01","1,151,200.00","1,080,400.00","1,256,800.00","1,054,000.00","2.07K","6.12%"
"2013- 05- 01","1,084,800.00","1,209,200.00","1,232,400.00","1,010,800.00","1.21K","-10.23%"
"2013- 04- 01","1,208,400.00","1,320,800.00","1,433,120.00","1,208,000.00","1.32K","-8.73%"
"2013- 03- 01","1,324,000.00","1,469,600.00","1,490,800.00","1,320,000.00","0.79K","-8.87%"
"2013- 02- 01","1,452,800.00","1,452,000.00","1,532,000.00","1,388,000.00","0.77K","-2.10%"
"2013- 01- 01","1,484,000.00","1,504,800.00","1,536,400.00","1,427,240.00","0.80K","-8.51%"
"2012- 12- 01","1,622,000.00","1,582,800.00","1,748,404.00","1,541,200.00","0.91K","0.20%"
