날짜,종가
2026-08-31,37.97
2026-07-31,43.12
2026-06-30,35.8
2026-05-31,36.96
2026-04-30,50.13
2026-03-31,78.11
2026-02-28,68.2
2026-01-31,63.79
2025-12-31,65.94
2025-11-30,64.38
2025-10-31,61.92
2025-09-30,71.66
2025-08-31,83.15
2025-07-31,85.33
2025-06-30,90.65
2025-05-31,108.58
2025-04-30,142.12
2025-03-31,175.44
2025-02-28,141.61
2025-01-31,130.93
2024-12-31,140.44
2024-11-30,143.03
2024-10-31,166.83
2024-09-30,162.22
2024-08-31,176.49
2024-07-31,184.89
2024-06-30,178.21
2024-05-31,211.55
2024-04-30,252.3
2024-03-31,221.26
2024-02-29,228.56
2024-01-31,265.79
2023-12-31,279.72
2023-11-30,326.31
2023-10-31,442.01
2023-09-30,416.34
2023-08-31,354.55
2023-07-31,338.53
2023-06-30,378.57
2023-05-31,455.38
2023-04-30,571.89
2023-03-31,579.78
2023-02-28,767.9
2023-01-31,772.42
2022-12-31,1059.91
2022-11-30,809.62
2022-10-31,1015.45
2022-09-30,1199.76
2022-08-31,888.08
2022-07-31,779.29
2022-06-30,1151.23
2022-05-31,925.64
2022-04-30,959.3
2022-03-31,658.77
2022-02-28,796.9
2022-01-31,731.36
2021-12-31,581.09
2021-11-30,617.29
2021-10-31,664.25
2021-09-30,844.25
2021-08-31,716.1
2021-07-31,815.88
2021-06-30,894.14
2021-05-31,1082.95
2021-04-30,1065.34
2021-03-31,1283.5
2021-02-28,1416.54
2021-01-31,1439.04
2020-12-31,1485.02
2020-11-30,1731.54
2020-10-31,2448.62
2020-09-30,2333.18
2020-08-31,2088.62
2020-07-31,2900.58
2020-06-30,3697.88
2020-05-31,4612.56
2020-04-30,5664.21
2020-03-31,9518.61
2020-02-29,11413.23
2020-01-31,9930.49
2019-12-31,10920.61
2019-11-30,12247.36
2019-10-31,13781.32
2019-09-30,15781.28
2019-08-31,16262.81
2019-07-31,15804.23
2019-06-30,16967.59
2019-05-31,21300.86
2019-04-30,16680.24
2019-03-31,19498.62
2019-02-28,21986.76
2019-01-31,23956.0
2018-12-31,32043.3
2018-11-30,25743.1
2018-10-31,26409.03
2018-09-30,21195.72
2018-08-31,21015.49
2018-07-31,24931.07
2018-06-30,27219.87
2018-05-31,28192.64
2018-04-30,33303.14
2018-03-31,34566.62
2018-02-28,31444.4
2018-01-31,31387.93
2017-12-31,40476.88
2017-11-30,41245.55
2017-10-31,43838.67
2017-09-30,50377.82
2017-08-31,50189.9
2017-07-31,53572.24
2017-06-30,60656.33
2017-05-31,57010.93
2017-04-30,64151.39
2017-03-31,69619.48
2017-02-28,73997.7
2017-01-31,84201.05
2016-12-31,97937.04
2016-11-30,102070.98
2016-10-31,104551.34
2016-09-30,100492.58
2016-08-31,108384.66
2016-07-31,112142.79
2016-06-30,138750.39
2016-05-31,132060.92
2016-04-30,151452.92
2016-03-31,138975.89
2016-02-29,171521.34
2016-01-31,167462.59
2015-12-31,140178.48
2015-11-30,136570.72
2015-10-31,140178.48
2015-09-30,197452.52
2015-08-31,190161.73
2015-07-31,161449.55
2015-06-30,186328.41
2015-05-31,174603.06
2015-04-30,188508.16
2015-03-31,201135.44
2015-02-28,189410.11
2015-01-31,235109.06
2014-12-31,224285.58
2014-11-30,212259.55
2014-10-31,243527.27
2014-09-30,269909.38
2014-08-31,266151.25
2014-07-31,309520.12
2014-06-30,324026.53
2014-05-31,356196.22
2014-04-30,409035.56
2014-03-31,414221.91
2014-02-28,384532.53
2014-01-31,451728.03
2013-12-31,431434.09
2013-11-30,473825.94
2013-10-31,528243.69
2013-09-30,620844.31
2013-08-31,715849.88
2013-07-31,714647.25
2013-06-30,865273.19
2013-05-31,815365.31
2013-04-30,908266.5
2013-03-31,995154.69
2013-02-28,1091964.0
2013-01-31,1115415.0
2012-12-31,1219139.62
2012-11-30,1216734.25
2012-10-31,1286786.12
2012-09-30,1105794.38
2012-08-31,1149989.62
2012-07-31,1349922.75
2012-06-30,1410654.38
2012-05-31,1617201.12
2012-04-30,1319255.88
2012-03-31,1297609.62
2012-02-29,1520091.38
2012-01-31,1843591.25
2011-12-31,2367926.5
2011-11-30,2373939.5
2011-10-31,2286149.75
2011-09-30,3203736.25
2011-08-31,2899477.75
2011-07-31,2785230.75
2011-06-30,2984862.5
2011-05-31,2867007.75
2011-04-30,2782825.0
2011-03-31,3054613.5
2011-02-28,3075058.25
2011-01-31,3415395.25
2010-12-31,3749718.5
2010-11-30,4347412.0
2010-10-31,4383491.5
2010-09-30,5339561.0
2010-08-31,7861422.5
2010-07-31,6852434.5
2010-06-30,8638304.0
2010-05-31,7440508.5
2010-04-30,6283604.5
2010-03-31,6775471.0
2010-02-28,8544501.0
