"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","36.17","35.78","38.28","35.12","11.49M","0.53%"
"2026- 04- 01","35.98","35.15","36.12","34.26","9.31M","2.39%"
"2026- 03- 01","35.14","32.64","36.14","32.64","13.40M","8.89%"
"2026- 02- 01","32.27","34.94","35.44","32.22","6.92M","-8.09%"
"2026- 01- 01","35.11","34.64","35.53","33.81","7.88M","0.49%"
"2025- 12- 01","34.94","33.89","35.32","33.69","7.23M","5.59%"
"2025- 11- 01","33.09","33.35","34.09","32.78","7.81M","0.21%"
"2025- 10- 01","33.02","33.50","34.18","31.68","11.86M","-2.25%"
"2025- 09- 01","33.78","36.80","37.05","32.76","12.39M","-7.15%"
"2025- 08- 01","36.38","35.32","36.87","34.65","8.63M","0.75%"
"2025- 07- 01","36.11","34.83","38.37","34.78","8.47M","2.94%"
"2025- 06- 01","35.08","37.64","38.09","34.94","5.37M","-5.47%"
"2025- 05- 01","37.11","34.41","39.70","34.41","7.02M","7.85%"
"2025- 04- 01","34.41","33.08","38.15","31.17","17.02M","2.26%"
"2025- 03- 01","33.65","33.32","35.42","32.42","11.92M","2.34%"
"2025- 02- 01","32.88","35.63","37.13","32.81","9.48M","-9.89%"
"2025- 01- 01","36.49","36.36","38.98","35.79","11.46M","-0.35%"
"2024- 12- 01","36.62","32.52","36.94","31.59","12.76M","12.95%"
"2024- 11- 01","32.42","33.88","35.66","32.35","17.61M","-3.54%"
"2024- 10- 01","33.61","29.21","34.64","28.86","10.90M","12.86%"
"2024- 09- 01","29.78","30.30","30.41","28.00","13.71M","-4.34%"
"2024- 08- 01","31.13","31.94","32.05","28.87","11.03M","-3.92%"
"2024- 07- 01","32.40","35.31","35.78","32.36","6.81M","-5.98%"
"2024- 06- 01","34.46","35.80","35.80","32.69","10.63M","-4.52%"
"2024- 05- 01","36.09","37.37","37.89","34.48","14.59M","-4.83%"
"2024- 04- 01","37.92","33.62","38.68","33.60","16.49M","15.05%"
"2024- 03- 01","32.96","33.91","34.75","31.88","12.77M","-1.79%"
"2024- 02- 01","33.56","31.24","35.05","30.38","23.17M","5.47%"
"2024- 01- 01","31.82","30.65","34.31","30.29","33.67M","5.36%"
"2023- 12- 01","30.20","36.22","36.38","29.22","42.56M","-16.57%"
"2023- 11- 01","36.20","43.02","43.02","35.39","46.83M","-16.95%"
"2023- 10- 01","43.59","39.80","44.96","39.11","54.57M","11.14%"
"2023- 09- 01","39.22","33.75","40.66","33.75","67.34M","17.60%"
"2023- 08- 01","33.35","31.80","36.53","31.75","57.04M","7.06%"
"2023- 07- 01","31.15","29.37","31.86","29.08","56.07M","5.95%"
"2023- 06- 01","29.40","29.35","30.88","28.81","55.58M","-0.91%"
"2023- 05- 01","29.67","28.33","31.48","27.52","50.72M","6.54%"
"2023- 04- 01","27.85","28.04","29.46","26.57","35.66M","-0.39%"
"2023- 03- 01","27.96","31.49","32.75","26.73","107.95M","-10.15%"
"2023- 02- 01","31.12","27.69","31.99","26.81","64.31M","11.10%"
"2023- 01- 01","28.01","30.81","31.73","27.16","66.04M","-13.82%"
"2022- 12- 01","32.50","30.68","32.64","27.07","81.45M","4.30%"
"2022- 11- 01","31.16","34.70","37.87","30.48","84.00M","-13.40%"
"2022- 10- 01","35.98","30.77","39.32","30.30","125.26M","13.11%"
"2022- 09- 01","31.81","27.87","32.92","27.54","110.92M","17.86%"
"2022- 08- 01","26.99","24.35","27.54","23.34","106.44M","9.05%"
"2022- 07- 01","24.75","25.53","27.28","23.97","115.33M","-5.35%"
"2022- 06- 01","26.15","25.44","29.56","25.28","144.39M","1.95%"
"2022- 05- 01","25.65","25.41","27.73","24.42","165.31M","3.26%"
"2022- 04- 01","24.84","21.08","25.25","20.22","168.28M","21.29%"
"2022- 03- 01","20.48","18.46","21.97","17.91","200.21M","10.11%"
"2022- 02- 01","18.60","18.13","20.20","17.80","197.67M","2.48%"
"2022- 01- 01","18.15","17.25","18.83","17.17","190.57M","7.46%"
"2021- 12- 01","16.89","16.52","17.31","15.53","153.15M","3.62%"
"2021- 11- 01","16.30","17.80","18.06","16.21","145.90M","-6.16%"
"2021- 10- 01","17.37","18.18","19.03","17.24","129.02M","-5.34%"
"2021- 09- 01","18.35","17.26","18.52","16.64","110.73M","5.70%"
"2021- 08- 01","17.36","17.32","18.27","16.78","99.19M","0.00%"
"2021- 07- 01","17.36","18.87","18.97","16.68","90.16M","-7.81%"
"2021- 06- 01","18.83","20.71","20.85","18.42","92.61M","-8.81%"
"2021- 05- 01","20.65","20.63","21.61","20.03","82.62M","-0.10%"
"2021- 04- 01","20.67","21.43","21.59","20.03","62.25M","-4.92%"
"2021- 03- 01","21.74","20.35","22.60","20.16","109.64M","10.75%"
"2021- 02- 01","19.63","17.64","21.73","17.48","90.37M","11.66%"
"2021- 01- 01","17.58","16.65","18.15","16.34","54.21M","7.06%"
"2020- 12- 01","16.42","16.35","17.14","16.15","29.96M","1.99%"
"2020- 11- 01","16.10","16.48","17.28","15.74","35.53M","-3.82%"
"2020- 10- 01","16.74","15.82","16.95","15.59","28.82M","6.62%"
"2020- 09- 01","15.70","16.08","16.19","15.02","30.19M","-2.12%"
"2020- 08- 01","16.04","14.79","16.34","14.28","32.19M","10.39%"
"2020- 07- 01","14.53","16.08","16.27","14.46","19.25M","-8.62%"
"2020- 06- 01","15.90","16.36","18.30","15.63","34.39M","-1.55%"
"2020- 05- 01","16.15","15.53","16.56","15.27","31.00M","3.00%"
"2020- 04- 01","15.68","15.52","16.42","14.75","29.75M","-2.49%"
"2020- 03- 01","16.08","20.03","21.13","14.51","118.06M","-19.80%"
"2020- 02- 01","20.05","23.11","24.08","19.89","51.55M","-12.37%"
"2020- 01- 01","22.88","26.12","26.38","22.84","38.23M","-13.79%"
"2019- 12- 01","26.54","25.60","26.58","24.47","36.10M","5.91%"
"2019- 11- 01","25.06","24.96","27.32","24.77","35.39M","0.60%"
"2019- 10- 01","24.91","24.91","26.49","23.31","60.39M","2.26%"
"2019- 09- 01","24.36","23.27","26.95","22.79","96.53M","4.59%"
"2019- 08- 01","23.29","28.53","28.57","22.78","114.24M","-19.19%"
"2019- 07- 01","28.82","28.92","30.24","28.21","48.59M","-0.41%"
"2019- 06- 01","28.94","29.46","30.24","28.78","56.85M","-2.20%"
"2019- 05- 01","29.59","33.53","33.89","29.53","48.72M","-12.22%"
"2019- 04- 01","33.71","32.74","34.49","32.68","39.78M","4.49%"
"2019- 03- 01","32.26","36.22","36.64","32.12","50.79M","-10.24%"
"2019- 02- 01","35.94","35.02","36.15","34.50","29.74M","2.89%"
"2019- 01- 01","34.93","35.02","36.40","33.76","41.06M","-0.57%"
"2018- 12- 01","35.13","39.68","39.68","34.86","62.38M","-10.81%"
"2018- 11- 01","39.39","41.01","41.70","39.06","50.42M","-3.19%"
"2018- 10- 01","40.69","38.53","41.31","38.23","74.37M","6.16%"
"2018- 09- 01","38.33","36.64","39.07","36.43","46.63M","5.97%"
"2018- 08- 01","36.17","37.75","37.91","35.37","46.02M","-2.35%"
