날짜,종가
2026-06-30,34.94
2026-05-31,35.55
2026-04-30,35.76
2026-03-31,34.93
2026-02-28,31.92
2026-01-31,34.73
2025-12-31,34.57
2025-11-30,32.44
2025-10-31,32.38
2025-09-30,33.12
2025-08-31,35.38
2025-07-31,35.11
2025-06-30,34.11
2025-05-31,35.81
2025-04-30,33.2
2025-03-31,32.47
2025-02-28,31.49
2025-01-31,34.95
2024-12-31,35.07
2024-11-30,30.67
2024-10-31,31.8
2024-09-30,28.17
2024-08-31,29.04
2024-07-31,30.22
2024-06-30,32.14
2024-05-31,33.18
2024-04-30,34.86
2024-03-31,30.3
2024-02-29,30.53
2024-01-31,28.95
2023-12-31,27.47
2023-11-30,32.37
2023-10-31,38.98
2023-09-30,35.07
2023-08-31,29.57
2023-07-31,27.62
2023-06-30,26.06
2023-05-31,26.0
2023-04-30,24.4
2023-03-31,24.5
2023-02-28,26.96
2023-01-31,24.27
2022-12-31,28.16
2022-11-30,26.87
2022-10-31,31.03
2022-09-30,27.43
2022-08-31,23.28
2022-07-31,21.35
2022-06-30,22.55
2022-05-31,22.12
2022-04-30,21.42
2022-03-31,17.66
2022-02-28,16.04
2022-01-31,15.65
2021-12-31,14.57
2021-11-30,14.06
2021-10-31,14.98
2021-09-30,15.83
2021-08-31,14.97
2021-07-31,14.97
2021-06-30,16.24
2021-05-31,17.81
2021-04-30,17.83
2021-03-31,18.75
2021-02-28,16.93
2021-01-31,15.16
2020-12-31,14.16
2020-11-30,13.89
2020-10-31,14.44
2020-09-30,13.54
2020-08-31,13.83
2020-07-31,12.53
2020-06-30,13.71
2020-05-31,13.93
2020-04-30,13.52
2020-03-31,13.87
2020-02-29,17.24
2020-01-31,19.67
2019-12-31,22.82
2019-11-30,21.43
2019-10-31,21.31
2019-09-30,20.84
2019-08-31,19.78
2019-07-31,24.48
2019-06-30,24.58
2019-05-31,25.01
2019-04-30,28.49
2019-03-31,27.27
2019-02-28,30.28
2019-01-31,29.43
2018-12-31,29.6
2018-11-30,33.05
2018-10-31,34.14
2018-09-30,32.16
2018-08-31,30.26
2018-07-31,30.99
2018-06-30,30.08
2018-05-31,30.42
2018-04-30,31.62
2018-03-31,30.29
2018-02-28,32.03
2018-01-31,30.13
2017-12-31,28.19
2017-11-30,29.25
2017-10-31,29.7
2017-09-30,29.69
2017-08-31,28.37
2017-07-31,30.36
2017-06-30,29.93
2017-05-31,30.44
2017-04-30,31.63
2017-03-31,32.65
2017-02-28,32.32
2017-01-31,33.47
2016-12-31,34.06
2016-11-30,33.86
2016-10-31,28.74
2016-09-30,26.37
2016-08-31,25.68
2016-07-31,25.24
2016-06-30,26.45
2016-05-31,30.45
2016-04-30,31.05
2016-03-31,30.76
2016-02-29,30.84
2016-01-31,32.9
2015-12-31,36.78
2015-11-30,36.87
2015-10-31,36.36
2015-09-30,36.19
2015-08-31,37.98
2015-07-31,37.74
2015-06-30,41.55
2015-05-31,38.78
2015-04-30,37.24
2015-03-31,34.94
2015-02-28,36.01
2015-01-31,31.93
2014-12-31,38.71
2014-11-30,41.56
2014-10-31,44.18
2014-09-30,47.01
2014-08-31,45.27
2014-07-31,49.76
2014-06-30,50.67
2014-05-31,50.65
2014-04-30,53.96
2014-03-31,56.37
2014-02-28,57.45
2014-01-31,58.36
2013-12-31,66.09
2013-11-30,63.89
2013-10-31,60.88
2013-09-30,62.81
2013-08-31,64.05
2013-07-31,62.84
2013-06-30,60.44
2013-05-31,56.85
2013-04-30,49.84
2013-03-31,54.83
2013-02-28,54.64
2013-01-31,56.29
2012-12-31,52.95
2012-11-30,50.53
2012-10-31,52.16
2012-09-30,52.04
2012-08-31,49.7
2012-07-31,48.73
2012-06-30,52.87
2012-05-31,51.57
2012-04-30,61.79
2012-03-31,68.26
2012-02-29,63.05
2012-01-31,60.32
2011-12-31,60.32
2011-11-30,65.32
2011-10-31,68.86
2011-09-30,64.89
2011-08-31,84.95
2011-07-31,105.01
2011-06-30,115.19
2011-05-31,110.72
2011-04-30,119.0
2011-03-31,124.97
2011-02-28,125.61
2011-01-31,130.35
2010-12-31,123.64
2010-11-30,116.09
2010-10-31,113.46
2010-09-30,104.31
2010-08-31,100.37
2010-07-31,119.67
2010-06-30,118.43
2010-05-31,134.45
2010-04-30,150.84
2010-03-31,162.53
2010-02-28,157.05
2010-01-31,157.12
2009-12-31,166.5
2009-11-30,147.84
2009-10-31,152.41
2009-09-30,146.9
2009-08-31,155.42
2009-07-31,165.0
2009-06-30,169.97
2009-05-31,175.71
2009-04-30,164.6
2009-03-31,145.67
2009-02-28,160.79
2009-01-31,159.56
2008-12-31,125.94
2008-11-30,161.56
2008-10-31,214.63
2008-09-30,208.12
2008-08-31,217.95
2008-07-31,229.93
2008-06-30,228.3
2008-05-31,242.12
