"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","110.82","111.27","111.49","109.93","37.30M","-0.66%"
"2026- 04- 01","111.56","110.31","111.88","110.28","37.09M","1.09%"
"2026- 03- 01","110.36","111.83","111.83","109.58","74.37M","-1.36%"
"2026- 02- 01","111.88","110.43","111.98","110.16","47.15M","1.27%"
"2026- 01- 01","110.48","110.00","110.68","109.68","55.78M","0.52%"
"2025- 12- 01","109.91","110.62","110.81","109.57","61.39M","-1.21%"
"2025- 11- 01","111.26","110.94","111.52","110.55","59.51M","-0.11%"
"2025- 10- 01","111.38","111.29","112.24","110.84","63.65M","0.14%"
"2025- 09- 01","111.22","110.48","112.26","110.44","77.62M","0.04%"
"2025- 08- 01","111.17","110.02","111.35","109.79","55.39M","1.37%"
"2025- 07- 01","109.67","109.60","110.28","109.03","58.68M","-0.34%"
"2025- 06- 01","110.04","108.64","110.16","108.07","48.93M","0.69%"
"2025- 05- 01","109.29","110.02","110.22","107.98","41.76M","-1.11%"
"2025- 04- 01","110.52","110.49","111.50","106.47","61.21M","-0.51%"
"2025- 03- 01","111.09","110.36","111.23","109.20","44.18M","0.68%"
"2025- 02- 01","110.34","108.65","110.41","107.79","36.45M","2.16%"
"2025- 01- 01","108.01","106.78","108.11","106.09","51.31M","1.37%"
"2024- 12- 01","106.55","108.25","109.11","106.04","57.21M","-2.03%"
"2024- 11- 01","108.76","108.36","108.77","107.06","47.60M","0.42%"
"2024- 10- 01","108.31","110.66","111.03","107.71","46.41M","-1.96%"
"2024- 09- 01","110.47","109.12","111.06","109.00","38.92M","1.47%"
"2024- 08- 01","108.87","108.19","109.61","107.65","28.23M","0.64%"
"2024- 07- 01","108.18","105.99","108.20","105.85","36.47M","1.31%"
"2024- 06- 01","106.78","106.03","107.38","104.69","34.12M","0.07%"
"2024- 05- 01","106.70","105.02","106.92","104.67","41.17M","1.11%"
"2024- 04- 01","105.53","107.02","107.09","105.25","50.52M","-1.75%"
"2024- 03- 01","107.41","106.61","107.82","106.15","38.47M","0.65%"
"2024- 02- 01","106.72","108.14","108.54","105.68","43.54M","-1.05%"
"2024- 01- 01","107.85","107.16","107.86","106.46","49.01M","0.33%"
"2023- 12- 01","107.49","104.79","108.06","104.79","62.44M","2.19%"
"2023- 11- 01","105.19","102.51","105.46","102.46","57.54M","2.32%"
"2023- 10- 01","102.80","103.24","103.86","101.74","70.92M","-0.89%"
"2023- 09- 01","103.72","105.69","105.70","103.09","45.17M","-2.22%"
"2023- 08- 01","106.07","106.56","106.91","104.57","67.49M","-1.02%"
"2023- 07- 01","107.16","107.25","107.83","105.59","65.47M","-0.43%"
"2023- 06- 01","107.62","108.04","108.23","107.01","67.65M","-0.63%"
"2023- 05- 01","108.30","109.35","110.47","107.42","76.97M","-1.71%"
"2023- 04- 01","110.18","110.38","111.26","109.18","67.89M","-0.06%"
"2023- 03- 01","110.25","106.88","110.51","106.20","110.74M","2.86%"
"2023- 02- 01","107.18","108.98","109.81","106.35","70.10M","-1.35%"
"2023- 01- 01","108.65","107.20","109.61","106.36","68.87M","2.08%"
"2022- 12- 01","106.44","108.48","110.20","106.28","76.74M","-1.75%"
"2022- 11- 01","108.34","107.06","108.37","104.91","53.05M","1.83%"
"2022- 10- 01","106.39","105.61","107.05","104.76","95.41M","1.42%"
"2022- 09- 01","104.90","111.84","112.33","104.63","73.67M","-7.91%"
"2022- 08- 01","113.91","117.04","117.32","113.72","64.46M","-3.65%"
"2022- 07- 01","118.23","114.79","118.48","113.34","83.60M","3.79%"
"2022- 06- 01","113.91","117.60","118.36","113.01","108.13M","-4.23%"
"2022- 05- 01","118.94","119.55","120.04","117.02","116.92M","-1.76%"
"2022- 04- 01","121.07","122.75","123.57","120.43","104.19M","-2.81%"
"2022- 03- 01","124.57","127.29","129.48","124.29","111.46M","-2.05%"
"2022- 02- 01","127.18","125.89","127.25","122.92","162.77M","0.51%"
"2022- 01- 01","126.54","128.68","128.71","125.05","157.18M","-2.06%"
"2021- 12- 01","129.20","129.15","129.99","127.57","86.30M","-0.35%"
"2021- 11- 01","129.66","128.70","131.37","127.86","77.75M","0.77%"
"2021- 10- 01","128.67","127.57","130.22","127.48","96.21M","0.77%"
"2021- 09- 01","127.69","128.48","129.53","127.40","72.52M","-1.47%"
"2021- 08- 01","129.59","129.88","130.22","128.64","77.26M","-0.76%"
"2021- 07- 01","130.58","127.35","130.65","127.16","94.13M","2.01%"
"2021- 06- 01","128.01","127.17","128.24","126.45","70.66M","0.19%"
"2021- 05- 01","127.77","126.56","128.29","126.51","66.28M","0.61%"
"2021- 04- 01","126.99","125.38","127.15","124.99","45.46M","1.19%"
"2021- 03- 01","125.50","125.60","126.27","124.54","69.28M","-0.26%"
"2021- 02- 01","125.83","127.85","128.06","123.51","61.31M","-1.69%"
"2021- 01- 01","127.99","127.49","128.27","126.36","52.83M","0.27%"
"2020- 12- 01","127.65","126.12","127.68","125.68","46.47M","0.97%"
"2020- 11- 01","126.42","125.25","126.50","124.32","52.41M","0.95%"
"2020- 10- 01","125.23","126.07","126.50","125.17","53.07M","-1.00%"
"2020- 09- 01","126.50","127.04","127.28","126.07","52.69M","-0.38%"
"2020- 08- 01","126.98","125.85","127.15","125.29","43.57M","0.89%"
"2020- 07- 01","125.86","122.86","125.92","122.72","30.03M","2.33%"
"2020- 06- 01","123.00","121.83","123.36","120.25","34.74M","0.99%"
"2020- 05- 01","121.80","121.05","121.98","120.61","30.32M","0.40%"
"2020- 04- 01","121.31","118.76","122.65","118.32","58.76M","2.87%"
"2020- 03- 01","117.92","120.26","123.16","107.37","118.94M","-1.76%"
"2020- 02- 01","120.03","118.56","120.49","117.78","30.71M","0.81%"
"2020- 01- 01","119.06","116.93","119.10","116.59","31.08M","2.14%"
