"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","85.30","85.50","86.29","82.77","493.98M","-0.37%"
"2026- 04- 01","85.62","86.28","87.37","85.39","433.16M","-1.23%"
"2026- 03- 01","86.69","89.97","89.99","85.45","1.06B","-4.55%"
"2026- 02- 01","90.82","87.02","90.86","86.43","700.36M","4.24%"
"2026- 01- 01","87.13","87.40","88.66","86.54","823.69M","-0.03%"
"2025- 12- 01","87.16","88.85","89.15","87.03","708.84M","-3.38%"
"2025- 11- 01","90.21","89.62","90.64","88.80","612.76M","-0.09%"
"2025- 10- 01","90.29","89.45","92.18","88.65","732.52M","1.03%"
"2025- 09- 01","89.37","85.63","91.04","85.48","823.69M","3.20%"
"2025- 08- 01","86.60","87.56","88.45","85.99","712.88M","-0.37%"
"2025- 07- 01","86.92","88.13","88.31","84.19","784.07M","-1.51%"
"2025- 06- 01","88.25","85.29","88.43","84.79","784.30M","2.28%"
"2025- 05- 01","86.28","89.26","89.28","83.29","841.45M","-3.57%"
"2025- 04- 01","89.47","91.25","94.09","85.00","1.11B","-1.71%"
"2025- 03- 01","91.03","91.41","92.79","88.63","732.06M","-1.51%"
"2025- 02- 01","92.43","88.57","92.47","86.86","705.21M","5.32%"
"2025- 01- 01","87.76","87.80","88.71","84.89","675.34M","0.49%"
"2024- 12- 01","87.33","93.27","94.85","86.98","782.42M","-7.07%"
"2024- 11- 01","93.97","92.26","93.99","89.42","947.99M","1.64%"
"2024- 10- 01","92.45","98.80","99.33","90.98","897.06M","-5.76%"
"2024- 09- 01","98.10","97.56","101.64","97.42","748.20M","1.67%"
"2024- 08- 01","96.49","95.14","99.93","94.84","872.03M","1.77%"
"2024- 07- 01","94.81","90.42","94.84","89.82","763.24M","3.30%"
"2024- 06- 01","91.78","90.64","94.84","90.61","649.33M","1.47%"
"2024- 05- 01","90.45","88.60","92.42","88.03","796.61M","2.53%"
"2024- 04- 01","88.22","93.29","93.30","87.34","996.46M","-6.76%"
"2024- 03- 01","94.62","93.44","96.40","92.29","698.68M","0.47%"
"2024- 02- 01","94.18","97.42","98.67","92.01","846.26M","-2.57%"
