"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","34.44","35.01","35.93","31.58","79.72M","-1.09%"
"2026- 04- 01","34.82","35.95","37.25","34.55","63.93M","-3.44%"
"2026- 03- 01","36.06","41.02","41.07","34.56","155.12M","-13.67%"
"2026- 02- 01","41.77","37.11","41.88","36.36","113.21M","13.11%"
"2026- 01- 01","36.93","37.56","39.06","36.26","125.45M","-1.05%"
"2025- 12- 01","37.32","39.89","40.28","37.21","117.61M","-9.64%"
"2025- 11- 01","41.30","40.94","41.97","39.60","92.18M","-0.27%"
"2025- 10- 01","41.41","40.78","44.24","39.59","121.42M","3.06%"
"2025- 09- 01","40.18","36.14","43.10","35.97","158.48M","8.80%"
"2025- 08- 01","36.93","38.63","39.78","36.29","160.92M","-1.31%"
"2025- 07- 01","37.42","39.52","39.75","34.24","178.85M","-4.64%"
"2025- 06- 01","39.24","36.21","39.46","35.56","174.04M","6.23%"
"2025- 05- 01","36.94","41.62","41.63","33.51","225.29M","-11.20%"
"2025- 04- 01","41.60","44.81","48.98","35.87","245.20M","-5.45%"
"2025- 03- 01","44.00","45.50","47.53","40.76","132.73M","-5.54%"
"2025- 02- 01","46.58","41.50","46.60","39.01","115.27M","16.74%"
"2025- 01- 01","39.90","40.56","41.36","36.51","146.43M","-0.18%"
"2024- 12- 01","39.97","49.35","51.80","39.58","171.13M","-19.72%"
"2024- 11- 01","49.79","48.15","50.00","43.39","260.01M","3.66%"
"2024- 10- 01","48.03","59.40","60.40","45.79","249.44M","-16.85%"
"2024- 09- 01","57.76","57.82","64.98","56.60","186.89M","3.94%"
"2024- 08- 01","55.57","54.10","62.42","53.22","200.43M","4.73%"
"2024- 07- 01","53.06","46.78","53.11","45.79","135.68M","9.40%"
"2024- 06- 01","48.50","47.72","54.28","47.65","128.23M","2.95%"
"2024- 05- 01","47.11","44.89","50.58","43.99","99.44M","7.21%"
"2024- 04- 01","43.94","52.75","52.78","42.65","149.86M","-19.38%"
"2024- 03- 01","54.50","53.56","58.62","50.84","122.63M","0.39%"
"2024- 02- 01","54.29","61.16","63.44","50.88","162.06M","-8.39%"
"2024- 01- 01","59.26","63.09","64.32","53.11","241.89M","-8.24%"
"2023- 12- 01","64.58","51.70","67.87","51.30","158.20M","25.40%"
"2023- 11- 01","51.50","40.80","53.60","40.70","106.44M","29.40%"
"2023- 10- 01","39.80","47.30","47.90","38.30","108.50M","-17.43%"
"2023- 09- 01","48.20","62.40","62.40","45.70","56.93M","-23.97%"
"2023- 08- 01","63.40","69.25","69.50","55.60","74.90M","-10.96%"
