날짜,종가
2026-06-30,35.55
2026-05-31,34.58
2026-04-30,34.46
2026-03-31,35.69
2026-02-28,41.09
2026-01-31,36.32
2025-12-31,36.71
2025-11-30,40.13
2025-10-31,40.24
2025-09-30,39.05
2025-08-31,35.52
2025-07-31,35.99
2025-06-30,37.74
2025-05-31,35.19
2025-04-30,39.63
2025-03-31,41.92
2025-02-28,44.08
2025-01-31,37.76
2024-12-31,37.82
2024-11-30,46.53
2024-10-31,44.88
2024-09-30,53.97
2024-08-31,51.55
2024-07-31,49.22
2024-06-30,44.99
2024-05-31,43.34
2024-04-30,40.42
2024-03-31,50.14
2024-02-29,49.64
2024-01-31,54.18
2023-12-31,59.05
2023-11-30,46.74
2023-10-31,36.12
2023-09-30,43.74
2023-08-31,57.04
2023-07-31,64.05
2023-06-30,70.17
2023-05-31,70.82
2023-04-30,79.14
2023-03-31,79.41
2023-02-28,70.37
2023-01-31,83.01
2022-12-31,67.87
2022-11-30,74.88
2022-10-31,61.67
2022-09-30,75.94
2022-08-31,100.39
2022-07-31,117.43
2022-06-30,110.28
2022-05-31,116.45
2022-04-30,126.49
2022-03-31,172.39
2022-02-28,206.49
2022-01-31,218.46
2021-12-31,247.68
2021-11-30,265.97
2021-10-31,247.66
2021-09-30,231.29
2021-08-31,254.84
2021-07-31,258.36
2021-06-30,232.93
2021-05-31,205.45
2021-04-30,206.15
2021-03-31,193.84
2021-02-28,229.13
2021-01-31,275.36
2020-12-31,308.85
2020-11-30,315.63
2020-10-31,302.79
2020-09-30,337.75
2020-08-31,330.66
2020-07-31,388.51
2020-06-30,343.41
2020-05-31,341.55
2020-04-30,365.2
2020-03-31,355.66
2020-02-29,317.85
2020-01-31,269.57
2019-12-31,217.74
2019-11-30,242.06
2019-10-31,247.02
2019-09-30,257.62
2019-08-31,283.3
2019-07-31,209.69
2019-06-30,209.02
2019-05-31,205.1
2019-04-30,169.36
2019-03-31,181.24
2019-02-28,154.91
2019-01-31,162.26
2018-12-31,161.59
2018-11-30,137.02
2018-10-31,130.79
2018-09-30,143.91
2018-08-31,157.74
2018-07-31,152.61
2018-06-30,160.14
2018-05-31,157.77
2018-04-30,149.88
2018-03-31,160.65
2018-02-28,148.15
2018-01-31,163.84
2017-12-31,181.58
2017-11-30,172.89
2017-10-31,169.94
2017-09-30,170.84
2017-08-31,184.27
2017-07-31,167.32
2017-06-30,171.5
2017-05-31,168.16
2017-04-30,159.9
2017-03-31,153.11
2017-02-28,156.79
2017-01-31,150.17
2016-12-31,147.96
2016-11-30,149.43
2016-10-31,196.38
2016-09-30,226.56
2016-08-31,237.93
2016-07-31,246.76
2016-06-30,232.63
2016-05-31,191.9
2016-04-30,188.41
2016-03-31,193.03
2016-02-29,194.27
2016-01-31,178.71
2015-12-31,151.78
2015-11-30,155.53
2015-10-31,159.86
2015-09-30,162.68
2015-08-31,154.79
2015-07-31,159.17
2015-06-30,140.35
2015-05-31,160.39
2015-04-30,174.17
2015-03-31,194.17
2015-02-28,189.31
2015-01-31,230.49
2014-12-31,175.93
2014-11-30,160.84
2014-10-31,147.45
2014-09-30,136.45
2014-08-31,146.16
2014-07-31,127.74
2014-06-30,125.71
2014-05-31,126.98
2014-04-30,116.72
2014-03-31,110.15
2014-02-28,108.25
2014-01-31,106.51
2013-12-31,89.15
2013-11-30,94.86
2013-10-31,103.32
2013-09-30,99.23
2013-08-31,97.73
2013-07-31,102.3
2013-06-30,110.49
2013-05-31,123.22
2013-04-30,153.35
2013-03-31,134.22
2013-02-28,136.63
2013-01-31,132.16
2012-12-31,146.16
2012-11-30,158.53
2012-10-31,152.58
2012-09-30,155.89
2012-08-31,169.21
2012-07-31,177.38
2012-06-30,159.18
2012-05-31,168.94
2012-04-30,131.06
2012-03-31,114.6
2012-02-29,131.74
2012-01-31,143.12
2011-12-31,145.29
2011-11-30,132.71
2011-10-31,126.52
2011-09-30,145.21
2011-08-31,102.73
2011-07-31,80.67
2011-06-30,71.21
2011-05-31,76.9
2011-04-30,69.68
2011-03-31,65.39
2011-02-28,65.75
2011-01-31,62.93
2010-12-31,69.46
2010-11-30,78.71
2010-10-31,83.76
2010-09-30,96.91
2010-08-31,106.51
2010-07-31,84.58
2010-06-30,88.01
2010-05-31,75.38
2010-04-30,64.68
2010-03-31,58.82
2010-02-28,63.07
2010-01-31,64.24
2009-12-31,59.85
2009-11-30,74.92
2009-10-31,72.74
2009-09-30,80.33
2009-08-31,74.79
2009-07-31,70.66
2009-06-30,70.46
2009-05-31,70.36
2009-04-30,82.36
