"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","68.76","61.70","69.74","55.96","128.20M","12.24%"
"2026- 04- 01","61.26","45.21","62.75","42.42","175.25M","38.82%"
"2026- 03- 01","44.13","50.56","54.49","39.50","323.67M","-16.42%"
"2026- 02- 01","52.80","51.83","57.99","49.72","199.93M","0.36%"
"2026- 01- 01","52.61","46.33","60.44","45.30","199.32M","15.52%"
"2025- 12- 01","45.54","45.33","52.42","45.09","208.33M","-3.27%"
"2025- 11- 01","47.08","46.64","47.18","37.03","267.51M","0.77%"
"2025- 10- 01","46.72","44.47","50.96","42.53","319.05M","3.27%"
"2025- 09- 01","45.24","40.10","48.35","39.82","265.04M","8.15%"
"2025- 08- 01","41.83","33.14","42.87","31.33","292.07M","20.55%"
"2025- 07- 01","34.70","32.97","38.38","32.76","315.63M","3.46%"
"2025- 06- 01","33.54","29.18","34.26","28.05","288.96M","15.38%"
"2025- 05- 01","29.07","25.76","31.53","25.02","284.17M","14.18%"
"2025- 04- 01","25.46","29.00","30.90","18.01","484.93M","-12.99%"
"2025- 03- 01","29.26","37.53","37.81","27.45","300.23M","-21.22%"
"2025- 02- 01","37.14","41.41","46.75","35.28","205.03M","-16.26%"
"2025- 01- 01","44.35","42.93","46.73","37.77","267.69M","5.90%"
"2024- 12- 01","41.88","56.00","56.33","40.15","277.22M","-25.07%"
"2024- 11- 01","55.89","42.71","58.00","41.77","266.93M","33.87%"
"2024- 10- 01","41.75","43.86","47.74","40.41","257.75M","-5.84%"
"2024- 09- 01","44.34","43.02","46.53","35.03","331.14M","0.29%"
"2024- 08- 01","44.21","48.07","48.76","31.96","436.06M","-8.28%"
"2024- 07- 01","48.20","37.04","51.14","35.01","568.94M","31.44%"
"2024- 06- 01","36.67","39.67","39.67","34.14","304.43M","-5.10%"
"2024- 05- 01","38.64","33.93","41.34","33.50","262.72M","13.88%"
"2024- 04- 01","33.93","43.19","43.19","31.84","390.56M","-20.95%"
"2024- 03- 01","42.92","39.80","43.84","36.71","341.75M","9.21%"
"2024- 02- 01","39.30","35.02","40.69","32.66","478.70M","14.91%"
"2024- 01- 01","34.20","38.62","39.91","31.79","557.03M","-13.31%"
"2023- 12- 01","39.45","28.55","42.38","28.08","502.88M","37.17%"
"2023- 11- 01","28.76","22.69","30.02","22.11","402.22M","26.31%"
"2023- 10- 01","22.77","28.57","28.83","21.58","381.36M","-20.77%"
"2023- 09- 01","28.74","35.84","36.82","27.66","178.19M","-18.00%"
"2023- 08- 01","35.05","40.80","41.13","31.37","257.80M","-15.77%"
"2023- 07- 01","41.61","35.14","41.65","31.63","261.65M","17.91%"
"2023- 06- 01","35.29","28.82","36.98","28.34","331.29M","22.92%"
"2023- 05- 01","28.71","29.89","32.36","26.74","285.77M","-4.30%"
"2023- 04- 01","30.00","32.43","32.91","27.93","189.91M","-6.86%"
"2023- 03- 01","32.21","38.50","40.75","26.71","340.26M","-16.25%"
"2023- 02- 01","38.46","41.02","46.33","37.03","195.62M","-6.81%"
"2023- 01- 01","41.27","32.53","41.29","30.35","177.96M","30.19%"
"2022- 12- 01","31.70","40.24","40.91","29.67","180.43M","-20.23%"
"2022- 11- 01","39.74","39.54","41.48","32.67","219.20M","3.57%"
"2022- 10- 01","38.37","30.01","38.95","27.12","309.68M","33.18%"
"2022- 09- 01","28.81","38.93","44.08","28.07","221.99M","-28.06%"
