"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","81.67","63.89","82.91","63.78","1.28B","28.53%"
"2026- 04- 01","63.54","42.63","63.80","40.44","1.79B","52.45%"
"2026- 03- 01","41.68","47.46","50.79","37.32","2.65B","-15.83%"
"2026- 02- 01","49.52","53.16","55.76","46.42","1.93B","-8.30%"
"2026- 01- 01","54.00","54.17","58.01","50.47","1.78B","2.43%"
"2025- 12- 01","52.72","53.11","57.09","49.37","1.65B","-3.34%"
"2025- 11- 01","54.54","60.00","60.21","45.24","2.73B","-6.55%"
"2025- 10- 01","58.36","50.87","60.69","48.42","2.59B","12.88%"
"2025- 09- 01","51.70","42.56","52.54","42.13","2.29B","15.71%"
"2025- 08- 01","44.68","42.63","48.16","40.93","2.47B","1.30%"
"2025- 07- 01","44.10","41.06","46.38","39.90","2.52B","6.28%"
"2025- 06- 01","41.50","34.60","41.74","34.35","2.77B","18.57%"
"2025- 05- 01","35.00","28.78","36.53","27.54","3.61B","27.55%"
"2025- 04- 01","27.44","28.34","30.60","17.50","7.03B","-4.22%"
"2025- 03- 01","28.65","38.19","38.53","26.52","4.32B","-23.52%"
"2025- 02- 01","37.46","39.26","45.56","35.04","2.01B","-9.43%"
"2025- 01- 01","41.36","40.27","44.46","36.67","2.12B","4.54%"
"2024- 12- 01","39.56","40.24","46.89","39.25","1.74B","-0.95%"
"2024- 11- 01","39.94","35.04","41.72","34.76","1.69B","15.03%"
"2024- 10- 01","34.72","36.14","38.73","33.85","2.06B","-4.19%"
"2024- 09- 01","36.24","33.63","37.53","28.36","2.14B","5.66%"
"2024- 08- 01","34.31","34.29","36.58","24.40","2.94B","0.48%"
"2024- 07- 01","34.14","37.08","42.60","30.67","2.47B","-7.50%"
"2024- 06- 01","36.91","31.86","38.86","30.48","1.66B","18.06%"
"2024- 05- 01","31.26","26.08","33.26","25.60","2.18B","18.57%"
"2024- 04- 01","26.37","30.96","31.50","24.42","3.32B","-14.34%"
"2024- 03- 01","30.78","30.38","32.06","28.64","2.84B","1.99%"
"2024- 02- 01","30.18","26.65","30.61","26.45","2.84B","14.67%"
"2024- 01- 01","26.32","24.67","28.95","22.74","3.25B","3.83%"
"2023- 12- 01","25.35","21.75","26.00","20.86","3.03B","15.57%"
"2023- 11- 01","21.93","16.50","22.86","16.49","4.04B","33.83%"
"2023- 10- 01","16.39","17.83","20.02","15.23","5.67B","-7.97%"
"2023- 09- 01","17.81","21.60","21.68","16.82","3.62B","-16.07%"
"2023- 08- 01","21.22","22.40","22.61","17.68","4.59B","-6.33%"
"2023- 07- 01","22.66","20.60","23.57","19.47","3.55B","10.51%"
"2023- 06- 01","20.50","17.37","21.22","17.20","4.45B","17.99%"
"2023- 05- 01","17.38","14.07","18.33","13.14","4.81B","23.01%"
"2023- 04- 01","14.13","13.84","14.22","12.59","4.70B","-0.04%"
"2023- 03- 01","14.13","11.03","14.16","10.06","8.48B","27.70%"
"2023- 02- 01","11.06","11.43","13.73","10.68","7.30B","-3.40%"
"2023- 01- 01","11.45","8.87","11.91","8.05","7.38B","32.43%"
"2022- 12- 01","8.65","11.85","12.11","8.05","7.78B","-26.57%"
"2022- 11- 01","11.78","10.87","11.98","8.43","9.40B","12.46%"
"2022- 10- 01","10.48","9.85","11.53","8.16","11.05B","8.44%"
"2022- 09- 01","9.66","13.54","15.52","9.64","8.82B","-30.53%"
"2022- 08- 01","13.90","16.39","19.69","13.78","5.92B","-16.64%"
"2022- 07- 01","16.68","11.80","16.83","11.50","6.49B","39.00%"
"2022- 06- 01","12.00","16.85","17.49","10.66","7.70B","-27.38%"
