"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","145.84","130.61","146.81","127.20","53.76M","12.90%"
"2026- 04- 01","129.18","98.58","129.89","94.51","73.83M","33.20%"
"2026- 03- 01","96.98","111.49","116.45","88.14","116.17M","-15.90%"
"2026- 02- 01","115.31","118.37","122.17","110.60","89.46M","-3.60%"
"2026- 01- 01","119.61","117.60","122.85","112.27","82.89M","3.33%"
"2025- 12- 01","115.76","114.73","120.96","110.29","95.91M","-1.17%"
"2025- 11- 01","117.13","119.85","119.92","101.50","135.74M","-0.69%"
"2025- 10- 01","117.94","110.03","122.19","104.30","111.30M","5.79%"
"2025- 09- 01","111.49","98.04","112.64","96.81","85.17M","9.70%"
"2025- 08- 01","101.63","94.15","103.87","90.93","109.14M","4.95%"
"2025- 07- 01","96.84","90.72","100.47","90.36","98.22M","5.91%"
"2025- 06- 01","91.44","79.07","92.02","77.99","97.53M","14.62%"
"2025- 05- 01","79.78","69.65","82.80","67.88","102.36M","18.25%"
"2025- 04- 01","67.47","73.20","77.15","45.88","226.62M","-8.70%"
"2025- 03- 01","73.90","90.76","91.30","69.11","128.40M","-17.75%"
"2025- 02- 01","89.85","90.28","99.44","84.72","82.54M","-4.99%"
"2025- 01- 01","94.57","90.07","99.22","83.36","97.81M","6.69%"
"2024- 12- 01","88.64","97.28","100.06","86.97","76.87M","-8.67%"
"2024- 11- 01","97.05","83.80","97.47","82.26","74.51M","17.41%"
"2024- 10- 01","82.66","85.91","91.12","82.25","85.20M","-4.10%"
"2024- 09- 01","86.19","80.79","86.63","71.72","87.29M","4.85%"
"2024- 08- 01","82.20","79.10","82.57","61.71","118.48M","5.07%"
"2024- 07- 01","78.23","77.42","85.48","73.06","101.52M","1.81%"
"2024- 06- 01","76.84","70.84","79.43","68.26","70.07M","9.51%"
"2024- 05- 01","70.17","61.13","72.72","60.39","89.18M","14.28%"
"2024- 04- 01","61.40","70.81","71.03","58.74","157.09M","-12.97%"
"2024- 03- 01","70.55","65.29","71.16","63.63","131.32M","8.64%"
"2024- 02- 01","64.94","57.14","65.91","56.87","124.57M","14.67%"
"2024- 01- 01","56.63","53.63","59.80","51.59","153.31M","3.45%"
"2023- 12- 01","54.74","48.37","55.52","47.84","132.19M","12.68%"
"2023- 11- 01","48.58","38.17","49.24","38.03","137.22M","28.11%"
"2023- 10- 01","37.92","40.91","43.99","35.57","205.34M","-7.89%"
"2023- 09- 01","41.17","49.26","49.39","39.74","113.81M","-14.81%"
"2023- 08- 01","48.33","51.08","51.40","43.26","146.10M","-6.37%"
"2023- 07- 01","51.62","47.27","52.22","45.30","97.41M","8.95%"
"2023- 06- 01","47.38","39.95","47.78","39.57","129.10M","18.75%"
"2023- 05- 01","39.90","39.81","41.31","36.42","164.01M","-0.15%"
"2023- 04- 01","39.96","38.41","40.13","36.64","148.68M","3.60%"
"2023- 03- 01","38.57","35.10","38.65","31.08","308.64M","9.17%"
"2023- 02- 01","35.33","38.34","42.08","34.65","230.66M","-8.73%"
"2023- 01- 01","38.71","33.27","39.26","31.56","213.05M","18.13%"
"2022- 12- 01","32.77","40.37","40.71","30.89","270.09M","-18.05%"
"2022- 11- 01","39.99","36.00","40.00","30.29","277.59M","14.39%"
"2022- 10- 01","34.96","29.33","35.88","25.94","356.32M","23.06%"
"2022- 09- 01","28.41","38.16","43.76","28.39","271.75M","-26.91%"
"2022- 08- 01","38.87","43.88","51.25","38.84","169.10M","-13.33%"
"2022- 07- 01","44.85","34.69","45.15","33.00","200.24M","28.62%"
"2022- 06- 01","34.87","47.21","47.92","31.12","249.11M","-24.93%"
"2022- 05- 01","46.45","47.42","53.59","36.48","302.89M","-2.13%"
"2022- 04- 01","47.46","64.31","66.21","47.13","213.24M","-25.41%"
"2022- 03- 01","63.63","57.32","68.16","49.45","219.12M","10.01%"
"2022- 02- 01","57.84","64.54","67.71","48.13","199.54M","-9.85%"
"2022- 01- 01","64.16","76.96","78.71","52.42","296.58M","-15.89%"
"2021- 12- 01","76.28","69.95","78.27","64.22","258.60M","13.13%"
"2021- 11- 01","67.43","69.79","75.85","67.15","208.76M","-2.71%"
"2021- 10- 01","69.31","57.57","69.44","55.65","206.94M","21.90%"
