"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","99.81","77.64","105.32","75.53","19.91M","28.36%"
"2026- 04- 01","77.76","49.14","82.51","46.61","20.11M","62.17%"
"2026- 03- 01","47.95","50.67","56.47","42.56","18.05M","-9.27%"
"2026- 02- 01","52.85","56.62","61.65","47.81","17.51M","-9.70%"
"2026- 01- 01","58.53","54.59","61.68","52.90","14.88M","11.46%"
"2025- 12- 01","52.51","51.19","57.44","45.22","14.91M","-0.19%"
"2025- 11- 01","52.61","62.55","63.28","44.25","23.36M","-12.97%"
"2025- 10- 01","60.45","48.99","64.89","47.97","23.33M","22.10%"
"2025- 09- 01","49.51","39.94","49.65","39.44","18.70M","17.36%"
"2025- 08- 01","42.19","40.90","46.91","39.35","21.35M","-1.62%"
"2025- 07- 01","42.88","36.37","45.28","34.43","22.77M","15.89%"
"2025- 06- 01","37.00","27.59","37.24","27.58","24.24M","34.74%"
"2025- 05- 01","27.46","20.41","30.03","19.77","32.22M","42.24%"
"2025- 04- 01","19.31","20.02","21.24","12.56","44.75M","-4.34%"
"2025- 03- 01","20.18","26.84","26.84","18.50","29.79M","-24.60%"
"2025- 02- 01","26.76","25.62","34.45","24.22","26.16M","-3.18%"
"2025- 01- 01","27.65","33.44","39.55","25.44","40.14M","-15.12%"
"2024- 12- 01","32.57","31.75","35.84","30.22","33.26M","3.40%"
"2024- 11- 01","31.50","31.61","37.67","29.13","30.41M","1.77%"
"2024- 10- 01","30.95","30.00","35.97","27.51","40.05M","3.25%"
"2024- 09- 01","29.98","28.31","32.53","21.69","41.98M","1.30%"
"2024- 08- 01","29.59","30.01","33.89","19.00","73.16M","-3.03%"
"2024- 07- 01","30.52","34.85","41.47","25.09","58.75M","-12.26%"
"2024- 06- 01","34.78","30.92","42.53","29.59","41.07M","18.54%"
"2024- 05- 01","29.34","21.17","32.16","19.79","33.24M","33.85%"
"2024- 04- 01","21.92","24.80","25.89","18.08","28.14M","-11.58%"
"2024- 03- 01","24.79","22.17","28.36","21.95","40.72M","14.32%"
"2024- 02- 01","21.68","16.14","22.27","15.88","27.83M","35.59%"
"2024- 01- 01","15.99","13.27","17.80","12.04","23.21M","17.55%"
"2023- 12- 01","13.60","11.00","13.88","10.54","12.79M","22.48%"
"2023- 11- 01","11.11","8.47","12.20","8.47","12.59M","31.37%"
"2023- 10- 01","8.45","9.68","10.91","8.03","12.05M","-12.18%"
"2023- 09- 01","9.63","11.70","11.70","8.93","6.74M","-17.02%"
"2023- 08- 01","11.60","11.85","12.06","9.36","14.04M","-3.15%"
"2023- 07- 01","11.98","10.65","12.08","9.90","9.65M","13.47%"
"2023- 06- 01","10.56","9.35","11.15","9.17","11.84M","14.82%"
"2023- 05- 01","9.19","6.49","10.52","6.13","15.61M","42.56%"
"2023- 04- 01","6.45","7.14","7.21","5.93","7.76M","-10.76%"
"2023- 03- 01","7.23","5.88","7.24","5.51","12.42M","23.97%"
"2023- 02- 01","5.83","5.51","6.44","5.33","10.50M","6.63%"
"2023- 01- 01","5.47","4.26","5.69","3.98","11.23M","32.07%"
"2022- 12- 01","4.14","5.30","5.65","3.87","12.20M","-20.88%"
"2022- 11- 01","5.23","4.01","5.33","3.49","20.27M","34.95%"
"2022- 10- 01","3.88","3.69","4.35","2.91","24.67M","8.23%"
"2022- 09- 01","3.58","4.68","5.11","3.58","19.39M","-27.70%"
"2022- 08- 01","4.95","6.28","6.89","4.87","15.24M","-21.91%"
"2022- 07- 01","6.34","4.59","6.38","4.17","22.28M","33.72%"
"2022- 06- 01","4.74","7.16","7.41","4.59","15.28M","-32.93%"
"2022- 05- 01","7.07","6.55","7.70","5.51","23.47M","8.60%"
"2022- 04- 01","6.51","10.06","10.07","6.38","21.93M","-34.78%"
"2022- 03- 01","9.99","9.59","11.12","7.46","26.75M","3.60%"
"2022- 02- 01","9.64","10.10","11.20","7.84","17.74M","-2.40%"
"2022- 01- 01","9.88","13.37","13.91","7.99","27.31M","-25.18%"
"2021- 12- 01","13.20","13.91","14.22","11.53","14.87M","-2.33%"
"2021- 11- 01","13.52","10.25","14.60","10.16","18.47M","32.91%"
"2021- 10- 01","10.17","8.65","10.22","8.06","15.52M","18.94%"
"2021- 09- 01","8.55","9.59","9.69","8.51","12.92M","-9.97%"
"2021- 08- 01","9.50","9.03","9.86","7.97","10.49M","6.77%"
