날짜,종가
2026-08-31,72.74
2026-07-31,70.45
2026-06-30,71.07
2026-05-31,71.22
2026-04-30,68.27
2026-03-31,63.59
2026-02-28,69.58
2026-01-31,65.58
2025-12-31,61.88
2025-11-30,59.98
2025-10-31,59.4
2025-09-30,58.37
2025-08-31,56.92
2025-07-31,54.51
2025-06-30,55.27
2025-05-31,53.46
2025-04-30,50.85
2025-03-31,48.89
2025-02-28,48.9
2025-01-31,47.81
2024-12-31,45.78
2024-11-30,47.45
2024-10-31,47.26
2024-09-30,49.82
2024-08-31,49.28
2024-07-31,47.89
2024-06-30,46.49
2024-05-31,47.27
2024-04-30,45.17
2024-03-31,46.76
2024-02-29,45.11
2024-01-31,43.9
2023-12-31,44.39
2023-11-30,42.04
2023-10-31,38.63
2023-09-30,39.99
2023-08-31,41.56
2023-07-31,43.27
2023-06-30,41.95
2023-05-31,40.17
2023-04-30,41.73
2023-03-31,40.66
2023-02-28,39.61
2023-01-31,41.04
2022-12-31,37.64
2022-11-30,38.48
2022-10-31,34.19
2022-09-30,32.23
2022-08-31,35.75
2022-07-31,37.96
2022-06-30,36.05
2022-05-31,39.69
2022-04-30,39.05
2022-03-31,41.89
2022-02-28,41.61
2022-01-31,42.74
2021-12-31,44.46
2021-11-30,42.61
2021-10-31,44.69
2021-09-30,43.29
2021-08-31,44.81
2021-07-31,44.23
2021-06-30,44.0
2021-05-31,44.41
2021-04-30,42.88
2021-03-31,41.61
2021-02-28,40.49
2021-01-31,39.53
2020-12-31,39.81
2020-11-30,37.69
2020-10-31,32.98
2020-09-30,34.19
2020-08-31,34.82
2020-07-31,33.1
2020-06-30,32.25
2020-05-31,31.16
2020-04-30,29.52
2020-03-31,27.58
2020-02-29,32.51
2020-01-31,35.2
2019-12-31,36.29
2019-11-30,35.04
2019-10-31,34.57
2019-09-30,33.5
2019-08-31,32.47
2019-07-31,33.1
2019-06-30,33.79
2019-05-31,31.92
2019-04-30,33.67
2019-03-31,32.74
2019-02-28,32.55
2019-01-31,31.8
2018-12-31,29.59
2018-11-30,31.38
2018-10-31,31.22
2018-09-30,34.15
2018-08-31,33.91
2018-07-31,34.51
2018-06-30,33.74
2018-05-31,34.31
2018-04-30,34.8
2018-03-31,34.37
2018-02-28,34.5
2018-01-31,36.36
2017-12-31,34.71
2017-11-30,34.15
2017-10-31,33.86
2017-09-30,33.27
2017-08-31,32.45
2017-07-31,32.44
2017-06-30,31.53
2017-05-31,31.33
2017-04-30,30.3
2017-03-31,29.64
2017-02-28,28.77
2017-01-31,28.46
2016-12-31,27.46
2016-11-30,26.8
2016-10-31,27.21
2016-09-30,27.88
2016-08-31,27.43
2016-07-31,27.32
2016-06-30,26.23
2016-05-31,26.78
2016-04-30,26.86
2016-03-31,26.26
2016-02-29,24.49
2016-01-31,25.27
2015-12-31,26.75
2015-11-30,27.34
2015-10-31,27.55
2015-09-30,25.81
2015-08-31,26.91
2015-07-31,29.0
2015-06-30,28.59
2015-05-31,29.44
2015-04-30,29.46
2015-03-31,28.36
2015-02-28,28.71
2015-01-31,27.04
2014-12-31,26.85
2014-11-30,27.91
2014-10-31,27.91
2014-09-30,28.0
2014-08-31,29.22
2014-07-31,29.14
2014-06-30,29.85
2014-05-31,29.54
2014-04-30,29.03
2014-03-31,28.58
2014-02-28,28.68
2014-01-31,27.07
2013-12-31,28.56
2013-11-30,28.03
2013-10-31,27.84
2013-09-30,26.98
2013-08-31,25.01
2013-07-31,25.42
2013-06-30,24.16
2013-05-31,24.86
2013-04-30,25.62
2013-03-31,24.35
2013-02-28,24.06
2013-01-31,24.34
2012-12-31,23.44
2012-11-30,22.49
2012-10-31,21.9
2012-09-30,21.67
2012-08-31,21.11
2012-07-31,20.44
2012-06-30,20.39
2012-05-31,19.06
2012-04-30,21.45
2012-03-31,21.98
2012-02-29,21.91
2012-01-31,20.89
2011-12-31,19.77
2011-11-30,20.21
2011-10-31,20.64
2011-09-30,18.8
2011-08-31,21.2
2011-07-31,23.2
2011-06-30,23.76
2011-05-31,24.06
2011-04-30,24.72
2011-03-31,23.28
2011-02-28,23.88
2011-01-31,23.04
2010-12-31,22.55
2010-11-30,20.8
2010-10-31,21.87
2010-09-30,21.01
2010-08-31,19.16
2010-07-31,19.88
2010-06-30,17.8
2010-05-31,18.13
2010-04-30,20.49
2010-03-31,21.08
2010-02-28,19.83
2010-01-31,19.68
2009-12-31,20.81
2009-11-30,20.65
2009-10-31,19.83
2009-09-30,20.4
2009-08-31,19.63
2009-07-31,18.78
2009-06-30,16.98
2009-05-31,17.3
2009-04-30,15.3
2009-03-31,13.68
2009-02-28,12.62
2009-01-31,14.04
2008-12-31,16.32
2008-11-30,14.97
2008-10-31,16.03
2008-09-30,20.18
2008-08-31,22.83
2008-07-31,23.78
2008-06-30,24.64
2008-05-31,26.98
2008-04-30,26.66
2008-03-31,25.3
2008-02-29,25.2
2008-01-31,25.46
2007-12-31,27.49
2007-11-30,28.28
2007-10-31,29.39
2007-09-30,28.14
2007-08-31,26.86
2007-07-31,26.88
