"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","24.66","26.96","28.23","24.48","54.45M","-9.40%"
"2026- 04- 01","27.22","33.86","35.98","27.05","68.52M","-20.76%"
"2026- 03- 01","34.35","29.61","38.59","27.76","151.43M","23.30%"
"2026- 02- 01","27.86","26.45","29.25","25.20","82.66M","4.31%"
"2026- 01- 01","26.71","25.23","28.95","24.81","63.45M","4.17%"
"2025- 12- 01","25.64","31.82","31.82","25.27","52.70M","-17.64%"
"2025- 11- 01","31.13","32.63","39.33","31.05","77.81M","-5.75%"
"2025- 10- 01","33.03","32.48","39.70","30.96","78.82M","2.26%"
"2025- 09- 01","32.30","37.14","37.92","31.75","44.75M","-8.39%"
"2025- 08- 01","35.26","43.40","45.77","34.34","38.64M","-15.02%"
"2025- 07- 01","41.49","47.25","47.78","39.44","29.26M","-11.50%"
"2025- 06- 01","46.88","53.15","54.68","46.40","26.47M","-11.16%"
"2025- 05- 01","52.77","61.37","63.56","49.13","19.65M","-16.42%"
"2025- 04- 01","63.14","51.07","89.14","48.18","35.81M","25.63%"
"2025- 03- 01","50.26","43.99","59.07","43.90","30.07M","12.26%"
"2025- 02- 01","44.77","46.45","47.33","40.22","39.63M","3.23%"
"2025- 01- 01","43.37","44.21","50.58","40.75","42.62M","-3.67%"
"2024- 12- 01","45.02","41.99","55.90","40.67","27.17M","7.22%"
"2024- 11- 01","41.99","55.64","56.32","41.79","21.45M","-26.59%"
"2024- 10- 01","57.20","49.08","57.36","48.96","25.65M","16.73%"
"2024- 09- 01","49.00","45.36","57.84","45.00","27.70M","11.36%"
"2024- 08- 01","44.00","45.60","90.08","43.54","49.74M","-3.93%"
"2024- 07- 01","45.80","42.88","50.56","39.56","30.03M","5.53%"
"2024- 06- 01","43.40","45.20","47.24","42.52","16.01M","-5.16%"
"2024- 05- 01","45.76","54.68","55.10","44.14","20.42M","-15.51%"
"2024- 04- 01","54.16","51.68","62.44","51.38","38.14M","4.48%"
"2024- 03- 01","51.84","53.49","59.52","50.64","22.71M","-3.93%"
"2024- 02- 01","53.96","59.48","64.96","53.72","19.06M","-10.54%"
"2024- 01- 01","60.32","63.60","65.16","55.52","19.57M","-2.77%"
"2023- 12- 01","62.04","68.80","71.12","61.40","14.38M","-10.14%"
"2023- 11- 01","69.04","93.00","93.00","68.36","15.09M","-26.30%"
"2023- 10- 01","93.68","93.52","109.32","85.64","29.37M","0.52%"
"2023- 09- 01","93.20","84.48","101.72","79.32","19.35M","8.27%"
"2023- 08- 01","86.08","93.08","109.44","85.56","31.43M","-5.07%"
"2023- 07- 01","90.68","99.40","115.84","88.96","15.81M","-9.17%"
"2023- 06- 01","99.84","136.00","136.80","98.90","9.51M","-27.65%"
"2023- 05- 01","138.00","150.80","173.60","136.90","9.44M","-8.97%"
"2023- 04- 01","151.60","180.60","184.60","151.60","6.46M","-16.24%"
"2023- 03- 01","181.00","187.40","243.20","170.20","13.11M","-2.90%"
"2023- 02- 01","186.40","182.60","205.81","171.70","6.41M","1.86%"
"2023- 01- 01","183.00","226.00","234.20","178.40","5.54M","-19.60%"
"2022- 12- 01","227.60","240.20","250.20","224.80","6.66M","-5.64%"
"2022- 11- 01","241.20","282.70","298.00","239.20","5.98M","-15.61%"
"2022- 10- 01","285.80","331.60","357.90","285.40","9.82M","-16.43%"
"2022- 09- 01","342.00","297.00","348.80","267.70","15.11M","17.20%"
"2022- 08- 01","291.80","296.20","310.80","260.60","9.90M","0.21%"
"2022- 07- 01","291.20","368.60","376.00","289.40","7.31M","-20.22%"
"2022- 06- 01","365.00","345.40","421.30","328.00","9.90M","4.35%"
"2022- 05- 01","349.80","415.00","440.00","344.60","15.19M","-15.22%"
"2022- 04- 01","412.60","327.00","415.20","297.60","13.04M","24.50%"
"2022- 03- 01","331.40","402.60","479.40","309.70","8.98M","-15.67%"
"2022- 02- 01","393.00","343.40","448.40","305.80","10.04M","12.41%"
"2022- 01- 01","349.60","298.60","455.00","282.40","11.47M","15.23%"
"2021- 12- 01","303.40","386.60","492.80","298.80","6.53M","-26.71%"
"2021- 11- 01","414.00","346.80","432.40","318.40","3.66M","18.35%"
"2021- 10- 01","349.80","445.00","466.20","339.80","3.38M","-23.29%"
"2021- 09- 01","456.00","414.00","530.00","398.20","5.57M","9.35%"
"2021- 08- 01","417.00","488.40","519.20","415.60","4.11M","-15.83%"
"2021- 07- 01","495.40","477.00","606.00","459.00","3.90M","2.87%"
"2021- 06- 01","481.60","554.40","592.40","471.80","3.85M","-15.09%"
"2021- 05- 01","567.20","642.40","817.60","550.60","4.31M","-13.85%"
"2021- 04- 01","658.40","737.60","740.80","622.40","1.52M","-11.98%"
"2021- 03- 01","748.00","987.20","1,112.00","732.80","2.29M","-28.35%"
"2021- 02- 01","1,044.00","1,316.00","1,393.60","945.60","2.18M","-24.57%"
"2021- 01- 01","1,384.00","1,099.20","1,425.60","1,058.40","2.26M","25.91%"
"2020- 12- 01","1,099.20","1,116.00","1,276.00","1,067.20","1.15M","-2.35%"
"2020- 11- 01","1,125.60","1,659.20","1,724.00","1,120.80","1.22M","-35.25%"
"2020- 10- 01","1,738.40","1,615.20","1,819.20","1,414.67","1.29M","6.47%"
"2020- 09- 01","1,632.80","1,760.79","2,233.60","1,552.80","1.67M","-7.10%"
"2020- 08- 01","1,757.60","1,856.80","1,886.00","1,550.40","855.04K","-6.27%"
"2020- 07- 01","1,875.20","2,188.79","2,361.60","1,847.20","1.15M","-15.56%"
"2020- 06- 01","2,220.80","2,232.80","2,954.40","1,891.20","1.38M","1.68%"
"2020- 05- 01","2,184.00","2,696.80","2,824.00","2,062.41","791.86K","-12.13%"
"2020- 04- 01","2,485.60","3,246.40","3,343.20","2,354.39","966.25K","-18.09%"
"2020- 03- 01","3,034.40","1,468.80","5,164.80","1,386.40","2.55M","101.33%"
