날짜,종가,시가,고가,저가,거래량,변동 %
2026-06-30,21.29,21.29,21.29,21.29,0,0%
2026-05-31,23.29,23.29,23.29,23.29,0,0%
2026-04-30,27.22,27.22,27.22,27.22,0,0%
2026-03-31,34.35,34.35,34.35,34.35,0,0%
2026-02-28,27.86,27.86,27.86,27.86,0,0%
2026-01-31,26.71,26.71,26.71,26.71,0,0%
2025-12-31,25.64,25.64,25.64,25.64,0,0%
2025-11-30,31.13,31.13,31.13,31.13,0,0%
2025-10-31,33.03,33.03,33.03,33.03,0,0%
2025-09-30,32.3,32.3,32.3,32.3,0,0%
2025-08-31,35.26,35.26,35.26,35.26,0,0%
2025-07-31,41.49,41.49,41.49,41.49,0,0%
2025-06-30,46.88,46.88,46.88,46.88,0,0%
2025-05-31,52.77,52.77,52.77,52.77,0,0%
2025-04-30,63.14,63.14,63.14,63.14,0,0%
2025-03-31,50.26,50.26,50.26,50.26,0,0%
2025-02-28,44.77,44.77,44.77,44.77,0,0%
2025-01-31,43.37,43.37,43.37,43.37,0,0%
2024-12-31,45.02,45.02,45.02,45.02,0,0%
2024-11-30,41.99,41.99,41.99,41.99,0,0%
2024-10-31,57.2,57.2,57.2,57.2,0,0%
2024-09-30,49.0,49.0,49.0,49.0,0,0%
2024-08-31,44.0,44.0,44.0,44.0,0,0%
2024-07-31,45.8,45.8,45.8,45.8,0,0%
2024-06-30,43.4,43.4,43.4,43.4,0,0%
2024-05-31,45.76,45.76,45.76,45.76,0,0%
2024-04-30,54.16,54.16,54.16,54.16,0,0%
2024-03-31,51.84,51.84,51.84,51.84,0,0%
2024-02-29,53.96,53.96,53.96,53.96,0,0%
2024-01-31,60.32,60.32,60.32,60.32,0,0%
2023-12-31,62.04,62.04,62.04,62.04,0,0%
2023-11-30,69.04,69.04,69.04,69.04,0,0%
2023-10-31,93.68,93.68,93.68,93.68,0,0%
2023-09-30,93.2,93.2,93.2,93.2,0,0%
2023-08-31,86.08,86.08,86.08,86.08,0,0%
2023-07-31,90.68,90.68,90.68,90.68,0,0%
2023-06-30,99.84,99.84,99.84,99.84,0,0%
2023-05-31,138.0,138.0,138.0,138.0,0,0%
2023-04-30,151.6,151.6,151.6,151.6,0,0%
2023-03-31,181.0,181.0,181.0,181.0,0,0%
2023-02-28,186.4,186.4,186.4,186.4,0,0%
2023-01-31,183.0,183.0,183.0,183.0,0,0%
2022-12-31,227.6,227.6,227.6,227.6,0,0%
2022-11-30,241.2,241.2,241.2,241.2,0,0%
2022-10-31,285.8,285.8,285.8,285.8,0,0%
2022-09-30,342.0,342.0,342.0,342.0,0,0%
2022-08-31,291.8,291.8,291.8,291.8,0,0%
2022-07-31,291.2,291.2,291.2,291.2,0,0%
2022-06-30,365.0,365.0,365.0,365.0,0,0%
2022-05-31,349.8,349.8,349.8,349.8,0,0%
2022-04-30,412.6,412.6,412.6,412.6,0,0%
2022-03-31,331.4,331.4,331.4,331.4,0,0%
2022-02-28,393.0,393.0,393.0,393.0,0,0%
2022-01-31,349.6,349.6,349.6,349.6,0,0%
2021-12-31,303.4,303.4,303.4,303.4,0,0%
2021-11-30,414.0,414.0,414.0,414.0,0,0%
2021-10-31,349.8,349.8,349.8,349.8,0,0%
2021-09-30,456.0,456.0,456.0,456.0,0,0%
2021-08-31,417.0,417.0,417.0,417.0,0,0%
2021-07-31,495.4,495.4,495.4,495.4,0,0%
2021-06-30,481.6,481.6,481.6,481.6,0,0%
2021-05-31,567.2,567.2,567.2,567.2,0,0%
2021-04-30,658.4,658.4,658.4,658.4,0,0%
2021-03-31,748.0,748.0,748.0,748.0,0,0%
2021-02-28,1044.0,1044.0,1044.0,1044.0,0,0%
2021-01-31,1384.0,1384.0,1384.0,1384.0,0,0%
2020-12-31,1099.2,1099.2,1099.2,1099.2,0,0%
2020-11-30,1125.6,1125.6,1125.6,1125.6,0,0%
2020-10-31,1738.4,1738.4,1738.4,1738.4,0,0%
2020-09-30,1632.8,1632.8,1632.8,1632.8,0,0%
2020-08-31,1757.6,1757.6,1757.6,1757.6,0,0%
2020-07-31,1875.2,1875.2,1875.2,1875.2,0,0%
2020-06-30,2220.8,2220.8,2220.8,2220.8,0,0%
2020-05-31,2184.0,2184.0,2184.0,2184.0,0,0%
2020-04-30,2485.6,2485.6,2485.6,2485.6,0,0%
2020-03-31,3034.4,3034.4,3034.4,3034.4,0,0%
2020-02-29,1507.2,1507.2,1507.2,1507.2,0,0%
2020-01-31,1069.6,1069.6,1069.6,1069.6,0,0%
2019-12-31,994.4,994.4,994.4,994.4,0,0%
2019-11-30,1084.0,1084.0,1084.0,1084.0,0,0%
2019-10-31,1300.8,1300.8,1300.8,1300.8,0,0%
2019-09-30,1561.6,1561.6,1561.6,1561.6,0,0%
2019-08-31,1769.6,1769.6,1769.6,1769.6,0,0%
2019-07-31,1552.0,1552.0,1552.0,1552.0,0,0%
2019-06-30,1712.0,1712.0,1712.0,1712.0,0,0%
2019-05-31,2005.6,2005.6,2005.6,2005.6,0,0%
2019-04-30,1689.6,1689.6,1689.6,1689.6,0,0%
2019-03-31,1921.6,1921.6,1921.6,1921.6,0,0%
2019-02-28,2065.6,2065.6,2065.6,2065.6,0,0%
2019-01-31,2332.0,2332.0,2332.0,2332.0,0,0%
2018-12-31,3088.8,3088.8,3088.8,3088.8,0,0%
2018-11-30,2269.6,2269.6,2269.6,2269.6,0,0%
2018-10-31,2476.0,2476.0,2476.0,2476.0,0,0%
