"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","96.92","96.60","97.71","93.78","55.11M","0.61%"
"2026- 04- 01","96.33","88.69","97.06","88.44","61.84M","8.60%"
"2026- 03- 01","88.70","95.20","96.20","86.84","102.68M","-7.30%"
"2026- 02- 01","95.69","90.90","96.23","89.07","76.83M","5.39%"
"2026- 01- 01","90.80","88.37","92.82","87.84","88.70M","2.61%"
"2025- 12- 01","88.49","90.45","90.81","87.47","80.02M","-3.12%"
"2025- 11- 01","91.34","88.20","91.60","87.86","73.76M","2.42%"
"2025- 10- 01","89.18","91.37","92.93","88.08","79.35M","-2.45%"
"2025- 09- 01","91.42","91.41","93.58","90.06","67.80M","-0.89%"
"2025- 08- 01","92.24","90.03","92.61","88.08","65.95M","3.48%"
"2025- 07- 01","89.14","88.88","92.18","88.76","81.67M","0.09%"
"2025- 06- 01","89.06","88.63","91.77","87.18","67.03M","-0.29%"
"2025- 05- 01","89.32","88.64","90.43","86.36","56.35M","1.12%"
"2025- 04- 01","88.33","90.79","91.28","76.92","98.14M","-2.44%"
"2025- 03- 01","90.54","94.04","94.95","88.29","71.63M","-3.58%"
"2025- 02- 01","93.90","89.75","93.94","88.92","60.44M","3.70%"
"2025- 01- 01","90.55","89.09","91.94","85.28","81.13M","1.65%"
"2024- 12- 01","89.08","97.66","97.74","87.44","75.46M","-9.25%"
"2024- 11- 01","98.16","94.68","99.20","92.37","67.87M","4.26%"
"2024- 10- 01","94.15","97.63","97.80","93.43","75.65M","-3.36%"
"2024- 09- 01","97.42","94.74","99.58","94.19","83.71M","2.41%"
"2024- 08- 01","95.13","91.46","95.37","88.27","92.71M","5.22%"
"2024- 07- 01","90.41","83.69","91.54","82.46","74.62M","7.94%"
"2024- 06- 01","83.76","83.69","85.46","82.10","58.48M","0.62%"
"2024- 05- 01","83.24","79.50","85.42","79.37","82.03M","4.56%"
"2024- 04- 01","79.61","86.74","86.74","78.27","112.74M","-7.94%"
"2024- 03- 01","86.48","85.42","88.07","83.68","87.36M","1.09%"
"2024- 02- 01","85.55","83.80","86.00","81.54","106.31M","1.98%"
"2024- 01- 01","83.89","88.05","89.26","83.73","99.34M","-5.06%"
"2023- 12- 01","88.36","81.66","90.09","81.42","107.74M","8.11%"
"2023- 11- 01","81.73","73.02","81.93","72.54","104.81M","12.08%"
"2023- 10- 01","72.92","75.41","77.28","70.61","140.39M","-3.62%"
"2023- 09- 01","75.66","82.90","83.17","74.85","86.56M","-8.16%"
"2023- 08- 01","82.38","85.04","85.42","79.04","89.70M","-3.38%"
"2023- 07- 01","85.26","83.43","87.32","82.36","107.33M","2.03%"
"2023- 06- 01","83.56","79.90","84.68","79.15","90.58M","4.45%"
"2023- 05- 01","80.00","83.31","83.62","77.81","108.73M","-3.96%"
"2023- 04- 01","83.30","82.94","83.98","80.29","99.98M","0.31%"
"2023- 03- 01","83.04","85.12","87.41","76.22","164.80M","-3.13%"
"2023- 02- 01","85.72","90.57","94.53","85.26","93.68M","-5.86%"
"2023- 01- 01","91.06","83.17","91.17","81.66","106.91M","10.40%"
"2022- 12- 01","82.48","88.72","89.47","80.49","114.13M","-6.36%"
"2022- 11- 01","88.08","83.88","88.14","79.03","107.92M","6.15%"
"2022- 10- 01","82.98","81.40","83.87","74.66","133.06M","3.51%"
"2022- 09- 01","80.17","92.45","96.92","78.73","128.43M","-13.80%"
"2022- 08- 01","93.01","98.45","102.37","92.79","75.72M","-6.01%"
"2022- 07- 01","98.96","90.97","99.32","89.45","80.78M","8.62%"
"2022- 06- 01","91.11","99.40","99.65","86.63","127.67M","-8.03%"
"2022- 05- 01","99.07","103.87","104.54","92.88","147.91M","-4.69%"
"2022- 04- 01","103.94","108.87","113.41","103.68","114.75M","-4.09%"
"2022- 03- 01","108.37","102.80","110.69","101.45","128.13M","5.69%"
"2022- 02- 01","102.54","106.15","107.52","97.71","115.35M","-3.48%"
"2022- 01- 01","106.24","116.21","116.24","100.62","144.92M","-8.42%"
"2021- 12- 01","116.01","107.74","116.71","104.95","129.69M","8.68%"
"2021- 11- 01","106.74","109.30","111.29","106.65","75.13M","-2.11%"
"2021- 10- 01","109.04","102.44","110.30","101.00","87.54M","7.13%"
"2021- 09- 01","101.78","108.84","111.06","101.78","109.44M","-6.26%"
"2021- 08- 01","108.58","106.87","108.71","104.85","74.71M","2.15%"
"2021- 07- 01","106.29","102.03","107.72","101.50","96.34M","4.42%"
"2021- 06- 01","101.79","100.37","105.77","100.01","88.69M","1.91%"
"2021- 05- 01","99.88","99.56","100.17","94.64","87.73M","0.81%"
"2021- 04- 01","99.08","92.34","99.30","92.00","90.28M","7.86%"
"2021- 03- 01","91.86","88.87","93.20","84.44","103.02M","4.54%"
"2021- 02- 01","87.87","85.48","91.45","84.42","75.65M","3.43%"
"2021- 01- 01","84.96","85.20","87.31","81.23","111.25M","0.04%"
"2020- 12- 01","84.93","84.96","86.77","83.23","83.50M","1.11%"
"2020- 11- 01","84.00","77.40","88.29","76.88","92.41M","9.67%"
"2020- 10- 01","76.59","79.28","83.88","75.46","91.00M","-3.00%"
"2020- 09- 01","78.96","81.47","84.49","75.72","93.90M","-3.41%"
"2020- 08- 01","81.75","81.42","83.47","79.38","78.31M","0.44%"
"2020- 07- 01","81.39","78.80","82.07","76.65","100.17M","3.64%"
"2020- 06- 01","78.53","77.36","86.80","75.65","146.94M","1.42%"
"2020- 05- 01","77.43","74.08","78.82","66.27","144.16M","1.73%"
"2020- 04- 01","76.11","66.51","79.99","63.27","182.12M","8.96%"
"2020- 03- 01","69.85","87.65","94.40","55.58","298.55M","-20.02%"
"2020- 02- 01","87.33","93.88","99.72","84.66","119.83M","-7.03%"
"2020- 01- 01","93.93","93.19","96.15","90.85","98.46M","1.23%"
"2019- 12- 01","92.79","92.70","93.36","89.22","115.43M","-0.30%"
"2019- 11- 01","93.07","94.41","94.79","90.52","100.24M","-1.30%"
"2019- 10- 01","94.30","93.20","95.49","91.39","84.43M","1.13%"
"2019- 09- 01","93.25","92.20","94.07","91.24","90.95M","1.12%"
"2019- 08- 01","92.22","89.01","92.55","86.45","101.01M","3.75%"
"2019- 07- 01","88.89","87.98","91.00","86.33","110.63M","1.70%"
"2019- 06- 01","87.40","87.20","91.85","85.95","106.19M","0.59%"
"2019- 05- 01","86.89","86.77","88.59","84.96","106.00M","0.14%"
"2019- 04- 01","86.77","87.00","88.14","83.78","105.29M","-0.16%"
"2019- 03- 01","86.91","83.94","87.42","82.82","147.87M","3.48%"
"2019- 02- 01","83.99","83.49","85.44","81.72","142.89M","0.70%"
"2019- 01- 01","83.41","73.56","83.47","72.53","151.84M","11.85%"
"2018- 12- 01","74.57","82.48","83.31","71.08","213.63M","-9.04%"
"2018- 11- 01","81.98","78.38","82.05","77.15","114.20M","4.67%"
"2018- 10- 01","78.32","80.60","80.82","75.38","168.46M","-2.93%"
"2018- 09- 01","80.68","83.86","84.07","79.18","94.41M","-4.01%"
"2018- 08- 01","84.05","81.35","84.55","81.13","90.62M","2.58%"
"2018- 07- 01","81.94","81.52","83.15","79.99","107.61M","0.60%"
"2018- 06- 01","81.45","78.59","81.80","78.43","115.03M","3.25%"
"2018- 05- 01","78.89","76.08","79.39","75.50","93.48M","3.68%"
"2018- 04- 01","76.09","75.34","76.71","73.55","112.22M","0.82%"
"2018- 03- 01","75.47","73.19","76.66","72.62","141.20M","2.89%"
"2018- 02- 01","73.35","79.09","79.74","72.05","168.82M","-7.68%"
"2018- 01- 01","79.45","83.04","83.17","77.92","113.33M","-4.25%"
