"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","160.84","157.98","162.91","155.40","5.68M","1.74%"
"2026- 04- 01","158.09","147.62","161.71","144.19","5.65M","8.44%"
"2026- 03- 01","145.79","157.22","158.33","140.91","6.92M","-8.91%"
"2026- 02- 01","160.05","151.29","160.68","151.16","6.14M","4.95%"
"2026- 01- 01","152.50","144.72","156.73","143.87","8.13M","6.40%"
"2025- 12- 01","143.33","143.15","145.35","141.35","9.44M","-0.30%"
"2025- 11- 01","143.76","142.39","143.77","136.63","4.32M","0.98%"
"2025- 10- 01","142.36","142.87","144.64","139.51","6.30M","-0.13%"
"2025- 09- 01","142.55","138.01","145.33","137.54","4.97M","1.63%"
"2025- 08- 01","140.27","133.57","140.96","132.84","5.16M","4.93%"
"2025- 07- 01","133.68","134.19","138.29","133.19","5.53M","-0.53%"
"2025- 06- 01","134.39","128.34","134.44","128.14","5.36M","5.25%"
"2025- 05- 01","127.69","120.42","128.27","119.59","6.92M","6.04%"
"2025- 04- 01","120.42","115.66","120.67","102.76","14.09M","4.17%"
"2025- 03- 01","115.60","116.54","120.16","113.60","10.10M","0.30%"
"2025- 02- 01","115.25","113.24","119.11","112.88","10.16M","0.12%"
"2025- 01- 01","115.11","114.50","116.77","110.11","10.51M","0.55%"
"2024- 12- 01","114.48","120.09","122.77","113.01","7.96M","-4.81%"
"2024- 11- 01","120.27","120.89","122.41","116.78","5.98M","0.14%"
"2024- 10- 01","120.10","126.33","126.33","119.44","5.82M","-4.65%"
"2024- 09- 01","125.96","122.08","126.80","117.98","4.77M","2.35%"
"2024- 08- 01","123.07","120.59","123.90","111.22","5.32M","1.52%"
"2024- 07- 01","121.23","118.17","122.74","117.04","6.25M","3.18%"
"2024- 06- 01","117.49","120.26","120.50","116.65","10.61M","-1.95%"
"2024- 05- 01","119.83","114.75","121.20","114.36","10.25M","4.56%"
"2024- 04- 01","114.60","117.00","118.00","111.89","7.32M","-1.92%"
"2024- 03- 01","116.84","113.69","116.95","113.29","5.16M","3.23%"
"2024- 02- 01","113.18","111.79","113.66","109.16","5.60M","1.57%"
"2024- 01- 01","111.43","114.04","114.26","109.14","6.27M","-3.13%"
"2023- 12- 01","115.03","110.37","115.60","110.22","5.50M","4.15%"
"2023- 11- 01","110.45","100.98","111.25","100.38","14.17M","9.37%"
"2023- 10- 01","100.99","105.54","106.14","99.03","16.89M","-4.91%"
"2023- 09- 01","106.20","112.37","112.40","104.98","4.32M","-4.74%"
"2023- 08- 01","111.49","114.83","114.83","107.57","5.53M","-3.83%"
