"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 01","60.23","58.89","61.03","57.58","144.28M","2.20%"
"2026- 04- 01","58.93","54.21","59.62","53.05","163.89M","9.03%"
"2026- 03- 01","54.05","56.81","57.50","52.20","322.18M","-6.97%"
"2026- 02- 01","58.10","56.08","59.09","55.90","208.85M","2.89%"
"2026- 01- 01","56.47","54.69","58.10","54.64","293.64M","5.04%"
"2025- 12- 01","53.76","54.13","54.75","52.96","216.64M","-0.99%"
"2025- 11- 01","54.30","55.09","55.45","52.50","156.68M","-1.22%"
"2025- 10- 01","54.97","54.35","56.04","52.41","203.35M","1.46%"
"2025- 09- 01","54.18","51.07","54.85","51.01","203.12M","5.14%"
"2025- 08- 01","51.53","49.76","52.25","49.37","151.32M","3.47%"
"2025- 07- 01","49.80","49.60","51.25","49.36","189.64M","0.69%"
"2025- 06- 01","49.46","47.12","49.51","46.99","171.50M","5.23%"
"2025- 05- 01","47.00","45.46","48.08","45.21","182.33M","3.87%"
"2025- 04- 01","45.25","45.30","45.58","39.53","299.51M","-0.02%"
"2025- 03- 01","45.26","44.93","46.83","44.16","180.08M","1.18%"
"2025- 02- 01","44.73","43.75","46.88","43.66","147.21M","0.74%"
"2025- 01- 01","44.40","43.99","44.97","42.25","183.44M","0.82%"
"2024- 12- 01","44.04","45.60","47.86","43.99","178.03M","-3.36%"
"2024- 11- 01","45.57","46.82","48.10","45.03","144.34M","-2.15%"
"2024- 10- 01","46.57","48.07","49.57","46.28","198.66M","-2.68%"
"2024- 09- 01","47.85","44.45","48.60","43.30","166.08M","7.00%"
"2024- 08- 01","44.72","44.07","45.26","40.91","213.19M","0.97%"
"2024- 07- 01","44.29","44.03","45.72","43.10","177.00M","1.21%"
"2024- 06- 01","43.76","43.62","44.46","42.61","155.28M","1.58%"
"2024- 05- 01","43.08","42.19","44.97","42.16","174.80M","2.16%"
"2024- 04- 01","42.17","42.02","42.82","40.72","243.93M","0.96%"
"2024- 03- 01","41.77","41.35","42.24","41.06","169.71M","1.83%"
"2024- 02- 01","41.02","39.78","41.64","39.43","221.58M","3.48%"
"2024- 01- 01","39.64","40.73","40.83","38.83","222.90M","-3.55%"
"2023- 12- 01","41.10","40.43","41.37","39.61","223.40M","1.16%"
"2023- 11- 01","40.63","37.89","40.87","37.84","185.24M","7.09%"
"2023- 10- 01","37.94","39.21","39.76","37.46","241.70M","-3.24%"
"2023- 09- 01","39.21","41.07","41.16","38.87","185.39M","-3.26%"
"2023- 08- 01","40.53","42.65","42.70","39.63","202.94M","-5.90%"
"2023- 07- 01","43.07","41.10","43.10","39.96","149.64M","5.88%"
"2023- 06- 01","40.68","39.13","42.15","39.11","187.46M","4.17%"
"2023- 05- 01","39.05","40.08","40.63","38.73","291.82M","-2.96%"
"2023- 04- 01","40.24","40.44","40.95","39.18","151.97M","-0.40%"
"2023- 03- 01","40.40","40.31","40.83","38.11","233.44M","2.49%"
"2023- 02- 01","39.42","42.35","42.79","39.31","222.36M","-6.65%"
"2023- 01- 01","42.23","39.48","43.22","39.29","237.55M","8.34%"
"2022- 12- 01","38.98","40.62","40.92","38.53","322.34M","-3.80%"
"2022- 11- 01","40.52","36.29","40.65","35.56","299.45M","14.30%"
"2022- 10- 01","35.45","36.78","38.28","34.88","344.92M","-2.85%"
"2022- 09- 01","36.49","40.88","41.66","36.21","319.79M","-11.28%"
"2022- 08- 01","41.13","41.03","42.69","40.59","229.91M","-0.46%"
"2022- 07- 01","41.32","41.22","41.78","39.57","276.56M","-0.79%"
"2022- 06- 01","41.65","43.86","44.28","40.94","288.09M","-4.56%"
"2022- 05- 01","43.64","43.23","44.17","40.02","412.43M","0.46%"
"2022- 04- 01","43.44","47.07","47.92","42.24","400.36M","-5.83%"
"2022- 03- 01","46.13","47.51","47.91","41.97","518.88M","-3.53%"
"2022- 02- 01","47.82","49.85","50.99","46.15","306.25M","-3.72%"
"2022- 01- 01","49.67","49.67","51.26","47.54","369.02M","0.42%"
"2021- 12- 01","49.46","49.82","50.48","47.49","377.59M","0.55%"
"2021- 11- 01","49.19","50.70","52.21","48.72","226.69M","-2.90%"
"2021- 10- 01","50.66","50.10","52.42","49.05","194.66M","1.30%"
"2021- 09- 01","50.01","52.51","53.44","49.16","257.48M","-4.25%"
"2021- 08- 01","52.23","51.56","52.35","48.90","214.42M","2.19%"
"2021- 07- 01","51.11","54.31","54.41","49.27","198.99M","-5.89%"
"2021- 06- 01","54.31","55.10","55.16","53.01","179.21M","0.80%"
"2021- 05- 01","53.88","52.92","53.98","50.69","160.63M","1.70%"
"2021- 04- 01","52.98","52.80","54.18","51.60","170.66M","1.79%"
"2021- 03- 01","52.05","53.60","54.04","50.32","306.74M","-0.84%"
"2021- 02- 01","52.49","52.75","56.66","52.23","171.87M","1.57%"
"2021- 01- 01","51.68","50.90","54.56","50.21","251.81M","3.13%"
"2020- 12- 01","50.11","48.43","50.49","48.18","213.31M","5.36%"
"2020- 11- 01","47.56","44.26","48.86","44.00","205.48M","8.56%"
"2020- 10- 01","43.81","43.56","45.43","42.93","236.50M","1.32%"
"2020- 09- 01","43.24","44.70","45.11","41.53","268.42M","-2.15%"
"2020- 08- 01","44.19","43.19","45.17","43.08","193.61M","2.74%"
"2020- 07- 01","43.01","39.96","43.85","39.95","240.82M","8.58%"
"2020- 06- 01","39.61","37.74","40.72","37.65","295.79M","6.02%"
"2020- 05- 01","37.36","35.31","37.49","34.84","307.31M","3.29%"
"2020- 04- 01","36.17","32.70","36.89","32.26","455.16M","7.81%"
"2020- 03- 01","33.55","40.50","41.97","29.95","868.65M","-17.20%"
"2020- 02- 01","40.52","42.06","44.37","39.22","320.85M","-3.55%"
"2020- 01- 01","42.01","45.07","45.92","41.77","295.60M","-5.53%"
"2019- 12- 01","44.47","42.15","44.76","41.55","214.75M","5.73%"
"2019- 11- 01","42.06","42.31","43.39","41.82","216.16M","0.50%"
"2019- 10- 01","41.85","40.26","42.35","39.61","293.26M","3.95%"
"2019- 09- 01","40.26","40.00","42.28","39.95","261.02M","-0.35%"
"2019- 08- 01","40.40","41.80","42.10","38.98","291.08M","-3.26%"
"2019- 07- 01","41.76","43.35","43.43","41.32","221.23M","-1.81%"
"2019- 06- 01","42.53","40.85","42.81","40.40","259.74M","4.65%"
"2019- 05- 01","40.64","43.50","43.83","39.57","341.79M","-6.38%"
"2019- 04- 01","43.41","43.06","44.19","42.86","216.42M","2.14%"
"2019- 03- 01","42.50","41.88","43.44","40.91","322.98M","2.11%"
"2019- 02- 01","41.62","41.56","42.58","40.51","302.23M","-0.38%"
"2019- 01- 01","41.78","37.77","41.82","37.52","387.26M","9.66%"
"2018- 12- 01","38.10","40.69","40.75","37.18","576.80M","-4.01%"
"2018- 11- 01","39.69","38.46","40.14","37.84","394.80M","4.83%"
"2018- 10- 01","37.86","41.23","41.24","36.35","482.82M","-7.66%"
"2018- 09- 01","41.00","41.24","41.93","39.47","263.32M","-2.47%"
"2018- 08- 01","42.04","43.52","43.74","40.33","307.65M","-4.19%"
"2018- 07- 01","43.88","41.57","44.14","41.42","255.00M","3.98%"
"2018- 06- 01","42.20","44.83","45.83","41.03","314.90M","-5.40%"
"2018- 05- 01","44.61","45.39","46.58","43.96","251.21M","-2.34%"
"2018- 04- 01","45.68","46.74","47.20","45.02","227.51M","-2.77%"
"2018- 03- 01","46.98","47.57","48.87","45.82","272.60M","-0.40%"
"2018- 02- 01","47.17","49.56","49.75","44.34","401.82M","-5.36%"
"2018- 01- 01","49.84","46.53","50.99","46.45","291.20M","8.56%"
"2017- 12- 01","45.91","44.25","46.14","43.30","215.39M","3.21%"
"2017- 11- 01","44.48","44.92","45.84","43.76","235.62M","-0.34%"
"2017- 10- 01","44.63","43.53","45.33","43.53","209.28M","2.43%"
"2017- 09- 01","43.57","44.50","45.27","42.91","196.70M","-1.65%"
"2017- 08- 01","44.30","43.20","44.41","42.22","201.34M","3.00%"
"2017- 07- 01","43.01","41.01","43.13","40.43","211.89M","5.34%"
"2017- 06- 01","40.83","40.84","41.28","40.29","220.74M","0.22%"
"2017- 05- 01","40.74","40.48","41.36","39.62","263.80M","0.99%"
"2017- 04- 01","40.34","39.93","40.53","39.26","214.10M","1.56%"
"2017- 03- 01","39.72","39.03","40.63","38.12","319.75M","2.66%"
"2017- 02- 01","38.69","38.09","39.78","37.84","191.02M","2.25%"
"2017- 01- 01","37.84","36.18","38.15","36.03","255.17M","5.76%"
"2016- 12- 01","35.78","36.12","36.88","34.71","300.38M","-1.21%"
"2016- 11- 01","36.22","37.89","38.19","34.78","423.51M","-4.05%"
"2016- 10- 01","37.75","37.70","38.38","36.75","272.80M","0.32%"
"2016- 09- 01","37.63","37.34","38.87","36.13","359.30M","0.80%"
"2016- 08- 01","37.33","37.08","38.67","36.41","335.15M","0.78%"
"2016- 07- 01","37.04","35.37","37.10","34.25","270.50M","5.14%"
"2016- 06- 01","35.23","33.69","35.52","32.78","443.25M","4.23%"
"2016- 05- 01","33.80","34.92","34.92","32.25","329.03M","-3.24%"
"2016- 04- 01","34.93","34.01","35.83","33.20","295.33M","1.01%"
"2016- 03- 01","34.58","31.36","34.93","31.33","359.55M","12.53%"
"2016- 02- 01","30.73","30.31","31.46","28.90","424.64M","-0.32%"
"2016- 01- 01","30.83","31.84","31.97","27.98","501.79M","-5.75%"
"2015- 12- 01","32.71","34.19","34.30","31.51","508.05M","-3.91%"
"2015- 11- 01","34.04","35.13","36.30","33.59","328.52M","-2.30%"
"2015- 10- 01","34.84","33.34","36.53","32.93","384.20M","5.29%"
"2015- 09- 01","33.09","33.59","36.00","31.89","509.33M","-4.20%"
"2015- 08- 01","34.54","37.91","38.27","30.90","508.32M","-9.86%"
"2015- 07- 01","38.32","41.07","41.29","37.42","295.63M","-6.26%"
"2015- 06- 01","40.88","42.50","42.64","40.32","261.88M","-3.45%"
"2015- 05- 01","42.34","44.06","44.43","42.33","189.90M","-3.55%"
"2015- 04- 01","43.90","41.29","45.08","41.20","233.90M","7.41%"
"2015- 03- 01","40.87","41.73","41.75","38.99","259.22M","-2.22%"
"2015- 02- 01","41.80","40.40","42.04","40.08","218.25M","4.66%"
"2015- 01- 01","39.94","39.95","42.04","38.55","274.52M","-0.20%"
"2014- 12- 01","40.02","41.71","41.72","37.30","365.35M","-5.10%"
"2014- 11- 01","42.17","42.50","43.13","41.53","181.16M","-1.10%"
"2014- 10- 01","42.64","41.57","42.72","40.00","330.22M","2.23%"
"2014- 09- 01","41.71","45.43","46.49","41.43","255.88M","-8.13%"
"2014- 08- 01","45.40","43.85","45.85","43.17","195.05M","3.84%"
"2014- 07- 01","43.72","43.36","45.17","43.36","219.49M","1.37%"
"2014- 06- 01","43.13","42.40","43.89","42.32","217.96M","2.18%"
"2014- 05- 01","42.21","40.85","43.02","40.69","250.52M","3.10%"
"2014- 04- 01","40.94","40.97","41.93","40.12","330.43M","0.89%"
"2014- 03- 01","40.58","38.19","40.80","37.56","378.00M","4.35%"
"2014- 02- 01","38.89","37.50","39.37","36.65","389.97M","3.24%"
"2014- 01- 01","37.67","40.51","40.53","37.19","479.88M","-8.43%"
"2013- 12- 01","41.14","41.38","41.58","39.80","418.96M","-0.82%"
"2013- 11- 01","41.48","41.92","42.47","39.75","342.91M","-0.92%"
"2013- 10- 01","41.87","40.40","43.16","40.39","380.25M","4.31%"
"2013- 09- 01","40.13","38.21","43.01","37.81","431.38M","6.40%"
"2013- 08- 01","37.72","39.50","40.29","36.95","381.02M","-3.43%"
"2013- 07- 01","39.06","39.00","40.53","37.34","464.32M","0.68%"
"2013- 06- 01","38.79","41.72","42.26","36.01","612.82M","-6.61%"
"2013- 05- 01","41.54","43.70","44.81","41.52","330.80M","-5.08%"
"2013- 04- 01","43.76","42.88","43.88","41.23","374.20M","2.02%"
"2013- 03- 01","42.90","43.38","44.47","42.05","339.77M","-1.40%"
"2013- 02- 01","43.51","44.81","44.97","42.98","367.54M","-2.37%"
"2013- 01- 01","44.56","45.13","45.54","44.10","400.85M","0.07%"
"2012- 12- 01","44.53","42.33","44.61","42.01","395.20M","5.99%"
"2012- 11- 01","42.01","41.82","42.43","40.19","399.76M","1.25%"
"2012- 10- 01","41.49","42.08","42.70","41.12","339.17M","-0.54%"
"2012- 09- 01","41.72","40.15","43.69","39.53","404.43M","4.02%"
"2012- 08- 01","40.11","40.44","41.71","39.34","409.58M","0.24%"
"2012- 07- 01","40.01","39.86","40.71","37.99","440.90M","0.20%"
"2012- 06- 01","39.93","37.26","40.26","36.94","491.73M","5.02%"
"2012- 05- 01","38.02","42.62","43.22","37.13","534.48M","-10.66%"
"2012- 04- 01","42.56","43.37","44.16","41.51","439.11M","-2.10%"
"2012- 03- 01","43.47","44.81","45.21","42.34","413.56M","-2.60%"
"2012- 02- 01","44.63","42.99","45.27","42.93","469.37M","5.43%"
"2012- 01- 01","42.33","39.21","42.94","38.50","421.94M","10.78%"
"2011- 12- 01","38.21","40.82","41.39","37.34","439.24M","-6.39%"
"2011- 11- 01","40.82","40.03","42.87","37.01","414.89M","-1.71%"
"2011- 10- 01","41.53","35.89","43.93","34.21","614.14M","15.91%"
"2011- 09- 01","35.83","44.04","44.36","35.68","749.68M","-18.44%"
"2011- 08- 01","43.93","48.84","48.87","39.64","803.15M","-9.09%"
"2011- 07- 01","48.32","48.60","49.65","46.88","375.11M","-0.62%"
"2011- 06- 01","48.62","49.01","49.17","45.94","385.32M","-1.00%"
"2011- 05- 01","49.11","50.79","50.92","46.44","462.98M","-2.94%"
"2011- 04- 01","50.60","49.57","50.72","48.02","339.20M","3.37%"
"2011- 03- 01","48.95","46.69","49.09","44.67","528.07M","5.47%"
"2011- 02- 01","46.41","46.95","47.72","44.89","496.24M","-0.17%"
"2011- 01- 01","46.49","48.56","48.88","45.88","334.42M","-3.45%"
"2010- 12- 01","48.15","46.68","48.33","46.54","328.51M","5.73%"
"2010- 11- 01","45.54","47.34","49.33","45.20","397.91M","-2.84%"
"2010- 10- 01","46.87","46.00","47.69","45.77","339.48M","3.10%"
"2010- 09- 01","45.46","41.55","45.69","41.50","250.19M","11.42%"
"2010- 08- 01","40.80","42.72","45.00","40.06","262.77M","-2.56%"
"2010- 07- 01","41.87","38.14","42.16","37.47","290.32M","10.21%"
"2010- 06- 01","37.99","37.77","41.31","36.85","377.09M","-0.55%"
"2010- 05- 01","38.20","42.25","42.44","35.30","455.54M","-9.18%"
"2010- 04- 01","42.06","42.77","43.98","41.41","320.07M","-0.21%"
"2010- 03- 01","42.15","39.45","42.32","39.35","269.89M","8.19%"
"2010- 02- 01","38.96","38.61","39.73","36.24","231.68M","1.88%"
"2010- 01- 01","38.24","41.76","42.97","38.07","229.88M","-6.73%"
